Date,ABW,AFG,AGO,AIA,ALA,ALB,AND,ARE,ARG,ARM,ASM,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_AKD,OWID_CYN,OWID_KOS,OWID_WRL,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
2012,0.0,44.0,80747.0,0.0,0.0,349.0,0.0,1.0,10653.0,76.0,0.0,0.0,0.0,53168.0,3.0,245.0,179.0,0.0,3509.0,0.0,3097.0,602.0,764.0,0.0,44.0,469.0,0.0,196.0,248.0,0.0,8008.0,73822.0,0.0,6.0,74.0,0.0,2063.0,27583.0,3511.0,0.0,0.0,938.0,9252.0,6173.0,9190.0,99567.0,5338.0,0.0,4935.0,5.0,1.0,260.0,1213.0,3.0,0.0,0.0,13.0,4.0,8.0,0.0,0.0,4.0,248.0,1400.0,814.0,57.0,31.0,0.0,589.0,0.0,12245.0,7.0,68.0,18.0,213.0,0.0,0.0,705.0,76.0,120.0,0.0,8276.0,0.0,15442.0,0.0,215.0,1317.0,6.0,241.0,0.0,0.0,1809.0,117.0,2.0,406.0,0.0,0.0,948.0,184.0,64.0,124.0,13757.0,0.0,21288.0,0.0,13.0,1601.0,880.0,1.0,15.0,1034.0,29.0,0.0,0.0,15.0,10467.0,1397.0,67.0,6063.0,0.0,0.0,4.0,5.0,7469.0,6.0,2320.0,19.0,0.0,0.0,329.0,22.0,8.0,0.0,3.0,0.0,0.0,44.0,0.0,61.0,16453.0,0.0,11674.0,0.0,123.0,7498.0,0.0,19029.0,174.0,671.0,3.0,47458.0,125.0,0.0,0.0,3.0,3191.0,797.0,0.0,5236.0,10.0,322.0,0.0,11344.0,823.0,0.0,0.0,3.0,1528.0,0.0,205.0,4.0,1.0,9.0,124.0,914381.0,1180.0,425.0,0.0,4078.0,510.0,0.0,1211.0,39.0,8.0,223.0,331.0,6333.0,2.0,0.0,9.0,0.0,1408.0,39773.0,56.0,29.0,10279.0,4101.0,0.0,0.0,0.0,0.0,26.0,6139.0,131.0,0.0,231.0,0.0,490.0,30842.0,2.0,154.0,11.0,2.0,13.0,439.0,0.0,0.0,164.0,0.0,13672.0,2049.0,6297.0,11.0,0.0,256.0,221.0,0.0,3.0,79.0,923.0,0.0,2.0,28980.0,5752.0,2784.0,1.0,169.0,12692.0,438.0,0.0,0.0,6126.0,0.0,0.0,3880.0,81.0,0.0,0.0,3.0,9524.0,58450.0,7517.0
2013,0.0,33.0,87783.0,0.0,0.0,46.0,0.0,0.0,11301.0,88.0,0.0,0.0,1.0,30837.0,3.0,258.0,291.0,2.0,4456.0,0.0,4190.0,664.0,450.0,0.0,81.0,39.0,0.0,109.0,608.0,0.0,6837.0,47924.0,0.0,1.0,43.0,0.0,2008.0,35872.0,5240.0,0.0,0.0,1080.0,13128.0,10270.0,9694.0,115477.0,6307.0,0.0,5650.0,12.0,0.0,468.0,1472.0,1.0,0.0,0.0,9.0,1.0,15.0,0.0,0.0,3.0,372.0,405.0,810.0,92.0,26.0,0.0,356.0,2.0,14558.0,14.0,116.0,6.0,69.0,0.0,0.0,805.0,60.0,96.0,0.0,13553.0,0.0,20168.0,0.0,258.0,1214.0,14.0,220.0,0.0,0.0,3000.0,54.0,1.0,366.0,1.0,0.0,2818.0,20.0,86.0,35.0,9577.0,0.0,16098.0,0.0,26.0,1788.0,866.0,3.0,24.0,369.0,42.0,0.0,2.0,25.0,3011.0,887.0,49.0,10517.0,0.0,1.0,15.0,1.0,8099.0,19.0,1264.0,16.0,0.0,0.0,263.0,204.0,5.0,0.0,1.0,0.0,0.0,34.0,0.0,139.0,19250.0,0.0,15447.0,0.0,77.0,10492.0,0.0,19897.0,18.0,305.0,2.0,45995.0,160.0,0.0,0.0,3.0,3153.0,706.0,1.0,2899.0,37.0,312.0,0.0,15459.0,1908.0,0.0,3.0,6.0,1104.0,0.0,219.0,1.0,0.0,2.0,36.0,922075.0,826.0,373.0,0.0,2803.0,702.0,1.0,1205.0,11.0,9.0,233.0,402.0,9599.0,10.0,0.0,11.0,1.0,720.0,22007.0,126.0,38.0,10954.0,5264.0,0.0,0.0,0.0,0.0,1.0,6122.0,384.0,0.0,181.0,0.0,250.0,38253.0,0.0,57.0,6.0,1.0,21.0,460.0,0.0,0.0,372.0,0.0,14515.0,3168.0,7177.0,36.0,0.0,379.0,69.0,0.0,9.0,52.0,1863.0,0.0,2.0,26980.0,7369.0,2352.0,0.0,142.0,12098.0,521.0,0.0,0.0,12105.0,0.0,0.0,3482.0,97.0,0.0,0.0,6.0,10589.0,58019.0,6458.0
2014,0.0,25.0,80580.0,0.0,0.0,23.0,0.0,1.0,6088.0,39.0,0.0,0.0,1.0,38206.0,5.0,151.0,170.0,4.0,3869.0,0.0,3579.0,706.0,264.0,0.0,41.0,57.0,0.0,533.0,294.0,0.0,6317.0,66028.0,1.0,3.0,71.0,0.0,1341.0,39127.0,5663.0,0.0,0.0,961.0,19183.0,6946.0,9924.0,107129.0,4960.0,0.0,7110.0,8.0,7.0,328.0,1045.0,0.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,4.0,252.0,891.0,549.0,89.0,22.0,0.0,338.0,3.0,12720.0,4.0,352.0,1.0,169.0,0.0,0.0,565.0,39.0,118.0,0.0,12364.0,0.0,20608.0,2.0,224.0,1467.0,21.0,173.0,0.0,1.0,1460.0,58.0,2.0,449.0,2.0,0.0,2518.0,26.0,44.0,46.0,19871.0,0.0,17381.0,0.0,6.0,1843.0,1202.0,44.0,10.0,449.0,33.0,0.0,0.0,30.0,6844.0,701.0,56.0,9775.0,0.0,3.0,14.0,7.0,8236.0,1.0,1976.0,16.0,0.0,0.0,247.0,195.0,9.0,0.0,8.0,0.0,0.0,36.0,0.0,284.0,15876.0,0.0,6681.0,0.0,44.0,9575.0,0.0,19686.0,10.0,421.0,0.0,48570.0,60.0,0.0,0.0,7.0,2698.0,1308.0,0.0,2692.0,76.0,266.0,0.0,16037.0,1796.0,0.0,3.0,12.0,1809.0,0.0,226.0,3.0,0.0,1.0,13.0,948416.0,957.0,450.0,0.0,2373.0,1030.0,0.0,1747.0,30.0,7.0,1071.0,85.0,5729.0,1.0,0.0,19.0,2.0,734.0,43965.0,31.0,41.0,9863.0,4764.0,0.0,0.0,0.0,0.0,2.0,7644.0,197.0,0.0,182.0,0.0,52.0,38716.0,0.0,125.0,10.0,0.0,34.0,537.0,0.0,0.0,139.0,0.0,12424.0,2423.0,7592.0,29.0,0.0,390.0,341.0,0.0,17.0,83.0,945.0,0.0,5.0,23852.0,5443.0,9479.0,0.0,82.0,13173.0,498.0,0.0,0.0,12790.0,0.0,0.0,4754.0,93.0,0.0,0.0,8.0,9833.0,53078.0,7015.0
2015,0.0,21.0,90023.0,0.0,0.0,81.0,0.0,7.0,8195.0,39.0,0.0,0.0,0.0,36940.0,2.0,515.0,373.0,1.0,3698.0,0.0,3219.0,438.0,316.0,0.0,35.0,144.0,0.0,606.0,481.0,0.0,7963.0,87580.0,0.0,11.0,39.0,0.0,1417.0,43772.0,5445.0,0.0,2.0,1391.0,15761.0,7412.0,10100.0,117472.0,5818.0,0.0,6069.0,25.0,7.0,333.0,1810.0,1.0,0.0,0.0,7.0,3.0,10.0,0.0,0.0,7.0,313.0,350.0,419.0,60.0,23.0,0.0,395.0,3.0,15229.0,4.0,170.0,5.0,144.0,0.0,0.0,633.0,56.0,138.0,0.0,13745.0,0.0,18940.0,0.0,124.0,1426.0,29.0,183.0,0.0,1.0,1943.0,106.0,4.0,700.0,2.0,0.0,2027.0,54.0,69.0,39.0,31128.0,0.0,15246.0,0.0,59.0,1682.0,1497.0,13.0,25.0,456.0,51.0,0.0,11.0,36.0,6617.0,1021.0,21.0,12149.0,0.0,1.0,22.0,5.0,8608.0,7.0,3649.0,19.0,1.0,0.0,108.0,79.0,6.0,0.0,5.0,0.0,0.0,26.0,0.0,161.0,15890.0,0.0,10089.0,0.0,84.0,8404.0,0.0,17256.0,98.0,689.0,0.0,49857.0,36.0,0.0,0.0,0.0,2818.0,920.0,0.0,2386.0,52.0,207.0,0.0,18252.0,1165.0,0.0,2.0,3.0,449.0,0.0,225.0,3.0,0.0,0.0,33.0,1016417.0,678.0,662.0,0.0,3234.0,1475.0,0.0,5544.0,47.0,6.0,339.0,244.0,5466.0,14.0,0.0,18.0,11.0,636.0,31190.0,95.0,36.0,9694.0,3374.0,0.0,0.0,0.0,0.0,8.0,7568.0,382.0,0.0,33.0,0.0,154.0,45308.0,0.0,198.0,6.0,0.0,20.0,259.0,0.0,0.0,373.0,0.0,12392.0,3304.0,7277.0,19.0,0.0,459.0,204.0,0.0,7.0,43.0,2903.0,0.0,9.0,27990.0,6938.0,8706.0,0.0,292.0,14748.0,333.0,0.0,0.0,10862.0,0.0,0.0,4332.0,117.0,0.0,0.0,3.0,7146.0,57506.0,7205.0
2016,0.0,52.0,90613.0,0.0,0.0,48.0,0.0,1.0,9006.0,69.0,0.0,0.0,1.0,31234.0,0.0,326.0,324.0,2.0,3583.0,0.0,3829.0,456.0,515.0,0.0,66.0,150.0,0.0,95.0,325.0,0.0,12747.0,66747.0,1.0,16.0,31.0,0.0,990.0,45886.0,3295.0,0.0,2.0,1069.0,10221.0,7471.0,11569.0,127065.0,5854.0,0.0,7526.0,5.0,0.0,358.0,978.0,0.0,0.0,0.0,4.0,1.0,12.0,1.0,0.0,1.0,130.0,562.0,1128.0,107.0,15.0,0.0,323.0,1.0,14663.0,7.0,129.0,13.0,117.0,0.0,2.0,718.0,37.0,144.0,0.0,11622.0,0.0,19397.0,0.0,258.0,1358.0,13.0,219.0,0.0,1.0,2119.0,136.0,4.0,507.0,1.0,0.0,2522.0,52.0,33.0,15.0,4295.0,0.0,22679.0,0.0,14.0,2097.0,1578.0,1.0,24.0,475.0,12.0,0.0,2.0,22.0,4091.0,719.0,46.0,11699.0,0.0,0.0,12.0,11.0,8781.0,16.0,2033.0,11.0,0.0,0.0,250.0,18.0,1.0,0.0,4.0,0.0,0.0,37.0,0.0,237.0,20348.0,0.0,12446.0,0.0,52.0,10803.0,0.0,16328.0,52.0,266.0,4.0,41989.0,95.0,0.0,0.0,4.0,2927.0,921.0,1.0,2032.0,81.0,353.0,0.0,19711.0,1727.0,0.0,0.0,2.0,2964.0,0.0,182.0,3.0,2.0,0.0,14.0,970983.0,1345.0,722.0,0.0,4255.0,1704.0,0.0,957.0,23.0,6.0,90.0,304.0,7970.0,15.0,0.0,22.0,8.0,854.0,24409.0,119.0,29.0,9516.0,5486.0,0.0,0.0,0.0,0.0,3.0,5514.0,153.0,0.0,99.0,0.0,100.0,43972.0,0.0,174.0,2.0,2.0,12.0,181.0,0.0,0.0,233.0,0.0,15581.0,2549.0,9487.0,27.0,0.0,631.0,27.0,0.0,25.0,33.0,2209.0,0.0,2.0,28467.0,8250.0,4933.0,0.0,94.0,14926.0,389.0,0.0,0.0,11840.0,0.0,0.0,4040.0,75.0,0.0,0.0,0.0,5281.0,57063.0,5405.0
2017,0.0,68.0,86474.0,0.0,0.0,263.0,0.0,2.0,9741.0,83.0,0.0,0.0,0.0,45867.0,4.0,303.0,159.0,0.0,3606.0,0.0,3843.0,428.0,558.0,0.0,94.0,269.0,0.0,158.0,328.0,0.0,10600.0,72135.0,0.0,0.0,46.0,0.0,2192.0,38244.0,5407.0,0.0,3.0,1191.0,13453.0,5842.0,11657.0,113901.0,4798.0,0.0,5026.0,11.0,0.0,224.0,1705.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0,1.0,4.0,95.0,669.0,445.0,105.0,9.0,0.0,636.0,0.0,12513.0,5.0,175.0,9.0,243.0,0.0,0.0,618.0,62.0,174.0,0.0,13955.0,0.0,19812.0,0.0,291.0,1042.0,7.0,141.0,0.0,5.0,1839.0,57.0,1.0,364.0,2.0,0.0,1469.0,164.0,46.0,34.0,3261.0,0.0,19618.0,0.0,30.0,1932.0,1127.0,0.0,12.0,1080.0,35.0,0.0,6.0,18.0,11144.0,507.0,50.0,6863.0,0.0,1.0,16.0,6.0,5981.0,11.0,1874.0,19.0,0.0,0.0,109.0,90.0,2.0,0.0,3.0,0.0,0.0,38.0,0.0,147.0,15363.0,0.0,15082.0,0.0,130.0,10654.0,0.0,13942.0,148.0,341.0,2.0,43018.0,66.0,0.0,0.0,4.0,2378.0,169.0,0.0,2575.0,152.0,327.0,0.0,19030.0,857.0,0.0,0.0,6.0,780.0,0.0,143.0,6.0,0.0,1.0,50.0,928097.0,1250.0,367.0,0.0,2304.0,590.0,0.0,1280.0,9.0,5.0,175.0,478.0,9140.0,1.0,0.0,13.0,19.0,827.0,26588.0,57.0,32.0,9624.0,5566.0,0.0,0.0,0.0,1.0,2.0,5384.0,358.0,0.0,37.0,0.0,288.0,40344.0,0.0,85.0,4.0,3.0,11.0,306.0,0.0,0.0,175.0,0.0,12647.0,2626.0,5290.0,17.0,0.0,495.0,180.0,0.0,12.0,70.0,1303.0,0.0,2.0,22292.0,6187.0,6584.0,0.0,85.0,15671.0,455.0,0.0,0.0,8784.0,1.0,0.0,1716.0,98.0,0.0,0.0,3.0,8028.0,51544.0,5790.0
2018,0.0,38.0,80657.0,0.0,0.0,38.0,0.0,1.0,9261.0,121.0,0.0,0.0,2.0,41031.0,3.0,329.0,101.0,2.0,1469.0,0.0,1392.0,526.0,667.0,0.0,34.0,45.0,0.0,179.0,232.0,0.0,11227.0,56158.0,1.0,1.0,19.0,0.0,1427.0,31372.0,3951.0,0.0,4.0,1070.0,6719.0,3596.0,6918.0,108370.0,5662.0,0.0,3780.0,16.0,1.0,198.0,623.0,0.0,0.0,0.0,8.0,4.0,42.0,2.0,0.0,7.0,176.0,162.0,727.0,54.0,17.0,1.0,204.0,6.0,8166.0,17.0,176.0,2.0,64.0,0.0,0.0,666.0,83.0,100.0,0.0,7706.0,0.0,12690.0,1.0,177.0,906.0,8.0,121.0,0.0,0.0,1124.0,124.0,1.0,528.0,3.0,0.0,2260.0,47.0,39.0,50.0,9878.0,0.0,19931.0,0.0,19.0,1755.0,1332.0,4.0,15.0,269.0,34.0,0.0,3.0,36.0,5675.0,468.0,79.0,4819.0,0.0,2.0,9.0,3.0,5232.0,3.0,1140.0,26.0,0.0,0.0,184.0,40.0,5.0,0.0,15.0,0.0,0.0,51.0,0.0,123.0,20776.0,0.0,10167.0,0.0,94.0,5398.0,0.0,10492.0,20.0,74.0,2.0,50286.0,36.0,0.0,0.0,3.0,3103.0,443.0,0.0,1809.0,39.0,259.0,0.0,14325.0,1422.0,0.0,3.0,10.0,1077.0,0.0,141.0,3.0,1.0,1.0,25.0,811680.0,1403.0,235.0,0.0,3034.0,669.0,1.0,2540.0,28.0,6.0,141.0,85.0,6052.0,0.0,0.0,10.0,7.0,1014.0,27149.0,42.0,28.0,6097.0,2974.0,0.0,0.0,0.0,0.0,4.0,4298.0,188.0,0.0,28.0,0.0,1199.0,27084.0,0.0,205.0,5.0,0.0,65.0,260.0,0.0,0.0,187.0,2.0,8176.0,1467.0,2711.0,8.0,0.0,419.0,444.0,0.0,7.0,20.0,1260.0,0.0,5.0,23772.0,4281.0,3980.0,0.0,127.0,12952.0,410.0,0.0,0.0,10103.0,2.0,1.0,1747.0,86.0,0.0,0.0,6.0,7566.0,54792.0,7429.0
2019,0.0,21.0,89843.0,0.0,0.0,113.0,0.0,1.0,8750.0,80.0,0.0,0.0,0.0,32681.0,7.0,452.0,157.0,4.0,2845.0,0.0,2959.0,561.0,743.0,0.0,44.0,172.0,0.0,371.0,570.0,0.0,12364.0,65199.0,0.0,5.0,16.0,0.0,1017.0,34416.0,2743.0,0.0,1.0,983.0,9658.0,4783.0,10255.0,111421.0,5092.0,0.0,6445.0,17.0,0.0,319.0,1079.0,0.0,0.0,0.0,4.0,1.0,27.0,1.0,1.0,0.0,209.0,497.0,554.0,45.0,37.0,0.0,433.0,1.0,11197.0,4.0,55.0,1.0,327.0,0.0,0.0,690.0,104.0,156.0,0.0,11241.0,0.0,19059.0,0.0,201.0,1341.0,14.0,109.0,0.0,3.0,2025.0,62.0,8.0,526.0,1.0,0.0,3244.0,92.0,68.0,44.0,13629.0,0.0,17470.0,0.0,16.0,1888.0,2686.0,3.0,29.0,485.0,32.0,0.0,4.0,34.0,8283.0,810.0,64.0,10056.0,0.0,3.0,19.0,11.0,10419.0,12.0,2558.0,23.0,0.0,0.0,178.0,186.0,7.0,0.0,10.0,0.0,0.0,42.0,0.0,66.0,14781.0,0.0,15229.0,0.0,154.0,8775.0,0.0,18015.0,66.0,132.0,4.0,48421.0,84.0,0.0,1.0,3.0,2575.0,647.0,0.0,1003.0,140.0,399.0,0.0,16345.0,1830.0,0.0,2.0,13.0,1339.0,0.0,226.0,3.0,1.0,0.0,77.0,916079.0,868.0,865.0,0.0,3744.0,1480.0,0.0,1499.0,38.0,10.0,229.0,163.0,7979.0,11.0,0.0,19.0,11.0,1032.0,29672.0,69.0,30.0,9719.0,4767.0,0.0,0.0,0.0,0.0,14.0,5794.0,241.0,0.0,62.0,0.0,567.0,29057.0,2.0,138.0,2.0,1.0,16.0,610.0,0.0,0.0,1223.0,0.0,11508.0,2018.0,10014.0,14.0,0.0,717.0,271.0,0.0,12.0,51.0,1175.0,0.0,8.0,22067.0,3638.0,4690.0,0.0,124.0,14282.0,371.0,0.0,0.0,15924.0,0.0,0.0,2983.0,34.0,0.0,0.0,4.0,8498.0,53157.0,6730.0
2020,0.0,73.0,78627.0,0.0,0.0,105.0,0.0,3.0,21882.0,17.0,0.0,0.0,0.0,26634.0,0.0,208.0,192.0,1.0,2933.0,0.0,3257.0,600.0,167.0,0.0,57.0,294.0,0.0,273.0,396.0,0.0,13152.0,68723.0,0.0,7.0,24.0,0.0,1472.0,41577.0,2339.0,0.0,1.0,1025.0,9284.0,5885.0,13604.0,118130.0,5602.0,0.0,9005.0,4.0,0.0,314.0,2511.0,0.0,0.0,0.0,3.0,14.0,18.0,1.0,1.0,0.0,207.0,772.0,1095.0,66.0,107.0,1.0,310.0,0.0,13358.0,8.0,90.0,1.0,129.0,0.0,0.0,745.0,51.0,135.0,0.0,14693.0,0.0,19107.0,0.0,302.0,1419.0,17.0,109.0,0.0,4.0,1857.0,70.0,2.0,567.0,2.0,0.0,3953.0,44.0,97.0,46.0,3045.0,0.0,15271.0,0.0,16.0,1856.0,2066.0,6.0,23.0,441.0,41.0,0.0,10.0,37.0,6322.0,988.0,47.0,11572.0,0.0,1.0,25.0,4.0,10053.0,21.0,1737.0,29.0,1.0,0.0,150.0,66.0,4.0,0.0,3.0,0.0,0.0,38.0,0.0,62.0,17746.0,0.0,11937.0,0.0,40.0,10602.0,1.0,20840.0,127.0,51.0,1.0,43592.0,98.0,1.0,0.0,3.0,2578.0,250.0,0.0,2539.0,38.0,434.0,0.0,18950.0,1983.0,0.0,2.0,3.0,484.0,0.0,173.0,7.0,0.0,2.0,48.0,955956.0,864.0,586.0,0.0,4483.0,1268.0,1.0,876.0,32.0,0.0,90.0,122.0,11636.0,16.0,0.0,3.0,6.0,748.0,31540.0,60.0,27.0,12028.0,5675.0,0.0,0.0,0.0,0.0,12.0,5675.0,245.0,0.0,54.0,0.0,141.0,44197.0,3.0,147.0,5.0,0.0,56.0,284.0,0.0,0.0,755.0,1.0,13953.0,2516.0,9751.0,22.0,0.0,638.0,140.0,0.0,32.0,76.0,1449.0,0.0,7.0,24618.0,5527.0,4245.0,0.0,290.0,13976.0,397.0,0.0,1.0,20523.0,1.0,0.0,3086.0,32.0,0.0,0.0,2.0,8573.0,46782.0,3439.0
2021,0.0,63.0,74686.0,0.0,0.0,98.0,0.0,0.0,10297.0,19.0,0.0,0.0,1.0,36099.0,4.0,213.0,124.0,3.0,2598.0,0.0,3799.0,625.0,136.0,0.0,55.0,143.0,0.0,97.0,303.0,0.0,11976.0,59470.0,0.0,7.0,38.0,0.0,4288.0,37691.0,5124.0,0.0,1.0,966.0,8486.0,4438.0,12705.0,113556.0,4719.0,0.0,5287.0,9.0,0.0,106.0,1664.0,0.0,0.0,0.0,9.0,4.0,7.0,1.0,1.0,4.0,212.0,308.0,555.0,98.0,87.0,0.0,280.0,0.0,14306.0,8.0,120.0,6.0,138.0,0.0,0.0,549.0,26.0,107.0,0.0,10342.0,0.0,16433.0,0.0,312.0,1057.0,15.0,96.0,0.0,0.0,1140.0,30.0,2.0,178.0,2.0,0.0,1355.0,41.0,61.0,42.0,2221.0,0.0,28743.0,0.0,14.0,2054.0,1659.0,32.0,38.0,736.0,17.0,0.0,4.0,25.0,5405.0,922.0,38.0,8862.0,0.0,0.0,8.0,3.0,7733.0,25.0,1285.0,13.0,0.0,0.0,70.0,101.0,4.0,0.0,2.0,0.0,0.0,42.0,0.0,91.0,15720.0,0.0,11881.0,0.0,74.0,11353.0,0.0,17278.0,64.0,71.0,2.0,46866.0,159.0,0.0,2.0,1.0,2479.0,172.0,0.0,2872.0,86.0,620.0,0.0,19713.0,851.0,0.0,1.0,4.0,3170.0,0.0,170.0,18.0,0.0,2.0,36.0,892620.0,1565.0,280.0,0.0,2990.0,584.0,0.0,1114.0,12.0,3.0,25.0,134.0,7983.0,19.0,0.0,0.0,8.0,577.0,23993.0,48.0,46.0,12667.0,6052.0,0.0,0.0,0.0,0.0,10.0,4240.0,88.0,0.0,84.0,0.0,155.0,44284.0,0.0,58.0,0.0,0.0,11.0,398.0,0.0,0.0,216.0,0.0,15412.0,1852.0,4321.0,19.0,0.0,469.0,49.0,0.0,1.0,66.0,1038.0,0.0,10.0,24341.0,5834.0,1631.0,0.0,129.0,14770.0,466.0,0.0,8.0,8367.0,0.0,0.0,2097.0,34.0,0.0,0.0,9.0,10588.0,46016.0,5811.0
