Date,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LKA,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MOZ,MUS,MWI,MYS,NAM,NER,NGA,NLD,NOR,NZL,OMN,PAK,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SRB,SVK,SVN,SWE,SYR,TCD,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
1870,,,,,,2792.0,,,3483.0,,,,,,,,,,2845.0,3195.0,,,,,,,,,,,3284.0,3434.0,,,,,2968.0,,,,3168.0,,2755.0,,,,,,,,,,3108.0,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3274.0,,,,,,,,,,,,,,,,,,,,,3436.0,,,,,,,,,,,,,,3096.0,,,,,,,
1880,,,,,,2647.0,,,3344.0,,,,,,,,,,2934.0,3083.0,,,,,,,,,,,3223.0,3172.0,,,,,2876.0,,,,3165.0,,2740.0,,,,,,,,,,3017.0,,,,,3008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194.0,,,,,,,,,,,,,,,,,,,,,3187.0,,,,,,,,,,,,,,3044.0,,,,,,,
1890,,,,,,2501.0,,,3177.0,,,,,,,,,,3017.0,2925.0,,,,,,,,,,,3108.0,2933.0,,,,,2787.0,,,,3119.0,,2669.0,,,,,,,,,,2869.0,,,,,3006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105.0,,,,,,,,,,,,,,,,,,,,,2937.0,,,,,,,,,,,,,,2983.0,,,,,,,
1900,,,,,,2385.0,,,3064.0,,,,,,,,,,3102.0,2834.0,,,,,,,,,,,3056.0,2742.0,,,,,2710.0,,,,3115.0,,2656.0,,,,,,,,,,2795.0,,,,,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3037.0,,,,,,,,,,,,,,,,,,,,,2745.0,,,,,,,,,,,,,,2938.0,,,,,,,
1913,,,,,,2214.0,,,2841.0,,,,,,,,,,2868.0,2704.0,,,,,,,,,,,2723.0,2731.0,,,,,2601.0,,,,2933.0,,2656.0,,,,,,,,,,2690.0,,,,,2953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942.0,,,,,,,,,,,,,,,,,,,,,2745.0,,,,,,,,,,,,,,2900.0,,,,,,,
1929,,,,,,2186.0,,,2229.0,,,,,,,,,,2354.0,2281.0,,,,,,,,,,,2128.0,2301.0,,,,,2342.0,,,,2198.0,,2257.0,,,,,,,,,,2182.0,,,,,2153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233.0,,,,,,,,,,,,,,,,,,,,,2152.0,,,,,,,,,,,,,,2316.0,,,,,,,
1938,,,,,,2109.0,,,2196.0,,,,,,,,,,2212.0,2085.0,,,,,,,,,,,2187.0,2203.0,,,,,2030.0,,,,1760.0,,2200.0,,,,,,,,,,2171.0,,,,,2162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281.0,,,,,,,,,,,,,,,,,,,,,2131.0,,,,,,,,,,,,,,1756.0,,,,,,,
1950,,,,,,2029.52,1948.43,,2124.19,,,,,,,,2363.55,,2240.9,2042.67,,,,,,,2786.89,,,,2427.4,2049.51,,,,,2205.05,,,1991.22,2350.96,,2022.62,,,,,,,,,,2445.34,,,,,2072.71,,,2076.03,,,,,,,,,,,,,,,1817.09,,,,,,,,,,,,1972.29,2115.3,,,,2508.68,,,1795.04,,,,,,,,,,,,,1799.86,,,,,,,,,,,,,,2021.98,,2179.0,,,,,
1951,,,,,,2010.76,1945.95,,2113.82,,,,,,,,2373.99,,2225.64,2035.01,2600.42,,,,,,2774.03,,,,2401.56,2035.06,,,,,2200.88,,,1991.8,2360.52,,2030.69,,,2329.28,,,,,,,2433.38,,,,,2079.05,,,2058.21,,,,,,,,,,,,,,,1816.75,,,,,,,,,,,,1982.78,2104.59,,,,2496.58,,,1783.63,,,,,,,,,,,,,1791.83,,,,,,,,,2298.79,,,,,2063.8,,2162.98,,,,,
1952,,,,,,1992.16,1943.48,,2103.51,,,,,,,,2384.48,,2213.22,2027.39,2586.47,2129.04,,,,,2761.23,,,,2376.01,2020.71,,,,,2196.82,,,1992.39,2338.83,,2001.24,,,2319.65,,,,,,,2421.47,,,,,2085.42,,,2040.55,,,,,,,,,,,,,,,1816.41,,,,,,,,,,,,1989.13,2093.93,,,,2484.54,,,1772.3,,,,,,,,,,,,,1791.83,,,,,,,,,2295.94,,,,,2060.12,,2147.08,,,,,
