Date,ATA
1979,18.196
1980,18.817
1981,18.597
1982,18.353
1983,18.585
1984,18.171
1985,18.703
1986,17.683
1987,18.246
1988,18.307
1989,18.121
1990,18.193
1991,18.313
1992,18.147
1993,18.543
1994,18.613
1995,18.373
1996,18.632
1997,18.596
1998,18.903
1999,18.696
2000,18.888
2001,18.175
2002,17.887
2003,18.298
2004,18.919
2005,18.805
2006,19.094
2007,18.861
2008,18.145
2009,18.96
2010,18.799
2011,18.739
2012,19.208
2013,19.389
2014,19.756
2015,18.444
2016,18.15
2017,17.906
2018,17.961
2019,18.335
2020,18.838
2021,18.509
2022,18.062
2023,16.891
2024,17.154
2025,17.636
