Date,ARC
1979,7.051
1980,7.667
1981,7.138
1982,7.302
1983,7.395
1984,6.805
1985,6.698
1986,7.411
1987,7.279
1988,7.369
1989,7.008
1990,6.143
1991,6.473
1992,7.474
1993,6.397
1994,7.138
1995,6.08
1996,7.583
1997,6.686
1998,6.536
1999,6.117
2000,6.246
2001,6.732
2002,5.827
2003,6.116
2004,5.984
2005,5.504
2006,5.862
2007,4.267
2008,4.687
2009,5.262
2010,4.865
2011,4.561
2012,3.566
2013,5.208
2014,5.22
2015,4.616
2016,4.528
2017,4.822
2018,4.785
2019,4.364
2020,4.001
2021,4.952
2022,4.897
2023,4.381
2024,4.351
2025,4.747
