Date,AFG,AGO,ALB,ARG,ARM,ATG,AUT,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLZ,BOL,BRA,BRN,BTN,BWA,CAN,CHE,CHL,CIV,COD,COG,COL,COM,CRI,CUW,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GHA,GIN,GMB,GRC,GTM,GUY,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,KEN,KHM,KIR,KOR,LAO,LBN,LBR,LKA,LSO,LTU,LUX,LVA,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,PAK,PAN,PER,PHL,PRT,PRY,ROU,RUS,RWA,SDN,SEN,SLV,SRB,SVK,SVN,SWE,SWZ,THA,TJK,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VNM,VUT,WSM,ZAF,ZMB
1990,,,,,,,,,,,,,,,,,,,,,,,,1.595,,,,,,2.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.674,,,,,,,,,,,,,,,,,,,,,,1.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,2.249,,,,,,,1.659,,,,,,2.695,,,,,,,,,,,,,,,,,,,,,,1.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,2.322,,,,,,,,,,,,,3.274,,,,,,,,,,,,,,,,,,,,,,1.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,2.144,,,,,,3.467,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.323,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.447,,,,,,,,,,,,,,,10.427,,,,,,,2.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.088,,,,3.864,,,,,,,,,,,,,,,,,,,,,3.405,14.934,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,2.803,,,,,,3.486,,,,,,,,,,,,,,,11.027,,,,,,,2.018,,2.036,,,,,,,,,,,,,,,,,,,,,,,,2.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.759,15.108,,,,,,
1997,,,,,,,,,,,,,,,,,3.04,,,,,12.661,,,,,,,,3.659,,,,,,,,,,,,,,,11.8,,,,,,,2.174,,2.251,,,,,,,,,,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.881,2.776,,,4.186,,,,,,,,,,,,,,,,,,,,,3.918,15.3,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,12.951,,2.846,,,,,,3.91,,,,,,3.375,,,,,,,,,,,,,,,,2.525,,1.785,,,,,,,,,,,,,,,,,,,,,,,,2.884,,,,,,,,,,,,,,,,,,,5.16,2.789,,,3.731,,,,,,,,,,,,,,,,,,,,,,16.731,,,,,,
1999,,,,,,,,,,,,,,,,,5.416,,,,,13.22,24.626,,,,,,,4.034,,,,,,3.51,,,,,,,,,,,,,,,,2.258,,1.821,,,,,,,,,,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.836,2.784,,,3.784,,,,,,,,,,,,,,,,,,,,,,16.834,,,,,,
