Date,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ERI,ESP,EST,ETH,FIN,GBR,GEO,GHA,GIN,GLP,GMB,GRC,GRD,GTM,GUF,GUM,HND,HRV,HTI,HUN,IDN,IRN,ISL,ISR,ITA,JAM,JPN,KAZ,KEN,KIR,KWT,LBN,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MLI,MLT,MMR,MNE,MOZ,MTQ,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TKM,TON,TUN,TUR,TZA,UGA,URY,UZB,VEN,VGB,VIR,VNM,VUT,ZAF,ZMB,ZWE
1995,,,,,,6.0,10.4,4.21,,1.52,,,,3.4,,4.72,,,5.0,,2.8,6.9,3.0,,,,5.43,2.6,2.2,2.48,3.4,,5.0,,2.65,7.0,,,3.2,6.33,4.7,,3.1,2.39,,,,,,4.26,1.81,4.4,1.84,,,,,6.06,,4.51,7.4,4.0,,3.0,,5.29,9.6,3.18,2.53,2.6,,3.2,4.29,7.1,,,12.5,19.0,3.3,,9.0,,,,2.38,3.32,4.1,1.3,7.5,2.69,,5.12,8.4,2.39,,3.0,,,10.0,,1.6,,5.3,3.0,,2.8,,3.0,1.61,,,,1.18,2.38,1.43,2.7,,,2.67,2.8,3.5,3.0,,9.63,,6.4,3.4,,,,3.8,3.0681338,,7.0,2.2,1.6,,,,3.4,3.32,,1.0,,,2.25,2.0,2.3,,,,6.6,2.92,7.2,,8.2,,,8.9,4.8,2.6,7.5,,,
1996,,,,,,6.5,2.1,4.08,,1.24,,,,3.9,,,,,,,2.3,7.2,2.6,,,,5.59,2.6,2.2,2.43,,,,3.0,2.65,,,,3.1,6.28,4.5,,2.9,2.17,,,,,,4.09,1.74,5.3,1.86,,,,,5.96,,4.43,7.54,,,,,5.22,,2.82,2.73,2.5,,3.2,,7.1,,,14.2,21.0,,,8.7,,,,2.32,3.27,3.7,1.32,7.0,2.84,,4.0,9.0,2.0,,4.0,,,8.0,,,,4.6,5.0,,2.8,,3.48,1.67,,,,1.1,2.42,1.4,2.88,,,2.53,2.6,3.6,3.0,3.2,9.07,,6.3,3.3,,,,3.8,2.83719,,,2.3,1.3,,,,3.7,3.26,,1.1,,,2.23,2.0,2.3,,,,6.5,3.01,7.3,,,,,9.1,4.4,2.4,7.5,,,
1997,,,,,,6.5,2.0,4.0,,1.12,,,,4.1,,,2.6,,,5.17,2.3,6.6,2.14,,,,5.5,2.6,2.3,2.44,3.4,,,3.7,2.64,,,,3.1,5.89,4.8501844,,2.9,2.15,,,,,,4.02,1.6,2.36,1.88,,,,,5.74,13.31,4.43,7.4,,,,,5.51,,2.87,2.8,2.4,1.66,3.3,,7.1,,,11.8,21.0,,,8.8,,,,2.18,3.19,3.3,1.34,7.1,3.02,,4.0,8.9,1.97,9.4,4.0,,,9.4,7.0,,1.8,4.7,5.0,,3.0,,3.27,1.71,,2.0,,1.01,2.29,1.41,2.64,,10.2,3.57,2.7,3.4,2.5,2.9,9.45,,6.7,3.4,,,,4.0,2.8173923,,,2.5,2.1,,,,2.9,3.31,,1.1,,,3.56,2.0,2.3,2.06,,,6.4,2.99,7.5,,,2.4,10.0,7.9,4.2,2.2,7.4,,,
1998,,,,,,6.5,2.2,3.87,,1.96,,,,3.8,,,2.4,2.63,,5.26,2.3,6.6,1.84,,9.4,,5.22,2.6,2.2,2.64,,,,2.7,,,,,3.3,,5.0,,2.8,2.12,,,10.0,,,3.87,1.6,4.55,2.0,,,,,6.06,13.0,4.01,7.36,,,,,5.44,,2.86,2.62,3.0,1.86,3.4,,7.0,,,9.6,18.0,,,9.2,,,,2.35,2.2,3.1,1.43,7.3,2.98,,4.0,8.8,1.96,9.1,4.0,,,8.8,8.0,,1.9,4.5,5.0,,3.2,,1.9,1.69,,2.0,,1.21,2.24,1.42,2.65,,,3.79,2.7,3.6,2.5,2.8,9.2,,7.2,3.5,,,,4.1,2.8698356,,,3.0,1.5,,,,3.1,3.295,,1.0,5.0,,2.45,3.0,2.1,2.19,,,6.2,3.01,7.6,,7.1,2.2,10.0,9.3,4.4,2.2,,,,
1999,,,2.77,,,6.5,2.2,3.83,,,,2.05,,3.8,,,2.4,2.68,7.1,,2.2,6.9,2.93,,9.8,,,2.6,2.0,2.53,,,7.0,4.1,,,3.8,,3.0,8.6,4.7,,2.9,2.13,,,9.69,,,3.93,1.53,,1.9,,,,,5.8,12.76,4.27,7.32,,,,,5.29,,2.87,2.36,2.17,1.85,2.6461756,,6.9,,,9.4,7.0,,,9.1,2.06,,,2.4,2.1,3.1,1.43,7.4,2.92,,4.0,8.7,3.0,9.1,4.0,,,8.5,9.0,1.5,1.8,4.4,5.0,,3.3,,1.9,1.68,,2.0,,1.17,2.31,1.41,2.85,,8.2,3.74,3.0,3.3,3.0,2.8,9.2,,7.1,3.5,,,,4.1,2.7175746,,3.0,4.0,1.5,,,,3.1,3.27,,1.0,,,2.0,3.0,2.2,2.16,,,6.4,2.94,7.7,,,2.1,7.0,9.4,4.4,2.4,6.3,,,
2000,,,2.93,,,6.5,2.3,3.73,,,,1.79,,3.9,,4.37,2.3,2.77,7.6,,2.2,7.6,1.88,7.0,9.8,3.27,,2.5,2.1,2.52,,,4.0,3.7,,7.0,4.4,,,8.24,4.6,6.91,2.73,2.32,,,10.0,3.02,,3.83,1.53,2.06,1.9,,,,,5.2,12.9,4.47,7.2,,,,,5.49,,2.86,2.25,2.18,1.86,3.06,4.23,6.6,,,8.7,7.0,,,9.6,2.12,,,2.24,2.1,2.9,1.33,6.9,2.87,,4.0,8.43,2.0,8.3,4.0,,,9.2,7.2,,1.7,4.4,5.0,,3.3,,1.9,1.67,,2.0,,1.18,2.51,1.37,2.73,7.0,10.2,3.36,2.5,3.6,2.34,3.0,10.56,,6.7,3.2,,,,3.6,2.71,,5.0,4.0,1.4,,,,3.1,3.31,,0.8,,,1.6,3.62,2.1,2.18,5.0,,6.2,2.87,8.0,,4.43,3.0,7.0,9.13,4.5,2.4,7.0,,,
2001,,,2.85,,,6.5,2.3,3.71,,,,,,4.3,,4.41,,2.76,7.6,6.0,2.11,7.3,,,10.3,4.77,,2.6,2.1,2.54,,,7.0,3.5,,7.0,4.6,,,8.39,4.5,7.17,2.62,2.33,,,9.82,3.39,,3.82,1.59,2.4,1.88,,,,3.0,5.3,12.9,4.4,7.23,,,,,5.5,,2.85,,1.15,1.85,3.6,4.28,6.6,,,8.4,7.0,,,10.6,2.13,,,2.19,2.1,2.8,1.35,6.5,2.96,,4.0,8.53,2.0,9.0,4.0,,2.0,8.7,8.1,,1.9,4.1,5.0,,2.6,,1.9,1.67,,2.0,,1.31,2.25,1.37,2.73,7.0,9.1,3.24,2.7,3.6,2.33,3.1,10.46,,6.7,3.7,,,,3.8,2.7,,5.0,4.0,1.53,,,,3.0,3.28,,1.0,,,1.88,3.9,2.1,2.25,7.0,,6.3,3.06,8.0,,4.26,3.1,7.0,12.0,4.5,2.5,7.5,,,
2002,4.0,,2.87,2.0,,7.0,2.3,3.72,3.0,,,,,4.2,,4.43,,2.78,7.6,6.5,2.04,7.2,,8.0,8.2,4.11,,2.4,2.1,2.54,,,8.0,,,7.0,4.23,,,8.38,4.8,6.68,2.69,2.31,,,9.65,4.02,,3.72,1.99,,1.9,,,,3.0,,12.9,4.41,7.32,,,,,5.06,,2.81,2.07,2.16,1.8,3.79,4.21,6.4,,,8.5,,,,9.99,2.18,,,2.1,2.0,2.5,1.28,5.7,2.91,,2.0,8.4,2.0,8.8,4.0,,2.3,10.0,7.6,,1.9,4.0,5.0,,2.6,7.0,1.9,1.69,,2.0,1.01,1.27,2.08,1.37,2.63,7.0,,3.12,2.7,3.5,2.5,3.3,10.74,,7.0,3.6,,,,3.7,2.62,,5.0,4.0,1.51,2.77,,,3.2,3.24,,0.83,,,,,2.0,,7.0,,6.1,3.29,11.0,,4.4,3.1,,9.0,4.4,,7.5,10.1,,3.0
2003,4.0,,2.68,2.0,,10.0,2.3,3.66,3.0,,,,,4.21,,4.47,,2.71,6.8,6.2,2.11,6.8,,8.0,6.0,5.61,,2.5,2.2,2.66,,,7.0,,,7.0,4.72,,,8.56,4.7,6.48,2.67,2.29,,,9.32,,,3.65,2.04,3.0,1.89,,,,,3.5,12.9,4.37,7.65,,,,,5.25,,2.79,1.99,2.04,1.8,2.53,3.4,6.4,,,8.4,,,,10.0,2.1,,,1.99,2.0,2.48,1.26,5.5,2.87,,4.0,8.35,2.0,9.0,4.0,,2.1,9.0,8.1,,1.9,4.4,7.0,,2.2,7.0,1.9,1.66,,2.0,1.17,1.23,2.13,1.3,2.63,7.0,,3.1,2.6,3.3,2.5,3.2,10.84,,6.9,3.5,,2.7,,4.1,2.7,,5.0,5.0,1.57,2.82,,,3.2,3.23,,1.0,,,,3.0,2.1,,8.0,,6.2,3.28,11.0,,4.6,3.1,,10.0,4.4,,9.5,9.6,,3.0
2004,,,2.62,3.0,,10.0,2.3,3.58,4.0,,,,,4.23,,4.88,,2.77,6.8,6.4,2.02,6.8,,8.0,9.6,3.01,,,2.1,2.6,,,,,,7.0,4.56,,,8.59,4.9,6.74,2.7,2.25,,,8.97,,,3.51,1.95,,1.83,,3.0,,,3.9,,4.34,7.53,,,,,5.08,,2.71,2.0,,1.8,2.59,3.31,6.5,,,14.0,,,,9.3,2.1,,,2.13,2.0,2.32,1.22,5.4,2.78,2.4,4.0,8.29,2.8,9.5,4.0,,2.19,9.0,8.0,,,4.5,7.0,,2.1,7.0,1.8,1.66,,2.0,1.11,1.28,2.2,1.31,2.73,6.0,,2.96,2.6,3.1,2.5,2.5,10.44,,6.8,3.25,5.0,2.27,8.0,3.5,,23.0,5.0,5.0,1.63,2.8,,,2.9,3.12,,,,,,3.0,2.1,,8.0,,6.3,3.29,11.0,,4.78,3.7,,11.0,4.3,7.7,9.1,9.0,,4.0
