Date,AGO,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CMR,COD,COG,COL,COM,CRI,CUW,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LBN,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MCO,MDA,MDG,MDV,MEX,MKD,MLT,MNE,MOZ,MUS,MWI,MYS,NAM,NGA,NIC,NLD,NOR,NPL,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SGP,SLB,SLV,SMR,SVK,SVN,SWE,SWZ,SYC,TCD,THA,TJK,TON,TTO,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VNM,VUT,WSM,ZAF,ZMB
2000,,,,,,,,,,,,,20.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,14.53,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,6.89,,,,,24.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,14.93,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,5.85,,,,,19.55,,,,,,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,11.79,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,11.14,,,,,6.45,,,,,18.29,,,,,,,,,,,,,,,,,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,10.74,,,,,,,,,,,,7.42,,,,,,,,,,,,,,,,,10.65,,,,,6.48,,,,,17.57,,,,,,,,,,,,,,,,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,9.25,21.55,,4.94,,,,7.86,,,9.73,,,,10.02,,,,,,4.51,6.93,7.1,,,,,8.59,,,,,19.53,4.07,,,,,,10.61,,,,,6.96,,,,4.22,14.25,,,12.55,,4.4,,,,,,,7.78,5.23,4.31,,,5.63,4.61,,,,,,,,17.92,,,,,,,,,,,,7.97,,7.67,15.38,7.57,,,,,7.29,,,,,,,,,12.79,,,,,6.18,,,,,,,,,,,5.82,,,,,,,,,,12.31,,9.43,9.53,,,,,,,,,
2006,,,8.81,22.92,,4.75,3.79,,,3.04,,,9.74,,,,10.24,,,,,,4.58,6.49,6.79,,,,,8.73,,,,,,4.33,,,,,,10.51,,,,,7.13,,,,,16.96,,,12.43,,,,,,9.34,16.32,,7.64,,4.77,,,5.89,4.6,,,,10.69,,,,,,,,,,,,,,,,7.66,,8.75,12.85,6.98,9.28,,,,6.97,,,,,,,,,12.13,,,,,6.51,,,,,,,,,,,,,,,6.63,,7.5,,,12.16,11.72,,9.96,9.26,,,,,,,,,
2007,,,8.86,22.48,,4.5,3.81,,,4.3,,,8.82,,,,10.25,,,,,,4.22,6.05,6.91,,,,,9.39,,,,,,4.27,,,,,,11.79,,,,6.08,7.32,,,,,15.72,,,10.88,,,,,,9.53,19.52,,7.83,,4.88,,,6.25,4.59,,,,11.79,,,,,10.94,,,,,,,,,,,8.15,,9.21,11.42,6.58,7.0,,,,7.05,,15.66,,,,,,,12.0,,,,,4.61,,,,,,,,,,,,,,,6.69,,8.13,,,13.25,12.83,,9.38,8.75,,,,,,,,,15.22
2008,,,8.58,20.41,,4.2,3.61,,,3.88,,8.56,9.2,,,,10.55,,,,,,4.05,6.82,7.25,,,,,9.04,,7.21,,4.26,5.45,4.49,,,,9.68,,12.61,,7.14,,5.05,9.73,2.96,,,3.28,16.18,9.99,,11.73,,3.48,,,,10.64,19.8,7.63,7.58,6.33,4.35,,,6.11,4.09,,,12.31,10.21,,,,6.35,9.91,,,,,34.6,4.34,10.2,,,,7.57,,9.27,11.7,6.3,8.77,,,,8.03,,17.95,6.77,3.55,,,,,11.6,,,11.66,7.54,4.44,,7.98,,9.71,14.5,,7.87,,8.83,,5.87,8.52,,,5.92,,8.02,,,10.57,12.09,,11.78,10.6,7.81,,,,8.5,,,5.45,17.48
2009,,12.71,8.55,20.99,,4.7,4.58,,,4.53,,10.84,9.7,,,,11.95,,,8.18,,,4.76,8.51,7.85,,,,,9.8,,8.29,,4.63,6.05,4.81,,,,9.18,7.71,12.59,,8.66,,4.76,10.46,3.66,,,4.22,15.58,11.88,,10.5,,4.41,,6.91,,10.83,20.49,8.16,7.87,,6.69,,,6.48,4.82,,,4.94,10.36,,,,7.24,10.21,,,,4.75,28.82,5.54,11.47,,,15.85,7.79,,9.89,11.03,6.72,9.59,,5.73,,9.2,,4.08,7.09,4.42,,,,,10.84,,8.01,9.48,8.08,5.09,,9.66,,11.77,14.77,11.53,9.1,,9.55,10.49,7.15,8.1,,10.69,9.71,,8.41,,,10.16,12.49,,11.95,12.16,8.28,8.57,,,7.75,,,6.23,3.5
