Date,ABW,AGO,AIA,ASM,ATG,AUS,BEN,BGD,BHR,BHS,BLZ,BMU,BRA,BRB,BRN,CHN,CIV,CMR,COD,COG,COK,COL,COM,CRI,CUB,CUW,CYM,DJI,DMA,DOM,ECU,EGY,ERI,FJI,GAB,GHA,GIN,GLP,GMB,GNB,GNQ,GRD,GTM,GUF,GUM,GUY,HND,HTI,IDN,IND,IRN,JAM,JPN,KEN,KHM,KIR,KNA,LBR,LCA,LKA,MAF,MDG,MEX,MHL,MMR,MOZ,MRT,MTQ,MUS,MYS,MYT,NCL,NGA,NIC,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,PRI,PYF,QAT,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SXM,SYC,TCA,TGO,THA,TLS,TON,TTO,TUV,TZA,USA,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF
2007,-12.46,-1.17,-21.97,-0.42,-6.32,-1.89,-17.9,0.95,26.99,-4.81,-2.2,0.0,-0.74,4.37,0.13,-8.14,0.09,0.37,0.03,0.05,0.0,-2.89,0.94,0.89,-3.9,0.0,-2.52,-16.61,-3.53,-0.12,-2.96,-25.91,-11.9,-0.07,-0.13,-15.12,-0.08,0.21,1.1,0.25,0.13,0.29,-1.78,-1.32,0.0,-1.32,1.39,-4.85,-3.06,-1.21,-13.71,3.11,-0.57,-1.11,-2.58,0.0,2.82,0.78,0.24,-8.96,0.0,-1.29,-2.14,0.0,-4.35,-0.66,-2.22,-0.06,-17.37,-0.33,1.4,-1.24,-0.61,0.91,2.83,-13.16,-1.72,-6.42,0.42,-6.41,-2.15,0.58,0.24,3.05,-0.99,0.89,10.97,-24.27,1.72,-6.22,0.37,-0.24,0.48,-2.06,0.0,-0.33,0.0,0.2,-22.57,-17.46,-2.62,0.67,-0.87,-0.58,0.0,-1.0,-0.47,-2.26,-0.31,-6.67,-3.58,-2.45,0.38,0.0,1.29,-8.76,2.2
2008,-17.48,-1.67,-25.12,-0.84,-6.45,-3.15,-21.53,0.85,32.96,-8.3,-3.4,0.0,-1.01,6.85,0.01,-10.61,0.2,0.34,-0.26,-0.12,0.0,-3.31,1.54,0.84,-5.16,0.0,-3.3,-22.09,-3.53,-0.69,-4.43,-31.07,-16.89,0.13,-0.27,-13.19,-1.09,0.35,0.98,-0.74,0.08,0.16,-1.85,-0.51,0.0,-1.93,1.98,-5.91,-4.3,-1.92,-20.72,3.29,-1.08,-1.62,-3.54,0.0,5.39,0.82,-0.01,-17.78,-3.7,-1.86,-3.37,0.0,-5.51,-1.97,-4.23,-0.01,-20.35,-0.66,2.21,-1.52,-0.95,1.23,2.83,-18.73,-2.58,-8.4,0.36,-8.64,-3.47,0.74,0.14,3.43,-1.42,1.78,10.74,-32.93,1.52,-9.38,0.52,-1.19,0.88,-2.87,0.0,1.06,0.0,0.2,-28.69,-26.63,-4.33,-0.27,-0.39,-0.82,0.0,-1.68,-1.2,-1.95,-0.65,-7.84,-3.86,-3.88,0.49,0.0,2.19,-13.1,1.46
2009,-18.4,-1.56,-21.87,-1.4,-5.58,-3.16,-16.35,0.7,34.87,-8.41,-3.95,0.0,-1.02,5.39,0.28,-12.77,0.31,0.35,-0.3,-0.03,0.0,-3.04,1.6,0.93,-5.14,-0.1,-3.46,-23.26,-3.53,-0.85,-4.84,-31.13,-16.29,0.37,-0.16,-9.17,-0.71,0.71,1.13,-1.19,0.34,0.05,-1.19,0.53,0.0,-2.36,2.55,-5.87,-4.61,-1.88,-20.18,2.78,-1.28,-1.17,-3.86,0.0,4.29,0.94,-0.29,-22.41,7.74,-1.86,-4.12,0.0,-5.12,-2.46,-5.97,0.46,-21.72,-0.58,2.19,-1.98,-1.0,1.83,3.3,-16.08,-2.71,-9.05,0.4,-8.14,-3.71,0.63,0.11,1.7,-1.65,0.71,7.76,-34.98,1.46,-8.43,0.67,-0.85,0.91,-2.82,0.0,1.6,0.0,0.25,-28.85,-25.62,-4.66,-0.24,0.82,-0.79,0.0,-1.52,-1.19,-0.47,-0.68,-4.12,-3.49,-4.05,1.08,0.0,2.6,-12.83,1.35
2010,-17.9,-1.64,-6.96,-1.26,-1.58,-3.68,-7.2,0.66,24.98,-10.59,-4.51,0.0,-1.33,9.7,0.18,-13.74,-0.24,0.43,-0.65,-0.27,0.0,-2.79,0.38,0.81,-5.85,-0.21,-3.71,-23.0,-7.06,-1.86,-5.02,-31.42,-16.4,0.41,-0.21,-2.56,-1.05,0.45,0.99,-1.2,0.38,-0.09,-1.14,1.01,0.0,-2.56,2.21,-7.0,-4.87,-2.1,-19.63,0.6,-1.61,-1.05,-4.03,0.0,2.96,1.02,-0.41,-23.69,7.74,-2.0,-4.41,0.0,-5.79,-2.67,-8.65,0.29,-22.74,-0.64,1.9,-1.97,-1.15,1.5,3.34,-14.39,-2.99,-10.42,0.27,-7.62,-3.91,0.68,-0.06,0.82,-2.02,0.34,-6.67,-38.35,1.05,-7.84,0.32,-1.05,0.61,-3.02,0.0,3.81,0.0,0.1,-30.84,-23.14,-4.56,-0.59,1.26,-0.6,0.0,-1.77,-2.41,-1.19,-0.73,-1.28,-2.65,-4.22,0.83,0.0,2.02,-13.0,1.79
2015,-15.88,-1.82,9.99,-0.56,-1.2,-4.47,-1.65,0.33,-5.74,-11.86,-5.0,0.0,-1.7,2.97,-0.14,-11.91,-3.79,0.62,-0.69,-0.85,0.0,-3.13,-1.22,0.51,-7.75,-0.21,-4.21,-19.19,-7.06,-2.7,-4.55,-32.42,-15.93,0.8,-0.37,1.28,-1.4,0.35,0.3,-1.06,0.26,-0.61,-1.24,3.82,0.2,-4.04,-0.45,-8.66,-5.46,-1.2,-17.77,-4.04,-1.92,-1.56,-4.57,0.0,-1.0,0.78,-0.35,-21.29,7.74,-2.08,-4.85,0.0,-7.68,-2.72,-3.29,0.29,-23.37,-1.05,0.41,-1.91,-1.39,-0.22,3.39,-14.51,-3.44,-11.22,0.07,-7.62,-3.88,0.68,-0.4,0.1,-1.83,-0.61,-20.97,-42.97,0.69,-10.33,-0.35,-0.85,-0.14,-3.37,0.0,6.92,0.0,-0.04,-27.04,-23.7,-4.5,0.25,2.4,-0.71,0.0,-2.0,-3.87,-1.05,-0.62,0.78,0.45,-4.68,0.94,0.0,1.22,-13.69,3.05
2016,-15.88,-2.63,7.8,-0.56,0.58,-4.96,1.69,0.45,-8.19,-11.81,-5.26,0.0,-1.32,-1.82,-0.42,-10.16,-5.81,0.41,-0.77,-1.13,0.0,-3.38,-1.65,0.45,-8.42,-0.31,-4.4,-17.28,-7.06,-3.23,-4.45,-31.87,-16.19,0.43,-0.65,1.75,-2.19,0.43,-0.22,-1.59,-0.17,-1.0,-0.98,5.21,-0.04,-3.85,-1.32,-9.53,-5.81,-0.73,-20.56,-5.73,-2.42,-2.07,-4.63,0.0,-3.07,0.29,-0.72,-18.39,7.74,-2.31,-4.82,0.0,-7.9,-2.81,-8.13,-0.55,-23.72,-1.35,-0.28,-1.55,-1.74,-0.85,3.24,-16.09,-3.62,-9.94,-0.1,-7.14,-3.92,0.73,-0.61,0.23,-1.34,0.77,-23.55,-45.23,0.19,-12.15,-0.71,-1.16,-0.37,-3.37,0.0,7.73,0.0,-0.32,-24.32,-24.92,-4.41,0.08,2.41,-0.96,0.0,-2.42,-4.28,-2.95,-0.66,3.02,-0.54,-5.31,0.35,0.0,0.32,-15.28,2.39
2017,-15.88,-2.58,3.47,-0.56,1.51,-4.72,1.31,0.24,-7.66,-11.36,-4.9,0.0,-0.67,-3.25,-0.39,-9.81,-6.61,0.27,-0.7,-1.12,0.0,-3.39,-0.88,0.46,-8.17,-0.21,-4.38,-17.59,-3.53,-3.19,-4.44,-31.34,-15.18,0.47,-0.6,0.74,-2.13,0.43,0.04,-1.94,-0.33,-1.89,-0.44,5.99,-2.0,-4.18,-0.77,-9.24,-5.96,-0.59,-21.17,-6.19,-2.71,-1.88,-4.52,0.0,-4.83,0.37,-1.26,-17.44,3.93,-2.25,-4.41,0.0,-7.55,-2.65,-10.15,-0.59,-24.89,-1.32,-0.13,-1.39,-1.69,-0.56,3.29,-19.96,-3.49,-8.0,-0.14,-5.74,-3.85,1.29,-0.64,0.55,-1.26,1.38,-22.87,-43.67,0.19,-13.15,-0.97,-1.0,0.06,-3.41,0.0,6.78,0.0,-0.28,-22.29,-24.59,-3.98,0.35,1.93,-1.01,0.0,-2.45,-4.32,-3.24,-0.39,4.18,0.29,-5.34,0.88,0.0,-0.33,-15.87,2.8
2018,-19.74,-3.3,-9.22,-0.56,2.32,-4.3,0.99,0.74,-5.76,-11.12,-3.85,0.0,-0.46,-3.24,-0.03,-10.93,-6.45,0.27,-0.59,-0.82,0.0,-2.85,1.11,-0.03,-7.59,-0.21,-4.25,-16.98,-3.53,-2.87,-4.32,-30.29,-14.9,0.33,-0.55,-0.65,-2.24,0.46,0.58,-1.65,-0.41,-1.07,-0.12,5.83,-1.26,-5.01,-0.55,-8.18,-5.95,-0.39,-20.37,-5.94,-1.8,-1.21,-4.3,0.0,-2.97,0.05,-0.66,-18.13,0.12,-1.92,-3.56,0.0,-7.68,-2.85,-11.84,-0.28,-24.45,-1.19,0.7,-0.56,-1.75,-0.25,3.52,-20.4,-3.3,-7.24,-0.32,-3.61,-3.2,1.34,-0.65,0.26,-0.77,5.09,-23.26,-43.86,0.34,-12.8,-0.49,-1.51,0.04,-3.4,0.0,6.52,0.0,-0.2,-24.16,-22.64,-4.06,0.09,1.19,0.02,0.0,-1.89,-4.04,-2.36,-0.12,5.45,-0.09,-4.88,0.86,0.0,-1.85,-16.85,3.21
2019,-19.74,-3.02,-15.61,-0.98,1.98,-4.09,0.2,0.61,-6.71,-10.21,-3.38,0.0,-0.47,1.07,0.54,-11.06,-6.04,0.46,-0.34,-0.3,0.0,-2.42,1.25,-1.23,-7.43,-0.21,-4.05,-16.49,7.28,-2.52,-3.71,-29.57,-15.9,0.61,-0.52,-0.52,-2.68,0.28,0.73,-1.31,-0.23,-0.57,-0.16,5.24,0.09,-5.73,-1.85,-7.58,-5.88,-0.73,-18.16,-5.77,-0.62,-0.85,-3.83,0.0,1.11,-0.53,-0.18,-21.29,-7.39,-1.65,-3.42,0.0,-7.67,-3.61,-2.23,0.93,-22.84,-1.11,0.86,0.75,-1.68,-1.06,3.13,-18.27,-3.26,-10.0,-0.81,-2.71,-2.67,0.73,-0.83,-1.44,1.83,6.04,-23.39,-46.3,0.56,-13.11,0.04,-3.17,-0.52,-3.94,0.0,6.38,0.0,0.0,-23.67,-14.99,-3.53,0.51,0.22,0.45,0.0,-1.69,-3.38,-0.31,0.04,2.46,0.19,-4.75,0.72,0.0,-1.14,-16.22,3.73
2020,-16.55,-3.3,-13.51,-1.68,1.02,-4.54,-1.19,0.82,-6.9,-8.81,-3.7,0.0,-0.52,8.76,0.31,-11.91,-5.82,0.33,-0.49,-0.33,0.0,-2.52,0.26,-2.18,-7.51,-0.21,-4.17,-15.61,10.91,-2.33,-3.67,-23.94,-16.55,0.5,-0.71,-0.64,-2.95,0.1,0.33,-1.99,-0.15,-0.41,-0.14,5.93,0.73,-6.32,-2.97,-7.67,-5.56,-1.78,-21.67,-5.74,-0.47,-1.02,-3.04,0.0,2.35,-1.85,-0.37,-23.15,-11.09,-1.8,-4.26,0.0,-6.63,-4.99,5.8,1.02,-21.92,-1.3,-0.11,1.23,-1.88,-2.06,2.0,-14.7,-3.43,-17.21,-1.45,-3.2,-2.71,0.46,-1.07,-3.1,2.44,6.02,-22.98,-46.97,0.29,-13.17,-0.15,-4.46,-0.88,-4.47,0.0,5.34,0.0,-0.03,-21.06,-7.06,-2.7,0.33,-1.15,-1.01,0.0,-2.56,-2.95,1.17,-0.06,5.91,-1.24,-4.72,-2.43,0.0,-0.76,-18.35,3.01
