Date,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CPV,CRI,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,FIN,FRA,GAB,GBR,GEO,GHA,GIN,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,LBR,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OWID_KOS,PAK,PAN,PER,PHL,POL,PRT,PRY,ROU,RUS,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,TGO,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,ZAF,ZMB,ZWE
1973,,,,,,,,0.5639155,,,,,,,,,,,,,,,,,,,,,,0.036714334,-0.13231775,,,,,,,,-0.44753265,,-0.3934009,,,,,,,,,,,,,,0.06473551,,,-1.3372816,,,,,,,,,,,,,0.30280825,,,,,,,,,,,,,,,,,,,0.08381772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,0.45868692,,,,,,,,,,,,,,,,,,,,,,0.40730357,0.01359451,,,,,,,,-0.43797356,,-0.29777178,,,,,,,,,,,,,,0.14877078,,,-1.5245053,,,,,,,,,,,,,0.36290708,,,,,,,,,,,,,,,,,,,0.21444461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,0.3420288,,,,,,,,,,,,,,,,,,,,,,0.7781747,0.1618036,,,,,,,,-0.42497748,,-0.20704056,,,,,,,,,,,,,,0.23513721,,,-1.7139997,,,,,,,,,,,,,0.4224174,,,,,,,,,,,,,,,,,,,0.33930823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,0.22928935,,,,,,,,,,,,,,,,,,,,,,1.1542948,0.31171176,,,,,,,,-0.41403437,,-0.11194045,,,,,,,,,,,,,,0.32241645,,,-1.9038116,,,,,,,,,,,,,0.47791016,,,,,,,,,,,,,,,,,,,0.46936825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,0.12142553,,,,,,,,,,,,,,,,,,,,,,1.2916871,0.5345851,,,,,,,,-0.3753961,,0.032636676,,,,,,,,,,,,,,0.42692268,,,-1.8954921,,,,,,,,,,,,,0.7283135,,,,,,,,,,,,,,,,,,,0.4624583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,-0.046976954,,,,,,,,,,,,,,,,,,,,,,1.3149152,0.65477824,,,,,,,,-0.414296,,0.017945237,,,,,,,,,,,,,,0.38278586,,,-1.7873225,,,,,,,,,,,,,0.8031267,,,,,,,,,,,,,,,,,,,0.38941905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,-0.23800004,,,,,,,,,,,,,,,,,,,,,,1.315635,0.70469844,,,,,,,,-0.49369165,,-0.080398984,,,,,,,,,,,,,,0.11403512,,,-1.790044,,,,,,,,,,,,,0.93688315,,,,,,,,,,,,,,,,,,,0.30160093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,-0.48441887,,,,,,,,,,,,,,,,,,,,,,1.1928377,0.65165085,,,,,,,,-0.50627565,,-0.11368919,,,,0.2422259,,,,,,,,,,-0.038821876,,,-1.7420322,,,,,,,,,,,,,1.1184883,,,,,,,,,,,,,,,,,,,0.10153677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,-0.4731116,,,,,,,,,,,,,,,,,,,,,,1.1055427,0.7248327,,,,,,,,-0.30713606,,-0.08227501,,,,0.2702788,,,,,,,,,,0.009681308,,,-1.7151524,,,,,,,,,,,,,1.0483522,,,,,,,,,,,,,,,,,,,0.13945761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,-0.2982011,,,,,,,,,,,,,,,,,,,,,,1.0173857,0.73245615,,,,,,,,-0.37680992,,0.11075477,,,,0.41162765,,,,,,,,,,-0.15198615,,,-1.6688837,,,,,,,,,,,,,0.8022427,,,,,,,,,,,,,,,,,,,0.06242119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
