Date,AUS,BDI,BFA,BGD,BLZ,BOL,BTN,BWA,CAF,CHL,CHN,CPV,EST,ETH,FRA,FSM,GHA,GIN,GMB,GNB,GNQ,GRD,GUY,IDN,IND,IRN,IRQ,JAM,JOR,KHM,KNA,KOR,LBR,MDV,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NGA,NPL,NRU,PAK,PAN,PNG,RWA,SDN,SEN,SGP,SLE,STP,SVK,SWZ,TCD,THA,TLS,UGA,VCT,VUT,YEM,ZAF,ZMB
1990,,,,,,,,,,,1.061,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,0.154,,,,,,0.415,,,1.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,0.411,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406,,,1.181,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,1.078,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,
1996,0.039,,,,,,,,,,1.057,,,,,,,,,,,,,,,,,,,,0.392,,,1.244,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,1.051,,,,,,,,,,,,,,,,,,,,0.387,,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,0.442,,,1.052,,,,,,0.488,,,,,0.395,,,,,,,,,0.721,,,,,,,,,,,,,,,0.038,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,0.454,,,1.043,,,,,,0.556,,,,,0.444,,,,,,,,,0.712,,,,,,,,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,0.731,,,1.033,,0.031,,,,0.556,,,,,0.443,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.46,,,,,,,,,,,0.059,,,0.417,,,,
2001,0.197,,,,,0.118,,0.466,,,0.084,,,,,,0.556,,,,,0.442,,,,,,,,,1.039,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,0.482,,,,,,,,,0.556,,,,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,0.479,,,0.668,,,0.185,,,0.563,,0.305,,,0.44,,,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,0.072,0.092,0.151,,,0.732,,0.025,,0.676,0.139,,0.211,,,,,,1.645,0.508,,,,0.621,0.364,0.006,,0.193,0.125,,0.326,,1.717,,0.999,,,,0.194,,,,0.684,,,,,1.359,0.151,,,0.115,1.002,,3.654,0.016,,0.01,,,,0.128,0.192,
2005,,,,0.147,,,,0.494,,,0.698,,,,,,,,,,,,,,0.627,,,,,,,0.321,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,0.372
2006,0.049,,0.091,,,,,0.485,,,0.725,,,,,,,,,,,,,,0.614,,,,,,,0.332,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,0.728,,,,0.702,,,0.218,0.028,,,,0.752,,,,,,0.614,,,,,,,0.347,,1.515,,0.082,,,,,,,0.131,,,,,,,,,,,,,,,,,,,0.514,,,
2008,,,,,,,0.129,0.229,0.408,,0.703,,,0.296,,0.297,0.195,,0.725,,,,,,0.63,,,0.268,,,,0.362,,,,0.082,0.023,,,,0.723,,0.128,,1.393,0.061,,0.594,,,,,0.024,,,,,,,,,0.941,,,0.287
2009,,,,,0.503,,,0.083,0.393,,0.83,,,0.363,,,,,,,,,0.326,,0.62,,,,,,,0.377,,1.57,0.008,0.193,0.123,,,,,,,,0.299,0.064,,,,,,,,,,,,,,,,,,,
2010,,,0.126,,,,,,,,0.81,,,,,,,,,,,,0.325,,0.578,,,,,,,,0.061,1.777,0.007,0.193,0.161,,,,,0.435,,,,0.068,,,,,,,0.023,,,,,,,,,,0.001,,
2011,,,,0.393,,,,,,,0.831,,,,,,,,,,,,,,0.504,,,,,,,,,,,0.194,,,,,,,,,1.693,0.073,,,,,,,,,,,,,,,,,,,
2012,,,0.127,0.476,,,0.909,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,0.195,,0.047,,,,,,,,,,,,,,0.402,,,,,,,,,,,,,
2013,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,0.251,,,,,,,,,,0.045,0.3,,,,,,,,,,,,,0.399,,,0.018,,,,,,,,,,
2014,,,,,,,0.178,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,1.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,0.19,,,,,,,,,,,,,,,,,0.0,,,,0.307,,,,,,,,,,,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,
2016,,,,,,,0.069,,,,,,,,,,,0.517,,,,,,,0.581,,,0.319,,,,,,,,,,,,,,,,,,,,,,,0.0,0.503,,,,,,,,,,,,,
