Date,AGO,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BHR,BLR,BOL,BRA,BTN,BWA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DJI,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GHA,GRC,GTM,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KEN,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MEX,MNG,MUS,MYS,NGA,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SVK,SVN,SWE,THA,TKM,TUN,TUR,TWN,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZWE
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,7.0,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,18.0,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,35.0,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,66.0,,,,
1962,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,121.0,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,175.0,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,337.0,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,246.0,,,,
1965,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,,340.0,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0,,,,,,,,,,,196.0,,,,,,,,,,,,,,,,,439.0,,,,
1967,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,802.0,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,524.0,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.0,,,,,,,,,,,336.0,,,,,,,,,,,,,,,,,585.0,,,,
1969,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,,,,,,,,,,,406.0,,,,,,,,,,,,,,,,,647.0,,,,
