Date,ABW,AFG,AGO,ARE,ARG,AUT,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BOL,BRA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DOM,DZA,ECU,EGY,ERI,ESH,ESP,ETH,FIN,FRA,GAB,GBR,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KHM,KNA,KOR,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LVA,MAC,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MOZ,MRT,MWI,MYS,MYT,NER,NGA,NIC,NLD,NOR,NPL,OMN,OWID_WRL,PAK,PAN,PER,POL,PRI,PRK,PRT,PRY,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SSD,SVN,SWE,SYR,TCA,TCD,TGO,THA,TJK,TTO,TUN,TUR,TZA,UGA,UKR,USA,VEN,VIR,VNM,YEM,ZAF,ZMB,ZWE
2014,,,,,,,,,,,4.0,,,,,,,,,,14.0,,,251.0,,,,,1.0,,,,,63.0,17.0,46.0,,143.0,,,38.0,,,12.0,,3.0,,,,,,51.0,,,,,,,,,,1.0,1.0,,,138.0,,,,,,,,,,,2827.0,,,,,,50.0,,,134.0,,,18.0,750.0,,,,,55.0,,,,,1.0,1.0,,,4995.0,,,,,23.0,,,,,1.0,,,11.0,,,,,178.0,,,,,3.0,,,,30.0,2.0,,4.0,88.0,,,,438.0,,,,24.0,,,17.0
2015,,,,,,72.0,,,,,3.0,3.0,,,,,,,,,,,,,2.0,30.0,,,13.0,1.0,,,,2.0,5.0,19.0,,106.0,5.0,38.0,38.0,27.0,,30.0,,8.0,,,,,,464.0,,1.0,,,,1.0,40.0,3.0,3.0,,22.0,,,61.0,,,,2.0,,,,,,,3386.0,,,,,15.0,85.0,,8.0,145.0,16.0,4.0,21.0,647.0,,4.0,29.0,,191.0,35.0,56.0,,1.0,1.0,,,,6479.0,,5.0,,,1.0,,,,,,,,174.0,,,,,27.0,1.0,,2.0,,2.0,,,,66.0,,,55.0,358.0,5.0,,,511.0,5.0,,,84.0,3.0,,15.0
2016,1.0,,,,,3.0,1.0,,,1.0,14.0,29.0,,,1.0,,,,,2.0,3.0,,,,49.0,,,5.0,22.0,,,,,27.0,2.0,8.0,,970.0,26.0,141.0,55.0,56.0,,23.0,,2.0,,,,,,548.0,,5.0,,,2.0,,1.0,,60.0,,14.0,,,232.0,,,,6.0,,,,,4.0,,3709.0,,,,,,74.0,,,207.0,3.0,,,59.0,,22.0,28.0,2.0,61.0,10.0,96.0,,12.0,,,,,8024.0,,30.0,,,1.0,,,,,1.0,,1.0,539.0,,,,,74.0,8.0,,,,81.0,,,,8.0,,,18.0,241.0,16.0,,,565.0,,15.0,,54.0,15.0,24.0,
2017,,10.0,,,,,2.0,7.0,10.0,238.0,12.0,1.0,,,,,,,1.0,,,,1.0,,,22.0,,2.0,2.0,,,,2.0,31.0,59.0,34.0,,119.0,7.0,,80.0,20.0,,13.0,,1.0,3.0,1.0,,,,54.0,,,,1.0,,2.0,37.0,1.0,,8.0,181.0,5.0,,82.0,,,,5.0,,,,,2.0,,3235.0,,,,,,145.0,,,143.0,,44.0,,12.0,,20.0,,,49.0,9.0,429.0,10.0,7.0,,,,,6897.0,23.0,7.0,,,3.0,,,,1.0,,,,200.0,2.0,,,1.0,4.0,1.0,,,,72.0,68.0,3.0,,11.0,,,222.0,81.0,13.0,,,458.0,,,,69.0,,,2.0
2018,2.0,3.0,6.0,,,,6.0,6.0,50.0,4.0,1.0,,3.0,,,4.0,,,1.0,,3.0,30.0,13.0,53.0,19.0,16.0,,,,,60.0,,,20.0,14.0,108.0,6.0,19.0,3.0,,211.0,75.0,,8.0,,1.0,8.0,6.0,8.0,3.0,,80.0,,4.0,,,2.0,13.0,,,,5.0,20.0,6.0,,20.0,,,52.0,4.0,,,,,19.0,3.0,1549.0,,,,,,586.0,,1.0,135.0,3.0,117.0,2.0,10.0,,26.0,2.0,11.0,33.0,15.0,195.0,4.0,,18.0,,,,4798.0,2.0,5.0,,,3.0,,,,,,,6.0,208.0,15.0,1.0,,,30.0,4.0,,9.0,,38.0,,15.0,4.0,56.0,,,144.0,171.0,37.0,3.0,,391.0,1.0,,,156.0,,9.0,3.0
2019,,1.0,,,,,2.0,16.0,177.0,98.0,,31.0,22.0,,,3.0,17.0,1.0,,1.0,,51.0,4.0,,29.0,,,,,,5.0,,,86.0,20.0,282.0,5.0,17.0,,50.0,104.0,3.0,4.0,8.0,3.0,42.0,15.0,11.0,,,,65.0,,3.0,,,1.0,8.0,,,4.0,,96.0,,,63.0,,5.0,,3.0,,,,2.0,,,1386.0,,,,,,481.0,,,216.0,5.0,301.0,84.0,24.0,,,69.0,,12.0,4.0,176.0,5.0,,1.0,,,,5293.0,,16.0,1.0,,6.0,,,,,2.0,,,37.0,15.0,,3.0,,43.0,22.0,,7.0,,6.0,19.0,47.0,8.0,173.0,,,166.0,143.0,,,,430.0,84.0,,2.0,78.0,,,
2020,,11.0,,1.0,,,,,,165.0,,44.0,22.0,,,,,,,10.0,,,,,34.0,10.0,35.0,,18.0,,,,,52.0,41.0,282.0,4.0,31.0,,154.0,128.0,,,14.0,,,,,,,,61.0,,2.0,,,2.0,3.0,,,26.0,1.0,297.0,,,27.0,,,,,,,,,14.0,1.0,795.0,,,,,,321.0,,,154.0,5.0,,13.0,20.0,,102.0,194.0,,37.0,37.0,45.0,,1.0,,,12.0,,4408.0,,6.0,5.0,,22.0,2.0,1.0,7.0,8.0,1.0,2.0,,3.0,164.0,,,,5.0,4.0,,1.0,,,,19.0,,3.0,,22.0,203.0,169.0,,,,399.0,55.0,,,,,,
2021,,188.0,,,4.0,2.0,,,,29.0,1.0,7.0,10.0,10.0,16.0,3.0,,,,22.0,,,,,79.0,,,1.0,16.0,10.0,,,2.0,76.0,68.0,332.0,3.0,1.0,,552.0,451.0,25.0,,47.0,,6.0,,,,,,102.0,7.0,,3.0,,,8.0,,7.0,1.0,9.0,489.0,,,59.0,,,,,,,,,4.0,,1183.0,,12.0,,,,243.0,,,285.0,4.0,1.0,3.0,,,,49.0,,61.0,63.0,76.0,26.0,7.0,1.0,,,,5780.0,2.0,26.0,4.0,14.0,,,,,,,,,6.0,38.0,,,4.0,8.0,7.0,,4.0,,1.0,27.0,,,15.0,,53.0,496.0,82.0,41.0,,,719.0,34.0,,,30.0,,,1.0
2022,,,1.0,,,4.0,1.0,,,185.0,7.0,37.0,8.0,9.0,,,,4.0,,24.0,,,6.0,,38.0,,,14.0,128.0,,1.0,,1.0,38.0,65.0,510.0,,9.0,,135.0,320.0,4.0,,12.0,,6.0,,,,,,205.0,,8.0,,1.0,16.0,13.0,2.0,9.0,91.0,1.0,695.0,,,112.0,1.0,,,2.0,31.0,,,,40.0,,943.0,,,1.0,1.0,,311.0,1.0,,288.0,6.0,16.0,10.0,114.0,,,2.0,29.0,28.0,,47.0,3.0,21.0,,,,,7136.0,4.0,147.0,3.0,,43.0,,,1.0,,14.0,,153.0,,15.0,,,,18.0,5.0,,6.0,,129.0,,32.0,,32.0,,1.0,472.0,105.0,2.0,,12.0,678.0,9.0,2.0,1.0,670.0,7.0,28.0,
2023,9.0,8.0,,,,,,,,24.0,24.0,2.0,,26.0,,1.0,,11.0,,20.0,25.0,,,,81.0,,65.0,8.0,120.0,4.0,,,8.0,106.0,54.0,414.0,,,,119.0,192.0,2.0,,31.0,,,,,,,,719.0,,3.0,1.0,,11.0,6.0,1.0,3.0,200.0,4.0,1080.0,,1.0,440.0,,,,,1.0,16.0,2.0,3.0,88.0,,951.0,,,3.0,,,285.0,,34.0,448.0,3.0,42.0,2.0,194.0,,,162.0,1.0,,,231.0,,3.0,1.0,,,3.0,7916.0,6.0,93.0,37.0,16.0,4.0,8.0,,,1.0,,,95.0,19.0,311.0,,,,68.0,8.0,2.0,2.0,,1.0,1.0,,,29.0,,,759.0,65.0,7.0,,,477.0,,,,440.0,,,
