Date,OWID_WRL
1850,-0.05541366
1851,0.12894794
1852,0.13289867
1853,0.0919433
1854,0.07077692
1855,0.065381
1856,0.04194403
1857,-0.1049323
1858,-0.026467945
1859,0.08103258
1860,-0.027867433
1861,-0.06681519
1862,-0.17407164
1863,0.018053684
1864,-0.10316732
1865,0.029816423
1866,0.021010254
1867,0.005303625
1868,0.010470603
1869,0.0457058
1870,0.034370217
1871,-0.0062650107
1872,0.03418717
1873,0.021000836
1874,-0.010953452
1875,-0.013328191
1876,-0.06181216
1877,0.2611889
1878,0.35098255
1879,0.05866343
1880,0.0464657
1881,0.13005222
1882,0.06676767
1883,0.015823338
1884,-0.13002232
1885,-0.108825825
1886,-0.058605876
1887,-0.13648802
1888,-0.017081138
1889,0.11240219
1890,-0.14456043
1891,-0.039017197
1892,-0.14526078
1893,-0.13232148
1894,-0.12146618
1895,-0.08645385
1896,0.07829047
1897,0.102497585
1898,-0.12349438
1899,0.0068641044
1900,0.12780385
1901,0.06888751
1902,-0.07665878
1903,-0.17098936
1904,-0.23521331
1905,-0.045495477
1906,0.043188963
1907,-0.14177856
1908,-0.15152195
1909,-0.1733894
1910,-0.16861174
1911,-0.17678127
1912,-0.11324089
1913,-0.10471334
1914,0.09986118
1915,0.17062555
1916,-0.057725396
1917,-0.18052194
1918,-0.062066343
1919,0.037008677
1920,0.06394268
1921,0.121853404
1922,0.023284052
1923,0.04461587
1924,0.050496046
1925,0.08015577
1926,0.23974274
1927,0.13318415
1928,0.15583193
1929,-0.030145284
1930,0.18549232
1931,0.25890008
1932,0.21683604
1933,0.039953325
1934,0.1879609
1935,0.15623851
1936,0.1927768
1937,0.3430988
1938,0.350097
1939,0.32150054
1940,0.43823355
1941,0.40042704
1942,0.36370382
1943,0.36871934
1944,0.5064029
1945,0.4053861
1946,0.24348314
1947,0.27109215
1948,0.23763648
1949,0.21849552
1950,0.13567594
1951,0.3011438
1952,0.3776523
1953,0.4399285
1954,0.24554752
1955,0.1649878
1956,0.09913213
1957,0.32696283
1958,0.3446652
1959,0.31429294
1960,0.24683817
1961,0.34229797
1962,0.29825503
1963,0.32548714
1964,0.056436215
1965,0.15787727
1966,0.21340014
1967,0.24475846
1968,0.19365019
1969,0.33091152
1970,0.27723366
1971,0.1564087
1972,0.26850644
1973,0.4122479
1974,0.18977118
1975,0.25154352
1976,0.14646085
1977,0.46538624
1978,0.3675537
1979,0.45315588
1980,0.5583698
1981,0.6123098
1982,0.39656603
1983,0.5861076
1984,0.41029125
1985,0.41202748
1986,0.45798472
1987,0.60532415
1988,0.6444495
1989,0.5415481
1990,0.7228801
1991,0.7011943
1992,0.48719457
1993,0.52800494
1994,0.59584755
1995,0.7391639
1996,0.6389871
1997,0.7846063
1998,0.93963945
1999,0.6867827
2000,0.6933825
2001,0.8515781
2002,0.9057643
2003,0.9064679
2004,0.82966846
2005,0.96916026
2006,0.93485045
2007,0.9539991
2008,0.8279476
2009,0.9590794
2010,1.0426692
2011,0.8999955
2012,0.9399048
2013,0.9858731
2014,1.0351694
2015,1.1874121
2016,1.2952248
2017,1.207472
2018,1.1249518
2019,1.2533703
2020,1.2852182
2021,1.1242033
2022,1.1636031
2023,1.4626105
2024,1.5430979
2025,1.5525805
