Date,AFG,AGO,ALB,ARE,ARG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BGR,BOL,BRA,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FJI,FRA,GAB,GBR,GHA,GIN,GMB,GNB,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDG,MEX,MLI,MNG,MOZ,MRT,MUS,MWI,MYS,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SWE,SWZ,SYR,TCD,TGO,THA,TTO,TUN,TUR,TZA,UGA,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
1980,-0.70077723,-1.009019,-0.70358485,-0.87978184,0.4675534,1.1388592,0.75166535,-1.5286824,-0.8287276,0.1269548,-0.5457815,0.33337715,-0.16189544,0.8175472,0.5365867,-0.55174494,-0.62926775,1.4248226,0.82444793,0.99871105,-0.84159976,0.06687556,0.48517212,-0.8531272,0.35783124,1.0135655,1.2008812,-0.8485925,0.95308113,-0.69227123,0.34995052,0.6624943,0.4578114,1.0998735,1.7407591,-0.695666,1.6244652,-0.6119235,1.4683356,0.158129,1.1142169,-0.105723545,-2.906104,-0.6826892,-1.9263744,0.6254718,0.41626695,-0.65526235,0.71031004,-0.68836635,-0.8333083,-0.8289872,0.40637165,0.5233706,-0.2208857,-0.9110319,0.19554509,1.1264709,-0.114376545,0.54482895,1.6602733,0.6168699,-3.0302274,1.7444941,-0.23266612,-2.775144,-1.0403459,-0.6906793,-0.68541914,0.09193194,-0.6157974,0.7476097,-0.56766737,0.65909415,-0.6401727,-2.2454133,-0.5800628,-0.63470733,-0.6109191,-0.62056756,0.80417234,-0.63748264,-0.6299297,0.1606147,1.292055,1.5448251,-0.26224384,0.67445725,-0.5800517,0.7912366,0.65978956,0.42592397,0.91059226,-0.61856216,-0.69128203,1.3084077,0.28784937,-0.7079778,-3.1689463,-0.6058944,-0.29016784,0.41311857,0.56120354,1.0668594,-0.64742655,0.670607,-0.67706984,1.7348832,-0.6780025,0.39907593,-0.71100026,0.4633527,1.1943209,0.7860208,0.9781457,-0.096907616,-0.6871291,-0.6726819,0.4350285,1.5262833,0.66257584,-1.0801945,0.2684144,0.27241963,-0.16681772
1981,-0.69982374,-1.0441676,-0.70352226,-0.88658476,0.68415797,1.8743875,1.2805033,-1.654684,-0.82908183,-0.022511538,-0.55206054,0.55963814,-0.0991512,1.2577221,1.2796028,0.09950166,-0.64799243,2.2343624,1.3644197,1.412576,-0.83865064,0.49653798,0.31268546,-0.85516447,0.11544481,1.0122551,1.7803084,-0.86032546,1.4454194,1.3589722,0.49923334,0.8900581,0.6301345,1.6030622,3.0285585,-0.039544366,2.570636,-0.6124703,2.3159914,0.39877465,1.684933,-0.07738238,-3.902208,-0.68815583,-1.9821837,2.1993508,0.9578899,-0.6347138,0.8795614,-0.6810941,-0.8336542,0.25659385,0.58590126,0.80286825,-0.6605672,-0.92964953,0.28612727,1.8664737,-0.045483466,0.8620171,3.0120187,0.90315396,-5.151999,2.9317253,-0.22128293,-3.7290602,-1.0688871,-0.6921927,-0.68775266,0.35456133,-0.6197327,1.1173238,-0.5712988,0.9717098,-0.65658385,-0.68246233,-0.5727746,-0.63257694,-0.60431683,-0.62154096,1.205212,-0.60881144,-0.5915307,0.17012012,2.029387,2.5131252,-0.2412345,1.2903626,-0.5775562,1.1111233,1.1860397,0.22474578,1.4186225,-0.5739983,-0.6910186,1.8485426,0.54655075,-0.7091353,-7.9545016,-0.5969771,-0.29534557,0.56997734,0.75702256,1.5371647,-0.6502379,0.6098417,-0.6768871,2.738533,-0.6788111,0.5802631,-0.70421886,0.6002739,1.7930235,1.1596432,1.2422986,-0.02164311,-0.6880381,-0.6732988,0.62941164,2.4196196,0.9388616,-1.1250966,0.41437885,0.268168,-0.08305717
1982,-0.7192622,-1.1059659,-0.7033468,-0.88749045,0.9440529,2.0698948,1.6079472,-1.7101603,-0.82962847,0.25071445,-0.55324507,0.56169635,-0.0917175,1.3227056,1.4235361,0.121912606,-0.6478156,2.562112,1.5503198,1.5144665,0.19479243,0.5019211,0.74431247,-0.85618764,0.12465831,0.90405506,1.9847995,-0.85852915,1.5381554,1.2762148,0.5483908,0.9310779,0.6424408,1.7849052,3.4492905,-0.02119952,2.967737,-0.6184149,2.7501683,0.42762798,1.9665387,-0.0776592,-4.1796026,-0.6319464,-0.6968161,2.4608204,1.0377879,-0.6534615,1.0894861,-0.6885909,0.7833103,0.75455546,0.42494985,1.0077887,-0.6634676,-0.9330761,0.29103437,2.3366637,-0.071881056,0.9988868,3.2830718,0.9231575,-5.8702245,3.3228154,-0.20823604,-3.9515126,-1.0495558,-0.653169,-0.6908133,0.17979394,-0.61900884,1.210665,-0.577379,1.0176325,-0.64191484,-0.6766078,-0.5700212,-0.63610345,-0.6036865,-0.62526864,1.2993588,-0.63966954,-0.6282673,0.2692683,2.2789028,2.8042066,-0.25836393,1.1897883,-0.5810875,1.1548016,2.2731433,0.6398758,1.6633985,-0.57215375,-0.69135904,1.9735131,0.89265597,-0.7072603,-10.110036,-0.6035519,-0.6489314,0.55356914,0.3191906,1.632796,-0.6498773,0.65326864,-0.6747354,2.9381702,-0.6792801,0.685525,-0.6533123,0.26621607,1.9243765,1.3641573,1.2404197,0.18235496,-0.694965,-0.73893857,0.65975684,2.6992276,1.0493466,-1.139451,0.43469316,0.2636137,-0.03349487
1983,-0.7210303,-1.1023245,-0.70245135,-0.8724445,0.96232384,2.1073453,2.1846623,-1.6910632,-0.8262063,0.010026498,-0.5410991,0.8821333,-0.08821213,1.3613429,1.4827693,0.2126213,-0.64992696,2.703197,1.7621868,1.6914165,0.43496072,0.5053687,0.3124049,-0.85581213,0.48563096,0.93436843,1.9544231,-0.8597646,1.5432392,2.6540253,0.59038615,0.88545597,0.64158255,1.7723383,3.6155171,-0.006008035,3.0521972,-0.6173574,3.3407762,0.4110587,2.4594884,-0.118723005,-4.101718,-0.63261837,-0.696102,2.983736,0.66659635,-0.65149957,1.0658641,-0.6880188,1.0393568,0.522657,0.62132293,2.1055586,-0.66244113,-0.92911756,0.36455777,3.6065097,-0.04135305,1.3252227,3.2847724,0.95474553,-6.0049424,3.4557278,-0.068498105,-3.3216095,-1.0585613,-0.6505573,-0.68557364,0.113173485,-0.61409074,1.2437339,-0.5742084,0.98068136,-0.6618027,-0.6932867,-0.5705551,-0.6359921,-0.6050413,-0.6170738,1.2923234,-0.64258385,-0.5704412,0.35554796,2.6133456,2.9371002,-0.23823981,1.0619208,-0.57964045,1.1579103,2.5757878,0.6392251,1.7815446,-0.5813274,-0.6906819,2.056786,1.017786,-0.7074485,-10.826692,-0.60468507,-0.6631104,0.21872103,0.2467161,1.7529582,-0.6258689,0.74356157,-0.68430775,2.9828293,-0.6786941,0.99808234,-0.63486624,0.5642258,1.904551,1.4350462,1.1785083,0.16287746,-0.69454473,-0.73949486,0.88351476,2.8093264,1.1552892,-1.1214577,0.4481652,0.22637138,-0.039886806
1984,-0.71862453,-1.0875463,-0.61225843,-0.9063071,0.87924975,2.074088,2.4126651,-1.5499743,-0.8265919,0.062422764,-0.60530865,1.5791336,-0.09495371,1.3617798,1.473569,0.41898897,-0.6508911,2.7442803,1.8383535,1.7310988,1.0494274,0.20868425,0.26035956,-0.8560815,0.5879379,1.1246951,1.8209096,-0.85647213,1.6621895,3.0068183,0.3477828,0.9406808,0.65817225,1.5606556,3.7676632,0.067905866,3.0768988,-0.6199617,3.4138026,0.041679088,2.8245835,-0.15141574,-3.8338726,-0.6852067,-0.6960154,3.0936449,0.5041107,-0.65128165,0.8912986,-0.69390976,1.0307826,0.5528285,0.6730028,2.543942,-0.6668092,-0.93578506,0.36669666,4.1306577,-0.029333888,0.9857864,2.6908088,1.0029399,-5.890307,3.671859,-0.21773684,-0.7096246,-1.0672718,-0.65087855,-0.6886448,0.61378354,-0.614944,1.2489611,-0.5681852,0.9725081,-0.6600079,-0.6763232,-0.56443894,-0.6350374,-0.60373116,-0.6268104,1.4413301,-0.63935435,-0.5933765,0.24644555,2.4685688,2.9226506,-0.23005599,1.1647223,-0.5746534,1.2517571,2.7297754,0.64218205,1.739172,-0.57097566,-0.68119407,2.1055994,1.0275422,-0.7078263,-10.870081,-0.6017723,-0.662232,0.62614805,0.2602609,1.7150978,-0.620048,0.8065089,-0.6844488,3.0006678,-0.6795177,1.0641266,-0.633349,0.24161825,2.0389473,1.5577537,1.1774532,0.17148077,-0.6952887,-0.68651026,1.3403308,2.878708,1.5514301,-1.0860192,0.42804798,0.20008168,0.27976722
1985,-0.71858907,-0.6537892,-0.6099052,-0.9115829,0.6320633,2.0783353,2.704294,-0.67043954,-0.8262834,-0.09340781,-0.56649446,1.5132163,-0.06227285,1.4197433,1.5003471,0.56655717,-0.6511925,2.747486,1.857086,1.784238,1.2340124,0.46098912,0.3320727,-0.8495164,0.6435758,1.5086136,1.9047732,-0.86089486,1.8301555,3.1658995,0.45535982,0.9606762,0.64185303,1.0189108,3.9869719,0.033804003,3.115157,-0.61630553,3.6304734,0.008707693,3.073211,-0.33508486,-3.0929947,-0.68617374,-0.6965171,2.9531956,0.5157128,-0.68444425,0.78806865,-0.6935011,1.0362717,0.91532004,0.67577714,2.6601353,-0.66563433,-0.92896694,0.34755737,4.398996,0.04560116,0.9701764,-0.6858895,1.0085286,-5.7229176,4.063593,-0.4032956,-0.70549846,-1.0452813,-0.6675644,-0.6883072,1.1657975,-0.6210087,1.2912602,-0.56211966,0.960239,-0.614634,-0.56323165,-0.5522973,-0.63386047,-0.6021892,-0.6220867,1.5386363,-0.6425023,-0.594951,0.2572809,2.7287936,2.6966257,-0.21227689,1.3708022,-0.5735487,1.5393124,2.992785,0.8418302,1.8380862,-0.57776266,-0.63940185,2.3690877,1.1186541,-0.70736444,-10.262079,-0.5991332,-0.6538212,0.6528045,0.33927616,1.8488349,-0.6476366,1.0281961,-0.68545365,3.0612037,-0.6805728,0.71763086,-0.60624576,0.22396809,1.9748294,1.66696,1.1900778,0.1875724,-0.6966202,-0.6624241,1.0850255,2.954527,1.6339096,-0.9559844,0.32239842,0.19334418,0.30897555
1986,-0.7320044,-0.65634114,-0.6098529,-0.9098042,0.6404406,2.167413,2.7475686,-0.6653421,-0.82564354,-0.10041843,-0.5991134,1.5708677,-0.033182424,1.4258122,1.1869154,0.252382,-0.6453537,2.7863631,1.9068103,1.9032968,1.3166645,0.12816085,1.0969447,-0.8490545,0.60416883,1.3526447,2.2594845,-0.8587215,1.7824388,3.399744,0.31083664,0.9809068,0.74155295,0.96161824,4.51973,0.051922143,3.115718,-0.62576395,3.7493265,0.0061152484,3.448315,-0.36158565,-0.6559245,-0.6865096,-0.7449916,3.080817,0.64257807,-1.5991085,0.81083786,-0.6938258,1.0338836,1.0018054,0.73293227,2.7804172,-0.6602424,-0.93155885,0.36269253,4.314131,0.059417207,1.3791305,-0.68725866,0.9716416,-5.3777437,4.17125,-0.24286175,-0.70545226,-1.075259,-0.66691774,-0.6853276,0.869054,-0.61348236,1.2629418,-0.6149262,0.9594802,-0.6084029,-0.5457195,-0.53842,-0.63180655,-0.60452235,-0.6206956,1.5299429,-0.64113444,-0.62278813,0.2075144,2.68939,1.6442667,-0.23345672,2.4994347,-0.5437731,1.8188204,3.073144,1.1331433,1.8690712,-0.5673082,-0.63902867,3.1113775,0.97968876,-0.7076877,-9.430484,-0.6020321,-0.6610317,0.13688396,0.82910854,2.2488923,-0.65075433,1.0211959,-0.7480149,3.1357684,-0.68088067,0.6522433,-0.6076464,0.6680355,2.1465778,1.6482605,1.1648444,0.10387798,-0.6945146,-0.69039744,1.462519,3.129044,1.7114056,-0.9284341,0.3006572,0.2836749,0.30686942
1987,-0.7322745,-0.65652364,-0.61061066,-0.9082161,0.6790457,2.7407956,2.7607405,-0.66568613,-0.825369,-0.11761887,-0.6091975,0.9278885,-0.037009668,1.4402634,1.2220435,0.22212197,-0.6480965,2.7914433,1.9277462,1.8466293,1.3818108,0.0927592,0.90895015,-0.85697055,0.17043091,1.6577659,2.7184844,-0.8594613,1.8187636,3.555444,0.22625753,0.97447854,0.9344285,0.9388515,5.1768055,0.1167853,3.153436,-0.63097435,3.8053536,0.017675474,4.0423865,-0.3447483,-0.64064395,-0.6274836,-0.7447256,3.1595345,0.879118,-1.6885471,0.7362608,-0.6936639,1.0593661,1.0071907,0.86273414,2.8586612,-0.6612593,-0.93074393,0.36015782,4.167805,0.055483256,1.3865783,-0.68376875,0.97085965,-4.7390375,4.1447554,-0.24399656,-0.7064508,-1.0621918,-0.69977134,-0.6898616,0.8117895,-0.6162392,1.3254404,-0.6168618,1.0198302,-0.57014805,-0.5526631,-0.536847,-0.62719256,-0.60238,-0.6085495,1.6892706,-0.63925004,-0.6007064,-0.021941653,3.567356,1.7125068,-0.27936947,2.7967033,-0.5430864,1.8917968,2.9802852,1.2951745,1.8019291,-0.56652045,-0.6078981,3.28254,1.0369626,-0.6840317,-9.062584,-0.5980942,-0.662795,-0.008026689,0.79104155,2.4033403,-0.649586,0.76550525,-0.7482178,3.7052636,-0.6807952,0.5472186,-0.6043457,0.80218285,2.5820112,2.0336008,1.1406997,1.1004262,-0.6881076,-0.7407224,1.4920665,3.0587504,1.8503506,-0.93708843,0.30773008,0.21721908,0.007240803
1988,-0.7315554,-0.65710557,-0.608098,-0.9100857,0.5730824,2.924448,2.785416,-0.66665775,-0.82569075,-0.056449667,-0.6041403,0.91539437,-0.03858156,1.476254,1.5536466,0.19278598,-0.6770012,2.832802,1.9707861,1.8341408,1.3357582,0.0557939,0.4879375,-0.8563025,0.12416011,1.6131401,2.8808773,-0.8597321,1.8306707,3.5559554,0.20661387,1.0475695,1.3959002,1.124503,5.558259,0.016672231,3.1659486,-0.63528514,3.9516625,0.024939047,4.4459715,-0.3520663,-0.6500352,-0.6266296,-0.7441153,3.0925107,0.6379563,-1.8065976,0.7607467,-0.6864317,1.0535934,1.4303923,0.8927048,3.1227434,-0.65619236,-0.93150616,0.37521377,4.315214,0.06550427,1.0063564,-0.68373185,0.85795385,-4.552308,4.3023086,-0.11959904,-0.68035555,-0.9292439,-1.9975827,-0.6880947,0.77531,-0.6105595,1.3716125,-0.6090942,1.3397131,-0.6133945,-0.54914445,-0.5409755,-0.6257271,-0.54917973,-0.62127787,1.6421874,-0.6402916,-0.6336062,0.23919712,3.859495,2.8404925,-0.40481952,2.907219,-0.496987,1.8251064,2.857933,0.9918035,1.81557,-0.56877106,-0.60695666,3.3398921,1.1240518,-0.68390244,-6.9642663,-0.59472376,-0.65408254,-0.01812662,0.40483403,2.5038562,-0.6491994,1.1350001,-0.7481627,3.9583986,-0.67989045,0.217209,-0.606864,0.78956914,2.502541,2.164436,1.2969044,2.2162693,-0.64265233,-0.7405718,1.5125372,3.0225742,1.8026894,-0.9275693,0.33597636,0.25719646,-0.03986253
1989,-0.73288834,-0.6564564,-0.61031234,-0.8732415,0.6076553,3.2672799,2.8210154,-0.64708066,-0.8275564,-0.051041212,-0.6085323,1.3660136,-0.00925251,1.9242437,1.7264854,0.16956463,-0.62505776,2.9025292,2.1178958,2.0530794,1.3338552,0.056932773,0.95999837,-0.86293733,0.039945107,1.4750539,3.0445306,-0.8504301,1.8527076,3.456786,0.041598316,1.0808884,1.4609382,1.664969,5.8235416,0.029542161,3.2567835,-0.6233388,4.0655074,0.010296361,4.778864,-0.37830082,-0.62651926,-0.6246304,-0.69544506,3.073248,1.007696,-1.811005,0.9269231,-0.69266355,1.1515646,1.6322877,0.8429653,3.2622218,-0.062464114,-0.93473184,0.36996916,4.17251,0.08449899,0.9382304,-0.6839017,0.44024497,-4.4802012,4.675623,-0.25785542,-0.7011249,-0.90522295,-2.2964902,-0.68973446,0.8389251,-0.61266035,1.5820874,-0.5945609,1.3522826,-0.6671497,-0.53003776,-0.4495922,-0.6307089,-0.55298615,-0.64692867,1.6774591,-0.6374881,-0.63047063,0.31941918,3.914303,3.3092928,-0.4028285,3.0179722,-0.6288486,1.8703799,2.5509112,1.3049783,1.8087262,-0.5642026,-0.6000388,3.3257713,1.3209597,-0.6643783,-2.8543634,-0.5665647,-0.6532976,0.047296606,0.86360747,2.4098437,-0.6479489,1.3095317,-0.7489255,4.1677775,-0.6797611,0.8856653,-0.6035478,0.7677652,2.9479792,2.282199,2.0578103,2.6127548,-0.62794423,-0.74027336,1.3651253,3.100978,1.9347936,-0.87710035,0.37885094,0.24268802,-0.035695963
