Date,AND,ARE,ARG,ARM,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BTN,CHN,CMR,CPV,CUB,CYP,CZE,DEU,DMA,DNK,DZA,ECU,ESP,EST,FIN,FJI,FRA,GLP,GRC,GTM,GUF,HKG,HRV,HUN,IND,IRL,IRQ,ISL,ITA,JAM,JOR,KAZ,KEN,KGZ,LBN,LIE,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MKD,MLT,MMR,MNE,MNG,MTQ,MUS,MYS,NER,NLD,NOR,OMN,PAN,PER,PHL,POL,PRT,PSE,REU,ROU,RUS,SAU,SGP,SLV,SRB,SUR,SVK,SVN,SWE,SYC,SYR,TGO,THA,TTO,TUN,TUR,TZA,UKR,UZB,VCT,ZAF
2000,,,,120.43,,3.24,,,,,,196.78,,7.12,3.22,,,6.57,,,,,,,,,,,,,,,,,,,,13.61,,,6.84,,,,,3.83,,,,1277.38,,,,,,,0.34,4.17,9.39,0.68,,,,,,,,,15.02,,,,,0.09,,,,,1.6,12.46,,,,29.97,,,,,,,,,,26.15,,,,0.0,53.46,,,
2001,,,,119.85,,1.98,,,,,,191.71,,9.72,,,,7.48,,,,,,,,,,,,,,,,,,46.32,,11.33,,,,,,,,3.81,,,,1250.56,24.66,,,,,,0.36,,10.76,0.54,,,,,,,,,17.85,,,,,0.25,,,,,,,,,,49.47,,,,,,,,,,26.36,,15.11,,0.0,52.53,,,
2002,,,,121.71,,1.17,,0.23,,,,187.08,,11.53,,,,7.81,,0.13,,,,,8.09,,,,,,,,,,,51.01,,9.36,,,,,,,,3.79,,,,1295.66,22.6,,,,,,0.4,,17.54,0.55,0.11,,,,,,,,19.09,,,,,0.44,,,,,,,,1446.79,,46.45,,,,,,,,,,27.58,,14.88,,0.0,36.03,,0.0,
2003,,,,111.57,,3.17,,,,,,43.19,,12.31,,,,9.08,,,,,,,8.07,,10.14,,,,,,,,,51.58,,8.6,,,,,,,,3.77,13.64,,,1264.47,,,,,,,0.38,,24.58,0.88,,,,,,,,0.72,18.63,,,,,0.53,,,,,1.82,,,1981.92,,51.35,,,,,,,,0.0,,27.79,8.46,,,0.0,51.19,,,
2004,,,,114.62,124.0,1.31,499.0,,0.03,,1542.0,39.6,,15.42,,,,7.67,0.34,,54.68,153.0,142.0,242.0,8.05,59.0,,,73.0,5382.0,412.0,,140.0,,31.0,48.4,,6.89,26.0,135.0,,178.0,,29.0,106.0,3.75,6.04,45182.39,,1247.98,,,,27.0,270.0,7.0,0.42,,19.92,0.48,,,110.0,,,,,,18.54,37.63,131.0,146.0,,0.47,,,42.0,216.0,1.32,,107.0,989.01,,65.1,,,,79.0,54.0,181.0,,,,27.68,22.86,,15.0,0.0,51.21,,,
2005,,,,113.65,,1.48,,,0.03,,,42.36,,19.33,,,,8.9,0.55,,83.71,,,,8.04,,,,,,,,,,,45.61,,6.79,,,,,,,,3.74,12.57,107581.23,,1195.08,,,,,,,0.43,,14.29,0.43,,,,,,,,,21.17,39.98,,,,0.47,,,,,1.6,,,990.94,,78.03,,,,,,,,,,27.55,23.28,,,0.0,51.41,,,
2006,,,,116.4,116.0,3.37,383.0,,0.04,,1783.0,39.9,,24.18,,,,8.26,0.57,,111.33,23.0,128.0,263.0,8.03,69.0,,,91.0,4914.0,515.0,0.0,140.0,25.26,25.0,61.32,15.54,8.48,179.0,129.0,6.94,166.0,,,128.0,3.72,,16683.01,,1110.59,,302.55,,29.0,495.0,29.0,0.44,,14.26,0.43,,,126.0,,,,25.74,,41.63,,314.0,261.0,,0.53,,134.08,62.0,576.0,1.41,9.33,50.0,976.78,,92.05,,,,99.0,58.0,292.0,,,,27.63,22.92,,0.0,0.0,50.89,,,
2007,,,,120.58,,1.18,,,0.03,0.14,,33.64,,32.82,,,,8.16,0.46,,125.76,,,,8.03,,9.57,,,,,0.0,,14.29,,0.06,11.09,8.66,,,,,,,,,,16317.99,,1047.51,,1321.58,,,,,0.46,,18.34,0.67,2.31,,,,,,11.92,5.6,42.04,,,,,0.34,,12.62,,,2.28,1.17,,2009.9,,105.29,,,,,,,,,0.31,27.67,25.67,,,0.0,55.82,,,
2008,,,,146.56,160.0,2.7,553.0,,0.04,,1741.0,,2.68,53.34,,,,10.2,0.49,,,30.0,145.0,272.0,8.03,76.0,,,79.0,5638.0,407.0,0.0,170.0,3.91,23.0,0.08,2.43,8.07,51.0,67.0,5.16,166.0,0.09,285.0,117.0,,195.06,27992.01,,1044.1,,217.85,,36.0,407.0,31.0,0.85,8.09,21.39,0.39,,3.0,135.0,,,,8.71,5.75,47.17,,271.0,304.0,,0.48,,1807.51,39.0,54.0,3.12,1.27,26.0,858.8,,97.55,,1078.33,0.01,98.0,76.0,224.0,,,,46.56,30.08,,14.0,0.0,49.96,,,
2009,,,,148.78,,14.46,,,0.04,,,,2.48,77.94,,,,10.68,0.45,,,,,,8.02,,,,,,,0.0,,2.1,,0.0,2.81,7.73,,,,,,,,,15.99,13873.3,,1049.79,,228.74,,,,,0.83,,12.37,0.45,,,,,,,8.82,5.9,60.44,,,,,0.66,,20.45,,,3.7,1.21,,985.02,,71.05,,1304.17,0.01,,,,,,,45.25,,,,0.0,26.83,,,
2010,,40.17,,147.78,176.0,15.15,438.0,,0.0,,1833.0,59.67,2.71,94.35,,9.17,,11.77,,,58.52,45.0,130.0,244.0,8.03,221.0,,,64.0,6731.0,477.0,0.0,178.0,18.58,26.0,20.72,2.67,5.72,17.0,54.0,,432.0,0.5,26.0,144.0,,8.94,18229.49,,1058.9,,784.42,,34.0,750.0,32.0,0.83,,,0.24,,73.0,60.0,,,,10.48,6.06,107.51,,270.0,361.0,,0.84,,14.23,39.0,64.0,1.02,5.39,34.0,798.41,,84.05,,1458.27,0.01,77.0,57.0,270.0,,,,46.29,,,44.0,0.0,36.34,,,
2011,,43.18,,158.04,,19.84,,,0.0,,,58.29,,97.17,,9.29,,25.28,,,44.31,,,,8.03,,,,,,,0.0,,4.92,,0.0,2.88,5.04,,,6.28,,,,,,173.06,24943.39,,1828.59,,482.63,,,,,0.8,,,0.86,,,,,,,3.94,13.26,112.44,,,,,0.84,,51.69,,,,2.82,,838.16,,81.91,166.5,1679.09,0.01,,,,,,,49.48,,,,0.0,31.52,,,25.15
2012,,42.59,,161.44,126.0,31.31,251.0,,,0.19,1835.0,62.55,246.0,136.46,,8.97,,25.36,,,49.98,36.0,141.0,273.0,8.01,218.0,,,67.0,6925.0,305.0,0.0,173.0,22.48,27.0,0.0,3.61,4.69,28.0,71.0,6.2,104.0,3.53,51.0,151.0,,,20812.45,,875.4,,385.45,0.04,46.0,593.0,47.0,0.71,,,1.11,,329.0,91.0,0.01,337.0,,12.16,13.76,96.24,,290.0,271.0,,,,7.96,46.0,70.0,1.08,8.65,34.0,791.38,,53.99,164.05,1903.04,0.01,68.0,65.0,283.0,,,,68.11,,,53.0,0.0,30.13,,,
2013,13.68,42.71,,199.58,,21.1,,,,,,58.57,,146.05,,8.91,,22.94,,,43.86,,,,8.02,,,0.53,,,,0.01,,29.47,,1.12,2.76,4.48,,,,,,,,,6.16,22035.06,,1391.24,,389.36,0.4,,,,0.73,8.56,8.51,1.22,,,,0.0,,,9.12,14.29,98.41,,,,,,,90.04,,,,9.21,,810.42,,60.75,121.38,2215.27,0.01,,,,,,0.16,47.47,86.39,,,0.0,20.39,,,
2014,29.06,49.37,,199.46,149.0,46.87,264.0,,,,1690.0,55.86,2.0,177.85,,9.28,,26.23,,6.5,36.37,203.0,110.0,269.0,7.96,304.0,,0.63,64.0,7919.0,366.0,0.01,163.0,29.11,20.0,1.3,6.72,4.33,31.0,60.0,5.68,104.0,0.19,111.0,146.0,,,19179.69,,1758.22,,310.19,0.34,56.0,426.0,52.0,0.8,,8.43,0.38,,20.0,85.0,0.01,436.0,,44.67,14.84,76.93,,287.0,310.0,,,,24.66,44.0,71.0,1.04,9.81,30.0,861.73,,73.81,181.6,1785.0,0.01,69.0,75.0,265.0,,,,38.49,85.26,,44.0,0.0,16.38,1.26,,
2015,24.92,46.66,,192.83,,19.44,,,,,,55.01,,124.51,,9.53,,28.53,,,26.71,,,,7.88,,,0.61,,,,0.01,,55.14,,0.71,4.63,4.56,,,5.9,,0.55,,,,,14104.45,,1774.98,,208.68,0.42,,,,0.77,,8.49,2.22,,,,0.01,,,20.99,15.43,93.94,,,,,,,42.05,,,,8.57,,760.94,,79.09,184.01,2203.77,0.01,,,,,,,49.01,84.86,,,0.0,13.06,1.27,,
2016,26.52,40.98,16.77,214.76,144.0,63.01,336.0,,,,1870.0,51.39,4.0,167.55,,9.51,,37.23,,,20.36,187.0,103.0,280.0,7.88,351.0,,0.66,68.0,7358.0,435.0,0.01,165.0,25.2,47.0,0.3,,,42.0,47.0,3.85,112.0,0.49,143.0,160.0,,6.1,8374.07,,2056.64,,230.27,0.6,61.0,613.0,34.0,0.87,,269.97,1.9,,28.0,296.0,0.01,524.0,,41.4,16.03,87.76,,301.0,310.0,,,,14.17,50.0,81.0,,9.13,32.0,677.17,16.74,83.86,170.95,2441.0,0.01,91.0,60.0,240.0,,,,49.03,,,70.0,,13.85,1.36,,
2017,20.69,56.31,22.77,188.58,,18.59,,,,,,49.27,,171.82,,8.3,0.57,46.67,,,20.74,,,,7.84,,,0.74,,,,0.02,,27.7,,0.94,3.27,,,,5.3,,0.43,,,,6.11,6927.41,0.78,2066.28,,245.81,0.4,,,,0.87,,259.78,2.73,,,,0.01,,,23.27,16.66,63.09,,,,,,,19.66,,,,9.6,,740.65,,81.79,189.61,,0.0,,,,,,,37.05,,,,0.0,13.55,2.64,,919.41
2018,19.3,66.84,17.56,180.1,149.0,31.44,343.0,,,,1912.0,54.56,4.0,226.85,,23.6,,52.71,,,34.04,258.0,159.0,292.0,7.79,361.0,,0.87,69.0,8230.0,344.0,0.02,180.0,28.78,58.0,,5.74,,43.0,56.0,6.9,130.0,0.52,92.0,168.0,,6.24,8089.42,,,,294.8,0.26,69.0,708.0,40.0,0.79,,269.64,3.49,,10.0,68.0,0.01,546.0,89.76,51.6,,72.69,,298.0,308.0,24.75,,,9.13,100.0,108.0,,8.68,38.0,876.23,31.21,92.59,195.09,2199.0,0.0,83.0,62.0,283.0,,,,26.62,,,183.0,0.0,14.12,2.91,,
2019,17.08,75.7,17.24,202.27,,29.02,,,,54.27,,61.89,,213.49,,28.21,0.47,57.15,,,23.14,,,,7.73,,,0.86,,,,0.02,,30.38,,,8.16,,,,6.25,,0.63,,,,6.39,9624.84,,,,201.12,0.13,,,,0.85,,329.31,2.78,,,,0.02,,97.89,11.82,,122.34,,,,117.9,,,43.7,,,,10.28,,690.25,34.53,76.71,199.55,,0.0,,,,0.57,,,28.63,,,,0.0,12.51,2.75,,
2020,15.04,44.8,21.53,9104.12,144.0,27.57,342.0,,,56.74,2012.0,,2.99,237.35,,,,51.1,,,25.23,36.0,164.0,282.0,10.67,235.0,,,70.0,1198.0,592.0,0.02,166.0,24.2,52.0,,7.84,,46.0,59.0,,178.0,0.51,113.0,168.0,,6.62,7262.04,,,,192.4,,92.0,397.0,74.0,1.2,,598.64,1.33,,202.0,81.0,0.02,553.0,139.28,17.87,,216.42,,288.0,347.0,44.73,,60.95,,59.0,91.0,,9.99,40.0,673.66,48.19,60.77,182.0,1645.0,0.0,80.0,63.0,768.0,0.44,,,27.79,,,368.0,0.0,,2.77,,
2021,15.13,,20.56,8954.81,,23.78,,,,64.17,,,,211.13,,,,,,,20.92,,,,10.61,,,,,,,0.02,,,,,,,,,,,,,,,6.79,2192.6,,,,220.39,,,,,2.77,,316.87,1.64,,,,0.02,,66.62,,,223.54,,,,152.51,,62.09,,,,,,,812.28,,,226.24,,0.0,,,,0.61,,,31.56,,,,0.0,,2.75,,
