Date,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BGR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BTN,CAN,CHE,CHL,COL,CPV,CRI,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,FIN,FRA,GBR,GEO,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IND,IRN,ISL,ITA,JAM,JOR,JPN,KAZ,KNA,KOR,LCA,LIE,LKA,LTU,LUX,MAC,MAR,MCO,MDA,MEX,MKD,MLT,MMR,MNE,MNG,MUS,NIC,NLD,NZL,OMN,PAN,PER,PHL,PRI,PRY,PSE,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,THA,TJK,TTO,TZA,UGA,URY,USA,UZB,VAT,VCT
2005,,,,,0.2328404,,0.16753316,0.15797396,,0.5588008,10.468342,,,,,,,,,0.66275847,,,35.04239,,,,,,,,,,,,,0.22874214,,,,,0.9112904,,,0.014474952,,,0.22849862,,,,,,,,,,,,,,,,,,,,,,0.24194358,,,,,,,,,6.4593525,,,,,,,0.4907726,,,0.5508501,,,,,,,,,3.4350448,,,4.44644
2006,1.7372444,,,,0.5350496,,0.19912037,0.21765684,,0.57589406,9.472551,,,,,,,,,0.5708325,,,32.594627,,5.021591,,,,,,,,,0.25755617,,0.3607883,,,,,0.9079807,,,0.014427745,,,0.099503055,,,,,37.31996,,,,,,,,,,,,,,,,1.1966114,0.0,,,,,,,,,7.496242,,,,,,,0.61240304,,,0.14976682,,,,,19.871965,,,,3.4228208,,,3.5709822
2007,2.1833432,0.0,,,0.7395408,,0.16225594,0.15668404,,0.71175426,12.169771,,0.28233424,,,,,5.1605577,,0.56508833,,,32.293003,,5.159526,,0.43530652,,,,,,,0.34885284,,0.45379686,,,,,1.8096026,34.983784,,0.0,,,0.11959241,,,0.32087225,,46.060867,,,,,,,,5.0408573,,0.4164324,,,,,,1.248816,0.4793904,,,0.61350507,,,0.24196441,0.14207016,,8.407297,,,,,,46.507183,0.56127304,,,0.44683695,,,3.5870552,,22.19168,,,,3.3557043,,,18.828762
2008,1.8710759,1.1976837,,,0.6081102,,0.14037985,0.096116275,,0.6767883,12.844838,,0.27284104,,0.0,,,4.033522,,0.6009133,,,29.612324,,7.8152175,,0.2601584,,,,,,,0.55436,,0.5646127,,0.06609993,,,0.9017458,37.58116,,0.0,,,0.11980045,0.33950615,,0.0,,45.970947,,,0.48092946,,,,,3.3253548,,0.20450296,,,,,,0.8209253,1.1934057,,,0.45550755,,,0.22292839,0.16424893,,14.825825,,,,,,35.11189,0.6573406,,,0.09876126,,,3.1115134,,31.41206,,1.1493292,,3.1242383,,,13.510045
2009,1.9247136,0.0,,,0.30554911,,0.15608494,0.16776381,,0.57425123,14.332571,,0.23140024,,6.2927713,,,3.2832036,,0.5380418,0.3101719,,28.93055,,7.51146,,0.19192044,,,,,,,0.44913447,,0.44953448,,0.07519251,,,0.0,38.02158,,0.0,,,0.06999035,0.25238168,,0.0,,47.168518,,,0.66787624,,,,,1.2718947,,0.4014561,,,,,,0.63088465,0.0,,,0.37518862,0.0,,0.24574222,0.25555816,,18.712927,,,,,,54.90818,0.6599018,,,0.09825075,,,2.8229148,,26.46738,,1.1096573,,2.986461,,0.0,5.429471
2010,3.004724,0.0,,,0.3411714,,0.1716228,0.1434533,0.29518357,0.4302464,18.776659,0.68215126,0.18965833,,10.984613,,,3.9964614,,0.5117423,0.16611819,0.7333484,27.97845,,7.660292,,0.12423505,,,,16.476284,,,0.482084,0.14944342,0.27967593,,0.10316399,,,0.0,34.54456,,0.0,,0.65098935,0.15031372,0.24640495,,0.0,,39.9117,,,0.5701792,,,,0.0,0.38315848,,0.0,,,,,,1.3648517,0.47320423,,,0.14805317,0.15591995,7.111173,0.19676547,0.16100205,,16.039532,,,,,0.17426306,48.15227,0.5678849,,0.3152906,0.2934542,0.15994486,,3.3071132,,25.673311,0.06702639,1.0188078,,2.8528001,,0.0,8.184906
2011,2.9537997,0.0,,,0.20524956,,0.13790174,0.119143076,,0.5555537,25.28724,0.18707587,0.22168888,,7.8452907,,,5.0699105,,0.46012998,0.27797532,0.99125075,28.21058,,6.5078278,0.26166764,0.17150189,,,,15.816005,,,2.0188146,0.114898406,0.29694292,,0.078728646,,,0.0,31.611414,4.4226856,0.0,,0.30367985,0.13069692,0.26712126,,0.0,,28.690521,0.7619889,,0.5859603,,,,,0.34270948,,0.0,,,,,,0.9311692,0.0,,2.5288947,0.1457099,0.0,,0.29078296,0.06845095,,15.676168,3.064419,,,,0.17007186,50.015377,0.36660582,,0.2408251,0.48808965,0.17990829,,2.8301392,,17.921366,0.08472852,,2.9156933,2.7548106,,0.0,9.145073
2012,3.4364214,0.0,,,0.2395187,,0.17503445,0.023720287,0.21330647,0.34166944,23.17099,1.0081432,0.13737604,,7.855953,,,2.527646,,0.48965544,0.16252181,0.6507177,28.272495,,5.5961347,1.029692,0.09517161,,,,14.478059,0.10625252,,,0.11059518,0.3140024,,0.054721285,,,0.0,28.005957,3.4839075,0.0,68.59377,0.3756542,0.14117709,0.29569682,,0.0,,28.062025,1.0412372,,0.5316043,,,,,0.29287475,,,,,,,,0.7399046,1.1720293,,,0.1430892,0.0,,0.2896804,0.06800136,,12.821688,3.6615453,,,7.0883403,0.16606122,26.234978,0.17748354,,0.2590256,0.19480637,0.17858106,,2.8803463,,20.80055,0.08443403,,4.8869686,2.7923594,,0.0,11.035954
2013,3.0953655,0.0,,,0.37638775,,0.14201935,0.04716199,0.29460013,0.3303692,,0.5815791,0.11622436,,4.7189474,,,3.241316,,0.37967405,0.22246386,0.92723435,25.823599,4.2949877,5.8946424,0.5068017,0.095136955,,,,,0.119747475,,,0.11310192,0.2757833,,0.055909835,,,,27.672104,5.8664985,0.0,62.985996,0.23571578,0.121342696,,0.49617803,0.0,,31.756443,,,0.40440857,,,,,0.20132191,,,,0.023677345,0.0,,,0.6457125,1.1669905,,0.7896368,0.28051665,,,0.16502562,0.17961983,,,4.225647,,,6.402065,,27.334158,0.39856082,,0.24027702,0.09725538,0.27081585,,,,22.652414,0.10240838,,4.7528844,2.640961,,0.0,
2014,2.4106762,0.0,,,0.27374554,,0.15257081,0.10529003,,0.24918842,27.465485,0.64519227,0.21113288,20.348358,3.1481686,,,6.1074624,,0.4349746,0.08546763,1.4274362,21.176655,5.0748987,6.859489,0.24962546,0.09508211,,0.0,,11.080383,0.10457841,4.334235,,0.119862534,0.20140308,,0.03545776,0.76458335,,,26.323635,,0.013662134,53.745274,0.37919372,0.030417196,,0.532502,0.0,,25.59285,,,0.25819075,,,,,0.23668687,,0.17976591,0.0,0.005847136,,0.119663425,9.97126,1.1512471,0.69047344,,1.9006122,0.27462733,,,0.2348784,0.13265581,,11.279257,4.2270136,,17.669992,5.766242,,48.75908,,,0.24006365,0.19432564,0.28876597,,,,21.391405,0.15292491,,4.8564887,2.5724556,,0.0,
