Date,AGO,ARG,ARM,AUT,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CIV,CMR,COD,COG,COL,CRI,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIN,GRC,GTM,HND,HRV,HUN,IDN,IND,IRL,IRQ,ITA,JAM,JPN,KAZ,LAO,LBN,LKA,LTU,MAR,MDA,MEX,MLI,MMR,MOZ,MUS,MYS,NAM,NER,NGA,NLD,NOR,NPL,PAK,PER,PHL,PRT,PRY,QAT,ROU,RUS,SDN,SLE,SLV,SRB,SVK,SWE,TGO,THA,TJK,TTO,TUN,TUR,TZA,UGA,UKR,USA,UZB,VEN,ZAF,ZMB
2007,,,,,,,289.0,,,,,,,,,,,,,6.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,16.0,19.0,,,,5.0,,,,37.0,,,,,16.0,,,144.0,,7.0,,,,,,,,,,,
2008,,,,,,,161.0,,,,61.0,,,,,,,,,,,,59.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,5.0,45.0,,,,12.0,,,10.0,23.0,,,,,9.0,,,213.0,,,,,,,,,,,,,
2009,,,5.0,,,,603.0,,,,,7.0,,,,,,,,,,,73.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,19.0,6.0,,25.0,,,30.0,,32.0,,,,,15.0,,,203.0,,5.0,,,,,,,,,,,
2010,,7.0,,,,,426.0,,,,,,,,,,,,,,,,13.0,,,,,8.0,,,,,18.0,,,,,,,,,,6.0,,,,,,,,,,,,26.0,,29.0,,,,,,170.0,7.0,,,,107.0,,,,,37.0,,,,,5.0,,,155.0,,5.0,,,,,,,38.0,,,,
2011,,11.0,,,,,799.0,,10.0,7.0,,,,,,,,,9.0,,,,18.0,,32.0,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,7.0,15.0,,9.0,,,,,,141.0,10.0,26.0,,,26.0,,,,,30.0,,,,,6.0,,,90.0,,,,,,,,,41.0,,9.0,,
2012,,5.0,,,,,,,11.0,,5.0,58.0,,18.0,,,,,,,,18.0,13.0,,9.0,,16.0,,,,,,42.0,,,,,6.0,,,,,13.0,,102.0,21.0,,,,,,,,6.0,,,,10.0,,,,,105.0,25.0,30.0,,,,15.0,,,,43.0,,,,,6.0,,,,141.0,,,,,,,,63.0,15.0,5.0,,
2013,,10.0,,,,,,,17.0,,,28.0,,,,,,,,,,31.0,14.0,,,,50.0,24.0,,,,,44.0,,6.0,,,6.0,,,,,9.0,,92.0,,,,,,,,,8.0,,,,,,,,,387.0,32.0,10.0,,,,28.0,,5.0,,22.0,,,,,5.0,,,,107.0,,,,,,236.0,,43.0,30.0,,,
2014,,6.0,,,,,351.0,,12.0,13.0,,23.0,,,,,,,,,,,7.0,,,,10.0,48.0,,,,,52.0,,12.0,,19.0,,,18.0,,,8.0,,110.0,,,,42.0,,,,,,12.0,,,,,,,,458.0,65.0,18.0,,,23.0,39.0,,6.0,,10.0,,,,,,,,,57.0,6.0,,,,,,,55.0,25.0,,,
2015,,13.0,,7.0,,,,,,,,22.0,,,,,,,,,,8.0,7.0,5.0,,,,37.0,,,,68.0,41.0,,16.0,,,17.0,,35.0,,,6.0,,89.0,,,,23.0,,,5.0,,,368.0,,46.0,,10.0,,,18.0,288.0,70.0,15.0,,,61.0,22.0,,,,40.0,,,,,,,,,169.0,6.0,,,17.0,,,5.0,65.0,27.0,,,
2016,,12.0,,,,,,,,,7.0,28.0,,,,6.0,,,,,,,8.0,,20.0,7.0,,,,,13.0,62.0,39.0,,12.0,5.0,,7.0,6.0,43.0,,,9.0,,96.0,,,,,,,,,,41.0,,15.0,,,,,18.0,112.0,54.0,9.0,,,29.0,40.0,,13.0,,42.0,,,,,,5.0,,,42.0,5.0,,72.0,,,,,83.0,34.0,,,
2017,12.0,21.0,,5.0,,174.0,564.0,,,,7.0,141.0,,79.0,,,9.0,,,,,,62.0,,13.0,,10.0,20.0,,,10.0,141.0,1304.0,,10.0,,,25.0,7.0,,,2037.0,,,74.0,,,6.0,,,,,9.0,17.0,90.0,24.0,12.0,,,56.0,,44.0,360.0,39.0,,,,92.0,,,,,79.0,34.0,,,,,,,,49.0,5.0,,160.0,80.0,,41.0,,146.0,11.0,,,
2018,5.0,15.0,,,,,,,,,17.0,105.0,5.0,,,110.0,,,,,,,8.0,10.0,44.0,,30.0,57.0,11.0,5.0,6.0,81.0,2248.0,,,,,5.0,,,10.0,1587.0,,,79.0,,,,,,,,,11.0,87.0,,,,,11.0,8.0,7.0,139.0,10.0,,50.0,,33.0,,,,,30.0,89.0,17.0,,6.0,,,,,48.0,5.0,,95.0,,,49.0,,192.0,17.0,,5.0,
2019,5.0,31.0,,6.0,,279.0,,,,,10.0,37.0,15.0,,,50.0,,,,,13.0,,8.0,5.0,11.0,,,,7.0,,7.0,87.0,3470.0,15.0,,23.0,,,7.0,,,1725.0,,12.0,108.0,,,,,6.0,5.0,,,18.0,,,12.0,,,,10.0,,150.0,,,,6937.0,37.0,,5.0,9.0,,39.0,44.0,,7.0,,,,,11.0,136.0,5.0,17.0,151.0,8.0,64.0,,,188.0,23.0,,,
2020,,24.0,,,,593.0,806.0,,,,,31.0,,,,,9.0,,,5.0,6.0,,22.0,8.0,11.0,,,148.0,,,6.0,49.0,3903.0,10.0,,39.0,,8.0,,5.0,,1350.0,,,100.0,,,,,,,,37.0,,55.0,,,,,,,,154.0,,,396.0,1022.0,26.0,,,59.0,,49.0,53.0,,9.0,,,,,13.0,15.0,,,44.0,58.0,43.0,35.0,,264.0,15.0,,,
2021,,55.0,,,6.0,900.0,434.0,,,22.0,19.0,34.0,6.0,,,34.0,,,,,,,68.0,68.0,8.0,,,91.0,,,20.0,99.0,4296.0,149.0,,24.0,,10.0,5.0,9.0,,1486.0,,,96.0,,,,,,,,15.0,,5.0,,,,,33.0,,,183.0,9.0,,,1310.0,43.0,52.0,16.0,,,27.0,,,17.0,,16.0,,12.0,21.0,15.0,,,,50.0,44.0,85.0,,409.0,20.0,17.0,,
2022,,21.0,,,11.0,675.0,,45.0,,,19.0,39.0,43.0,,,136.0,,,,,8.0,,36.0,5.0,,,,,9.0,,5.0,118.0,,,5.0,26.0,14.0,12.0,,,,1908.0,,,36.0,,,,,,,,,,17.0,,,,,6.0,,27.0,245.0,13.0,,,2170.0,26.0,,7.0,7.0,,39.0,,,15.0,,5.0,,16.0,,43.0,,,174.0,25.0,26.0,227.0,,652.0,13.0,8.0,5.0,
2023,,,,,,,,20.0,,,,,,,7.0,,,40.0,,,10.0,,,,,,,,,,,40.0,,,,40.0,,16.0,6.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,15.0,13.0,,,,,,,6.0
