Date,ATA,GRL
2002,-6.468571428571428,-143.8642857142857
2003,-115.18636363636364,-234.0
2004,-262.3025,-450.575
2005,-228.3766666666667,-663.2733333333333
2006,-129.98749999999998,-921.9075
2007,-316.4766666666667,-1196.138333333333
2008,-587.1558333333334,-1461.2908333333337
2009,-562.3166666666667,-1687.450833333333
2010,-840.7783333333333,-2067.9958333333334
2011,-938.9911111111112,-2532.7755555555555
2012,-1073.6909090909091,-2926.0954545454547
2013,-1283.9811111111112,-3273.0244444444447
2014,-1494.7244444444443,-3430.616666666667
2015,-1846.2455555555557,-3612.62
2016,-1768.3211111111111,-3850.635555555556
2017,-1801.952,-3990.566
2018,-2146.672,-4136.138000000001
2019,-2267.945,-4456.304166666667
2020,-2539.055,-4842.508333333333
