Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1998,,,,,,,,,,,,,,10900.0,,,,,,,,,,,,1000.0,,,,,,140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500.0,,,,,,,,,,,,,,,,,,11000.0,,,,,,,,,,,,,,,32000.0,,,,,,,14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75500.0,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706000.0,,,,,,,,,,,,
1999,,,,,,367.0,,,,,50900.0,,,23000.0,,,,,,,,,,,,7000.0,,,,,,582000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000.0,,,,,,,,,,,,,,,,,,86500.0,,,,,,,,,,81.0,,,,,216000.0,,,,,,,278000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,297.0,,,,,,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750000.0,,,,,,,,,,,,
2000,,,,,,1973.0,,,,,190500.0,,,144215.0,,,,,,,27.0,,,,,100000.0,,,,,,1410930.0,56416.0,7680.0,22660.0,,,,,8872.0,,,,,,,,2500.0,265000.0,4.0,80.0,67000.0,,,,,,76358.0,,,35000.0,,196601.0,,,,52890.0,,,,,,,,,,,,,,444450.0,,,,3400.0,4000.0,,,176.0,,2358.0,,115000.0,,,854655.0,,,,,,,3870000.0,,,,,,,,,,,,284.0,3731.0,,800.0,,,,15000.0,,,,1656.0,,,,,,,,,,,,,700.0,260000.0,23297.0,,,4658.0,,,,,1078.0,,,,,,25154.0,150.0,,,,,,,,,,69000.0,,,,,,,,,,,,249000.0,,,,,,,,,,,,,,,,,,,7069870.0,,,4473.0,,,,,,,,21.0,
2001,,,,,,8374.0,94000.0,6.0,,122800.0,320600.0,,,460011.0,,,,,1176.0,4139.0,68.0,,,,,331000.0,,1896.0,,,,2836000.0,140000.0,66723.0,336280.0,,,,,13830.0,,,,,,,2500.0,6200.0,2100000.0,5.0,175.0,238000.0,,,2623.0,,,466600.0,17474.0,,134000.0,,601500.0,54.0,,,330960.0,430.0,,,,,,,,,,,1750.0,,716435.0,,,,31384.0,15000.0,50000.0,,661.0,,10424.0,43865.0,390000.0,3235.0,409.0,3835000.0,,,,,,,7818020.0,5000.0,,,,,,,327.0,,2427.0,1215.0,3235.0,9788.0,,2658.0,239.0,,,50000.0,,,,9157.0,,,49.0,,,,,4000.0,,132.0,,,1604.0,466200.0,88541.0,,,17267.0,,,,7771.0,,10000.0,,,12000.0,2427.0,99316.0,300.0,,25.0,,6000.0,,,14000.0,,,151000.0,,,,,,,,,,,5500.0,587000.0,,,,,,1613.0,,,,,,,10915.0,,,,,,12792800.0,,81.0,36636.0,,,,,,,,31.0,771.0
2002,,,,,1148.0,16632.0,148000.0,8.0,,258100.0,451000.0,1000.0,,815418.0,21.0,50.0,,,4980.0,7540.0,213.0,20.0,,,3330.0,731000.0,,2757.0,,,,3515000.0,455220.0,188454.0,3298490.0,,,,,34888.0,,,8989.0,,,,5879.0,15300.0,3205000.0,6.0,2238.0,451297.0,,,6499.0,50937.0,,1247500.0,46500.0,,273500.0,,1655000.0,114.0,,,1356480.0,920.0,,,,,,,,563.0,,,,,1039000.0,,,,111458.0,38300.0,82409.0,10600.0,16171.0,,24270.0,231663.0,850000.0,9000.0,3177.0,9397430.0,,,36.0,50.0,,500.0,10405500.0,10500.0,,0.0,,,,1437.0,592.0,,20000.0,5827.0,10000.0,16954.0,2000.0,4904.0,418.0,,190.0,231486.0,,,,17679.0,,,90.0,,,285.0,,19302.0,,700.0,,,2319.0,1170970.0,205307.0,,,43500.0,97.0,,,12235.0,37401.0,21000.0,,,121684.0,22732.0,260591.0,500.0,,32.0,228.0,15800.0,11000.0,,34782.0,,1200.0,270000.0,,,,,,,,,94.0,4083.0,56735.0,840000.0,,,,,,,,,,11.0,176.0,26.0,21205.0,,,,,,19881500.0,,1086.0,78151.0,,,1076.0,,,,2669.0,48.0,2847.0
2003,1399.0,,,,3601.0,30327.0,258849.0,10.0,,516800.0,601000.0,,,1242930.0,21.0,145.0,,,9737.0,10941.0,1500.0,123.0,940.0,,5740.0,966252.0,27319.0,3838.0,,,,4513000.0,783874.0,352234.0,11219000.0,413.0,,,,64436.0,,,14878.0,,,,10033.0,34690.0,4470000.0,,2651.0,718299.0,15000.0,18000.0,6916.0,54850.0,,2121930.0,90300.0,57.0,491100.0,,3569380.0,394.0,6.0,170.0,3113700.0,1410.0,,,,,,,10476.0,,119.0,,,,1267970.0,,3400.0,,264311.0,61600.0,140362.0,41800.0,18700.0,,41571.0,633100.0,2250000.0,9000.0,4996.0,14917200.0,998.0,,139.0,419.0,,2000.0,11178500.0,13000.0,25.0,0.0,,,1400.0,1500.0,3417.0,,66790.0,15351.0,19533.0,27774.0,2712.0,6535.0,597.0,,503.0,428371.0,,,,22736.0,,,500.0,,,1184.0,69.0,110402.0,,1668.0,,,4403.0,1988000.0,398758.0,,,83000.0,136.0,,,15039.0,93908.0,55000.0,,,195752.0,54337.0,502030.0,500.0,,946.0,2991.0,196106.0,343000.0,,45982.0,,2383.0,417100.0,,,19601.0,600.0,,,,,216.0,22461.0,57992.0,1095000.0,,,,,,11611.0,10.0,,9.0,22.0,884.0,259.0,199324.0,,,,,,27744300.0,2757.0,1146.0,116997.0,,,9180.0,15.0,,,20313.0,91.0,6386.0
2004,6963.0,200.0,,,6282.0,56146.0,542879.0,1000.0,1662.0,1012000.0,870000.0,,,1619940.0,81.0,154.0,,6651.0,14956.0,12803.0,6637.0,750.0,2827.0,,8723.0,3157470.0,29630.0,6262.0,,,,5416000.0,1227400.0,478883.0,24939600.0,826.0,,,,127113.0,1.0,283.0,27931.0,,,,17070.0,235996.0,7000000.0,,3253.0,1017590.0,37257.0,36000.0,11620.0,79217.0,,3401410.0,138677.0,35.0,800000.0,,6561040.0,3134.0,26.0,650.0,6123910.0,1900.0,900.0,,,36.0,,,51455.0,609.0,3320.0,,,,1517740.0,,26200.0,,411111.0,84900.0,235000.0,152100.0,,,55764.0,980000.0,4724500.0,27000.0,10424.0,19557100.0,1997.0,,1907.0,780.0,,4400.0,11921400.0,20000.0,50.0,0.0,,,3800.0,4741.0,20450.0,22.0,129051.0,36500.0,49147.0,45218.0,64660.0,7606.0,2429.0,,717.0,1057280.0,,,,37642.0,,,900.0,,,2564.0,138.0,252500.0,,5146.0,77.0,,5001.0,3206000.0,671666.0,,,191695.0,668.0,,,16746.0,227610.0,89000.0,74.0,,875865.0,86303.0,838371.0,3050.0,18.0,4551.0,10915.0,104265.0,675000.0,1148.0,68700.0,793.0,7665.0,545200.0,200.0,,29321.0,1076.0,,,,,420.0,78764.0,115069.0,1410000.0,,349.0,600.0,,,164775.0,,,13.0,334.0,4233.0,2839.0,577931.0,50.0,,,,27000.0,37352500.0,5514.0,1320.0,210209.0,,1484.0,52709.0,23.0,32.0,,60000.0,250.0,8967.0
2005,12274.0,220.0,,272.0,10341.0,129320.0,926722.0,1990.0,5801.0,2016000.0,1174000.0,2184.0,,2010580.0,196.0,384.0,,165469.0,21432.0,13382.0,13702.0,1564.0,5022.0,18487.0,12973.0,3233800.0,31942.0,8126.0,,1600.0,,7004000.0,1669220.0,708564.0,37350000.0,1239.0,202.0,,,318683.0,4.0,937.0,44914.0,,,,31856.0,709063.0,10786800.0,42.0,3400.0,1343860.0,60674.0,135000.0,26786.0,140999.0,,5035200.0,179200.0,61.0,1174200.0,7000.0,9471000.0,5868.0,46.0,1530.0,9898650.0,2390.0,1904.0,,,71.0,,180.0,160113.0,3222.0,7128.0,27106.0,,2000.0,1659100.0,,116200.0,,651689.0,108200.0,1348000.0,322500.0,,,78017.0,1229630.0,6822210.0,45000.0,23551.0,23301100.0,2996.0,5399.0,2292.0,1000.0,322.0,6500.0,12190700.0,25000.0,314.0,0.0,,,7000.0,8617.0,21000.0,45.0,234081.0,70100.0,60770.0,68030.0,249138.0,9500.0,10395.0,,3260.0,1922350.0,,12436.0,,51409.0,243.0,7665.0,1800.0,,164.0,5398.0,404.0,483100.0,134.0,9600.0,212.0,500.0,10534.0,4100000.0,991349.0,,,321000.0,13240.0,219600000.0,14600.0,17567.0,352622.0,123000.0,100.0,,945159.0,118268.0,1165440.0,5600.0,7463.0,11000.0,25609.0,377090.0,1589000.0,1180.0,67798.0,1269.0,18028.0,656200.0,450.0,,42314.0,1220.0,,33486.0,,,1107.0,181538.0,196650.0,2522000.0,,948.0,2700.0,,,555495.0,,,22.0,645.0,10803.0,17573.0,1589770.0,150.0,2589.0,850.0,130000.0,48539.0,51156400.0,8271.0,3647.0,356198.0,,2967.0,210024.0,59.0,65.0,1498.0,165290.0,250.0,10185.0
2006,13953.0,500.0,7458.0,,14616.0,240620.0,1583710.0,,1541.0,3900000.0,1432000.0,3955.0,,2451590.0,1498.0,1715.0,,384672.0,38628.0,16591.0,40000.0,11419.0,7245.0,23643.0,17589.0,4767010.0,38800.0,8964.0,,1800.0,,8044000.0,2050180.0,1011650.0,50853000.0,10000.0,421.0,,,628077.0,,1814.0,83327.0,,,,63084.0,1112500.0,14977200.0,152.0,4300.0,1735320.0,102880.0,170000.0,46000.0,258526.0,,6739110.0,246800.0,261.0,1429000.0,8500.0,12711000.0,13128.0,95.0,1763.0,13013000.0,27000.0,12749.0,,,,,180.0,488180.0,5544.0,9216.0,39000.0,,,1796240.0,,251800.0,,1199190.0,194367.0,2300000.0,561700.0,100000.0,26.0,87738.0,1421000.0,8497420.0,68243.0,48622.0,26438900.0,30500.0,17723.0,2762.0,2900.0,402.0,8800.0,14042700.0,30000.0,741.0,0.0,,,7176.0,10000.0,22895.0,,368715.0,98930.0,109674.0,92217.0,391857.0,11000.0,21792.0,1361.0,6274.0,3020000.0,,36485.0,3085.0,52948.0,3961.0,,3500.0,2201.0,973.0,27895.0,,751000.0,198.0,15601.0,347.0,,19042.0,5192200.0,1244540.0,963.0,,470200.0,20065.0,284000000.0,26611.0,112738.0,484899.0,265030.0,97.0,,2911150.0,150233.0,1423690.0,6000.0,27172.0,18234.0,46773.0,1090000.0,2900000.0,1704.0,218176.0,2065.0,28926.0,787900.0,650.0,,61484.0,1480.0,,121727.0,,125.0,2656.0,304615.0,279814.0,2489000.0,,2475.0,5218.0,,,893548.0,,,29.0,633.0,20613.0,43845.0,2773690.0,250.0,2998.0,1210.0,520000.0,106582.0,60237700.0,8639.0,5618.0,537628.0,,,516569.0,95.0,98.0,2781.0,335112.0,2339.0,10200.0
2007,15996.0,500.0,11700.0,10000.0,18526.0,379800.0,2600000.0,3900.0,2266.0,,1622000.0,14600.0,,2729620.0,710.0,6732.0,43710.0,629076.0,68253.0,20500.0,84691.0,169806.0,7480.0,28799.0,33977.0,7609450.0,47133.0,11617.0,,3540.0,,9075320.0,2380590.0,1302310.0,66414000.0,10000.0,640.0,,,1207090.0,82.0,3833.0,95000.0,1946.0,,,97613.0,1496720.0,19751400.0,1092.0,5000.0,1903540.0,173752.0,287039.0,100000.0,477432.0,,8055780.0,264949.0,1036.0,1617000.0,11500.0,15750000.0,14463.0,116.0,1983.0,15606000.0,46735.0,16197.0,,,269.0,,180.0,1017480.0,7600.0,10547.0,57000.0,2700.0,2362.0,1898930.0,,387050.0,,1454510.0,778770.0,3130000.0,758722.0,200000.0,98.0,100026.0,1528500.0,10122100.0,92768.0,88818.0,28303000.0,270370.0,17737.0,3115.0,8450.0,504.0,9600.0,14710000.0,35000.0,1135.0,50000.0,,,11078.0,14200.0,63263.0,110.0,559036.0,128680.0,338559.0,110498.0,477360.0,12300.0,52806.0,2354.0,10405.0,4504420.0,,100507.0,3200.0,83982.0,6466.0,17852.0,7395.0,6367.0,4000.0,35132.0,934.0,1035200.0,256.0,20315.0,482.0,53594.0,27550.0,5507000.0,1457270.0,10957.0,,853020.0,20177.0,346100000.0,45153.0,150283.0,570218.0,496151.0,101.0,,4174000.0,182198.0,1527050.0,8600.0,55648.0,23600.0,87673.0,1952200.0,4900000.0,2543.0,623116.0,42500.0,38132.0,926000.0,1000.0,,89761.0,1599.0,,325730.0,,308.0,4205.0,546664.0,344677.0,2780300.0,,3493.0,6957.0,,1201.0,1293340.0,3645.0,,50.0,780.0,35491.0,95916.0,4753760.0,270.0,3394.0,1860.0,800000.0,165018.0,71704000.0,19180.0,7972.0,857812.0,,5933.0,1294110.0,130.0,130.0,11000.0,378000.0,4000.0,15210.0
