Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49131504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00053235854,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011213345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040733147,0.0,0.0,0.0,0.0,,0.0014908091,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.24453904,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.1995109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1404495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.016628303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268753,0.0,0.0,0.0,0.0,,0.0023355952,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.32654244,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.28798324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3141873,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.86961126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.022704022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685501,0.0,0.0,0.0,0.0,,0.0033919048,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.434393,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.37727457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5975029,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.065397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018749164,0.0,0.0,0.0,0.0,0.001078038,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.033528477,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.94318295,0.0,0.0,0.0,0.0,,0.0068745855,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.6918169,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03935278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.574396,0.0,0.0,0.0,0.0,0.0,0.12909089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04643258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001391057,0.0,0.0,0.900487,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.3797753,0.0,0.0,0.0,0.0,0.0,0.08827209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08130562,0.0,0.0,0.0,0.0,0.001223825,0.0,0.008557324,0.0,0.0,0.0,,0.011326625,0.0,0.0,0.051024187,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010915064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.033067636,1.518914,0.0,0.0,0.0,0.003470327,,0.015903398,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.87009245,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.14468148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.7619674,0.0,0.0,0.0,0.0,0.0,0.25245637,0.0,0.0,0.038410913,0.0,0.0,0.0,0.0,0.13727355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2297436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.030589938,0.0,0.0,1.1252168,0.0,0.0,0.0,0.0,0.0,0.004405194,0.0,0.0,1.7343843,0.0,0.016353138,0.0,0.0,0.0,0.22918834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18205681,0.0,0.0,0.0,0.0,0.002678921,0.0,0.042666122,0.0,0.0,1.0856478,,0.01596778,0.0,0.0,0.07816183,0.0,0.0,0.0,0.0,0.0,0.0,0.01695819,0.416647,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.079311185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.069523625,0.0,0.0,0.0,0.0,0.0,0.10484816,2.0890663,0.0,0.0,0.0,0.04784827,,0.029605433,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1.3385972,0.0,,0.0,0.0,0.0,0.0,0.0,0.001592873,0.0,0.0,,0.0,0.0,,0.000726746,0.0,0.0,0.0,0.0,0.0,0.28706875,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.87003756,0.0,0.0,,0.0,0.027202979,0.34629798,0.0,0.0,0.07295796,0.0,0.0,0.0,0.0,0.36693788,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372071,0.08365865,0.0,6.38e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.06242341,0.0,0.0,1.5118978,,0.0,0.0,0.004971488,0.0,0.010854247,0.0,0.0,2.1463144,0.0,0.070512064,0.0,0.0,0.0,0.51032686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5029996,0.0,0.0,0.0,0.0,0.003666018,0.0,0.0988986,0.0,0.0,2.0355077,,0.02918905,0.0,0.0,0.123312645,0.0,0.0,0.0,0.0,0.0,0.0,0.024183325,0.6980796,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.10120747,0.0,0.0,0.000255894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.108594075,0.0,0.0,0.0,0.0,0.0,0.16490293,2.8666818,0.0,0.0,0.07273939,0.07154926,,0.05098624,0.0,0.0,0.0,0.0,,0.0,0.0,0.113145016,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,2.0502503,0.0,,0.0,0.0,0.0,0.0,0.0,0.011208254,0.0,0.0,,0.0,0.0,0.002844697,0.009953141,0.0,0.0,0.0,0.0,0.0,0.5131702,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.8209987,0.0,0.0,,0.0,0.19134809,0.4866188,0.0,0.0,0.19312371,0.0,0.0,0.0,0.0,0.59710014,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556685,0.46670008,0.0,0.000289186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.030037547,0.0,0.12584876,0.0,0.0,1.9796505,,0.0,0.0,0.005563695,0.0,0.029983196,0.0,0.0,2.793051,0.0,0.17587087,0.0,0.0,0.0,0.98327297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905109,0.0,0.0,0.0,0.0,0.005127077,0.0,0.18010136,0.0,0.0,2.608466,,0.059305582,0.0,0.0,0.19779426,0.0,0.0,0.0,0.0,0.0,0.0,0.04734527,0.8219231,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.14514022,0.0,0.0,0.000439265,0.0,0.0,0.0,0.0,0.001901333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.16522017,0.0,0.0,0.0,0.0,0.0,0.22354212,3.6153336,0.0,0.0,0.30156797,0.101959944,,0.08511321,0.0,0.0,0.0,0.0,,0.0,0.0,0.24942875,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.37587172,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,2.8695805,0.0,,0.0,0.0,0.0,0.0,0.0,0.03288276,0.0,0.0,,0.0,0.0,0.004969767,0.018834688,0.0,0.0,0.0,0.0,0.0,0.8541251,0.0,0.0,0.009574076,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,1.3922002,0.007150459,0.0,,,0.56278694,0.66568315,0.0,0.0,0.30985683,0.0,0.0,0.0,0.0,0.849607,0.0,0.0,0.0,0.0,1.3044772,0.0,0.0,0.0,,0.0,0.0,0.0,1.2669684,1.0943835,0.037216406,0.000864322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.23753303,0.0,0.20733197,0.0,0.0,2.4112523,,0.0,0.0,0.006489636,0.0,0.07666681,0.0,0.0,3.8278174,0.0,0.31760755,,0.0,0.0,1.7082456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5504525,0.0,0.0,0.0,0.0,0.007224398,0.0,0.3898299,0.0,0.0,3.119245,,0.1165019,0.0,0.0,0.39714077,0.0,0.0,0.0,0.0,0.0,0.0,0.09116426,1.0180936,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.17641644,0.0,0.4019731,0.00287408,0.0,0.0,0.0,0.0,0.010594046,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.23160204,0.0,0.0,0.0,0.0,0.0,0.37709865,3.966124,0.0,0.0,0.8668903,0.12049466,,0.14208968,0.0,0.0,0.0,0.0,,0.0,0.0,0.33013302,0.0,0.027763601,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8926592,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,4.103477,0.0,,0.0,0.0,0.0,0.0,0.0,0.07351446,0.0,0.0,,0.0,0.0,0.007703119,0.029276675,0.0,0.0,0.0,0.0,0.0,1.4324905,0.0,0.0,0.019117739,,0.0,0.0,0.0,0.0,0.0,0.010292566,0.0,0.0
