Date,AIA,AND,ARE,ARG,AUS,AUT,AZE,BEL,BEN,BGD,BGR,BHR,BIH,BLR,BMU,BRA,BRB,BTN,BWA,CAN,CHE,CHL,CMR,COL,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DMA,DNK,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GLP,GRC,GTM,GUF,HKG,HRV,HUN,IRL,ISL,ISR,ITA,JPN,KAZ,KWT,LBN,LIE,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLT,MNE,MSR,MTQ,MUS,MYS,NER,NLD,NOR,NPL,NZL,OMN,PER,POL,PRT,PSE,PYF,QAT,REU,ROU,SEN,SGP,SRB,SUR,SVK,SVN,SWE,SYR,TGO,THA,TUN,TUR,TZA,UKR,URY,USA,UZB,VCT,VGB,WSM,ZAF,ZWE
2000,,0.0,,,,2947000.0,,2400000.0,,,775000.0,,,,,,,,,5158750.0,2141000.0,,,,,,,,13000.0,30000.0,27732000.0,,1315000.0,,,,4884000.0,14000.0,874000.0,7666000.0,2836000.0,33133.96,,391000.0,,,1758000.0,,73000.0,271000.0,20000.0,,4125000.0,7860000.0,,,,0.0,0.0,102000.0,0.0,40.0,130000.0,0.0,,,724300.0,,,20000.0,,,,,318861.9,274750.0,4202000.0,843000.0,,,,,261000.0,496000.0,,,,,0.0,,1857300.0,,,71000.0,61000.0,1451000.0,,,,,,,,0.0,48090000.0,,,0.0,,,
2001,0.0,0.0,,,,2980000.0,,2421000.0,,,770000.0,,,,,,,,,,2234000.0,,,,,,,,14000.0,24000.0,27236000.0,,1270000.0,,,,5702000.0,26000.0,811000.0,8404000.0,3181000.0,34595.72,,402000.0,12600.0,,1938000.0,,74000.0,306000.0,21000.0,,5240000.0,8247000.0,,,48000.0,0.0,0.0,107000.0,3000.0,60.0,,0.0,,,742100.0,,,19000.0,,,,,336325.3,338750.0,4178000.0,723000.0,,,,,456000.0,560000.0,11000.0,,,,123000.0,,2233200.0,,,70000.0,26000.0,1523000.0,,,,800.0,,,,,48199000.0,,,0.0,,,
2002,0.0,0.0,,,,3070000.0,,2566000.0,,,770000.0,,,,,,,,,5330760.0,2306000.0,,,,,,273400.0,,15000.0,26000.0,29590000.0,,1342000.0,,,,7725000.0,15000.0,801000.0,8923000.0,3733000.0,54168.39,,407000.0,11900.0,,1959000.0,,114000.0,497000.0,22000.0,,4423000.0,8638000.0,,,,0.0,0.0,112000.0,3000.0,60.0,,0.0,,,780470.0,,,10000.0,,,,,354745.0,348250.0,4388000.0,807000.0,,0.0,,,331000.0,347000.0,11000.0,,,,170000.0,,2183400.0,,,69000.0,73000.0,1649000.0,,,,,,,,,49197000.0,,5700.0,0.0,,,
2003,0.0,0.0,,,2701000.0,3165000.0,,2553000.0,,,774000.0,,,,,,,,,,2336000.0,,,,,,234900.0,,15000.0,26000.0,28676000.0,,1479000.0,,,3103230.0,7835000.0,85000.0,816000.0,8794000.0,4698000.0,55630.94,,382000.0,10800.0,,2377000.0,,164000.0,690000.0,23000.0,,4904000.0,9157000.0,,,,0.0,0.0,129000.0,16000.0,60.0,,0.0,,,820500.0,,,15000.0,,,,,374173.6,345000.0,4332000.0,840000.0,,0.0,,,274000.0,513000.0,12000.0,,,,17000.0,,2223200.0,,,84000.0,105000.0,1717000.0,85000.0,,,,,,,,50839000.0,,,0.0,,,
2004,0.0,0.0,,,,2688000.0,0.0,2708000.0,,,793000.0,,,,,220706.7,,,,5593130.0,2386000.0,,,,,,258000.0,,16000.0,155000.0,27339000.0,,1542000.0,,,,7950000.0,150000.0,825000.0,9393000.0,5657000.0,58054.47,706.0,483000.0,13800.0,0.0,2305000.0,0.0,540000.0,885000.0,,470447.66,5467000.0,9400000.0,,7000.0,111000.0,0.0,24000.0,129000.0,32000.0,60.0,,0.0,,0.0,895000.0,,,16000.0,,,2070.0,,394666.2,361250.0,4570000.0,695000.0,,0.0,,,477000.0,628000.0,12000.0,,,21045.0,84000.0,,2307100.0,,,86000.0,198000.0,1819000.0,,,,,,500.0,,,52707000.0,,,0.0,,,
2005,0.0,0.0,,739500.0,,2757000.0,0.0,2810000.0,,401440.0,822000.0,,,,,320501.3,,,,,2500000.0,,,,,,212000.0,,19000.0,182000.0,28367000.0,,1637000.0,,,,8055000.0,133000.0,842000.0,9674000.0,6362000.0,68139.37,353.0,573000.0,13200.0,0.0,2594000.0,0.0,444000.0,946000.0,,457440.38,5868000.0,10026000.0,8500.0,314000.0,,0.0,24000.0,136000.0,28000.0,50.0,,0.0,,,1150000.0,,,23000.0,,,2707.0,,416281.1,390000.0,4566000.0,774000.0,,,,,685000.0,719000.0,12000.0,,,30073.0,145000.0,,2469400.0,,,30000.0,184000.0,1929000.0,,,,,,1560.0,,,53742000.0,,,0.0,,260566.0,
2006,0.0,0.0,,,,2920000.0,0.0,2872000.0,,,839000.0,,,31700.0,,206540.5,,,,5720570.0,2670000.0,,26871.0,,,,297700.0,,23000.0,224000.0,28826000.0,250.0,1680000.0,,,,8169000.0,93000.0,874000.0,10418000.0,7107000.0,71072.55,0.0,632000.0,15400.0,0.0,2841000.0,0.0,490000.0,1119000.0,,512037.47,6246000.0,10204000.0,13400.0,1075000.0,,0.0,25000.0,141000.0,34000.0,90.0,,0.0,,,1176000.0,,,37000.0,,,3343.0,,439079.8,,4564000.0,863000.0,,0.0,,,845000.0,777000.0,13000.0,,,39100.0,41000.0,,2656900.0,0.0,,61000.0,160000.0,2127000.0,,,,,,2550.0,,,56118000.0,,,,,520843.6,
2007,0.0,0.0,,,4004599.0,2979000.0,0.0,2977000.0,,,858000.0,,,39400.0,,273076.6,,,,,2785000.0,,40181.0,,,,311200.0,,28000.0,307000.0,30264000.0,250.0,1906000.0,,,,7994000.0,139000.0,953000.0,11163000.0,7680000.0,77483.3,5000.0,1002000.0,,0.0,2811000.0,55000.0,554000.0,1160000.0,,496678.5,8135000.0,10304000.0,22300.0,2648000.0,,0.0,102000.0,150000.0,43000.0,120.0,,0.0,,0.0,1202200.0,8000.0,,13000.0,,,3744.0,8800.0,463127.2,,4789000.0,986000.0,,,,,943000.0,849000.0,13000.0,,,41012.0,37000.0,,2980100.0,0.0,,104000.0,232000.0,2082000.0,,,,,,2600.0,87800.0,,57243000.0,,,,,,
2008,0.0,0.0,,,4019500.0,3159000.0,0.0,2707000.0,,,871000.0,,0.0,172900.0,,2400817.5,,,,5978280.0,2823000.0,,19859.0,,,,338100.0,,43000.0,330000.0,30834000.0,250.0,2186000.0,,,,10056000.0,106000.0,949000.0,11657000.0,7775000.0,84188.41,10000.0,897000.0,,0.0,3143000.0,49000.0,692000.0,1084000.0,40000.0,552619.6,7737000.0,9776000.0,101300.0,2668000.0,,0.0,115000.0,156000.0,48000.0,340.0,,0.0,,,1346800.0,,0.0,14000.0,,,4145.0,9000.0,488491.6,,4780000.0,1013000.0,,,,,1281000.0,949000.0,13000.0,,,42923.0,75000.0,,3296100.0,0.0,,124000.0,207000.0,2043000.0,,,,,,2650.0,91000.0,,56209000.0,,,,,,
2009,,0.0,565000.0,,4312511.0,3045000.0,0.0,2719000.0,,567500.0,887000.0,,0.0,288200.0,,3535823.0,,,,,2801000.0,,26514.0,,,,208000.0,,49000.0,409000.0,30592000.0,250.0,2051000.0,,,1976000.0,8327000.0,95000.0,920000.0,12150000.0,7890340.0,90014.71,7779.0,973000.0,,836.0,3181000.0,41000.0,666000.0,990000.0,27000.0,,9532000.0,9502000.0,151200.0,2286000.0,133000.0,0.0,103000.0,157000.0,58000.0,300.0,,0.0,,,1500000.0,,0.0,19000.0,,,4204.0,12000.0,515245.1,,4777000.0,975000.0,,,,,1585000.0,1072000.0,14000.0,,,77827.0,82000.0,,3446200.0,0.0,,137000.0,209000.0,2159000.0,,,,,,2580.0,166600.0,,56273000.0,,,,,,
