Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_EU27,OWID_HIC,OWID_KOS,OWID_LIC,OWID_LMC,OWID_UMC,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WB_EAP,WB_ECA,WB_LAC,WB_MENAP,WB_NA,WB_SA,WB_SSA,WSM,YEM,ZAF,ZMB,ZWE
1970,,0.8775538,,,0.0,,0.3011807,,,,1.8257326,0.40054634,,6.7517924,0.16672081,6.707341,6.8221188,0.32656088,,,0.9069852,,,0.99330735,0.0,1.9954588,1.6133003,,3.1223848,,3.1539872,8.234246,1.9788355,,10.133797,0.84041697,5.8821197,3.9056082,11.504685,6.644832,0.97113055,,,4.138109,0.87141323,,,,,0.24389662,,,0.06812369,0.7285674,7.8913975,0.6032344,1.717489,,0.20085286,,,1.7914367,0.34138143,0.16524398,,,11.98463,0.091232374,,2.8630822,,2.3036208,6.3917375,14.606605,0.21033445,,0.0,1.1777738,,20.708023,0.009505599,4.4432855,,4.940828,,3.6094031,,0.72115046,0.4277905,12.757317,16.03407,0.0,,0.08406888,7.895862,0.028834097,0.22801505,,3.2630692,,4.3105817,0.016822262,0.0,0.16889416,34.89181,,,,,,0.0,0.34901366,9.263797,,0.052414935,,,,0.90217125,0.0,,2.9188237,,0.9043736,,,4.0771017,0.0,7.5659823,,,,,11.305685,,6.709986,17.004345,,26.371147,2.1564264,2.4048712,2.4088585,0.20395479,0.46551728,1.5473355,,,43.45423,,0.25233746,0.70494986,,5.958016,2.0208566,2.1609387,0.99533194,0.79060376,0.29616624,3.7306921,4.1263394,,1.9082009,,0.0,0.40207854,2.2162595,,0.0023024187,37.469685,,,8.509226,25.617828,0.0020607542,1.4609199,0.0040831408,,7.8491716,0.66540354,,4.7012253,,,,17.870003,,,0.80603814,17.396303,,0.0,1.5450323,,3.977961,6.3880057,1.1181328,,,,,2.6652062,2.647012,0.6915085,,,8.80479,,0.3223861,0.6556815,,0.14828902,5.4877214,,,,0.88053536,0.2398265,2.079797,10.556309,0.7560882,0.67484707,4.335453,,,1.6631969,36.469193,3.275048
1971,,1.0355841,,,0.0,,0.43636924,,,,1.7984961,0.38771415,,5.383522,0.1551757,5.793023,5.717049,0.30476347,,,0.8473357,,,0.8901627,0.0,1.6056861,1.3926444,,3.3199844,,2.1066294,8.066812,1.6876506,,6.6049304,0.7738971,5.648936,3.449971,7.723277,5.8979855,1.2343829,,,3.8141649,0.7224118,,,,,0.259783,,,0.055822086,0.78220665,7.7382555,0.7214196,1.8233715,,0.16730778,,,1.4082278,0.34752947,0.1533881,,,9.696466,0.11608639,,2.3355024,,1.887243,6.0433493,3.1144297,0.21582007,,0.0,1.0250762,,18.495548,0.0071368525,4.187713,,4.357127,,3.3768594,,0.89006394,0.27097946,16.45849,19.792059,0.0,,0.07567935,7.392334,0.037135463,0.20039278,,2.5376384,,2.59017,0.012118226,0.0,0.16018048,37.58261,,,,,,0.0,0.31177002,7.0528984,,0.05760262,,,,0.7569068,0.0,,2.7569246,,0.84721226,,,3.3409345,0.0,7.9556026,,,,,10.258694,,4.841149,19.61303,,23.194105,1.7980956,2.5574162,2.3409784,0.29985943,0.40478605,1.4022809,,1.0373297,43.5509,,0.24474294,0.6986782,,4.384985,1.7639341,2.318026,0.97792375,0.8374533,0.23828986,2.3821156,3.684979,,1.845465,,0.0,0.33883965,1.9275781,,0.0014759433,46.390602,,,7.162882,29.71835,0.0,1.2936653,0.0024553016,5.105109,7.761286,0.56022525,,3.9902034,,,,17.86246,,,0.749416,15.059743,,0.0,2.2185807,,3.413277,4.9755707,1.0326759,,,,,3.6891963,2.84766,0.6602878,,,6.6669283,,0.22274365,0.66766185,,0.11428875,7.387941,,,,0.86724675,0.23415753,1.9064054,12.180326,0.74796045,0.81394494,3.9377964,,,2.2722955,23.703356,2.934653
1972,,1.1951964,,,0.0,,0.50235605,,,,1.7899181,0.38408917,,6.3082952,0.12528084,5.3408427,5.480045,0.38244802,,,0.89355105,,,0.8174351,0.0,1.6077406,1.3800371,,9.960798,,1.8888048,9.009109,1.7696884,,5.7974176,0.8951233,6.24913,3.4029393,7.4339256,5.747508,1.2933367,,,3.968461,0.6449335,,,,,0.22196484,,,0.058070235,1.9353422,9.691874,1.454226,1.739876,,0.15702565,,,1.3795176,0.4112239,0.14465505,,,14.22546,0.1262389,,3.4773078,,2.0552297,6.4678836,3.627578,0.17322709,,0.0,1.0962108,,17.298733,0.005283916,5.058157,,3.3808844,,4.982669,,0.87309307,0.2763755,17.573088,20.668604,0.0,,0.08470737,6.0893435,0.031052064,0.15984434,,2.3585944,,7.0075045,0.013322484,0.0,0.15426593,42.94602,,,,,,0.0,0.2938238,7.4247694,,0.056100413,,,,0.46632925,0.0,,2.0198326,,0.8795284,,,3.185167,0.0,10.241599,,,,,10.554496,,5.0433445,26.927494,,12.349017,2.0000978,3.4878874,2.5425532,0.44869614,0.38771158,1.1749586,,0.83921415,43.761547,,0.23189664,0.7468347,,4.2390866,1.9893587,2.6730034,1.0582819,0.7978092,0.25918686,2.3093364,4.082682,,16.713123,,0.0,0.3523872,1.8820539,,0.0018946881,50.8533,,,7.4611464,36.46408,0.0,1.2661391,0.0031841008,8.369069,7.49334,0.59748423,,3.5814652,,,,18.741764,,,0.62721795,8.637838,,0.0,2.6425126,,3.4702106,4.876464,1.4912059,,,,,3.942444,2.5890489,0.580502,,,7.1617155,,0.336209,0.72981584,,0.08843778,7.192719,,,,0.9484157,0.2248244,1.863656,14.721449,0.81449497,0.82076895,4.0543737,,,2.250958,20.618212,2.2711082
1973,,1.6741681,,,0.0,,0.57665884,,,,2.591284,0.4535721,,8.73544,0.11205027,7.2654357,7.999926,0.54982775,,,0.8478069,,,1.3218471,0.0,4.6278367,1.4078829,,24.846272,,2.4582133,12.145888,2.9146984,,7.3647575,1.7955841,7.4631877,4.164266,11.996051,7.455912,1.7645,,,5.8632493,0.5878477,,,,,0.23637006,,,0.06444673,2.6766663,11.541244,3.7815387,1.7873698,,0.2510697,,,1.7990775,0.9861879,0.1557118,,,13.195712,0.12072736,,4.959308,,2.7526557,10.3824005,4.5888314,0.19672245,,9.572423,1.4663485,,19.607094,0.0067226016,8.010665,,3.373013,,9.951682,,0.99512726,0.7428867,19.299501,29.150974,0.0,,0.09565144,6.2501664,0.03485626,0.21932209,,3.3772416,,13.361593,0.021674113,0.0,0.4012638,48.528538,,,,,,0.0,0.41249204,8.336929,,0.059251,,,,0.8275934,0.0,,2.1722445,,1.4268594,,,4.4860725,0.0,21.71339,,,,,12.187147,,6.388511,32.502106,,10.290725,2.7612426,5.10429,4.1773176,0.359023,0.562344,2.1133096,,1.5422854,51.781338,,0.2694277,0.9718193,,6.5947886,3.0287743,3.7668014,1.4588298,1.6808456,0.37790346,5.2006807,6.156268,,28.212362,,0.0,0.42857778,2.6551414,,0.0038778877,58.682026,,,11.254202,43.271427,0.0,1.7957296,0.00750488,10.741427,8.183857,0.90590256,,5.217847,,,,14.626681,,,0.95721495,6.691064,,0.0,3.5139687,,5.0837126,6.7804365,2.3016496,,,,,6.779215,3.1613626,0.78269106,,,10.627186,,0.32292727,0.91132814,,0.1439055,10.755443,,,,1.5194912,0.26423106,2.4705522,19.53415,1.08077,0.95213723,5.6974535,,,2.4601934,38.705208,3.0814493
1974,,2.1253192,,,0.0,,1.8513473,,,,3.968228,0.71717465,,8.534031,0.14426816,7.300532,7.990758,0.42369175,,,0.74744815,,,0.99284273,0.0,8.5791855,1.8308724,0.35041866,62.606693,,4.715474,11.37106,5.738578,,11.1469,5.000709,6.9773636,4.465392,11.658392,29.524149,4.7567525,,,5.390087,0.6726929,,,,,0.3954992,,,0.057503235,2.6755826,28.484451,8.414941,6.5897264,,0.36622822,,,1.5880203,1.2862121,0.22220409,,,43.857704,0.30652833,,4.827262,,2.380019,11.120724,4.5950484,0.3229786,,46.90688,1.3473198,,22.36547,0.006478247,8.302972,,3.9589767,,20.467142,,1.6332204,0.9406805,47.811398,62.51279,0.0,,0.16516821,12.063673,4.404147,0.28059375,,3.3078904,,14.8192625,0.006907886,0.0,0.49128518,71.17077,,,,,,0.0,0.38483995,7.2358994,,0.051577892,,,,10.461451,0.0,,1.4744146,,3.7123544,,,5.4319625,0.0,20.464445,,,,,12.88247,,5.87192,24.875923,,6.6105595,2.8970304,28.53728,3.5028818,1.1159246,0.82877433,2.0397637,,1.3447598,63.725075,,0.42446175,2.9443398,,9.258302,6.9065266,9.160793,4.1335406,4.706969,0.35302308,6.7776346,4.460936,,30.571486,,0.0,0.41773844,2.243233,,0.002640384,74.87341,,,12.863239,67.52071,0.000110978115,5.0695996,0.005593425,5.54645,9.270554,0.85978544,,6.6546245,,,,28.460583,,,1.1192164,8.367675,,0.0,10.754719,,5.8166375,21.365355,2.2765846,,,,,27.060108,12.969315,1.1813573,,,9.724437,,0.34744504,3.2761996,,0.14581312,33.947884,,,,2.7657154,0.43743065,5.5485907,46.446503,3.5083747,1.4697247,12.452623,,,4.171883,31.753794,3.642575
1975,,2.6667306,,,0.0,37.581497,2.4176185,,,,4.5246305,0.64604527,,9.728615,0.24523509,8.2481165,8.752817,0.5844956,,,0.44460875,,,1.2177207,0.0,4.7156887,2.0056777,0.33412927,65.515434,,4.5043755,10.460123,4.6381845,,13.240064,7.330424,5.739879,4.1487465,6.719842,17.06464,4.6355047,,,7.2553215,0.7875093,,,1.3355824,,0.764278,,,0.06270252,2.1673312,23.705034,6.5309663,7.9516582,,0.28757328,,,0.9769683,1.0463886,0.23819992,,,32.26042,0.70922476,,5.5170016,,2.7665508,13.553387,5.3359256,0.33649272,,10.062646,1.622337,,20.633858,0.008601504,7.0612063,,3.267681,,17.374191,,3.1253068,0.18524893,38.144966,59.572002,0.0,,0.15946741,7.0072355,4.3096194,0.2642315,,4.1821814,,,0.010614574,0.0,0.78614295,62.762226,,,,,,0.0,0.77630687,10.646182,,0.062790796,,,,8.011348,0.0,,2.0487494,,3.2526233,,,4.595357,0.0,19.920408,,,,,8.766695,,8.973438,29.016422,,10.683081,3.9034748,20.26322,3.257167,1.4260491,1.6217278,3.4361002,,1.7990279,58.254658,,0.52599984,2.75611,,8.252138,6.1497474,8.7929535,3.8312333,4.9533033,0.44610107,2.9161966,3.489206,,20.540436,,0.0,0.4644227,3.0799143,,0.0020785192,63.723106,,,9.104727,54.383953,9.21364e-06,4.878514,0.003915315,7.8118167,10.776385,1.064907,,5.8684535,,,,16.569304,,,0.7722168,14.64357,,0.0,12.344144,,5.6818657,15.488888,1.7729245,,,,0.040334035,25.329052,11.887405,0.916591,,,10.906434,,0.5875049,3.2305326,,0.2061393,24.8915,,,,3.1805966,0.5781391,4.6198874,37.500206,3.3625047,2.6562424,9.738523,,,4.5650377,12.743784,3.3883345
1976,,2.8248763,,,0.0,37.026344,2.6711082,,,,4.960257,0.66635615,,8.01547,0.2643586,7.1706734,7.533903,0.7673718,,,0.2708908,,,1.131985,0.0,4.289771,1.9336276,0.39675418,69.55449,,8.426684,8.5971985,4.15554,,12.897769,9.223714,5.841877,4.2918353,8.173705,19.74345,3.980233,,,5.570561,0.84515136,,,1.6540806,,0.80426,,,0.06963359,2.026074,24.673014,6.8068666,10.170092,,0.31158268,,,0.98524475,0.60325706,0.26176,,,22.957167,1.0045561,,5.7541366,,2.55869,12.742895,4.424986,0.38724673,,7.3208394,1.0801126,,20.892395,0.006903493,4.936812,,2.9397817,,17.727379,,3.0084572,0.1547784,33.88792,53.40839,0.0,,0.17927781,7.1087694,1.1726453,0.26634237,,3.6935596,,,0.019593889,0.0,0.5719687,64.45016,,,,,,0.0,0.53168285,9.385045,,0.31886303,,,,3.2583377,0.0,,1.8250526,,3.6973588,,,3.7098799,0.0,21.263233,,,,,13.046342,0.09377854,7.6275387,29.325182,,14.987651,3.5982058,17.685738,2.3992517,1.4618027,2.1955347,2.285662,,2.7222903,56.074627,,0.56140953,2.9230194,,8.141129,6.1971,9.533175,4.050369,4.568452,0.41985297,3.5932245,3.189694,,19.730598,,0.0,0.43311876,2.2592294,,0.0024312248,58.671833,,,7.5170674,53.06137,0.0,2.6066422,0.0032392724,6.9464307,10.226331,0.7193839,,4.7572265,,,,17.316954,,,0.7956351,15.187791,,0.0,11.745124,,5.354631,11.065983,1.689962,,,,0.04700367,26.197454,7.968718,0.93588084,,,9.803669,,0.4904509,3.0903478,,0.17070255,22.99315,,,,3.4737198,0.6526861,4.638138,36.445282,3.196396,2.7317443,9.89379,,,5.149248,16.22878,4.24955
1977,,2.6832445,,,0.0,31.150461,2.159765,,,0.0,5.2990265,0.5273544,,12.507938,0.21720749,11.975449,11.860273,2.5678525,,,0.29356265,,,1.0611594,0.0,4.933493,1.7682316,0.34639522,65.35439,,7.208837,11.35295,4.335947,,8.775879,9.602352,5.292521,5.505871,7.8814993,21.770395,2.7658687,,,5.7784,0.78668255,,,0.73041105,,0.67921156,,0.19056922,0.089066036,1.7933173,24.257566,4.913734,12.909683,,0.26139706,,,0.9114453,0.6942386,0.23631316,,,29.263784,1.3919667,,7.409094,,3.838424,22.069551,6.538317,0.37467128,0.0,3.1055987,1.4719366,,27.702084,0.0074047553,5.908972,,3.5302677,,18.256134,,3.9779916,0.16955525,30.324738,50.079765,0.0,,0.15212384,8.829711,3.0395224,0.20797624,,5.0304227,,,0.030471079,0.0,0.48434916,59.556488,,,,,,0.0,1.4783442,13.656154,,0.17690971,,,,7.110346,0.0,,3.5500138,,4.1214757,,,5.545711,0.0,31.385305,,,,,11.820528,0.08901528,8.609751,30.918015,,11.581992,5.2602844,22.811167,2.691352,1.270406,2.004234,9.172688,,2.1561842,52.302376,,0.47079948,2.8273923,,8.947848,7.600099,9.48582,3.9884696,5.5653987,0.5118967,3.8360233,3.3156755,,19.049847,,0.0,0.38767707,2.7197309,,0.0032193188,49.595924,,,12.721471,51.9141,0.0,5.202231,0.0014622274,7.819958,15.278269,0.979927,,14.251056,,,,18.179081,,,0.57788867,12.560878,,0.0,10.909778,,8.097449,23.10636,2.2342017,,,,0.05830366,18.643621,10.391949,0.819877,,,14.371042,,0.68979865,3.1141186,,0.19574569,16.198534,,,,3.4350688,0.6141235,3.951719,34.434364,3.2271302,3.8558457,11.56796,,,5.528691,13.992613,4.8976803
1978,,2.2448716,,,0.0,31.950512,2.4164305,,,0.0,4.3871317,0.49216363,,11.653628,0.16284037,9.875062,9.356168,1.824963,,,0.29695627,,,1.1209693,0.0,5.293842,1.6980621,0.38946742,61.72098,,3.5853846,10.5583935,3.9435408,,7.5405793,11.210468,4.3340797,5.258276,6.4288044,22.580465,2.4516222,,,5.626146,0.43925774,,,0.44033578,,0.5051479,,0.15293579,0.07808028,0.8926009,21.285889,5.462809,14.865178,,0.20427124,,,1.1593764,0.64009374,0.1814635,,,30.344826,1.2558193,,6.378103,,3.2743597,22.180452,,0.23429751,0.0,2.5059326,1.4272586,,25.64703,0.0049006636,3.2597737,,3.4361606,,15.776196,,3.4016755,0.16978863,32.43596,46.720898,0.0,,0.13354775,11.167149,0.082237706,0.15505618,,4.6449666,,,0.02171497,0.0,0.31056798,60.16159,,,,,,0.0,2.2246227,9.879095,,0.047027066,,,,1.8001045,0.0,,3.41027,,4.2123737,,,5.038544,0.0,33.983,,,,,7.364035,0.10403897,7.577635,26.675486,,0.037327964,3.9585032,19.123867,2.956071,1.0345331,2.6568182,8.055119,,2.2371283,49.615513,,0.38098624,2.3231668,,7.745489,6.191257,9.087411,3.3851678,4.8007784,0.4094594,5.687765,2.5019214,,18.36313,,0.0,0.52398163,2.8823051,,0.0020126612,49.605446,,,10.955652,44.912563,0.0,2.8609562,0.0019674245,5.5590057,11.29445,0.94639784,,13.211248,,,,16.292078,,,0.62586045,14.419104,,0.0,10.003411,,7.2198095,9.999239,1.8109721,,,,0.038645722,18.203842,7.976084,0.8112072,,,18.521257,,0.6178809,2.728493,,0.1556007,15.8264,,,,2.6854243,0.53497636,3.8091109,32.310207,2.8321173,3.293919,9.316965,,,4.7308035,10.162888,4.33538
1979,,2.441383,,,0.0,56.671734,5.4272704,,,0.0,6.2291055,0.6754405,,8.38373,0.13643584,7.167351,7.401511,0.6939563,,,0.2002125,,,1.5574485,0.0,8.81024,2.3647692,0.88039625,,,4.7719836,9.386261,8.459634,,9.489909,17.099924,4.7895017,8.675332,8.436072,43.065914,4.3174934,,,6.9595675,0.84377897,,,0.21830699,,0.4982261,,0.18052004,0.11954558,2.0934875,39.084072,11.976252,29.912758,,0.23566507,,,1.3399597,1.1214757,0.2050521,,,56.676693,2.591363,,6.6141467,,2.4989948,23.60105,,0.21348658,0.0,6.016522,1.702955,,26.407082,0.005514758,3.531372,,3.1546605,,34.922653,,3.2977417,0.44875756,36.962494,,0.0,,0.19727732,11.333449,0.13305937,0.24076657,,4.054322,,,0.03430023,0.0,0.2670176,,,,,,,0.0,0.8241418,8.200504,,0.048339926,,,,2.0860865,0.0,,2.8799102,,9.650351,,,3.7466311,0.0,65.3818,,,,,8.5439005,0.1244381,6.709428,38.58327,,3.529248,3.2470877,43.149582,5.4682183,1.6041474,5.792107,4.151573,,2.5168521,79.74075,,0.43967777,4.137655,,10.035994,11.035576,12.753149,5.6274137,9.329521,0.4111124,12.856118,4.168529,,22.352152,,0.0,0.5733829,3.625309,,0.002307314,87.05003,,,8.065241,87.284615,0.00025876236,2.3380234,0.0016007423,7.258948,8.859568,1.0138435,,12.154366,,,,14.243175,,,0.70348185,13.162465,,0.0,16.930803,,8.476658,9.291103,2.4515352,,,,0.050980385,34.6173,16.79624,0.84410304,,,20.90135,,0.5625258,5.0445657,,0.14597952,36.48138,,,0.389461,4.3439593,0.81219506,8.007704,51.25695,5.334589,3.0257192,17.671648,,,7.8653502,17.094065,5.004753
