Date,CHN,FRA,GBR,IND,ISR,OWID_WRL,PAK,PRK,RUS,USA,ZAF
1945,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
1946,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0
1947,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,13.0,0.0
1948,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,50.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,1.0,170.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,5.0,299.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,25.0,438.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,1055.0,0.0,0.0,50.0,841.0,0.0
1953,0.0,0.0,1.0,0.0,0.0,1557.0,0.0,0.0,120.0,1169.0,0.0
1954,0.0,0.0,5.0,0.0,0.0,2218.0,0.0,0.0,150.0,1703.0,0.0
1955,0.0,0.0,10.0,0.0,0.0,3267.0,0.0,0.0,200.0,2422.0,0.0
1956,0.0,0.0,50.0,0.0,0.0,5094.0,0.0,0.0,426.0,3692.0,0.0
1957,0.0,0.0,58.0,0.0,0.0,7162.0,0.0,0.0,660.0,5543.0,0.0
1958,0.0,0.0,60.0,0.0,0.0,10751.0,0.0,0.0,863.0,7345.0,0.0
1959,0.0,0.0,78.0,0.0,0.0,16606.0,0.0,0.0,1048.0,12298.0,0.0
1960,0.0,0.0,105.0,0.0,0.0,22144.0,0.0,0.0,1627.0,18638.0,0.0
1961,0.0,0.0,155.0,0.0,0.0,26752.0,0.0,0.0,2492.0,22229.0,0.0
1962,0.0,0.0,211.0,0.0,0.0,30920.0,0.0,0.0,3346.0,25540.0,0.0
1963,0.0,0.0,256.0,0.0,0.0,33953.0,0.0,0.0,4259.0,28133.0,0.0
1964,1.0,4.0,271.0,0.0,0.0,36553.0,0.0,0.0,5242.0,29463.0,0.0
1965,5.0,32.0,271.0,0.0,0.0,38419.0,0.0,0.0,6144.0,31139.0,0.0
1966,20.0,36.0,281.0,0.0,0.0,39466.0,0.0,0.0,7091.0,31175.0,0.0
1967,25.0,36.0,355.0,0.0,2.0,39990.0,0.0,0.0,8400.0,31255.0,0.0
1968,35.0,36.0,317.0,0.0,4.0,39015.0,0.0,0.0,9490.0,29561.0,0.0
1969,50.0,36.0,306.0,0.0,6.0,38278.0,0.0,0.0,10671.0,27552.0,0.0
1970,75.0,36.0,375.0,0.0,8.0,38799.0,0.0,0.0,11736.0,26008.0,0.0
1971,100.0,45.0,412.0,0.0,11.0,40616.0,0.0,0.0,13279.0,25830.0,0.0
1972,130.0,70.0,423.0,0.0,13.0,43026.0,0.0,0.0,14600.0,26516.0,0.0
1973,150.0,116.0,500.0,0.0,15.0,45695.0,0.0,0.0,15878.0,27835.0,0.0
1974,170.0,145.0,500.0,0.0,17.0,47182.0,0.0,0.0,17286.0,28537.0,0.0
1975,180.0,188.0,500.0,0.0,20.0,47769.0,0.0,0.0,19235.0,27519.0,0.0
1976,180.0,212.0,500.0,0.0,22.0,47698.0,0.0,0.0,22165.0,25914.0,0.0
1977,180.0,228.0,500.0,0.0,24.0,49698.0,0.0,0.0,24281.0,25542.0,0.0
1978,190.0,235.0,500.0,0.0,26.0,51170.0,0.0,0.0,26169.0,24418.0,0.0
1979,195.0,235.0,500.0,0.0,29.0,53499.0,0.0,0.0,28258.0,24138.0,0.0
1980,205.0,250.0,500.0,0.0,31.0,55352.0,0.0,0.0,30665.0,24104.0,0.0
1981,210.0,274.0,500.0,0.0,33.0,56530.0,0.0,0.0,32146.0,23208.0,0.0
1982,216.0,274.0,385.0,0.0,35.0,58570.0,0.0,0.0,33486.0,22886.0,3.0
1983,218.0,279.0,380.0,0.0,38.0,60818.0,0.0,0.0,35130.0,23305.0,3.0
1984,220.0,280.0,350.0,0.0,40.0,62678.0,0.0,0.0,36825.0,23459.0,3.0
1985,222.0,360.0,350.0,0.0,42.0,64408.0,0.0,0.0,38582.0,23368.0,3.0
1986,224.0,355.0,350.0,0.0,44.0,70374.0,0.0,0.0,40159.0,23317.0,3.0
1987,226.0,420.0,350.0,0.0,47.0,68387.0,0.0,0.0,38107.0,23575.0,4.0
1988,228.0,410.0,350.0,0.0,49.0,65623.0,0.0,0.0,36538.0,23205.0,5.0
1989,230.0,410.0,350.0,0.0,51.0,63657.0,0.0,0.0,35078.0,22217.0,6.0
1990,232.0,505.0,350.0,0.0,53.0,61229.0,0.0,0.0,32980.0,21392.0,0.0
1991,234.0,540.0,350.0,0.0,56.0,58326.0,0.0,0.0,29154.0,19008.0,0.0
1992,234.0,540.0,250.0,0.0,58.0,52463.0,0.0,0.0,26734.0,13708.0,0.0
1993,234.0,525.0,250.0,0.0,60.0,48830.0,0.0,0.0,24403.0,11511.0,0.0
1994,234.0,510.0,250.0,0.0,62.0,45580.0,0.0,0.0,21339.0,10979.0,0.0
1995,234.0,500.0,234.0,0.0,63.0,42366.0,0.0,0.0,18179.0,10904.0,0.0
1996,234.0,450.0,203.0,0.0,64.0,39484.0,0.0,0.0,15942.0,11011.0,0.0
