Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2004,,0.36662138,1.7737314,9.558809,15.417818,13.315652,10.763397,,30.946405,13.93636,6.5107083,1.5611112,57.309288,0.9373764,1.1078916,7.109029,85.02408,,,,6.096447,25.646837,4.348747,18.699047,,20.977798,14.45023,6.6428547,0.31295475,,57.2457,14.81374,,1.3742691,0.47909236,0.4586537,0.049008414,,0.6320813,15.277418,15.993181,66.898796,20.999752,21.307878,1.9805824,24.169184,50.068695,9.977441,4.7474146,10.528941,3.6602292,97.65545,18.437748,0.83645654,13.176016,8.938255,21.537788,11.618281,,29.058012,10.368731,2.9183056,0.7370938,2.2832146,1.7208742,2.2545187,33.85421,34.712402,17.998417,5.9570394,23.65381,15.072735,29.832878,3.1847322,13.791933,5.04774,8.964731,35.940136,28.716148,,90.97734,19.732094,56.182102,7.161144,18.528559,34.51507,3.7364168,2.775032,5.2147727,,,64.434875,16.901426,12.960665,,26.353395,,8.940904,24.712189,10.307861,2.4250712,23.732265,110.86088,31.581812,34.204914,9.989447,37.278,1.0899737,10.543862,11.157022,12.477774,17.735481,2.353976,38.60794,1.8073374,21.183521,38.997715,1.8318123,,18.062227,0.97955316,14.126429,11.144882,0.5037531,4.646316,4.944905,33.629066,,2.4863675,35.028297,21.121334,24.526562,9.983443,7.087349,,4.1593304,8.205639,1.8086586,26.560015,66.799904,4.4338474,8.75266,20.852608,,26.743649,0.40067515,7.939492,2.5584486,2.0161464,11.503168,7.3193583,1.0955507,,235.09384,21.390285,,,10.138046,25.220795,41.138252,23.578634,5.955907,43.00577,2.5324667,0.38452804,1.1545525,7.719978,4.892898,1.1161877,24.21581,11.965914,11.5498295,,,1.1542224,3.7166486,12.823192,32.57665,39.062885,,,,19.591837,17.080034,1.7871207,4.5744147,3.17669,2.874069
2005,,0.5831239,2.193177,11.539679,14.391049,13.1251955,12.184102,,30.955652,13.328739,6.759081,1.5926563,53.776028,1.0818714,1.2292777,7.0669117,85.56494,,,24.982897,5.799036,25.31602,4.938592,18.606176,,25.806648,14.008961,6.314836,0.30678973,,56.70195,15.267233,,1.4450049,1.0001025,0.45449436,0.04746844,,0.612323,15.473738,17.88156,62.121147,21.368336,20.20618,1.9464985,23.932034,50.17089,9.940023,4.753052,10.627874,3.671353,99.44296,20.89242,0.9139167,14.416268,9.310593,21.969301,11.594539,4.0311203,28.351019,11.862003,3.0721996,0.72216463,2.5512922,1.8071535,2.3249867,35.007908,31.480595,17.790035,5.9219446,23.290226,15.814823,31.765648,3.1659367,14.815044,5.145898,8.924137,34.565662,28.197794,,86.0388,19.52849,56.74497,6.905449,18.135832,34.310757,3.9602642,2.655626,5.3881044,,,63.62979,17.426373,13.7578945,,26.524782,,8.946249,24.281397,10.711034,2.3425655,25.481686,105.29677,31.917553,33.791866,10.677689,40.482063,1.0836607,10.635366,11.194844,12.338444,16.967068,2.394541,38.99506,1.7246507,25.182625,40.80097,2.0665693,,18.200165,0.94106174,12.658796,11.07022,0.65541124,4.134,6.301308,28.065636,12.085477,2.4433668,35.15046,20.225185,24.26944,10.694362,7.1830535,,4.2849927,8.000369,1.7694601,26.54144,68.51818,4.2832446,8.665368,20.482918,,28.443205,0.7764917,7.6808853,2.4349005,2.5566266,11.271371,7.8506103,1.1909146,,256.22546,30.779615,,,10.297429,25.726908,40.25598,23.51611,6.0274696,40.927246,2.6750817,0.36847183,1.1834714,8.224923,5.0297165,1.9923061,20.848368,11.81869,11.835271,12.8217535,1.1637203,1.2151212,3.8656864,12.774867,33.16768,39.95809,,15.955807,,19.010202,17.848377,1.8900247,6.826552,3.0148404,3.9177415
2006,,0.92377734,3.3027372,13.639429,13.847098,13.118934,13.465797,,31.61795,13.09489,7.347905,1.721794,53.47799,1.6022208,1.1514148,7.11799,84.58469,16.672337,,25.985468,5.567515,23.310411,5.547536,18.448576,19.548067,23.097012,13.659242,6.648839,0.30193666,24.573927,55.542564,16.484571,,1.5580014,1.0801201,0.4510288,0.045869265,,0.593456,17.224749,18.473173,59.98279,21.849869,16.692535,2.2798562,23.695278,50.50303,9.917228,4.987053,11.067772,3.7758172,101.98916,22.61357,0.93563545,16.94083,10.174569,45.801617,11.583627,4.0025754,26.452803,14.17986,3.4183075,0.8240536,3.230381,1.8883886,2.5667305,37.851807,30.889366,17.463713,6.084526,23.115166,17.725197,31.823503,3.0959065,16.12411,5.589432,8.821832,33.7912,27.975727,3.248657,77.187035,19.365902,57.96669,6.8677616,16.766998,34.06132,3.0818655,2.7418032,5.3967414,2.2741642,,62.909267,17.910969,14.505862,,25.996689,0.8123192,10.665643,23.870474,11.167967,1.9309726,27.918669,100.59684,33.39945,35.328903,11.524126,41.96296,1.1039951,12.459851,11.552441,12.247023,19.528404,2.54153,37.146664,1.4169552,27.314217,45.440346,2.1053724,,18.549929,0.93145573,11.710657,12.053643,0.7292161,3.7388499,7.015207,27.654964,12.012956,2.5020366,35.33629,20.076508,24.106882,10.991202,7.3240476,,4.457978,7.7954288,1.6585333,27.559435,70.99387,4.3640075,9.045488,18.62871,,30.360744,0.7348652,7.662671,2.3681817,2.972845,10.914633,8.0050955,1.3472149,,273.15915,34.99107,,,10.173415,26.302134,39.81608,23.71924,6.101644,41.45937,2.7343347,0.3559871,1.5595093,9.012894,5.0700865,1.9339674,20.67167,11.968559,12.620312,13.9095545,1.1466155,1.2282891,3.8728008,13.352294,33.77395,42.279243,,16.713898,,19.137585,20.313356,1.9576261,7.043047,3.0303977,3.6845875
2007,,1.2377231,3.7817771,18.333414,12.907861,13.066242,15.4642935,,31.686428,12.883228,8.248294,1.8396256,51.393246,1.9899421,1.4273618,7.1812296,88.44543,15.606827,39.644356,29.607105,4.875529,26.233932,15.2592,18.517214,19.881176,22.677479,13.346333,7.5932126,0.5093249,24.668356,55.21368,17.060637,,1.7921222,1.125375,0.47847116,0.04429165,,1.150897,20.096647,20.574642,59.74967,21.543888,16.314514,2.2165618,23.455366,51.853493,9.925085,5.1041603,11.919019,4.05578,104.41248,24.003,1.0720689,16.078905,10.8604965,44.78207,11.578261,4.079774,26.396244,17.213436,4.329874,0.8981644,4.0731325,1.9629228,2.6061802,39.90495,30.368553,27.87044,6.2405887,23.49917,21.08821,33.718853,2.9610033,17.294888,5.838692,8.932336,32.937897,28.107773,3.30919,72.80655,19.44844,59.120235,6.8250318,16.413868,33.85032,3.2967448,3.565542,6.495671,2.9593296,,62.30353,18.38264,15.292223,,25.77678,1.0656503,10.702793,23.47741,11.581596,2.07449,29.885773,97.60026,37.34581,35.155003,12.649109,45.254356,1.2291942,12.644044,12.745846,15.269506,20.907642,2.8640432,38.27164,1.4415386,34.694466,52.641605,2.44816,4.265388,18.87652,1.9524337,11.381227,12.667195,0.8887835,5.1501126,7.466587,28.60614,12.307783,3.4540393,35.14756,20.895046,24.053148,11.481412,7.5516176,21.594982,5.1266937,7.5329614,1.6481955,29.644848,61.64497,4.662644,9.27912,17.50734,,33.65805,1.0800806,7.6249948,2.3689592,3.1524737,10.481527,7.8093963,1.6146187,,285.3792,39.17808,,,10.320954,25.949553,40.361523,23.531712,6.0164943,41.034058,2.8944163,0.3627296,2.8222842,9.609304,5.1151614,1.8777996,22.026432,12.126468,13.3239765,15.216029,1.3076426,1.4286709,3.856948,13.481708,34.58777,41.39156,,17.61312,,20.810417,22.684639,2.0055952,5.7351084,3.2817743,4.118677
2008,,1.4770827,4.54505,23.125193,12.551793,12.9998045,16.861769,,31.583143,12.577538,9.266329,1.8685976,49.69836,2.3894892,1.5927122,7.268135,92.46312,15.612409,38.914917,32.09144,4.390215,26.86006,15.820083,19.09687,19.769205,23.000237,13.501221,8.482987,0.5433158,24.623646,53.91324,17.260252,,2.3962657,1.2129982,0.47266743,0.042781007,14.134092,1.116411,24.298817,20.295969,60.081726,22.785746,16.323067,2.875717,23.226107,50.459286,10.053869,5.27925,11.998517,4.28192,104.01242,23.813227,1.1871222,16.016201,11.231913,44.44694,11.581447,3.9315276,26.043385,22.00645,4.522561,1.1146609,5.1635947,1.9113972,2.6389968,42.35869,29.908241,30.652597,6.396853,23.904472,22.365814,35.37957,2.913619,17.94909,6.4404087,9.237024,33.485474,28.899889,3.3063993,69.28158,19.859198,62.566402,6.984506,16.473085,33.80041,3.4796472,4.1226206,6.898496,3.0616477,,67.39301,18.766056,15.431908,,25.525642,1.5830277,10.569133,23.102047,12.167813,2.2110598,29.683155,94.64778,36.632996,35.226696,14.169499,50.31363,1.2925978,12.774603,14.172203,18.362663,25.690922,2.7529647,39.85928,1.4711537,41.800194,57.072075,2.5979574,4.475069,19.514414,2.197358,11.142113,12.780591,1.0366787,6.197144,8.246729,27.536121,11.688828,3.448786,35.047874,22.015697,24.053205,11.688828,7.8578873,22.626726,6.62981,7.567193,1.5915548,32.687126,64.31863,6.21489,10.404155,17.585117,36.805958,35.63498,4.607578,7.552998,2.3731253,3.8248043,10.0051155,7.6187954,2.0363352,,281.54892,43.833565,,18.877485,10.192614,27.76985,39.493313,23.92567,6.0852976,47.622704,3.0968964,0.49046406,3.7061408,10.205352,5.3815393,1.8239642,23.336496,12.110859,14.051393,17.014465,1.7696676,2.1148596,3.7365859,13.602651,34.988525,40.639988,,17.687504,3.309671,20.263132,22.419785,1.9888188,7.4827967,3.6098323,3.447309
2009,,2.2253685,5.092942,23.58743,11.733963,12.859609,17.303343,39.044197,31.226807,11.776986,9.901999,1.9978548,47.98377,2.7590709,1.748478,7.5172396,92.4527,15.507092,37.121593,31.048706,3.667875,25.916807,17.903587,19.099327,19.22021,23.67508,13.647441,8.421888,0.7832319,24.207052,52.68434,16.86902,,2.6559775,1.3036022,0.48434106,0.041375622,14.068339,1.3540998,26.56173,19.890394,58.99763,22.743162,15.865203,3.3222592,23.01805,45.81643,10.206878,5.2063203,11.963974,4.396402,99.39651,20.28469,1.3072356,14.969249,10.977533,41.830215,14.496535,4.296829,25.434742,20.910349,4.838444,1.3001064,6.3791595,1.8599417,2.6666164,42.02335,29.498873,33.215034,6.5549545,23.628368,21.45296,36.666737,2.8998373,17.619915,7.4761596,9.524845,34.19409,28.554564,4.5779004,60.719585,19.764013,59.683685,6.629011,16.52501,33.759956,3.3855367,4.4042587,6.9907875,3.8676667,,66.8654,18.258533,15.91511,2.3034475,25.675846,2.8431554,10.627687,22.741709,12.926681,2.2668948,29.514862,90.96734,35.398617,35.11849,19.596508,49.480225,1.366809,12.508258,13.920623,18.459267,26.920017,3.0997872,39.981037,1.4907414,43.61888,54.420094,2.9839065,4.5058084,21.085707,2.3109057,10.942659,12.81593,1.0875324,6.4109497,8.159967,25.208807,11.012518,4.5556846,35.81189,23.165281,24.06806,10.977589,7.913523,22.497358,6.7431607,7.486177,1.4934164,32.90604,65.90794,7.7060614,10.881657,17.966082,36.242943,34.743153,4.9250646,7.7383327,2.4991462,4.0125694,9.898291,7.4287004,2.4558768,11.832205,277.96817,42.37211,0.67337334,23.300745,10.325628,26.459642,39.674904,22.97264,6.0075755,47.175552,3.474489,0.5578351,3.8684065,10.6626215,5.31566,1.7726754,21.598938,12.09952,14.60965,17.15144,1.8897705,2.4554245,3.2215002,13.4455185,35.751545,40.304382,21.00503,18.774826,3.3256695,19.731928,25.566294,1.9805138,8.843231,3.7526495,4.600367
2010,,2.3868601,7.233981,23.67597,11.864452,12.973783,18.074024,38.27429,30.76267,11.300582,10.000257,2.2064488,45.07716,2.9703736,1.8598317,7.7770333,92.16178,18.022665,36.762833,30.71117,3.192415,25.00986,20.042334,18.591284,19.132044,23.284262,15.260283,8.731734,0.89644873,24.077173,51.83544,17.286196,,4.2024393,1.6850005,0.6010289,0.04009012,13.893034,1.3142987,29.330061,19.969543,56.497536,22.65259,15.718085,4.0867133,22.844524,40.888836,10.237234,5.0942907,12.307925,4.416516,96.13493,19.492867,1.3527979,15.507219,10.89768,41.49411,14.414622,4.7235866,24.738653,21.409966,5.1040854,1.421601,6.9457526,1.9216639,2.8396862,41.088787,29.129381,34.07624,6.715665,23.936462,18.818459,36.118965,2.4759665,16.75064,7.931066,9.963006,28.100006,26.321304,4.976896,57.64995,21.70645,58.448925,6.279698,17.28486,33.758152,3.2837899,4.6974373,6.168713,4.029235,,66.3625,18.244038,15.933554,2.493691,26.047825,3.5524492,10.826782,22.34327,14.011669,3.3276043,29.091467,88.646324,34.217793,34.834442,20.830847,50.05894,1.4181345,11.907819,14.362239,18.596003,27.471592,3.523704,39.366287,1.5311933,39.827164,55.05877,3.4313483,4.538698,21.30796,2.9229198,10.705868,12.8602085,1.1799488,6.4922028,6.824683,23.011711,10.9585285,5.0575547,34.653095,21.887127,24.095974,10.836094,7.933286,22.838614,6.8441963,7.5468135,1.5282202,32.189835,66.02842,9.282912,10.554366,18.757431,35.458797,35.15725,4.915112,7.7716584,2.9249594,4.272516,9.854706,4.4048014,2.5724366,10.799385,273.09116,39.80682,0.7042413,27.515276,10.969581,26.323772,38.856625,22.535725,6.0921793,47.068516,3.8579392,0.6215885,4.05325,10.845406,5.561501,1.7243245,21.510664,12.716187,16.092827,17.634323,2.0211856,2.5672588,2.3301096,13.6302185,35.2688,39.239445,20.939054,17.57777,3.2607765,20.555689,24.4299,1.8833871,9.53282,3.8547373,4.8788276
2011,21.039083,2.2157426,8.144849,23.737745,12.2688265,13.073081,19.543213,36.038742,30.389137,15.148776,10.158843,2.4109821,43.51535,3.186366,2.028757,7.9833145,60.16465,18.069155,35.999046,31.766584,2.098577,24.151785,23.624449,19.1135,20.39512,23.174812,17.396563,8.320601,0.9365835,24.18692,50.318184,17.18287,,4.243383,1.7314174,0.61050624,0.31302994,14.854166,2.2969086,28.714527,22.761671,53.938564,23.347448,15.852938,4.647642,22.69847,38.7193,10.659827,5.2111473,12.683375,4.418743,88.559235,17.370684,1.8815236,17.022528,10.665207,41.30248,14.260046,5.285961,24.079466,23.770632,5.1273255,1.5685849,6.732777,2.3070002,2.8550098,39.46457,29.953226,34.970486,7.470257,23.899054,19.07803,35.78,2.625681,16.407969,14.417111,10.418702,27.104614,29.597342,4.817919,52.25736,22.012861,57.99955,6.138449,17.550663,33.82341,3.3487613,4.9666266,7.237596,4.1909165,5.9865003,54.821556,18.260927,16.00678,2.5070963,26.618637,3.6018815,11.632598,21.940111,15.5947695,3.3676734,19.017326,85.92008,32.78811,35.270966,21.873924,53.747494,1.4800861,11.730789,14.68849,21.877735,26.029701,4.100847,41.314415,1.6774074,40.266876,66.416985,3.6667914,4.523427,21.651007,1.0875236,11.025851,12.990426,1.218029,6.328748,7.178493,21.317913,10.718486,7.259055,34.028645,19.790945,23.881046,11.635743,8.0849695,22.780434,7.1032543,7.657381,1.6222892,32.565025,64.09173,10.29998,10.834794,14.205591,35.27947,36.814514,5.4544954,7.7222095,3.0194848,4.583933,9.617758,3.9815502,2.627692,11.638888,250.70853,38.42389,0.7111285,27.821314,10.817298,26.016455,38.37412,21.754475,6.9188666,48.040115,4.099337,0.6789594,4.276988,11.117886,5.859048,3.8137255,21.524223,11.815374,16.501677,17.9505,2.0942576,2.5017939,1.6034651,13.582135,35.028088,45.801872,20.903782,17.076128,3.5862184,20.748833,17.48805,1.7945367,9.995771,3.9898212,6.3324523
2012,21.96247,2.134943,8.766739,23.762007,12.719737,13.148612,20.95123,35.391445,30.919155,15.995731,9.862129,2.6221707,42.54822,3.1762848,2.076102,8.17361,61.494095,17.686323,35.67132,31.645672,1.707225,23.346128,25.124123,20.333893,21.187874,22.754728,13.351324,8.360658,0.97864914,24.316332,48.949497,17.103836,7.734056,4.4969425,1.8313453,0.6912759,0.535187,15.120976,2.4786894,32.19035,22.691349,50.600742,23.895067,14.184477,4.857395,22.536058,34.087074,10.487399,5.254727,12.930529,4.362507,84.06004,16.03266,2.9012012,15.49597,10.28564,38.92004,14.122698,8.956852,22.107368,28.141005,5.4098086,1.7224175,6.701802,2.4541266,3.4162433,37.601295,30.774492,35.616398,7.796268,23.370943,20.92163,35.444088,2.7234097,16.051855,16.568214,11.079682,24.489584,29.683962,5.204244,47.17723,21.96574,56.475086,6.051024,17.792261,33.85746,3.3138041,5.2532077,7.798851,4.425451,5.866651,57.06677,18.33021,14.5637865,2.6618204,26.183157,3.5001285,12.930654,21.60648,16.397491,3.327684,19.29259,82.90367,24.640926,35.134346,22.917381,54.27073,1.5593116,11.584722,15.154408,22.050716,26.662935,4.6551003,37.7611,1.859735,40.525562,68.94285,3.8925874,5.100207,21.96872,3.3497906,10.917331,12.899097,1.5017775,5.737434,7.069916,19.657476,9.919208,8.396483,33.412163,18.224106,23.51128,11.896652,8.346834,22.384005,7.7271137,7.9336543,1.6111605,33.971973,61.25487,10.847604,10.715397,14.425718,33.22974,38.27673,5.6210303,7.7260985,3.0551114,4.8220034,9.455084,3.8744442,2.626108,11.217393,249.03941,36.26398,0.88715374,30.907686,10.664527,26.680914,38.529034,21.870483,6.8539796,48.89686,4.2523584,0.654974,4.313108,11.411111,6.3434153,4.154358,20.094599,11.896652,17.003336,18.33326,2.2382162,2.830315,1.072065,12.776965,34.819695,45.25626,20.89376,17.156525,3.1471515,22.139309,18.113256,1.733477,9.71164,4.2012644,13.158209
2013,19.28315,2.2542307,10.054234,23.265701,13.11093,13.165579,21.582197,34.823994,30.137081,15.563336,10.383892,3.1101959,41.470272,3.2513425,2.2544832,8.325332,60.901417,17.31636,34.693836,32.514206,1.562742,23.882412,28.468693,20.462547,19.72413,23.017685,17.193403,8.53674,1.0617232,23.354895,47.51163,16.947674,7.8060346,4.4612846,1.9559045,0.6482508,1.9800019,15.72264,2.6491342,32.087234,22.226404,38.088177,24.358929,14.897003,4.581214,22.428648,30.037794,11.654886,5.2527027,11.967039,4.341378,73.83068,13.956923,,14.101124,10.865064,38.553318,13.96531,9.288896,25.177366,33.016907,5.567506,1.7864014,6.7505116,2.6936138,3.406414,32.480824,30.450327,35.99077,8.290004,22.967484,21.224892,34.50008,2.7130075,15.392921,17.355742,11.740793,22.795286,29.371479,5.076095,43.165802,21.578714,53.307392,5.727541,17.03662,33.809357,3.2962437,5.368253,7.9457016,4.7300997,5.7390456,56.65111,18.030054,14.055801,2.6942546,24.377268,3.6671822,13.065248,21.322275,17.01953,3.5851717,18.08893,81.74423,21.59092,35.895626,23.641666,55.17695,1.6250739,11.137937,15.073039,22.227867,26.86587,4.8943105,37.676197,2.7398183,42.387486,71.47682,3.8982244,7.3069777,22.295473,3.3437486,10.71949,13.015563,1.60359,5.8212166,7.406929,17.345093,8.938493,8.455393,30.898746,18.274529,22.357986,11.967039,8.718373,23.718887,7.889922,8.240554,1.5617456,33.00032,58.19095,11.177956,10.605516,13.47435,31.69976,38.47621,5.968319,7.8421273,3.1582406,4.7455587,9.145731,3.4795215,,11.910396,244.23914,32.73358,1.3510476,31.267868,12.012282,26.945204,34.50795,21.591642,6.641391,49.39563,4.3938675,0.8804381,4.416265,11.771552,6.6461983,4.756085,21.784458,11.714925,17.624134,19.380829,2.4939697,3.044139,0.9201723,12.625045,33.60997,46.76268,20.907124,17.056871,3.6892586,22.172527,21.980885,1.7039284,9.898676,4.4277554,13.769518
