Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100205.09,10011.882,0.0,0.0,100.28105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100319.78,39991.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,100346.125,0.0,0.0,5001.048,0.0,0.0,0.0,0.0,0.0,5031.6294,0.0,0.0,20000.541,0.0,30078.229,0.0,0.0,50113.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.667,10005.919,0.0,0.0,25042.357,0.0,0.0,0.0,0.0,0.0,0.0,10255.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50261.32,29999.684,0.0,0.0,0.0,0.0,,2601283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,49998.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988293.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190399.88,20097.318,0.0,0.0,2007.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4988.953,0.0,0.0,0.0,0.0,0.0,160604.45,80200.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,200978.12,0.0,0.0,10002.344,0.0,0.0,0.0,0.0,0.0,10069.4375,0.0,0.0,70066.055,0.0,80245.414,0.0,0.0,100278.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5028.489,0.0,0.0,0.0,0.0,0.0,6807.4824,0.0,0.0,0.0,351.05524,0.0,0.0,2007.3187,0.0,0.0,1302.3083,10258.801,20012.492,0.0,0.0,50098.637,0.0,0.0,0.0,0.0,0.0,0.0,20497.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4965.104,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80548.73,59977.805,0.0,0.0,0.0,0.0,,4270533.5,0.0,0.0,0.0,0.0,0.0,0.0,1995.1962,0.0,0.0,9992.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5065.256,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,100001.445,0.0,0.0,0.0,0.0,0.0,0.0,29.042742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983259.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5537.6504,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,1008.40497,0.0,0.0,0.0,310405.6,50414.355,0.0,0.0,10050.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19972.855,0.0,0.0,0.0,0.0,0.0,261055.2,120431.15,5074.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5645,0.0,,0.0,405.66168,0.0,352297.72,0.0,0.0,20008.76,0.0,0.0,559.4078,0.0,0.0,30292.742,1008.6061,0.0,95139.22,0.0,160606.55,0.0,0.0,150425.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.959,0.0,0.0,0.0,0.0,0.0,48929.05,0.0,0.0,0.0,5014.964,0.0,1005.0635,6038.149,0.0,0.0,4018.547,15396.157,40018.02,0.0,0.0,120251.71,0.0,0.0,0.0,0.0,0.0,0.0,43941.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.4964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14892.472,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,197.35275,0.0,0.0,0.0,0.0,0.0,201654.81,94999.09,0.0,0.0,10100.148,0.0,,6892746.5,0.0,0.0,0.0,0.0,0.0,0.0,19930.117,0.0,0.0,24943.344,0.0,0.0,0.0,0.0,0.0,1001.50775,0.0,0.0,0.0,0.0,15208.51,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,129829.14,0.0,0.0,0.0,0.0,0.0,0.0,194.30373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4476133.5,0.0,0.0,2510.7817,0.0,0.0,0.0,0.0,0.0,0.0,16497.412,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,10084.295,0.0,0.0,0.0,349958.44,60519.414,0.0,0.0,20113.998,0.0,0.0,0.0,198.03577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39979.875,0.0,0.0,0.0,0.0,0.0,341515.47,150367.5,10123.057,2019.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2744.7888,0.0,,0.0,465.61908,59994.523,377801.25,0.0,0.0,30007.45,0.0,0.0,1829.3861,613.92554,0.0,50631.035,4523.732,0.0,130133.516,52.78511,341385.44,0.0,0.0,300739.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19894.838,0.0,0.0,0.0,0.0,0.0,78772.96,0.0,4597.9346,0.0,20031.676,0.0,2011.8411,10053.935,0.0,0.0,7036.656,20284.826,70012.49,0.0,0.0,500954.66,0.0,0.0,0.0,0.0,0.0,0.0,112195.3,1523.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24810.45,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4934.715,0.0,0.0,0.0,0.0,0.0,302729.25,120041.9,0.0,0.0,22557.17,0.0,,10009239.0,0.0,0.0,0.0,0.0,0.0,0.0,49768.68,0.0,0.0,44891.652,0.0,0.0,0.0,0.0,845.89764,19920.123,0.0,0.0,0.0,0.0,25324.744,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6808.6494,8158.2085,149633.28,0.0,0.0,0.0,0.0,0.0,0.0,7796.588,0.0,0.0,0.0,0.0,0.0,0.0,4989.991,0.0,0.0,0.0,406.74475,0.0,5966168.5,0.0,0.0,8839.169,0.0,0.0,0.0,0.0,0.0,0.0,49249.297,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,15128.156,306.75287,0.0,0.0,399488.8,110612.1,108.91485,0.0,70406.86,0.0,0.0,0.0,1643.5449,0.0,0.0,0.0,49.713726,0.0,0.0,0.0,59999.445,0.0,0.0,0.0,0.0,0.0,693327.0,190226.06,20198.03,14122.546,0.0,0.0,0.0,0.0,37647.43,0.0,0.0,9660.121,0.0,,0.0,937.87506,129980.65,754395.1,0.0,0.0,69987.19,0.0,100.58215,3961.3442,4103.523,0.0,111632.22,17114.63,0.0,250102.53,62.846348,521921.9,0.0,0.0,601266.5,0.0,0.0,0.0,10.159604,0.0,0.0,0.0,39580.73,0.0,36.08736,0.0,515.3006,0.0,168228.47,0.0,12545.301,0.0,50001.965,2083.37,10066.33,20046.646,251.2083,0.0,18078.48,30098.592,110421.58,911.30615,0.0,1001899.3,88.81153,0.0,0.0,0.0,0.0,0.0,140519.11,2449.3335,0.0,0.0,0.0,0.0,0.0,0.0,477.75266,0.0,0.0,1998.8383,0.0,144.32079,0.0,0.0,36.60161,0.0,0.0,38684.195,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19742.635,0.0,0.0,0.0,0.0,598.97345,504409.0,180069.62,0.0,0.0,114740.26,0.0,,20460824.0,0.0,203.87045,2031.0205,4033.6624,0.0,0.0,149197.0,999.1774,0.0,71879.695,0.0,0.0,0.0,0.0,5984.9297,79757.92,0.0,0.0,0.0,0.0,40508.11,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,17018.705,21305.623,299651.22,0.0,0.0,0.0,0.0,0.0,0.0,22497.033,0.0,0.0,0.0,0.0,0.0,665.52026,29938.38,0.0,0.0,0.0,7103.815,1982.2117,12909458.0,0.0,0.0,12054.649,0.0,999.36035,0.0,0.0,0.0,0.0,108648.66,581.1371,189.11444
1995,0.0,0.0,0.0,363.9401,0.0,2506.226,30257.387,1744.5242,0.0,1501.1443,499368.88,150277.83,158.6742,0.0,100527.49,0.0,0.0,0.0,10001.139,2053.7969,2894.2144,0.0,297.89386,92.68516,4072.0579,5260.8794,170045.3,20.314428,2961.8086,0.0,967.06854,0.0,1226538.6,250078.39,50407.223,60454.098,29.749163,0.0,0.0,0.0,67329.53,0.0,0.0,14735.658,10.018557,,1293.8396,3538.103,149893.34,1507310.5,101.487175,381.33524,200210.53,1359.4071,503.62463,5080.5464,20562.162,0.0,152521.1,40372.133,10.069035,710016.25,72.8088,953157.6,0.0,0.0,1102128.1,583.0544,60.534332,0.0,50.500214,116.53921,0.0,0.0,78853.91,0.0,30.129456,309.1842,989.7185,0.0,198818.5,2110.7656,23744.842,0.0,69935.48,52189.727,251876.2,40020.45,2600.0386,0.0,30004.262,49821.676,301030.47,2737.3662,1104.0984,2003678.5,1890.9451,193.52296,0.0,0.0,0.0,0.0,371878.94,3411.7737,0.0,2836.603,0.0,0.0,453.0657,0.0,963.2899,0.0,0.0,6494.8135,0.0,1116.4246,979.54877,0.0,152.60902,0.0,0.0,93192.336,0.0,814.27826,0.0,865.2412,0.0,,205.80528,0.0,0.0,0.0,0.0,0.0,29616.37,98.88743,10.378328,0.0,0.0,1395.0378,1007549.25,279987.6,205.74321,0.0,179468.2,0.0,,39337868.0,165.13512,1529.1033,8135.5356,20166.139,0.0,0.0,248508.03,4990.148,0.0,149908.0,0.0,0.0,0.0,978.3123,16982.588,219695.27,0.0,1455.9875,0.0,61.303967,101535.82,95.693184,0.0,0.0,343.02588,0.0,,,0.0,492.85287,28014.174,57634.676,449966.8,10.012505,0.0,0.0,0.0,0.0,0.0,44220.453,0.0,0.0,0.0,123.52688,2048.3052,1025.3243,49851.652,0.0,0.0,591.75555,22259.57,9891.358,24774406.0,349.97287,145.43944,27124.145,0.0,2997.6743,0.0,0.0,0.0,0.0,301430.6,771.7087,843.23834
1996,2173.0972,,109.95669,1045.006,977.1163,9751.11,50413.504,3100.7976,,1990.3098,599544.5,550032.7,497.62634,48.78213,301500.75,108.2206,102.352356,,60133.49,5131.9863,5350.578,586.1528,2977.886,1856.7291,9694.908,15729.126,740207.3,1021.52563,9853.331,,2418.3665,200.98735,2012334.8,321746.5,100703.63,161028.4,1298.6654,,49.01358,99.696785,120333.52,,,30437.955,3502.2524,,,5927.4097,199784.06,2512980.5,202.06757,809.12604,300783.88,6023.6313,504.74908,10176.469,41200.062,0.0,535900.44,50573.184,1013.0003,859931.0,517.93805,1508575.5,307.85178,0.0,2404029.0,1928.258,1006.05505,,151.43347,462.10022,,,147490.8,311.7395,1006.5221,2067.4785,2063.6963,500.8436,299294.1,2580.6953,39189.266,576.8533,99853.37,115062.41,453923.97,80021.75,9951.645,,39824.543,119250.57,584934.0,14923.299,2207.6143,5508877.5,5224.323,2416.986,,,,834.7078,741280.75,14805.141,,5655.43,,,1008.73615,,9751.88,56.134003,9986.393,22971.576,19975.83,2960.2434,1521.4792,,203.75826,536.1993,595.36017,185281.02,18.08315,1529.4545,213.8932,4076.0044,,,429.22366,,501.86282,,2154.4912,,177652.0,148.67877,518.7385,104.39661,10047.9375,3977.5947,1509117.5,799571.1,1025.7657,,299913.25,0.0,,77498790.0,4145.2544,6116.4604,61093.195,40387.57,,99.49332,496827.97,9975.447,,300104.47,954.3649,,205.14174,4920.9062,49957.99,399462.47,59.263367,3697.3936,0.0,1018.9714,305989.78,1064.0327,105.2372,5015.162,364.20203,114.0386,,,,993.109,42003.383,100775.5,799484.06,498.87308,514.0197,0.0,,,500.32114,69190.98,,,,164.27501,5113.73,2566.6921,119395.29,,501.9882,982.16064,50498.895,59236.03,44473576.0,1000.64966,546.72784,56261.1,,5000.7437,98.62441,97.16397,,107.52888,379883.03,816.594,1873.5432
1997,,,831.795,1569.4208,1974.1345,92850.36,100776.0,3624.5154,,2473.6523,3029135.2,759839.06,1998.9698,484.35495,502768.97,1622.7228,2043.2073,955.31604,100233.27,10273.22,4237.6143,2387.8545,4962.073,2802.1382,14560.481,36579.094,1310092.6,2055.7566,14751.974,,4836.8574,504.0047,4530613.0,1070463.4,157849.67,402065.44,3021.4204,932.4091,97.221146,100.18294,204359.77,0.0,1042.9164,60716.28,7502.8135,,,39298.23,299735.25,5529240.5,557.22253,,601543.6,11663.396,3037.3394,13260.465,61917.203,194.07446,1133209.0,81114.375,3049.7915,1000162.1,1814.7773,2492098.8,633.9535,567.0819,4316551.0,2860.898,5022.5615,735.2554,301.6387,687.0066,191.02272,255.77963,196474.23,1043.4899,4463.6704,10366.552,3615.9155,1004.85925,674954.3,10381.979,77912.45,,199656.66,402560.03,707065.5,150132.45,29755.408,,74521.04,248411.38,1302049.9,20326.705,30244.473,11569844.0,10363.419,9668.707,,676.31384,,981.41205,1654263.6,38874.0,,50988.63,108.33003,,1513.8904,,29646.863,111.02635,34963.113,29925.787,49965.254,9812.879,5887.661,,1225.1606,2148.731,828.4163,589805.9,,10209.547,1073.7972,15317.295,,,2693.5696,,2007.3212,100.612816,5632.8955,493.0905,493210.5,992.4599,2073.3293,208.5898,20125.49,9918.15,2211607.8,899405.2,5108.0156,,551492.25,9634.655,,121025464.0,39266.426,15291.683,101963.42,101190.74,,5017.232,795138.94,49884.504,0.0,500775.66,4774.121,,491.22522,16976.379,99830.88,699294.75,126.08394,7489.2085,317.80716,2538.801,511467.44,1597.0089,212.16803,15018.268,366.2834,230.72296,,,,4494.5117,63007.99,150654.42,2098861.5,891.3455,1022.131,5027.3223,,50.48393,9976.418,218925.61,,,,514.3962,15319.76,4113.043,297731.62,,2494.7585,2255.3997,100975.44,108408.95,59113944.0,2503.4663,1048.2639,90435.5,,7510.9785,2955.6865,243.63017,309.97153,2685.6128,745325.56,861.7865,3761.178
1998,,,2797.47,2087.4658,4503.5806,210042.25,302173.62,4127.909,,2949.144,5762603.0,1230376.5,3008.4827,980.21063,804686.75,3250.6257,5105.9033,4776.3403,150146.83,20576.895,7365.892,5875.2227,7446.413,4709.8022,19473.82,52082.125,2499968.2,5170.604,19633.41,,9680.018,1011.6533,7551374.0,1763352.9,251472.73,2108181.5,10160.749,1869.4325,195.36981,100.81714,425624.94,195.6437,2079.0366,100864.84,25015.613,,,81308.6,399931.5,8101017.5,662.2613,2022.7007,1202410.0,19439.13,6082.5225,15347.402,103507.25,191.31546,1771688.8,152354.3,6123.1445,1311707.2,5206.28,3714691.2,2070.5012,2061.478,8014276.5,4706.004,6025.1074,1157.907,501.35583,2837.9084,285.7122,605.7077,343942.72,1574.2872,8232.136,51974.195,7032.9863,2016.5664,948591.5,18781.064,145516.55,1920.4727,399267.8,535701.7,1416222.9,300449.0,64400.645,,99407.805,596794.06,2608165.5,50848.12,67439.86,16975358.0,20509.494,14519.542,3573.2815,1968.4962,528.207,1471.8785,3135293.2,56295.61,506.86844,113829.36,109.458885,,2018.6614,,55109.47,218.9168,69964.25,49819.707,79905.15,29611.174,39305.805,,11263.99,9690.304,1553.5677,1209775.5,,20434.059,2161.409,25598.916,,,3518.1067,,3502.2627,1004.57904,30657.943,1948.9092,1479091.0,4968.5674,4144.332,312.73663,30238.96,14836.995,3520554.8,999708.06,15248.634,,1205776.9,19174.002,,188656720.0,64393.234,79601.5,306381.3,836282.75,,12138.875,1572254.5,99831.13,0.0,1002790.4,9550.397,,3065.3213,20435.287,498657.97,1199899.6,950.69525,15135.56,1271.3737,7590.138,764317.7,2130.1433,635.99347,25008.258,368.3238,584.28815,,,416.4491,7639.4766,144571.92,200078.31,2962077.8,979.88635,2039.5851,10075.589,,338.86975,14854.175,671346.6,,,,775.89215,35701.37,10299.369,445379.16,,2996.988,14700.452,151681.16,226331.16,83093130.0,5009.069,2098.6328,326640.28,,10025.609,9848.1,488.93387,412.16064,4302.209,1343368.2,2866.1716,9466.568
1999,3897.079,,11274.782,2596.7,5019.089,488030.22,1208514.9,30746.002,,3905.595,7712205.0,1842138.2,8038.0127,2484.448,1408440.5,10847.837,7151.0254,47784.027,234614.28,30900.502,12032.393,8028.261,49682.223,9501.496,24424.756,83059.695,3499311.5,6238.147,24502.225,801.4765,18429.734,1525.1328,11072854.0,2429000.5,628615.56,8924419.0,20432.893,18747.254,493.56906,509.2517,652860.0,779.1801,5179.6465,150788.98,34843.258,,,105624.38,700456.8,17026640.0,765.95734,2019.7628,1628051.5,93308.95,60803.613,102681.03,207729.22,564.15015,2891607.0,203531.4,8199.015,1668208.2,7839.7295,5391621.5,3124.7168,3095.246,12528892.0,18550.525,20087.35,1645.671,5025.9307,10134.578,1424.448,649.98065,737792.7,2639.9565,12129.436,67698.61,13450.775,3057.96,1404733.2,36711.527,193211.27,5759.585,598659.44,946626.7,2836684.8,410339.06,247756.02,,114571.77,798922.44,8230316.5,61007.527,133334.06,27124492.0,71758.12,33972.215,10171.273,3921.3032,1055.7568,1963.6964,10951860.0,90369.89,2017.7861,228798.2,319.66156,6972.2017,3027.9768,,66006.19,1077.8314,102976.44,74752.4,104895.15,39634.926,49214.438,,25699.064,26978.258,3106.884,1803862.4,485.17078,30666.643,6838.6074,30798.406,67.947014,,12376.406,,9975.767,3011.0112,56101.176,9642.393,2760804.8,5972.4736,12430.423,3127.998,50497.05,24666.152,6244727.0,1784715.6,35384.16,,1591546.2,56675.69,,282097730.0,83348.836,113257.336,511290.75,1113122.5,,35686.113,2089147.8,199805.22,0.0,1505911.8,19094.848,,8160.3047,24933.621,597949.8,1500373.0,5473.484,76367.9,2386.0242,30271.94,958140.4,2129.0554,2093.8494,49997.88,11336.458,1181.2799,,,517.4156,8833.62,292448.34,249847.66,3669988.0,4852.0864,5109.881,20170.748,,1013.18,29519.758,1511525.6,2035.8408,2022.4114,,1038.9169,76440.59,154736.34,1480522.6,,25018.838,24546.648,202597.23,324515.78,99941040.0,7511.283,3154.3455,683449.4,,12025.693,98354.87,980.0075,514.351,10776.108,1923537.0,14322.998,19050.96
