Date,AFG,AGO,ALB,ARE,ARG,ARM,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIB,GNB,GNQ,GRC,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
1975,3853.8767,,6980.357,,5360.614,6144.1416,6265.0713,6148.6255,3787.082,5529.642,4231.6914,1695.2874,6919.1953,5342.855,3751.295,2181.2112,5563.9595,5818.011,4737.264,2589.7324,2796.7783,,,,5522.1714,1974.2316,3526.3774,5591.6465,6210.8086,3287.3914,3857.789,4029.6562,6638.6377,8603.427,,3433.2405,5483.3057,2470.9692,4430.6294,4888.397,3179.0908,3260.3325,5810.59,6390.412,3481.3867,12218.25,6076.1455,8065.17,3834.437,5679.0933,2602.5176,2075.063,5864.0273,1773.4004,4742.498,7370.7407,3255.553,2944.0317,2280.207,,7660.6484,4307.8076,,3979.695,16075.5,4915.8447,5199.557,6022.812,5855.592,5532.814,6607.2573,3013.4846,6481.916,4585.2334,1688.984,6902.7104,5461.058,5035.632,,4137.022,5285.507,4600.8633,4306.5664,6119.4385,3121.3062,10609.522,2483.4087,2873.3247,12366.953,1942.6029,3304.9573,3910.8198,,4855.233,3212.7173,5144.4355,16097.53,5972.194,,5232.5493,4443.617,,6702.4727,4548.867,3042.8716,3433.1992,,3650.1196,2384.1626,3239.9697,,3044.8333,4039.1924,,,,,,3240.4478,,4214.465,6098.131,2952.5098,3650.3416,1989.5593,,7354.087,6275.814,2926.1995,5798.6577,8205.924,1975.1418,5674.1357,2009.6982,9382.114,4247.235,2763.7888,3152.277,,,5306.479,8508.238,6746.5103,,,3886.3953,4420.1904,6571.341,,4075.6936,6647.025,6911.3525,5434.587,3162.82,,2255.3909,4550.0034,3189.7766,3186.0818,7611.0366,2685.0874,2908.8962,4809.976,6776.9155,4212.5347,2299.6177,2829.779,4445.57,6551.9717,7471.861,,3511.7173,6161.5205,5857.9526,3159.4673,5514.6357,9478.626,7501.762,2302.745,4352.5337,2736.2788,3167.5867
1980,5159.212,,6074.9165,3053.2002,5642.912,6388.2954,6055.018,6511.5796,4151.01,5688.627,4362.063,2217.1746,7366.424,5685.45,3213.1995,2266.8003,5980.6836,6306.2383,5039.1626,3147.2292,2799.9146,,,,6135.4414,1932.2983,3426.962,6348.8403,6485.081,3579.3914,4494.6484,5102.295,8403.542,9611.95,,3744.6138,5575.708,2539.955,4610.0576,4731.741,3964.9229,3150.0098,7093.6113,6648.03,4002.813,12256.392,6023.705,8266.572,4029.0383,5573.3413,2891.558,2300.6724,5890.5986,2096.6091,4547.6367,8023.7812,3261.3708,2996.2383,2955.3608,,8440.56,4194.3647,,3903.2617,17225.281,5779.541,5200.585,6557.1255,5875.3525,5750.894,7489.975,3225.2166,7434.884,5170.5605,1878.4457,7722.788,5442.8667,5108.3613,,4785.3037,5583.3228,4815.2593,4421.2,6294.2397,5157.147,11970.376,2960.8801,3074.869,12598.183,1774.502,3551.8767,3627.5195,1961.2188,4956.879,3179.5105,4969.9326,16062.516,6793.9844,,5557.3877,4674.2744,,7458.321,4718.539,3841.5486,3309.8591,,3906.1167,2718.6877,3443.2747,4415.0347,3050.0283,4013.8647,,,,2218.328,,4054.7842,,4790.503,5869.2437,2843.1348,4208.0854,2083.1963,,8212.449,6191.6196,3154.4612,6688.628,8327.169,2386.0613,5614.969,2232.674,11508.058,4677.623,2931.1443,3473.9944,1483.9133,,4966.2,8923.2705,7143.193,3009.4658,1903.5868,3372.4001,5189.9697,6650.2295,,4613.2393,6723.33,7977.872,5773.3315,3474.7754,,2628.1912,4704.6836,3345.613,3043.7732,8653.691,2947.2231,3004.6528,5134.42,7417.018,4562.1445,2676.0784,3086.4028,4769.5444,6985.2095,8473.689,,3721.594,6809.9424,5884.636,3021.534,5764.4873,10020.867,7418.464,2975.1348,4321.652,2956.1438,3447.7354
1985,6376.251,,6694.478,3447.5193,5884.1665,6267.219,5946.344,6254.5864,4317.687,5817.336,4349.24,2797.1382,7393.124,6059.2676,3122.6272,1878.2054,6029.238,6827.497,5210.8066,3456.382,2611.046,,,,6458.098,2046.4235,3634.4924,6821.2188,6690.1753,3915.2212,5354.7495,6957.013,10595.3125,10713.093,3041.2104,3657.9312,5424.8203,2558.6274,4489.0845,4703.431,4654.281,3117.1904,7254.966,6712.687,4345.6304,12188.373,6032.4287,8173.0845,4141.6064,5411.3794,2910.058,2407.0857,5988.5366,2444.471,4547.406,8430.482,3273.3362,2867.8271,3348.6758,,8337.216,4459.271,,3845.3557,18019.46,6811.9883,5244.3,7248.9404,5642.0103,5690.207,8671.934,3234.8044,8338.193,5651.8257,1912.4326,8780.674,5529.8076,5164.727,,5274.9595,5813.958,4636.2383,4818.508,6598.8125,7268.5015,11813.689,3541.4172,3159.0347,11505.47,2419.3088,3370.017,3672.7366,2051.6863,5061.174,3205.4321,5163.0537,12392.792,7995.777,,5799.484,5325.376,6351.0063,7992.559,4792.372,4329.0967,3265.446,,4091.3428,2896.9626,3886.116,4523.6006,2955.777,3956.3435,3423.127,,,2535.0286,1738.764,4465.931,,5446.445,5749.321,2868.2354,4915.508,2090.9,,8993.84,5529.8257,3564.3164,7513.775,8552.15,2551.6172,5708.204,2799.5999,12598.722,4769.3716,3118.2913,3629.2136,1635.7814,2682.8333,4387.609,9234.009,7393.896,3500.3206,2245.8967,3842.9866,5996.867,7223.0874,,5838.1323,6673.331,8319.402,5900.7065,3870.0947,,2583.6316,4785.1416,3483.35,2972.7932,8963.802,3065.4102,3529.2275,5301.6313,7730.5435,5249.862,2969.3484,3124.967,4540.7754,7195.2417,8393.829,2665.523,4209.485,7036.906,5923.3438,2825.2358,5892.012,10115.379,6562.812,3983.0984,4574.2866,3077.1558,3274.6404
1990,8000.057,,7418.5225,3842.6548,6066.4336,6598.851,5886.928,6374.1777,4372.7954,5892.045,4223.8125,2904.6443,7252.3237,6012.1055,2819.402,2071.8145,5554.51,7390.661,5511.2236,3777.4539,2575.3723,,,,6942.663,2206.5806,3835.5063,7315.76,6913.002,4385.3477,6100.259,9317.125,11480.354,12006.6455,3097.5034,3879.5674,5595.92,2744.2134,4529.827,5120.137,7462.038,3092.2783,7706.5747,7091.298,4264.2007,12595.61,6391.445,8160.12,4183.779,5980.169,2945.628,2736.6753,6198.569,2845.883,4553.9873,8638.428,3596.9268,2715.9631,4014.0203,,8201.251,4814.953,,3792.504,17827.947,7338.7236,5374.5527,8214.56,5518.2524,5975.846,9324.271,3179.29,8974.601,6111.606,2053.752,9774.302,5771.7266,5270.4272,,6140.6475,6016.2,4716.4907,5164.831,6933.487,8243.639,12463.658,4431.7104,3110.6355,8110.3926,4611.1187,3243.2644,3591.4575,2168.5146,5343.9893,3072.3335,5364.9756,6334.079,8573.092,,5989.7607,6093.292,4138.696,8558.431,4839.9263,4718.644,3349.919,,4249.408,3139.0168,4205.629,4675.633,2962.0,4062.9534,4028.6736,,,2696.4944,1854.0344,4466.721,,5719.7656,5768.3394,3001.893,5407.7285,2113.544,3629.569,8756.407,6058.9077,3910.9841,8165.1787,7751.099,2926.9353,5653.0347,3236.6682,12855.975,4785.0347,3354.0742,3744.171,1781.9209,3152.0322,3873.4333,9504.967,7646.326,3197.8682,2677.997,4588.3223,7025.7725,7958.7573,,6690.6885,7036.8687,10904.062,5669.957,3613.5642,3464.7058,2692.2927,4599.911,3809.846,3032.04,9356.375,3531.1287,4023.6646,5276.9434,8216.891,6185.9497,3357.2708,3174.8923,5022.5586,7709.208,9182.756,2558.4116,4522.437,7352.7837,5921.4023,2699.0874,6012.0317,10225.244,6511.322,5485.5205,3816.6418,3182.6355,3379.6052
1995,8951.315,1792.1112,5863.493,4007.7952,6114.166,6299.8696,5634.683,6368.4067,4827.083,5562.653,4508.6646,3003.0305,7489.467,5711.5547,2346.8474,2050.9146,5506.1772,7285.449,5719.5684,3927.9758,2559.1885,,,,7579.8394,2344.1484,3715.272,7553.321,7434.994,4869.015,6993.522,11404.152,12503.033,12974.501,3349.913,4081.1797,5687.309,2909.0193,4440.5894,5126.1304,6844.3667,3233.4395,7508.3125,6880.5664,4526.8584,12896.207,6044.6987,8160.533,3887.7144,6599.575,2741.9292,2659.3047,6277.7417,2973.2744,4705.9097,8427.963,3683.7864,2665.541,4304.0205,3674.0632,8215.139,4946.434,,3780.8118,19387.902,7602.5923,4937.7373,9053.317,5199.8867,6195.4336,10273.89,3206.352,9016.153,6743.895,2065.1396,9326.95,5761.0205,5337.692,,6305.0596,5991.8584,4719.61,5721.3643,7914.9824,6063.591,11369.976,3256.8262,3216.036,7551.84,2188.0894,3336.4924,3643.3992,2382.2346,4922.463,3116.5715,4789.573,6376.0674,8782.564,,6023.909,6667.5415,4548.6597,8834.241,4642.2446,5044.2295,3289.745,,4397.1494,3443.3665,4874.4585,4829.127,2915.7954,4166.7,4743.2905,,,3219.1055,2059.1987,4915.2783,2475.812,6023.12,4995.275,2948.4512,6038.7705,2248.6519,2831.4304,8561.198,6621.8003,4258.9756,8275.5205,8442.229,3245.0317,5626.7197,3259.867,13310.879,4643.7085,3352.112,4255.828,1891.3967,3444.22,4149.4814,9190.917,7392.4727,3669.2876,3323.8562,4989.7764,8082.739,8911.998,,6477.772,7189.2876,10981.821,5774.4385,4072.3552,3696.8333,2718.0051,4458.2544,3635.6716,3242.6392,9928.663,4008.3748,4014.3088,4976.96,7272.3438,6450.375,3706.4465,3177.7478,5160.821,7902.965,9153.131,2758.0603,4609.031,7216.254,5862.0693,2664.3677,6165.7524,10170.746,5440.127,7703.3237,3621.3955,3658.2585,3521.8787
2000,10482.262,2472.8118,6532.32,4025.0295,6219.6675,6070.485,5613.8286,6347.8506,4939.1855,5784.184,4880.483,3276.9165,6845.1494,5468.214,2405.0974,2121.955,4539.495,7305.7354,6203.6963,4886.121,2541.9167,,5027.4546,,8080.795,2382.743,3596.7058,7930.206,7820.9253,5751.3364,8308.583,13489.049,13841.66,13997.438,3583.5034,4267.138,5759.4336,2932.443,4336.221,4872.817,7430.3193,3348.722,7914.484,6634.7573,4851.04,13787.704,6367.558,7794.879,3747.136,7176.668,2858.4248,2885.5369,6396.0,3292.673,4829.371,8092.489,4068.6458,2802.037,4914.252,5676.93,8237.181,5582.0864,,3950.9304,20998.664,7846.227,4788.676,9569.671,4846.242,6454.4683,11533.436,3288.708,9078.074,7315.1807,2146.1616,9110.367,5644.881,5305.1694,,6946.0674,6155.3037,5114.056,6825.9575,7783.0625,6850.2856,10581.776,3664.9807,3199.9875,7663.252,3596.6804,3050.837,3849.2576,2499.0188,4532.767,3287.1987,4508.209,7248.518,9758.492,,5766.5767,7221.9004,6095.1,9199.248,4466.3555,5837.32,3359.8147,,4421.124,3757.7747,5523.1924,4534.9214,2814.7954,4240.1025,4948.5366,,,3372.147,2284.2258,5516.7534,3057.8242,6131.174,4998.3877,3001.507,6609.194,2350.5542,2898.03,7494.64,7753.8857,4622.7197,8474.77,8674.008,3618.971,5149.544,3269.6245,13200.383,4744.1064,3641.6958,4560.9453,2017.3832,2521.2136,3969.9692,8896.641,7801.134,4739.615,3794.1682,5092.4907,9264.211,10140.825,2150.416,7196.644,6835.9673,10592.474,5852.1055,4673.279,3542.3306,2776.8372,4532.4116,3574.2273,3417.875,10709.68,4500.3574,4586.809,4825.499,6951.398,6484.8247,3216.143,3190.8213,5155.6167,8327.845,9259.762,2853.725,4611.1865,7183.7285,5693.8027,2549.6821,6246.9946,10134.569,5296.0273,8983.215,3727.025,3956.5137,3654.429
2005,11349.307,3154.721,6861.3984,3035.1477,6309.794,5889.0786,5544.119,5697.1084,6010.8267,6061.1807,4417.774,3809.0684,6525.5557,5483.8335,2906.5144,2086.0618,4310.64,7480.6294,6079.683,5286.295,2516.88,,6014.4043,,8743.766,2505.384,3609.5708,7789.3647,8613.708,6180.297,8781.3,14223.459,12629.881,15422.166,3639.6553,4408.5513,5704.622,3046.9653,4442.031,4936.3613,7831.558,3501.7893,8400.2,6183.555,5208.9214,14027.159,7049.3135,7859.022,3695.193,7650.717,2881.3386,3077.5098,6474.183,3475.2163,5014.3345,8112.857,4247.928,2856.4512,5288.395,4867.267,8288.374,6188.238,,3839.1077,21585.959,8522.581,4601.2354,9907.028,4753.422,6954.152,12063.618,3340.9907,9335.636,7373.4014,2231.1953,9477.216,5645.271,5377.626,,6812.5757,6269.2627,4886.8965,7778.409,8158.009,6155.5776,9990.594,4174.977,3245.952,8553.24,4989.8994,2897.4355,3904.68,2509.988,4354.7207,3280.0376,4297.1523,7739.276,9360.489,4555.7495,5384.7974,7019.228,7872.5615,9105.141,4324.3096,6245.0815,3398.5596,,4451.0356,4435.581,5207.7793,4744.841,2636.682,4137.348,5048.56,2689.0652,2642.6191,3974.1968,2284.6365,5506.8325,3292.897,5852.519,5055.731,3105.884,7304.5605,2175.2068,2919.44,6554.4844,7535.4834,4935.552,8480.542,8895.273,3987.6646,4863.812,3198.739,13002.381,4756.687,3574.6533,4880.9053,2132.2744,3218.5957,3546.639,8498.665,8310.476,4680.581,4677.032,5568.2925,10254.114,10614.287,2416.2239,7707.5664,6589.2505,11780.037,5836.5015,4291.4375,3833.5771,2915.4182,4356.4424,3581.8274,3515.3423,10420.983,5019.842,4764.6606,4984.1826,7333.5366,6283.654,3837.6472,3163.5012,5117.886,8626.512,9210.007,3124.2673,4878.382,6841.378,5568.503,2548.3394,6149.123,9935.514,5445.176,11127.948,3572.5095,4754.811,3671.3037
2010,12514.011,5337.7026,7297.6655,4210.3477,6464.6377,5706.296,5772.349,5435.92,7461.9517,6063.586,4500.805,4417.749,6404.271,5199.5005,3589.6018,2164.313,3843.7473,7642.2554,6146.5684,5829.0796,2536.0447,,6574.2793,3194.678,9028.56,2682.1924,3591.2493,7877.425,9567.6455,6237.44,10616.913,15354.34,10834.619,16923.545,4134.793,4235.7915,5366.5576,3134.2598,4403.37,4886.944,8353.936,3628.2556,8709.758,6080.136,5704.982,14263.267,7091.7817,8131.3774,3458.6306,8745.7705,2852.2827,3186.8428,6631.4463,3854.8433,5376.649,8307.554,4500.7197,2866.0613,5959.5044,5215.8354,8313.165,6226.6055,2329.6072,3819.1477,21191.627,8519.151,4577.796,8333.316,4740.5996,7470.9595,12976.417,3407.627,9764.433,7669.753,2271.9917,10467.218,5720.232,5427.492,,8000.4497,6395.274,5212.0933,8628.311,8760.269,6172.2163,9687.766,5230.006,3065.8423,8692.584,4429.46,2838.567,3876.0442,2590.3774,4148.7046,3226.6853,3984.021,7693.248,9159.743,4678.8853,4912.1724,7032.8096,14079.266,8998.107,4264.308,6972.2373,3322.0278,,4582.425,5058.904,5439.2285,5260.5547,2447.594,4149.061,5344.24,2584.0154,2778.0452,4554.4453,2314.6365,5424.395,3253.8633,5957.608,5192.624,3322.7046,8232.556,2292.5393,3004.917,4751.36,8046.642,5209.166,9038.527,9436.684,4319.1826,4642.269,3102.3635,12826.945,4848.4966,3626.6516,5327.3657,2043.7253,4197.929,3481.948,8316.01,8647.847,4687.353,5265.9385,6074.456,11307.37,12151.56,2737.2422,7700.7695,6256.293,12531.014,5950.411,4643.038,4357.7827,2679.1047,4145.4663,3539.0466,3643.0115,11815.645,5809.732,5263.389,5408.8906,7017.7183,6835.569,4953.2905,3120.4106,5369.933,8665.008,9445.001,3321.5095,4795.174,6735.254,5583.424,2623.122,6278.61,9917.775,5446.638,12727.192,3254.4192,5806.051,3901.6304
2015,13640.678,7988.0146,8033.5405,4108.356,6409.243,5799.489,5964.0034,5565.908,7371.3076,6303.941,4843.5894,5047.7573,6114.223,5292.9155,4169.4365,2273.904,3765.8713,8032.261,6272.15,6345.856,2526.16,2198.1,6642.632,2196.4478,9169.616,2804.1843,3620.468,8000.4067,9473.258,6748.0884,12871.709,18384.684,11353.606,17976.242,4685.0347,4379.7886,5205.7437,3203.455,4424.2383,4971.4497,9015.096,3887.4934,8584.251,6399.934,6104.5107,14650.527,7507.9424,8307.873,3423.668,10262.615,2565.7043,3267.5635,6733.207,4197.0913,5718.0166,8434.079,4584.658,2899.0562,6049.928,6666.1924,8182.7666,6302.6016,2435.6223,3358.3997,21817.035,8171.898,4528.193,7635.49,4809.909,7947.75,13458.256,3556.6184,10474.538,8265.338,2275.6196,11483.977,5830.8076,5386.357,2165.75,9477.61,6484.5454,5995.3096,9183.176,8742.421,5926.4126,9736.576,6572.533,2789.1892,9136.931,5270.169,2955.4731,3876.92,2680.555,4066.8086,3435.606,3836.375,7699.1104,9423.717,5031.637,4376.5156,7114.7036,11786.87,9052.274,4138.612,7255.4395,3360.6433,,4783.4136,5929.7627,6067.2104,6420.614,2751.7942,4139.9424,6033.0483,2829.847,3344.853,5481.9233,2330.7878,6050.161,3341.1355,5807.498,5278.211,3387.6008,9327.497,2420.9124,4182.8647,4423.0645,8153.543,5659.2495,9635.1875,9592.788,4529.804,4625.284,3033.4902,12653.983,4857.6226,3515.719,5698.182,2063.9888,4689.8193,3296.95,8031.876,8915.499,5050.089,6141.406,6559.7915,12632.588,13030.349,3070.9302,7347.138,6157.4536,13715.925,5724.0127,4749.0303,4580.32,2616.6677,4046.7314,3612.1877,3887.9497,11411.9795,6723.498,5773.6626,5890.6235,7175.6377,7737.323,5908.074,3089.8884,5007.1616,8991.788,9583.231,3230.4756,5185.3447,6879.091,5518.8457,2649.6113,6456.9077,9897.227,5598.977,14169.008,3671.464,6930.1777,3860.8323
2020,15289.416,10477.488,8063.6064,3898.1135,6433.414,5472.5356,6314.907,5821.9,6753.0405,6549.16,5227.9834,6226.0815,5524.9585,5478.6396,4859.1763,2232.9482,3598.9973,9104.602,6695.665,6943.4233,2375.2942,2130.3882,5734.8184,2355.1448,9066.596,2930.3274,3639.6003,8365.673,9924.31,6857.159,15100.356,21869.342,12198.556,19216.934,4670.444,4596.322,5072.113,3309.6167,4514.633,5160.893,10289.145,4110.5273,8804.203,6752.611,6548.3335,15687.617,5642.201,8523.414,3623.7817,12872.589,2616.2903,3293.5273,6772.798,5196.2344,6122.181,7797.6885,4898.33,2831.2644,6879.884,10720.863,8032.4805,6051.1675,1926.7749,3276.6191,21763.14,9533.151,4358.5576,6797.684,4826.89,8364.197,14119.967,3726.738,11367.202,9033.218,2247.92,11863.226,5889.771,5100.1797,2205.4167,12166.1045,6552.377,6553.2783,10299.116,9433.675,6202.19,9808.336,7670.459,2718.1365,8804.883,6097.3027,2977.4739,3887.2246,2589.036,4019.6907,3981.8948,3653.34,8399.502,9975.721,5129.0303,4200.5767,8205.396,17068.62,8405.961,3979.174,8006.01,3561.0535,4477.542,4784.4316,6836.857,6536.172,7705.784,2562.837,4103.1113,6978.087,3020.8982,3886.8145,5645.9497,2071.5554,6167.967,3748.1704,6045.924,5591.4907,3484.3235,9726.9795,2337.0378,4746.753,4329.7812,8281.531,5656.1167,10304.525,10119.543,5665.0757,4664.7646,2781.1636,12813.397,5058.624,3380.906,6113.8696,2070.1504,5566.131,3402.2195,8047.013,9424.313,5138.8706,6068.999,7000.704,12830.189,13086.836,3170.3564,9117.692,6066.883,21603.84,5944.362,4048.49,3974.1855,2646.5688,4025.6907,3760.6306,4272.2407,12009.87,7652.878,6577.084,6634.657,7605.4595,8686.733,7373.8325,3081.3235,5502.456,10007.378,9823.166,3169.4834,5629.0854,6865.8086,5412.9116,2789.658,6446.073,8502.394,5689.2363,17077.332,4108.845,8585.155,3381.672
