Date,AFG,AGO,AIA,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BLR,BRA,BRB,BTN,BWA,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GEO,GIB,GIN,GMB,GRD,GTM,HKG,HND,HUN,IDN,IND,ISR,ITA,JAM,JOR,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MMR,MRT,MSR,MUS,MWI,MYS,NER,NIC,NIU,NLD,NOR,NPL,NRU,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,POL,PRI,PRT,PRY,PSE,QAT,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,STP,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TKL,TKM,TLS,TON,TUN,TUR,TUV,URY,USA,UZB,VCT,VEN,VGB,VNM,WSM,ZMB,ZWE
2000,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,100.0,100.0,,100.0,,,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,100.0,,,,100.0,,44.79,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,100.0,100.0,,,,,,,,39.59,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,100.0,,,,100.0,,45.77,,,,,,,,100.0,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,100.0,100.0,,,,,,,,41.33,,100.0,,100.0,,,,34.09,,,,,,,,,,,100.0,,,,,,,,,,,40.25,,,,,,,,,,,,,,
2012,,,,,,,,,100.0,100.0,,,100.0,,48.34,,,,,,,,100.0,,,,,,,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,,100.0,100.0,,,,,,,,42.1,,100.0,,100.0,,,,34.89,,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,
2013,,,,,,82.09,,,100.0,100.0,,,100.0,,48.17,,,,92.4,,,,100.0,84.7,,,,,,,68.87,,,92.68,,,100.0,100.0,,,100.0,84.14,,82.43,100.0,100.0,,100.0,,100.0,,,,,,,,69.72,,78.62,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,100.0,,,,,,,,76.16,,,,100.0,100.0,,,,44.59,,100.0,100.0,,,,,,70.97,60.84,43.05,,100.0,,100.0,80.8,,,35.6,,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,95.05,,,,,,,,,
2014,,,,,,,,,100.0,100.0,,35.94,100.0,51.86,50.64,,,,,,,,100.0,,,69.83,36.27,,60.63,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,76.19,,,,,100.0,,,100.0,100.0,,,,,100.0,100.0,,,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,37.29,,,100.0,100.0,,,,,,,,43.77,,100.0,,100.0,,,,37.51,,,69.22,,,,,,,100.0,100.0,,,,,,27.31,17.74,,,,,,,100.0,,,,62.46,,,,,,,
2015,,,,,,,,,100.0,100.0,,,100.0,,52.31,,,,,100.0,86.14,,100.0,,,,,0.0,,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,,100.0,,,,,,76.62,,,,,100.0,,,100.0,100.0,,,,,100.0,100.0,,,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,,,,100.0,100.0,,,,73.94,,,,44.5,,100.0,,100.0,,,,39.03,,,,,,67.67,,,,100.0,100.0,,,,,,,,,,,,,,100.0,,100.0,100.0,67.57,,,,,,,62.18
2016,,19.97,,100.0,,,,,100.0,100.0,100.0,42.81,100.0,44.61,54.69,,100.0,100.0,,100.0,,,100.0,,99.13,51.42,33.75,,,100.0,,,95.41,85.03,,,100.0,100.0,,100.0,100.0,,,40.34,100.0,100.0,,100.0,,100.0,,,100.0,100.0,24.66,79.96,100.0,,100.0,64.63,100.0,57.83,83.94,100.0,100.0,93.92,,,,78.79,100.0,100.0,,60.0,49.25,98.75,82.25,,100.0,100.0,100.0,72.91,100.0,100.0,,100.0,,,70.85,37.31,100.0,100.0,,84.38,,,100.0,100.0,100.0,,,100.0,73.57,52.01,,64.65,44.87,,100.0,,100.0,66.73,100.0,100.0,38.67,100.0,93.44,,100.0,19.56,,80.27,,,100.0,100.0,,78.94,100.0,,,,,,,,,,,100.0,,100.0,,68.86,100.0,97.49,100.0,,100.0,75.99,63.69
2017,56.68,,,100.0,,,,98.39,100.0,100.0,100.0,38.49,100.0,,55.98,,100.0,100.0,,100.0,86.13,,100.0,,99.25,43.24,34.44,,,100.0,,,97.09,90.21,,,100.0,100.0,88.48,,100.0,,,41.14,100.0,100.0,,100.0,,100.0,,,99.74,100.0,,83.7,100.0,,100.0,,,58.1,80.93,100.0,,93.93,100.0,,,100.0,100.0,100.0,,,59.41,98.75,82.92,100.0,100.0,,100.0,73.87,100.0,100.0,,100.0,,,69.96,37.18,100.0,100.0,87.27,85.14,16.66,,,100.0,,,,100.0,72.69,,,59.55,45.23,,100.0,,100.0,,98.31,100.0,45.53,100.0,,,100.0,,51.53,81.79,,88.04,100.0,100.0,100.0,79.17,100.0,,,,20.21,,,,,,88.55,100.0,,100.0,,69.1,100.0,,100.0,,100.0,82.21,59.82
2018,59.63,,,100.0,100.0,,,100.0,100.0,100.0,100.0,38.53,100.0,,58.16,,100.0,100.0,,100.0,86.04,,100.0,,99.56,42.64,,,,100.0,,,98.78,82.87,100.0,100.0,100.0,100.0,,,100.0,,,40.34,100.0,100.0,,100.0,,100.0,,,100.0,,,83.88,100.0,,100.0,,,58.27,,100.0,,,100.0,,,100.0,100.0,100.0,,,,100.0,85.9,100.0,100.0,,100.0,75.19,100.0,100.0,,,,,74.77,43.7,100.0,100.0,,92.12,15.6,,,100.0,,,,100.0,74.51,,,54.51,55.76,,100.0,,100.0,,99.49,100.0,53.59,100.0,,,100.0,19.02,51.59,,100.0,,100.0,100.0,100.0,,100.0,,100.0,15.0,,,,,67.32,,98.5,100.0,,100.0,,90.23,100.0,,100.0,,100.0,,66.44
2019,,,100.0,100.0,100.0,91.08,99.85,,100.0,100.0,100.0,38.92,100.0,40.48,59.13,,100.0,100.0,94.11,100.0,84.54,,100.0,,99.66,42.02,43.62,38.52,54.35,100.0,53.46,,100.0,91.27,100.0,100.0,100.0,100.0,,100.0,100.0,82.18,,40.33,100.0,100.0,,100.0,,100.0,,69.54,100.0,100.0,56.94,83.87,,75.76,100.0,87.88,87.88,,94.46,100.0,,90.27,100.0,60.0,,100.0,100.0,100.0,56.49,,,98.75,77.99,100.0,100.0,,100.0,75.8,100.0,100.0,52.63,,85.41,68.09,82.21,50.67,100.0,,,92.55,13.78,42.71,100.0,100.0,,,100.0,100.0,76.02,,27.42,65.84,59.26,,100.0,,100.0,94.17,99.49,100.0,51.84,100.0,,78.3,100.0,45.95,,81.39,100.0,,100.0,100.0,99.89,,100.0,,,48.11,39.83,100.0,100.0,100.0,68.15,,,100.0,50.0,100.0,100.0,79.8,,,100.0,95.61,100.0,,67.62
2020,,,,100.0,100.0,,97.74,,100.0,100.0,100.0,,100.0,,64.61,70.95,100.0,100.0,,100.0,80.2,,,,99.63,58.22,,,,100.0,,,100.0,93.04,100.0,100.0,100.0,100.0,91.09,100.0,100.0,,88.73,40.68,100.0,100.0,,100.0,,100.0,86.71,,100.0,100.0,30.91,86.0,100.0,,100.0,,,79.9,92.56,100.0,,,100.0,,96.91,100.0,100.0,100.0,,,,100.0,81.95,100.0,,,100.0,79.35,100.0,,,,,68.09,,,100.0,100.0,,92.74,,,100.0,100.0,100.0,85.41,100.0,100.0,75.37,,27.42,,57.75,84.21,100.0,,100.0,,99.4,100.0,,100.0,,79.53,100.0,,53.48,,100.0,,100.0,100.0,100.0,,100.0,74.89,100.0,,39.66,99.84,100.0,100.0,,98.47,,100.0,100.0,99.88,,70.0,,,92.31,,99.42,,61.0
2021,,,,100.0,100.0,,97.74,,100.0,100.0,100.0,,100.0,54.88,72.2,70.95,,100.0,,100.0,70.77,92.69,,,99.63,57.53,20.74,,,100.0,,74.51,100.0,,100.0,100.0,100.0,100.0,92.16,100.0,100.0,,88.75,41.16,100.0,100.0,19.81,100.0,88.12,100.0,86.71,97.02,100.0,100.0,,85.68,,,100.0,,,89.41,96.42,,,,100.0,91.53,97.94,100.0,100.0,100.0,,,61.49,,89.72,100.0,100.0,,100.0,80.75,100.0,,,,74.58,70.65,,,100.0,100.0,,88.59,18.66,,100.0,100.0,100.0,,,100.0,76.22,48.31,,,56.67,100.0,100.0,,100.0,,98.51,100.0,41.8,100.0,,80.76,100.0,,69.28,,100.0,,100.0,100.0,100.0,,100.0,72.4,100.0,25.72,41.81,100.0,100.0,100.0,,95.42,89.51,100.0,80.0,100.0,,72.53,,,100.0,50.45,100.0,,92.2
2022,,,100.0,100.0,100.0,,97.74,,,100.0,100.0,,100.0,53.01,72.5,93.67,100.0,100.0,,100.0,99.47,100.0,,,99.32,67.45,44.82,,,100.0,,,,,100.0,100.0,100.0,,90.0,100.0,,,88.36,41.26,,,,,100.0,100.0,86.71,,100.0,100.0,,,100.0,,100.0,,,89.63,97.58,,,,100.0,,93.81,100.0,100.0,,,,63.35,100.0,89.73,100.0,,,100.0,80.91,100.0,,29.6,,,70.65,,,100.0,,,99.69,,29.01,100.0,100.0,100.0,,100.0,100.0,76.75,53.44,27.42,,,100.0,,,,,99.31,100.0,55.6,100.0,,82.66,100.0,,,,100.0,,100.0,100.0,,,100.0,75.69,100.0,,48.4,100.0,,100.0,9.59,96.15,90.06,100.0,80.0,100.0,,76.78,,4.24,65.62,64.49,100.0,,91.32
2023,,,,100.0,100.0,,97.66,100.0,,,100.0,,,,74.32,97.8,100.0,100.0,,100.0,,,,,99.24,68.0,,37.34,,100.0,,,,,,100.0,,,88.43,100.0,,,100.0,41.32,,,19.83,,100.0,,86.81,,100.0,100.0,,,100.0,,100.0,,,89.86,97.9,,,,,91.66,95.88,100.0,,,,,,100.0,90.41,,,,100.0,81.6,100.0,,33.5,100.0,,,,,100.0,100.0,,100.0,23.33,,100.0,,,45.17,100.0,100.0,77.44,,24.25,,,100.0,,49.66,,,99.13,100.0,53.69,,,80.29,,56.47,,,100.0,,100.0,,,,100.0,81.16,100.0,,56.47,100.0,100.0,100.0,95.88,100.0,89.97,,100.0,,,79.66,,,,93.09,100.0,,91.56
2024,,,,,,,,,,,,,,,,,,,,,99.47,,,,,,,,,,,,,,,,,,,,,,90.41,,,,,,,,86.11,,,,,,,,,,,,97.87,,,,,,,100.0,,,,,,,,,,,,,100.0,,33.61,,,,,,100.0,,,,,,,,,39.33,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,85.95,,,,100.0,,,,,,,,,,100.0,,76.29,100.0,,,,
