Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1996,0.007318474,0.41987234,11.622354,31.257814,113.30231,95.31846,101.60931,0.0,1141.3177,747.53326,28.455494,1.6176575,869.0485,4.460362,3.4459648,2.9511738,228.35701,161.7485,9.468831,8.559456,126.5349,9.319576,3.581519,46.56353,73.39372,117.03925,4.482638,48.498806,2.4359968,1176.2771,1626.0256,87.80006,27.61374,5.1190524,8.7582655,0.32121953,8.592801,9.940283,1.8032205,1.2453563,43.782654,52.584335,107.907616,422.85583,784.1077,4.7968063,23.77179,1208.4762,2.644128,7.7470345,4.807403,35.08158,1.8745912,529.5131,294.84442,2.8607156,1283.3011,21.597708,780.03644,18.787823,18.793158,1243.5312,48.291306,7.017896,1.0321704,28.899426,2.0025623,1.3985023,383.07443,20.940105,94.27549,3.9882739,5.1937737,1.5599715,322.40262,0.26078302,340.83978,1.4962279,19.296923,583.23413,10.326599,3.3914194,763.88165,1474.083,602.24536,49.642242,70.85574,706.18225,13.993033,14.350021,5.6973867,0.45735362,2.0575385,5.8306317,194.76291,274.57367,0.8779791,55.10584,0.5106866,7.390635,16.817783,389.26303,9.376701,4.8164234,118.30254,113.24763,138.26183,18.860712,618.7769,72.04238,3.5787358,26.987158,42.67177,15.37673,39.834976,3.047867,106.89515,0.13208245,0.0,9.108182,0.78945076,2.111791,12.345722,5.8035817,38.39984,11.238665,1.9233732,7.9867415,3.3530838,1195.4297,1093.283,2.44571,0.0,1004.68115,54.87903,0.0,169.13228,5.253502,23.699503,4.9119005,3.6599128,73.07126,17.900175,286.4909,111.85197,0.05022767,219.66037,3.3279696,13.450557,86.04606,77.98486,234.01578,1.174583,120.05054,2.7295218,17.02104,664.7281,9.671497,2.5981078,0.7286463,118.90746,0.1747309,0.0,0.0,12.193163,5.2184215,384.2902,557.7615,1513.975,8.758983,32.715233,3.854681,0.13630031,4.949911,14.152187,9.504621,2.415675,0.0,0.0,56.13685,41.12032,81.365746,0.0,4.0955524,3.9281166,110.22973,51.78204,1163.3204,16.273565,12.376347,33.719276,2.4386094,8.015868,15.164337,1.1390167,86.99307,5.6518993,20.224298
1997,0.0,0.4999859,8.423645,13.446677,100.2481,104.82397,80.75067,16.044361,1179.3778,791.1769,26.910343,2.1993258,884.8653,6.9797134,4.774002,3.115456,210.93668,120.92715,9.906594,10.7186575,133.70486,15.084205,4.8139668,55.82256,93.37175,87.377716,5.6739163,46.484962,2.9277685,1146.763,1675.5702,95.28587,30.424812,7.160141,9.452485,0.43015516,3.9094665,10.943088,2.5404851,1.1552733,45.100765,63.531025,132.53592,448.07178,832.27124,7.442503,9.235342,1344.8065,1.5708194,8.743276,8.280189,34.227978,0.45536178,568.36285,288.94598,2.6226072,1350.2437,25.562126,824.04724,9.00325,24.96955,1271.5182,59.47475,7.43957,0.53332525,24.44564,3.7922175,2.058704,413.8179,17.095154,140.7143,2.8403664,15.323157,2.3009317,309.44318,0.44943544,379.536,1.5350344,19.365274,595.70715,13.528989,3.5925264,826.32556,1497.6936,617.99615,42.098274,79.93802,728.958,10.381312,14.561006,5.512708,0.5868128,3.9217086,30.625404,244.5494,274.0251,0.7880418,62.79809,0.0,8.288843,6.292235,560.64294,11.6269,4.9041057,131.91663,120.348076,169.31985,22.318836,764.74445,57.485104,2.2940714,3.7354271,46.274773,49.940113,59.48813,2.0147476,132.13477,0.2846109,0.0,7.6971745,1.2188803,2.8159015,14.952747,5.2660303,41.502735,18.226873,3.5920753,7.9161634,4.114711,1195.0078,1170.9458,2.8273695,24.517015,1065.2341,56.37416,0.0,171.76358,5.625622,16.547426,4.6589108,4.035378,50.806274,14.799866,286.5632,119.98893,0.059712265,259.08755,3.0952702,17.088377,80.0,90.477165,228.34334,1.0831388,118.063774,2.755833,16.684448,834.78876,21.817345,3.8813124,0.69123894,17.829458,0.24282624,0.0,0.0,7.198284,4.374346,336.53207,622.63214,1560.4254,12.2984,29.488224,4.6498985,0.4237086,4.5883307,16.386608,7.156551,1.7478607,0.0,12.217653,58.55253,50.55263,85.7522,0.0,4.4562545,3.4118705,119.23708,61.97599,1141.0557,17.566847,5.9218144,39.910625,2.7259662,21.130875,25.063786,1.7377257,85.93347,7.3107653,21.980106
1998,0.14248437,0.27111945,10.193286,31.813036,105.46566,102.4107,86.40441,1.7952825,1181.3173,780.0507,21.74523,0.61579657,922.23193,5.9356456,7.5422587,3.0068893,213.72722,150.32025,13.000685,10.375717,130.30032,17.542068,4.697239,62.061134,111.22712,133.20102,4.5659294,54.63318,3.8276832,1098.2424,1685.7748,90.31585,35.24768,5.952371,9.18779,0.3812033,7.001888,10.447668,0.25164682,0.45476872,41.712067,80.52499,122.060295,446.8062,846.4392,2.7596974,55.118336,1286.263,1.2009103,10.008606,7.7151723,34.347256,4.742208,569.9356,331.78806,2.4408364,1344.4053,27.096119,825.2498,47.316772,27.448221,1268.7859,57.404,6.9573927,0.635982,24.205023,2.0210986,0.0,426.50122,16.508032,173.7968,2.6833298,6.7837806,1.8606349,329.97693,0.7410515,422.98062,1.5630989,19.356598,623.3098,15.020492,2.970583,854.92633,1425.4363,599.711,37.256744,88.610535,729.79266,13.542492,12.479552,6.6344934,0.7289662,0.0,33.183327,262.67572,295.19025,1.5528938,66.185455,0.23594409,10.529686,15.451554,142.09927,10.701762,1.1260985,151.49335,132.35225,136.15662,24.578548,861.25146,54.973602,2.3926096,7.84679,48.72088,14.079691,46.40545,3.706189,139.3247,0.2578077,0.0,9.527461,1.5063034,2.000282,19.36366,4.6197143,42.051037,26.547472,3.3012416,7.383043,2.7827518,1195.5243,1175.0698,3.6262124,13.728182,1077.4076,70.97448,0.0,170.2448,6.514842,16.987373,3.640518,3.985696,80.97603,14.317541,294.05606,113.638855,0.0514766,279.5379,3.5183494,16.423153,93.58529,95.012985,234.44792,1.1655991,114.5469,3.3270345,18.062807,817.70715,19.16143,3.0006158,0.36389726,108.70813,0.058856584,0.0,0.0,0.35523728,3.4105368,378.2458,622.1548,1582.1987,16.015253,63.79525,4.4410977,0.18894447,8.058157,19.166445,5.393112,1.2855664,0.0,12.328876,65.713905,58.220436,90.53825,0.0,3.856824,4.4213386,125.8268,66.88524,1096.9583,15.415417,2.208871,37.61609,2.251139,6.449333,25.153013,1.5190275,86.63704,5.9752755,17.77167
1999,0.033689022,0.25084198,7.668608,0.0,75.866295,109.19676,84.131966,16.289742,1180.4534,783.8358,20.744732,0.96257704,904.0232,6.0689855,5.323575,3.0827794,219.23303,144.914,8.44769,25.91092,113.0577,9.568393,6.361848,66.556206,109.97383,116.339134,1.6478451,54.09267,2.633096,1068.82,1674.7502,97.8399,36.074806,6.2790666,8.413689,0.33263162,7.586863,12.044511,2.376941,3.3145287,32.896603,85.746056,126.94984,479.3103,822.57886,0.23473595,0.0,1262.3063,1.2621049,10.205302,5.3581185,33.622875,1.8031616,594.24756,348.72296,2.8587573,1342.1595,27.4576,813.3723,26.146133,29.364063,1249.6775,59.4993,6.7420845,0.46581277,24.205755,6.180766,3.2823052,424.94037,11.243641,83.422455,2.6026518,11.484885,2.9779096,342.9688,0.0993707,388.9737,1.5751299,20.07046,609.8537,18.051691,2.565944,823.7767,1386.6824,602.32635,43.76408,90.32599,743.85077,10.586914,12.17923,6.400268,0.8299546,0.0,72.64411,314.96796,296.10583,1.1552612,72.92593,0.0,7.554563,1.5953848,562.3662,10.98564,4.1882277,162.9487,124.79238,138.91759,29.000063,646.0969,53.039936,3.6867585,7.2094936,50.183643,19.919525,46.11475,2.0022418,147.09297,0.28981155,0.0,9.067329,1.2224755,2.6793113,40.169594,4.8833237,44.278423,16.454924,2.4852908,7.824795,1.7722987,1122.662,1074.0886,3.5266032,0.0,1137.1803,65.78162,0.0,167.9409,6.571763,17.128405,6.14515,3.6195266,0.0,13.063311,308.6657,104.66882,0.023832222,306.23633,3.1840036,23.86928,72.04898,92.118034,221.29735,0.294554,100.480385,2.2848728,18.897558,1020.55896,22.555168,0.9541359,0.8099562,3.0235457,0.09773837,0.0,0.0,0.0,6.1038814,375.90485,718.844,1603.4119,12.155819,8.456659,5.21997,0.43537983,8.285554,20.973999,8.301696,0.39401892,0.0,13.033339,60.348,62.42878,104.38318,0.0,4.1720304,5.055191,111.59217,62.30764,1064.1519,14.228628,4.4104934,38.67685,2.6206145,38.396465,35.88961,1.5192266,86.56112,6.1827483,21.567522
2000,0.19870517,0.37542754,7.232051,0.0,92.99644,113.71667,108.05005,3.337249,1234.7566,825.63135,19.725168,0.25501552,935.7902,6.2977567,4.0669,3.3014405,205.24292,134.14745,5.249587,18.412071,120.5478,2.5747616,4.394442,73.55756,106.043205,117.20951,1.8094605,66.69917,1.599096,1116.2378,1756.8193,100.12362,42.20092,4.280467,7.9174495,0.29718393,5.5055857,13.698667,1.8280854,0.5514905,30.939075,86.10052,166.86241,519.7725,848.2822,2.6762369,0.0,1344.8364,1.5493599,12.35443,5.808086,36.708122,2.0382452,616.2678,332.83823,2.4593728,1449.8641,32.191353,820.88116,38.28853,18.509344,1323.9215,64.43747,7.086081,0.36897165,19.17415,1.198632,0.0,489.1434,9.67883,211.97829,2.0628176,13.427786,1.9565892,409.20242,0.6575817,432.03824,1.8422995,20.236809,685.3169,23.47488,3.7659595,782.703,1486.0455,635.90283,41.04952,99.60748,761.62823,12.4487915,11.75085,5.8958483,0.97493756,0.0,33.150635,337.70874,258.72394,1.5779166,95.79058,0.3415164,11.575826,12.609069,486.13876,10.851574,4.0770235,171.15697,149.62181,123.62569,30.620508,424.896,65.463844,3.6727269,1.7729301,50.970467,42.006866,61.455326,1.3850331,116.230484,0.32721847,0.0,11.22975,1.243267,2.422094,45.25337,5.776806,57.7913,11.415079,2.1703565,8.200107,2.8152566,1184.5929,1127.4342,4.0885653,0.0,1121.0618,91.49343,0.0,173.80844,6.692639,14.200917,6.480858,4.3418307,121.49337,11.601816,339.38354,100.80814,0.0676078,323.47647,2.6172018,23.161005,68.31124,101.13456,223.106,0.3883646,98.63688,2.4826772,14.625421,1194.8052,12.055332,1.0195291,0.49635175,55.972237,0.033941593,0.0,0.0,2.5691233,5.496776,391.2024,863.30054,1642.2081,7.441805,54.849564,6.015787,0.32776898,5.95521,26.46862,5.4449396,1.2874571,0.0,22.69252,67.291824,67.25083,104.169655,0.0,4.3981137,5.4520497,111.53799,68.86277,1086.1564,14.657248,3.698974,42.364834,2.6191769,20.506653,36.71189,1.163363,84.066444,3.3540862,19.809025
2001,0.049299195,0.5720357,6.006196,40.0899,101.10404,115.779144,100.62894,13.14596,1243.5964,879.48303,20.788538,0.53961456,967.37976,5.757766,5.1988606,3.1744266,206.98598,126.65655,15.831086,16.42326,133.97325,8.052211,4.829347,78.92573,164.1612,95.99664,1.6372132,59.850937,1.7527803,1084.865,1700.9556,104.9685,55.569084,4.4634132,9.9422,0.17359564,4.8280587,13.438679,0.36548373,1.4555947,42.180653,90.07521,139.96082,562.0439,868.6226,0.82975394,62.38285,1335.8126,0.933456,14.280643,4.67905,39.56289,2.8891745,647.6583,371.94324,2.4726658,1497.2162,46.610386,827.8735,9.611534,21.93818,1258.4325,57.56316,5.8144298,1.6721389,23.618557,1.768055,2.2271535,526.62585,25.836443,161.58498,1.991742,10.870177,1.1393915,436.9666,0.5546411,426.78946,1.5066324,20.904516,718.0951,28.323101,3.5364141,839.0065,1455.1871,656.7547,57.788383,98.16156,755.8296,13.123775,12.805523,6.212244,1.0459388,5.534953,21.852669,389.18613,261.96628,1.2695867,98.841,0.0,8.492425,16.413189,247.63512,11.003878,6.122389,183.99408,151.88268,151.99152,33.627693,799.1494,52.396477,3.628264,17.71473,54.291496,40.686188,69.48315,2.3832793,141.16043,0.24709895,0.0,11.142587,1.7326825,2.7139423,38.276768,6.499579,49.76295,24.35586,2.1626344,8.152694,2.1345074,1169.6884,1143.0117,4.5841646,32.576508,1137.1678,102.16789,0.0,177.67426,7.7436614,19.299328,7.293266,3.734944,159.67342,13.314281,375.43378,107.898506,0.007138251,368.84903,3.4524043,19.617825,111.20699,103.0708,250.41568,0.49957198,92.97243,2.2155385,14.619685,1188.2662,5.432786,1.0292547,1.405817,40.157684,0.0,0.0,0.0,5.6703672,8.775896,389.23996,843.06696,1657.1758,5.365991,48.028374,5.5661325,0.51225996,5.017639,28.140266,5.1643596,1.1977562,0.0,7.26125,80.78807,81.065475,129.6992,104.3188,3.7354076,5.483382,138.51753,71.70495,1076.3765,16.864298,0.0,40.91446,3.091599,16.594166,42.802704,2.1501873,87.38826,5.1292057,17.469238
2002,0.25727242,0.9308795,8.039961,7.518119,99.44587,123.10307,99.71248,27.001764,1256.8375,928.686,31.313211,0.13628107,991.2981,5.8276896,5.6628485,3.0286398,214.48328,99.92217,15.469793,27.19913,134.35544,7.4606752,5.23687,90.511284,143.85875,71.36157,9.977435,69.40198,0.9285892,1162.6525,1713.0093,129.91737,58.709137,4.2332335,12.187826,0.2143235,7.14164,16.884201,0.35783106,0.36398986,39.7649,85.34798,200.66434,592.2134,872.7805,1.6089013,29.25388,1337.4856,0.95569086,15.390462,6.949058,39.61627,4.9436307,678.52527,369.57263,2.816201,1509.4283,44.065083,833.08826,0.0,22.213383,1269.5852,65.02677,7.182074,1.1989763,16.787231,3.9478574,0.57647216,587.79095,17.711523,209.55914,1.9531449,10.292646,1.4786294,493.7713,0.70054036,455.64807,1.7380459,22.15145,772.9987,40.47944,3.9724593,1065.6538,1473.5602,684.7896,56.018166,105.04506,770.093,14.710018,13.519541,5.9029746,1.8856122,0.0,7.388092,420.2649,248.8915,2.1903837,88.708336,0.22295593,7.46858,13.424812,227.0434,12.395389,6.3067794,290.11053,186.20497,160.7109,32.564056,738.3875,53.01944,2.34759,3.429167,58.71345,19.445795,62.945606,2.6782117,142.61218,0.2513375,0.0,11.208533,1.2553842,2.519485,52.68877,6.5915065,61.58828,19.254274,1.6325018,9.051637,1.4815795,1215.3815,1139.006,4.8158274,0.0,1107.7499,105.885826,0.0,183.01743,8.276553,16.166328,7.0345383,4.9094195,93.83172,8.77616,408.40338,112.90109,0.05554634,389.52145,2.404336,29.648436,125.63185,106.765625,250.06178,0.4440381,91.57994,2.4612772,15.690488,1315.77,2.2723746,0.49482694,2.3017955,0.0,0.17905642,0.0,0.0,5.2027054,6.9882045,389.64,905.92773,1633.1954,11.628774,70.709366,4.753173,0.48485157,3.7352624,33.367027,6.5251317,1.1762326,0.0,17.617498,84.07588,98.42436,163.63292,0.0,4.217179,5.126333,124.08314,83.72709,1115.8428,14.65631,1.0586958,41.395412,2.9723675,27.97874,39.4642,1.3021305,92.89931,5.603896,14.039119
2003,0.32287794,0.32824868,7.4614687,67.63952,130.38177,116.718124,101.63394,23.496483,1312.1771,981.6593,34.89999,0.6275598,1048.913,5.866244,5.8505497,3.5017292,220.47047,173.71751,10.905255,37.271545,130.56065,18.045341,5.6128254,98.16386,173.49196,108.64391,5.739709,68.89537,2.5371146,1223.7405,1812.4402,131.04852,68.75588,5.19567,13.159995,0.27536926,10.0384445,17.417557,0.57915264,2.9363115,37.32739,70.76393,178.20306,627.4349,900.47424,1.6348728,66.83107,1403.5148,1.2838757,19.747751,7.3891516,45.65688,5.733984,698.7875,416.64233,2.8392584,1552.198,51.518784,852.7077,20.127354,19.459616,1293.4551,63.966824,7.007657,0.6380498,20.188753,6.073676,0.9671385,619.3372,49.594063,208.10207,2.1323915,9.553126,1.4397659,552.0264,0.56279105,459.3352,1.7185667,23.85187,789.882,56.805984,4.5029116,905.80646,1485.0188,741.2832,53.270638,114.45484,793.7955,16.18555,12.617888,4.3027315,1.832048,1.1680382,0.0,498.61597,253.70624,3.109893,104.24686,0.3205609,9.262558,0.55222857,470.08423,13.275178,3.2391984,283.79196,196.90898,128.04884,31.431705,823.8092,55.090973,3.6216538,8.162137,65.11242,74.16875,65.624344,2.7875543,207.48553,0.25756854,0.0,15.457346,1.3536178,1.7665663,34.672028,6.202811,71.37676,24.047388,1.8691905,9.629698,2.8132997,1249.0363,1170.5848,9.120332,0.0,1122.9911,128.47556,0.0,191.50082,8.766727,20.25828,9.708674,4.429858,93.087135,8.847163,438.41666,142.38539,0.05520876,446.70618,3.347454,27.810099,143.45721,116.66227,240.94125,0.83383065,94.6677,2.845528,19.229235,1510.7954,8.280525,0.54271334,1.1135933,6.105664,0.18467768,0.0,0.0,11.507405,6.713875,399.27054,1085.1953,1670.8905,6.1873064,115.96864,5.826948,0.47850758,4.682856,36.547974,4.9139643,0.8121114,1.8213983,15.220554,89.922455,106.51203,197.19798,61.887573,4.559235,5.238287,122.35565,86.17006,1159.8806,12.335841,16.17451,44.784042,3.7753363,32.528667,25.993637,1.515167,90.44533,4.314616,14.906408
2004,0.28649458,0.52310634,5.916868,17.625294,127.14025,118.618866,108.888115,8.511287,1406.3904,998.22125,44.52778,0.6866689,1106.9377,7.4567103,5.2827544,3.7179103,239.75037,172.96698,8.917482,50.463814,132.10182,18.109007,5.062858,109.26813,202.35841,107.3075,14.387958,73.82912,2.4804273,1334.8455,1932.2294,138.88708,93.93835,5.467211,12.81299,0.24211486,11.510133,20.65538,2.0147958,1.5645535,52.203793,70.263115,252.27066,685.43896,935.69525,2.2756875,31.464407,1469.0953,1.5090789,26.257586,6.872809,44.798244,4.499123,747.12384,467.1902,2.7926893,1687.1613,70.15369,882.8765,21.442932,22.826248,1347.2003,80.115295,7.932945,1.203832,22.77168,7.8840337,4.5559754,724.35126,38.23532,501.4236,2.2291796,14.821266,1.8413496,583.37823,0.70929444,483.266,2.071807,25.138683,946.15533,73.67537,3.3628402,1052.61,1536.7147,770.6822,63.16085,126.22447,812.68665,15.233917,12.978829,6.6820602,2.759588,0.0,15.761633,576.9473,263.92468,6.565627,108.58224,0.4498095,11.438646,8.097955,603.5359,13.206652,2.7294004,376.43524,341.39206,133.1877,32.33564,1241.217,46.011375,2.6555083,5.5405703,69.94024,16.02595,68.019516,2.6369195,151.71906,0.35777438,0.0,14.0088625,1.6254784,2.2275176,46.420853,6.5820117,82.883125,16.811855,1.6930708,10.463072,3.2619548,1333.8107,1272.2637,8.639465,22.862823,1210.4465,129.03247,0.0,206.37215,10.102052,20.103624,9.517384,4.503643,145.30777,6.738262,494.90076,134.65546,0.07792226,498.94977,4.6769085,32.09824,176.72874,125.47602,243.49332,1.0355179,90.181335,3.2693388,15.473268,1816.5923,5.5624504,1.0120027,3.0209813,53.63751,0.110884175,0.0,0.0,3.6777527,8.91184,424.4827,969.4233,1719.8195,11.042167,61.10943,7.4058423,1.1612861,4.230662,42.7131,5.9862633,0.907607,1.0763406,29.789381,98.395996,133.25676,231.3918,62.14344,5.0446515,7.7950206,124.27097,93.91596,1230.6086,14.441774,1.1521248,41.35442,4.178545,52.549454,26.040407,1.907657,101.36999,3.7783782,11.363512
2005,0.37492982,0.5204456,8.557235,63.67781,154.0841,124.51886,125.524414,22.48433,1585.7272,1095.431,42.84276,0.56673664,1218.3038,7.232252,5.2052364,4.1001053,265.42728,181.73492,21.431023,62.582798,138.60014,20.841452,6.8028708,121.611626,137.95747,97.905914,9.035075,67.18384,1.9492586,1483.8993,2099.5386,154.9914,127.22606,5.086091,16.624699,0.38876596,12.341761,23.462948,4.049423,0.76270574,51.503788,85.86152,307.02087,769.54694,1032.2338,4.421051,76.672386,1562.1951,1.5046015,27.086086,9.630104,44.607338,4.4190345,828.104,531.6086,2.8481205,1755.9305,65.99205,948.8262,71.446526,33.40633,1429.4624,108.54667,8.4207,0.74628127,22.40502,6.7965417,0.7811123,839.7958,42.739716,273.29413,3.5720756,26.53388,1.8653835,701.67017,0.90163934,555.0227,2.6179914,28.348932,1146.6727,99.43789,4.98144,1223.5874,1525.7384,826.8304,54.014305,130.79669,878.5681,15.6875105,12.866068,8.683542,2.6430142,0.0,42.20772,666.1372,280.17856,4.11277,123.527596,0.3271721,13.221142,14.203687,994.73425,16.603745,3.5994503,458.6267,355.3416,203.31883,30.397774,1165.4766,71.509544,2.9911733,12.107209,78.48012,93.052826,87.14775,3.0231972,200.94891,1.0708632,0.0,15.766397,1.9143474,3.7290847,61.444946,6.6674294,97.09526,27.194391,1.5643865,12.30826,4.09202,1496.3987,1477.2789,11.22182,49.756195,1317.9032,133.04323,0.0,228.3892,13.428195,24.026373,10.751863,5.198035,528.78546,5.700817,534.647,148.88147,0.17666517,567.54956,4.7649665,31.137852,199.76787,155.86816,240.81749,0.74879664,87.51944,3.5074034,18.064217,1899.8856,6.3343544,0.7288641,2.4593804,44.577023,0.0,0.0,0.0,1.5466565,9.281493,465.82913,1181.32,1841.362,11.7699175,59.258007,7.7335653,0.87528265,4.274008,55.53443,4.7929735,0.62942165,2.140648,6.435067,134.84033,167.85283,254.54193,0.0,5.57704,7.877471,128.55246,107.54249,1321.0851,13.275803,8.892841,48.30693,4.9801254,62.77282,24.548344,2.1421597,106.61823,5.208716,11.314998
