Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,12.727429,,,,0.0,0.0,0.0,,60.36252,,,0.0,31.54064,,,,0.0,,,,1.7456428,,,,,,13.184933,39.761803,0.0,0.0,,,,,,0.0,,,,,,0.0,4.124155,26.532438,,,0.0,,0.0,0.0,0.0,,,22.15832,0.0,,38.31703,,,65.05733,,,20.495558,,,,,,,,0.0,,,,,,0.0,,,,24.184519,0.0,2.4185252,0.0,0.0,0.0,0.0,0.0,3.7816303,,,23.748388,0.0,,,,,,26.72106,0.0,,,,,,0.0,,45.222847,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,6.1913457,0.0,,,0.0,0.0,,15.060813,1.349201,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,10.324031,,0.0,,,0.0,,,,,,,,,,,41.68666,,42.70162,,,,,,,0.0,,0.0,,,0.0,,0.0,51.707012,,,19.59809,,15.19993,0.0,,0.0,,,0.0,,,,3.704065,,
1986,,,,,0.0,11.649825,,,,0.0,0.0,0.0,,67.13818,,,0.0,28.861788,,,,0.0,,,,0.07124166,,,,,,15.209011,39.05943,0.0,0.0,,,,,,0.0,,,,,,0.0,10.145861,24.923552,,,0.0,,0.0,0.0,0.0,,,29.141886,0.0,,38.704876,,,70.016014,,,19.622944,,,,,,,,0.0,,,,,,0.0,,,,26.472685,0.0,2.4770613,0.0,0.0,0.0,0.0,0.0,4.553632,,,24.449848,0.0,,,,,,40.629986,0.0,,,,,,0.0,,44.083595,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,6.276612,0.0,,,0.0,0.0,,15.664165,1.6257839,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,10.507439,,0.0,,,0.0,,,,,,,,,,,48.477325,,50.45113,,,,,,,0.0,,0.0,,,0.0,,0.0,43.220177,,,15.661561,,16.285915,0.0,,0.0,,,0.0,,,,5.9383035,,
1987,,,,,0.0,12.405191,,,,0.0,0.0,0.0,,66.22848,,,0.0,28.606262,,,,0.0,,,,0.47852898,,,,,,15.564335,38.24156,0.0,0.0,,,,,,0.0,,,,,,0.0,17.205288,26.617924,,,0.0,,0.0,0.0,0.0,,,31.10908,0.0,,36.79922,,,70.15312,,,18.283947,,,,,,,,0.0,,,,,,0.0,,,,36.92897,0.0,2.3789375,0.0,0.0,0.0,0.0,0.0,0.086407244,,,26.22847,0.0,,,,,,48.988827,0.0,,,,,,0.0,,40.358223,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,5.1951847,0.0,,,0.0,0.0,,16.257086,0.838965,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,11.907019,,0.0,,,0.0,,,,,,,,,,,48.724026,,45.974308,,,,,,,0.0,,0.0,,,0.0,,0.0,47.887794,,,17.913092,,17.287031,0.0,,0.0,,,0.0,,,,4.0473046,,
1988,,,,,0.0,11.04391,,,,0.0,0.0,0.0,,65.956635,,,0.0,35.605606,,,,0.0,,,,0.2828527,,,,,,16.376366,37.38895,0.0,0.0,,,,,,0.0,,,,,,0.0,18.36665,28.539087,,,0.0,,0.0,0.0,0.0,,,36.36952,0.0,,36.301235,,,70.27033,,,20.54756,,,,,,,,0.0,,,,,,0.0,,,,45.992542,0.0,2.5182588,0.0,0.0,0.0,0.0,0.0,0.0,,,23.071575,0.0,,,,,,43.068596,0.0,,,,,,0.0,,49.27631,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,5.2760787,0.0,,,0.0,0.0,,16.976147,0.47811362,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,12.652633,,0.0,,,0.0,,,,,,,,,,,49.80251,,47.4759,,,,,,,0.0,,0.0,,,0.0,,0.0,40.19245,,,24.2264,,19.03307,0.0,,0.0,,,0.0,,,,6.6352177,,
1989,,,,,0.0,9.907042,,,,0.0,0.0,0.0,,61.019737,,,0.0,32.85737,,,,0.0,,,,0.82529455,,,,,,15.924116,41.524487,0.0,0.0,,,,,,0.0,,,,,,0.0,19.06619,28.876371,,,0.0,,0.0,0.0,0.0,,,38.166798,0.0,,35.528954,,,75.07249,,,22.802742,,,,,,,,0.0,,,,,,0.0,,,,46.935394,0.0,1.4761266,0.0,0.0,0.0,0.0,0.0,0.0,,,23.233484,0.113372296,,,,,,45.708862,0.0,,,,,,0.0,,57.11057,0.0,0.0,,0.0,,,,0.30987823,,,,,,,,,,,,0.0,,,,,,5.4993773,0.0,,,0.0,0.0,,16.683971,0.27875483,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,12.664978,,0.0,,,0.0,,,,,,,,,,,50.506855,,45.847046,,,,,,,0.0,,0.0,,,0.0,,0.0,33.638924,,,22.525023,,17.65883,0.0,,0.0,,,0.0,,,,6.7942386,,
1990,,,,,0.0,14.275101,,,,0.0,0.0,0.0,,60.776783,,,0.0,34.988064,,,,0.0,,,,1.0039488,,,,,,15.077199,41.90199,0.0,0.0,,,,,,0.0,,,,,,0.0,20.218405,28.117508,,,0.0,,0.0,0.0,0.0,,,35.902355,0.0,,35.35688,,,75.49274,,,20.56294,,,,,,,,0.0,,,,,,0.0,,0.0,,48.277073,0.0,2.2222717,0.0,0.0,0.0,0.0,0.0,0.0,,,22.072748,0.0,,,,,,44.644783,0.0,,,,,,0.0,,59.96479,0.0,0.0,,0.0,,,,2.4976287,0.0,,0.0,,,,,,,,,0.0,,,,,,4.9504952,0.0,,,0.0,0.0,,16.725414,0.91299987,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,10.933747,,0.0,,,0.0,,,,,,,0.0,,,,47.23421,37.138264,46.70503,,,,,,,0.0,,0.0,,,0.0,,0.0,36.43937,,,25.332535,,18.783304,0.0,,0.0,,,0.0,,,,5.0524445,,
1991,,,,,0.0,14.401829,,,,0.0,0.0,0.0,,60.205082,,,0.0,32.391254,,,,0.0,,,,0.61524993,,,,,,16.635069,39.257595,0.0,0.0,,,,,,0.0,,,,,,0.0,20.116087,27.467257,,,0.0,,0.0,0.0,0.0,,,35.925278,0.0,,33.661148,,,73.57552,,,21.847126,,,,,,,,0.0,,,,,,0.0,,0.0,,45.82777,0.0,1.6893855,0.0,0.0,0.0,0.0,0.0,0.0,,,22.900564,0.62701106,,,,,,42.784073,0.0,,,,,,0.0,,57.88219,0.0,0.0,,0.0,,,,3.29934,0.0,,0.0,,,,,,,,,0.0,,,,,,4.5479374,0.0,,,0.0,0.0,,17.151201,0.83600754,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,11.23272,,0.0,,,0.0,,,,,,,0.0,,,,48.186314,38.854004,52.228348,,,,,,,0.0,,0.0,,,0.0,,0.0,35.58274,,,26.832142,,19.71445,0.0,,0.0,,,0.0,,,,5.4326386,,
1992,,,,,0.0,12.620506,,,,0.0,0.0,0.0,,60.851303,,,0.0,32.590294,,,,0.0,,,,0.7275752,,,,,,15.429611,39.12311,0.0,0.0,,,,,,0.0,,,,,,0.0,20.745132,29.75064,,,0.0,,0.0,0.0,0.0,,,35.608044,0.0,,33.37955,,,73.810356,,,23.925365,,,,,,,,0.0,,,,,,0.0,,0.0,,44.065655,0.0,1.8993467,0.0,0.0,0.0,0.0,0.0,0.0,,,23.673452,0.5579648,,,,,,38.603172,0.0,,,,,,0.0,,78.92184,0.0,0.0,,0.0,,,,2.962752,0.0,,0.0,,,,,,,,,0.0,,,,,,5.0105486,0.0,,,0.0,0.0,,17.12187,1.0311246,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,11.862363,,0.0,,,0.0,,,,,,,0.0,,,,47.547333,32.1718,43.541428,,,,,,,0.0,,0.0,,,0.0,,0.0,32.071053,,,29.042294,,19.83149,0.0,,0.0,,,0.0,,,,5.5256114,,
1993,,,,,0.0,12.526512,,,,0.0,0.0,0.0,,59.83162,,,0.0,36.918606,,,,0.0,,,,0.17539465,,,,,,17.593088,37.670685,0.0,0.19763672,,,,,,0.0,,,,,,0.0,21.527187,29.436167,,,0.0,,0.0,0.0,0.0,,,36.139767,0.0,,32.640026,,,78.66131,,,27.653122,,,,,,,,0.0,,,,,,0.0,,0.0,,41.932545,0.0,1.7193106,0.0,0.0,0.0,0.0,0.0,0.0,,,26.746475,0.5730712,,,,,,35.909733,0.0,,,,,,0.0,,88.01148,0.0,0.0,,0.0,,,,3.6622906,0.0,,0.0,,,,,,,,,0.0,,,,,,5.205588,0.0,,,0.0,0.0,,17.34109,0.7131565,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,12.459504,,0.0,,,0.0,,,,,,,0.0,,,,47.775467,33.138077,42.26904,,,,,,,0.0,,0.0,,,0.0,,0.0,29.81976,,,32.520744,,18.868504,0.0,,0.0,,,0.0,,,,4.152691,,
1994,,,,,0.0,12.549138,,,,0.0,0.0,0.0,,56.938606,,,0.0,40.38968,,,,0.0,,,,0.021150542,,,,,,19.362312,36.58269,0.0,1.590429,,,,,,0.0,,,,,,0.0,22.226027,28.922369,,,0.0,,0.0,0.0,0.0,,,34.52775,0.0,,29.609875,,,76.13146,,,27.033318,,,,,,,,0.0,,,,,,0.0,,0.0,,41.915276,0.0,1.2746726,0.0,0.0,0.0,0.0,0.0,0.0,,,26.231571,0.56916064,,,,,,31.98579,0.0,,,,,,0.0,,78.9959,0.0,0.0,,0.0,,,,2.9008899,0.0,,0.0,,,,,,,,,0.0,,,,,,5.072834,0.0,,,0.0,0.0,,17.224169,1.0147613,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,11.167763,,0.0,,,0.0,,,,,,,0.0,,,,49.469967,35.76416,51.2684,,,,,,,0.0,,0.0,,,0.0,,0.0,27.978163,,,33.72025,,19.492327,0.0,,0.0,,,0.0,,,,5.3371124,,
