Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIB,GIN,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,LAO,LBN,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_EU27,OWID_HIC,OWID_LIC,OWID_LMC,OWID_UMC,OWID_WRL,PAK,PAN,PHL,PLW,PNG,POL,PRK,PRT,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,TCA,TCD,TGO,THA,TJK,TKL,TKM,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,WB_EAP,WB_ECA,WB_LAC,WB_NA,WB_SA,WB_SSA,WSM,YEM,ZAF,ZWE
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59131,,,,2.27555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2579,,,3.01782,,,,,,
1998,,,0.59974,0.0,2.18372,,,0.18559,,,,,,,,,,,,,,,,,,,,3.25677,,,,2.3576,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.73207,,,,10.81054,,,,,,,,,,,,2.60549,,,4.83561,,,2.39506,,,,,1.40655,,,,,,,0.09627,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.70669,,,,0.0,,4.54471,,0.0,,,4.36776,3.60603,,,0.73257,2.19237,,,,,3.22548,0.46973,,,,,,,,,,,,0.47524,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,1.3239,0.0,,,,,3.24289,,,,,,,1.2195,3.6276,0.59253,3.17025,,,7.4224,,,
1999,,,,0.0,2.12976,,,,,,,,,,2.9184,10.2721,,,,3.11467,,,0.70221,,,,,1.83536,,,,2.65973,16.15065,0.33551,,,,,,0.0,,0.0,,,,,17.15551,1.98206,,0.0,6.48787,,,,,2.30346,1.84433,1.62887,1.84374,,6.50792,5.647,11.17465,0.26198,,0.0,,,,,,,,0.47659,3.17434,,,4.75264,,,2.44623,,1.30734,2.85256,,1.43505,2.33031,,,,0.0,,0.1011,0.65419,13.79908,,,,24.34503,0.44406,26.09044,2.25129,,1.53377,,1.63689,3.47403,0.0,0.12476,,0.79394,6.54271,4.36732,,0.44736,,5.05585,0.0,,,0.74109,,,,0.0,2.89837,4.80259,,0.0,,,4.23664,3.58515,,0.66508,0.75122,2.14267,,,0.1591,,,0.40691,,,4.17911,,3.25689,,1.14477,1.63813,4.41934,,0.0,,,,0.0,,,0.82653,7.28447,2.54098,,0.0,,,,0.10374,5.20199,0.0,,,13.25938,1.75284,1.25189,0.0,,,1.05423,,3.28218,,0.0,,0.0,,0.06283,1.18872,3.56915,0.54955,3.23177,0.08665,,5.29129,,,
2000,,,,0.0,1.68972,,,0.18422,,,,,,,2.91911,10.90632,,,,3.10614,,,0.65168,,,,,1.95783,,,,3.00703,16.57519,0.76895,,,,,,0.0,,,,,3.88785,,19.44498,2.15534,,0.0,6.80422,,,,,1.28174,2.22467,1.60968,2.06155,,6.80206,,11.01387,0.14813,,0.0,,,,,,,,,3.22531,,0.07431,4.6155,,2.86833,4.16882,,1.40842,2.2142,8.54842,,1.97337,,,,0.0,,0.1123,0.53007,12.0744,,,,,0.44215,,6.56641,,1.52283,,1.88659,,0.0,,,0.65002,6.54144,5.55819,,0.31206,,,0.0,,,3.43988,,,,0.0,2.87338,4.55581,,0.0,,,4.27741,3.62538,,0.59914,0.76457,2.10383,,,,,,0.38726,,,1.09118,,2.7818,0.65089,,1.8711,,,0.0,0.49008,,,0.0,,1.15514,0.92822,7.36513,2.30055,,0.0,,,,,4.6053,0.0,,,16.31123,1.53074,,0.0,,,,,,,0.0,,0.0,,0.08495,1.15942,3.45553,0.53757,3.54947,0.07678,,11.16751,,,
2001,,,,0.0,1.58105,,,,,,,,,,,10.6189,,,,3.29142,,,0.40959,,,,7.38188,4.21969,,,,,16.99485,,,,,,,0.0,,,,,5.46846,28.14961,20.71393,2.98026,,0.0,6.53415,,,,,,2.17853,1.04711,2.2487,,7.25495,4.53142,10.91843,0.29866,,0.0,,,,,,,,2.61117,3.40101,,0.07922,4.92617,,,4.13394,,1.61274,,,,,,4.18198,0.14164,0.0,0.0,0.12301,0.74052,11.02091,,,,,0.46203,,7.70264,54.12975,1.44597,,2.50717,,0.0,0.09488,,0.42489,,4.58098,,0.28245,,,0.0,,,2.95808,,,,0.0,3.29119,4.64815,,0.0,,,4.29101,3.69213,,0.56525,0.66734,2.0774,,,0.09552,2.29167,,0.37516,,,0.46931,20.70953,2.18868,0.89434,0.71864,,,,0.0,0.49024,,,0.0,,1.17435,0.94432,7.34708,,,0.0,,,,0.11967,2.48087,0.0,,,14.05851,1.22235,1.03622,0.0,,,0.66026,,,,0.0,,0.0,,0.08822,1.13348,3.40086,0.57318,3.62449,0.0796,,,,,
2002,,,,0.0,,10.11236,,,2.31654,,,,,,4.82647,10.99618,,,0.04139,3.50184,,,0.56651,,,0.03517,,,,,,3.95049,17.22727,0.93614,,,,,,0.0,,,,,6.11569,,21.95735,3.4283,,0.0,7.38007,,,,,,2.44767,0.74858,2.38192,,8.1529,,10.14304,0.29502,,0.0,,1.62783,,,,,,0.62468,3.32462,,0.07701,5.2219,,,4.07459,,1.53419,,,,,,5.69715,0.12184,0.0,0.0,0.15439,0.56043,10.62322,,,,,0.45971,,2.95113,64.12079,,,2.70024,3.75568,0.0,0.08812,,0.30195,,4.8216,,,,3.79298,0.0,,,4.38567,8.44062,,,0.0,3.65231,4.82331,,0.0,,,4.32709,3.81258,,0.56971,0.67002,2.10384,,,0.10574,,,0.38714,,,,21.00626,1.82199,0.88805,,,,,0.0,0.44193,,,0.0,,1.07963,0.95853,7.48699,2.4456,,0.0,,,,0.18985,3.58729,0.0,,,10.1778,1.09737,0.9731,0.0,,,0.80621,,,,0.0,0.02253,0.0,,0.11929,1.3043,3.3501,0.58522,3.68158,0.07747,,,,,
2003,5.44258,,,33.33333,1.05046,10.13072,,,2.06119,,,,,,,11.17555,,,0.04388,3.48137,6.97626,,0.2069,,,0.03119,,,,,,,17.663,0.91886,,,,,0.41306,0.0,,,,,7.29458,,28.90762,3.60208,,,8.98159,,,,1.29477,,2.9142,1.71316,2.52379,,10.45547,3.69194,11.1561,0.2779,,0.0,,2.21847,,,,1.81938,0.6832,2.3299,3.13123,,0.06851,5.61862,0.08458,,4.34555,,1.88867,,8.49459,,,,6.68231,,0.0,0.0,0.24331,0.33787,8.47622,,,,1.89915,0.41108,,2.00935,66.7669,1.52202,,2.11751,,0.0,,,0.24768,,4.57188,,0.19382,,2.0132,0.0,,,4.18907,8.70377,,,0.0,3.89755,5.20728,,0.0,,,4.77387,3.96472,,0.54607,0.61662,2.10522,0.09699,,0.19545,,,0.38359,,,,20.86634,1.51108,0.79842,,4.07257,,,0.0,0.45056,,,0.0,,1.04435,0.94916,7.83033,,,0.0,,,,,1.80111,0.0,,,,0.83175,0.66349,0.0,1.2754,,0.7913,,,,0.0,,,,0.12635,1.2715,3.52564,0.63378,3.58234,0.06992,,,,,
2004,,,,0.0,0.91108,,,,3.08966,,,,,,,6.78615,,,0.08182,3.62677,,,0.47856,,,0.02613,,4.02685,,,,,18.22176,,,,1.82234,,,0.0,,,,1.43428,3.45635,,32.03511,4.68014,,,4.55119,,0.6528,,1.28559,,0.81798,1.26411,2.63932,32.94219,10.99787,,13.35101,0.28505,,,2.15472,2.4055,,,0.0,2.21359,,,3.05867,,0.06403,6.74296,0.09162,0.86221,3.32427,,2.04586,,10.85537,,,,7.91769,0.08816,0.0,0.0,0.33421,0.63685,9.00831,0.0,77.44361,,,0.40404,,1.0168,58.94419,1.85662,,2.08533,2.89253,,,,0.3152,,5.61841,,0.38441,,,0.0,0.42548,,3.20637,,1.55003,,0.0,4.81306,5.79485,,0.0,,,4.41581,3.90705,,0.57903,0.55829,2.01023,,,0.14436,,,0.3971,,,0.0,12.59826,1.5292,0.88062,,2.12599,,,0.0,0.45068,,,0.0,,0.94008,0.85061,4.01585,,,,,,,0.18521,1.60654,0.0,,,5.78473,0.77337,0.7755,0.0,0.64031,,0.63373,,,,0.0,0.23548,0.0,,,1.14029,3.51781,0.60604,3.49691,0.06757,,,,,
2005,1.89934,,,,,,,,3.6155,,,,,,,5.40474,,3.14938,0.08205,3.59381,4.23014,,0.6806,,,,,3.26498,,3.3274,,,18.424,0.29622,,,1.59717,,,0.0,,,,,3.05473,,24.37992,5.50747,,0.0,4.41368,,0.67452,,1.30626,,0.97687,1.56582,2.75886,,10.81283,,13.91883,0.12223,,,,2.42659,,,0.59082,2.50634,,2.56873,3.11941,0.05532,0.09602,6.90766,0.09086,,,,2.22933,,9.86168,,,,10.68901,,0.0,0.0,0.48274,0.3669,8.49152,,,,,0.43858,,1.28303,54.27412,1.34891,,1.73686,2.7276,,,,0.55101,,6.40822,,0.61539,,,0.0,,,,6.31726,,,0.0,4.67041,6.26344,,0.0,,,4.42121,3.9982,,0.60422,0.55882,2.00804,,,0.20128,,,0.48086,,,,24.51799,1.46344,1.00464,,2.15297,,,0.0,0.43616,,,0.0,,0.88579,0.96946,4.67891,,,0.0,,,,0.18371,0.67236,0.0,,,,,0.86244,0.0,,,0.8929,,3.4949,,,,,,0.15156,1.11021,3.5984,0.61423,3.61299,0.09321,,,,,
2006,8.07068,,,0.0,,,,,3.64395,,,,,1.99291,,6.30129,,,0.08913,3.84492,3.65158,,0.65108,,,,,2.94464,,,10.86957,,17.89277,,0.15576,,1.33502,,,0.0,,,,,2.20472,35.27337,25.78812,6.32971,,0.0,5.32214,,0.71678,,1.39679,,1.01752,1.55376,3.72662,,11.24432,,14.12938,0.09932,,,2.10484,2.53567,,,,3.15792,,2.49843,3.30315,0.12933,0.09628,6.84784,0.0968,,4.54806,,2.41939,,9.77224,,1.24099,,11.70036,0.0718,0.0,0.0,0.69475,0.30679,9.93456,5.71253,90.09434,,0.62353,0.61498,42.23626,,51.89558,1.56729,,1.34052,2.37923,,,,0.38662,,7.16207,,0.77526,,,0.0,0.25201,,3.31006,1.43345,,,0.0,4.66459,6.65872,,0.0,,0.37529,4.56581,4.00487,,0.61779,0.55509,1.95716,,,0.20676,,,0.52967,,,,,1.02842,0.84472,,2.15054,,,0.0,0.49697,,,,,0.81488,0.94866,5.04361,2.14336,,0.0,,,,0.23951,0.64491,0.0,,,,,0.81433,0.0,,,0.97152,,,0.0527,,,,,,1.08763,3.61989,0.63371,3.46039,0.09355,,,,,
