Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,74.10339,,13.12183,,,0.37825,2.4669,,,5.33418,,25.18686,,,,,5.2993,,,1.89152,,,0.78553,,72.54028,,23.48004,,2.50937,5.86363,1.18582,2.21327,,,,,,1.37343,,,,1.37865,,,,1.97311,,,3.2405,,,,,18.02326,1.45206,7.21304,6.73486,3.65931,,2.28413,,,1.39371,,,36.72631,,,,14.99778,,,,,2.73634,7.9848,2.31337,1.02083,,13.59491,,,27.96296,4.51599,1.96485,,,1.43284,,,4.07727,,,2.35265,,14.73817,,,,,,,,3.75943,318.2714,3.74183,,14.00147,,,8.67418,,0.8638,,7.23602,22.34419,7.38875,0.42483,,3.47913,,27.21861,,,,13.43937,36.05139,,,,2.41951,6.00188,,,50.58009,2.19237,,2.73263,,0.24576,,8.09413,1.12123,,,2.67693,,20.08426,12.64261,3.08522,0.57546,,3.42138,,,,,1.48011,,,,,3.77093,2.24584,4.40701,,,,,,62.2213,27.20989,1.42483,,,,,,7.79571,2.12233,19.63209,,0.981,1.3596,0.3013,,,,,1.07035,,65.58704,,,12.3695,
1999,8.78285,,80.66284,,12.46688,,,0.36973,2.29141,,,,,22.11634,2.78634,19.56636,21.29986,1.13504,5.16149,17.26104,,1.79529,,,0.71558,18.25018,60.72874,65.24679,24.76436,24.65885,2.5053,5.8896,1.09424,2.16277,6.57213,21.03973,8.70055,83.94474,,1.40624,646.07086,298.86685,,0.93769,,5.6962,126.1022,1.85967,,1362.2858,3.2635,,3.79811,,0.42565,14.52178,1.46543,6.97971,5.99178,3.65172,,2.37934,1.19205,45.09568,1.27951,3.80597,,,74.93584,,,15.72788,,,,,2.50824,7.51285,2.03975,0.96674,,12.70172,1.37484,1.80731,27.16852,4.40886,2.09104,19.5696,,1.47421,6.33587,,4.00771,,,2.35226,15.33947,13.24942,7.6985,3.28783,0.54753,,,,31.38903,3.31319,287.63504,3.2398,10.5122,13.16334,,9.0005,8.65584,,0.83025,,5.95601,16.67024,8.40202,,,3.06563,18.97888,24.62277,,41.24711,76.43913,11.57583,,,3.23683,,2.46592,6.57343,,,,2.14267,,2.59093,0.59787,0.2301,,7.97811,0.96155,,,2.72962,1.57118,17.11023,12.91667,2.72515,0.53397,54.35012,2.82191,,19.45535,,,1.45834,,,,,3.64891,1.9589,4.03851,22.9918,,,,,,,1.21835,1.49151,,,282.54773,48.49445,6.98105,2.05804,16.80712,6.55564,0.94853,1.52465,0.31461,4.79891,,,15.65421,0.99806,121.76475,52.43185,3.8522,,17.58583,
2000,10.8365,,,,14.68518,,,0.39275,2.35374,,,,,18.26706,2.88395,17.40603,,1.20261,5.58187,,21.90691,1.76556,,,0.66694,17.71825,55.21013,,27.55367,32.8162,2.56662,4.65443,1.16928,2.12943,,21.9062,,57.19348,,1.5213,583.1428,265.16855,,1.12139,,4.20561,160.74847,1.78924,,1286.0464,3.38601,,,,,16.56676,1.49614,6.63931,4.85142,3.65986,,2.48003,1.36452,,1.05064,3.73808,,,,,130.44308,13.69055,,,,,3.05767,7.94903,1.93115,1.09445,0.71128,10.95215,1.24151,1.71502,24.37231,5.71723,2.21647,14.05999,8.32967,,4.89108,12.0359,1.93897,7.4275,,2.31302,,8.89462,7.78991,1.46432,0.58809,,,,40.13423,3.28777,293.85074,3.02462,10.34667,13.55447,,9.16221,9.02986,,0.81162,,11.75228,16.29944,9.59394,,,2.98495,19.16909,,,45.12739,63.50673,8.34873,,,,,2.31034,6.93562,5.33654,,,2.10383,,2.4703,0.82558,,95.52525,,0.90782,,,,1.3337,16.13119,,2.90304,0.50006,35.36716,2.68288,,,,14.35875,1.84497,75.05308,,,,4.25348,6.5781,3.53707,29.08119,,,,,51.3677,,1.109,1.42937,,,199.39249,52.74423,6.4587,,16.42841,4.90158,1.28725,1.64583,,4.56544,,1.61535,15.93333,1.27134,119.81192,83.10974,,,,
2001,9.3059,,,,18.03464,,,0.37745,2.93334,,,,,19.08825,3.00828,14.48218,18.01574,1.19193,6.41244,,21.45218,1.58673,20.31472,,0.63965,17.9677,45.78489,,51.49892,,,5.02589,,1.95933,,21.49079,,68.58522,,1.71182,,351.36664,,0.80266,,13.53346,140.37364,1.91619,,521.48376,3.22425,,2.79372,,0.46549,14.6607,1.49736,6.98375,3.63526,3.50841,,2.59477,,41.1259,1.20654,3.61162,,,,,,11.76463,,,,,,7.64696,1.89375,1.20772,0.85677,9.32201,1.11626,,25.61511,6.27521,2.20458,12.51685,,,,13.01777,1.76705,6.99616,,2.43855,16.81851,6.80875,7.66186,,0.69577,,,,41.67002,3.60244,290.70578,3.02903,5.97671,13.80222,,8.07302,9.63765,,0.91954,,11.02864,16.33693,8.2217,0.38807,,3.02661,20.27709,28.72014,,34.20082,58.83779,8.2784,48.8114,,,,2.19372,7.65697,5.74941,,,2.0774,,2.52714,1.0924,0.24237,71.5253,,0.87785,,,,1.91965,14.7775,16.36832,2.91693,0.45727,27.37549,2.75901,,,,10.23832,2.21739,,5.27378,,,6.13219,4.08729,3.92186,,,,,,50.3712,,1.10375,1.58467,,,232.59058,48.71306,6.02939,1.9973,17.7668,4.64842,1.18259,1.74649,,3.65168,,,22.22222,1.431,119.09654,,,,,
2002,20.35176,,56.58878,,20.25882,271.25467,,0.39114,2.46458,,,,,11.56675,3.00137,12.70732,15.79496,1.44852,7.53659,,18.08371,1.83207,16.07495,,0.6064,,45.97871,,57.62369,,3.0127,5.29422,1.27633,1.88304,,19.4791,,79.85139,,1.98801,,167.35497,,0.78633,,23.80478,101.83123,1.90402,,383.0537,3.26997,,2.73824,,0.42795,17.08681,1.47787,5.7481,3.09717,3.53574,,2.72479,,,1.2892,3.41314,,,,,,9.36036,,2.18205,,,,7.16998,1.83756,1.22642,0.98305,8.62531,1.14993,1.56924,25.2004,4.35639,2.13219,12.34068,7.68497,,,13.706,1.71409,5.96495,,2.58961,16.8883,5.08117,8.23428,,0.7198,,,,74.28571,3.54408,252.37814,2.73899,4.50757,15.35503,,7.84926,10.72424,,1.00091,13.52436,9.83671,17.55091,8.83829,,,3.26206,18.26052,31.07511,,46.19703,57.0588,7.49081,57.6361,,,1.99641,2.16155,7.92569,6.00655,,,2.10384,,2.41097,1.28572,0.25839,86.43743,,0.87782,,,,1.78003,13.66967,16.47945,2.92356,0.44723,24.70148,2.78938,,,,9.90187,2.21214,,5.8447,,20.46134,7.16377,1.93093,4.00516,40.35434,,,6.33299,,,,1.18634,2.0371,,6.49221,196.24435,35.57492,6.01877,2.01107,19.48219,3.69448,1.05383,1.98679,,3.8891,,1.36684,43.60158,1.59819,92.71923,,4.11323,,,
2003,8.85167,9.72414,16.34636,532.7381,25.87283,295.95587,,0.44441,3.09907,,,,,,3.19556,12.73548,15.0642,1.83743,7.96728,13.60321,19.53997,1.50856,18.72456,,0.56854,,43.10324,,52.24243,,,5.14824,1.35513,1.8953,,20.63858,,85.4253,,,250.77332,163.58633,,0.79259,,29.6875,93.55141,2.04036,,324.39185,3.24436,0.76014,3.09792,,0.45555,,1.50745,6.21162,2.15864,3.52296,14.27689,2.68368,,46.89838,1.29797,3.44345,,,,,,8.03664,,,20.50226,23.52317,2.50735,6.98893,1.67775,1.12248,1.06283,8.70673,1.12382,,23.25456,4.20628,2.12748,12.94216,6.65187,,,,1.43512,5.28262,,2.7136,15.35921,5.31277,8.92769,,0.70532,,146.59091,,77.12017,3.57551,250.55075,2.88947,3.65218,15.38822,,7.63415,11.76095,1673.4834,1.04485,,11.04222,,6.73964,,,3.40599,14.64674,30.49203,,48.60231,55.9335,6.90882,63.69674,36.82603,2.28007,,2.20517,7.2205,6.50794,,26.92478,2.10522,5.57722,2.34111,1.49768,0.28438,,,0.94626,,,,2.29066,12.00857,16.57262,2.84117,0.42387,17.84477,2.28821,,,,,2.40745,,5.00848,,,8.75814,2.06132,3.54872,,,,6.04148,,45.50337,,1.16384,2.00516,,,154.68518,40.16688,5.59559,1.75217,15.0103,3.49575,0.97925,2.2184,,3.63958,,1.37004,,1.83642,92.97293,,4.18531,,,
2004,14.55399,9.44669,21.6055,446.93878,25.39579,372.3565,,0.38842,2.68913,,,,,7.48686,2.64498,12.51429,,1.82949,8.18716,,17.46067,1.97724,19.79294,,0.52118,,40.03675,,52.2756,30.97639,,5.10619,1.17912,1.84158,,19.97958,,,,1.88182,,133.62154,2.05877,0.33403,,,91.63098,1.75723,,271.18015,2.40596,,3.43026,,0.42214,16.60927,1.34859,4.96037,1.87399,1.93179,12.73681,2.13186,,,1.03887,3.63265,,22.67138,76.21255,,,7.05949,,,15.94599,22.90352,2.49527,6.75793,1.42466,0.93034,1.14284,9.24424,1.06623,1.0136,14.7577,3.70037,1.61777,13.79107,5.74987,,,13.20542,1.57476,5.21789,,2.77147,18.01054,5.58649,8.55672,,,47.97593,128.00752,,,3.07156,,2.48645,3.46968,12.76124,,7.70964,9.63709,,0.98139,,12.39122,,8.79987,,,3.385,12.16403,31.52873,,46.89975,49.03312,6.67265,,39.67388,2.39933,,1.40083,6.20708,5.92175,,26.07554,2.01023,4.5713,2.27279,1.47985,0.2986,,,0.88189,,,,2.59385,10.38212,14.60311,2.67801,0.41736,13.92919,2.09076,,21.17026,,,2.27969,,4.15618,,,8.86781,2.11023,3.00725,40.19439,,,5.56991,,33.68279,,1.11901,1.82222,,,,33.55237,5.09315,1.68866,10.90554,3.46214,0.92444,2.25036,,4.65317,,1.22149,19.54225,,89.06192,,4.74583,,,
2005,7.46718,,18.93488,302.684,23.75081,320.70905,,0.39431,2.99044,,,,,6.971,2.59569,12.71206,11.10717,1.62759,7.94425,17.72616,16.84874,1.98494,17.87277,,0.50312,,49.527,29.55334,47.93503,,,4.89493,1.38173,1.77854,,17.82097,,,,1.76272,,116.19171,,0.30153,,,106.79635,1.72996,,197.02982,2.28188,,3.12098,,0.41531,,1.36556,4.87207,1.77138,1.866,13.36151,2.22969,,,0.98835,3.42052,7.88064,17.81108,,44.21474,,5.80102,,,15.77364,22.31191,,6.44428,1.44491,0.87012,1.25245,10.24462,1.09476,1.25864,15.16038,3.91272,1.58547,14.22311,5.74186,,,12.39509,1.39873,4.20424,,2.9291,,4.75893,7.82626,,,51.46696,131.6888,,52.65924,3.026,,2.48104,4.2152,11.14901,,7.59541,9.44447,,1.01294,,13.0868,,8.24217,,9.37245,3.30489,10.66154,32.04329,,40.46229,50.37239,6.84431,51.83714,34.3285,2.47599,,1.65246,5.75311,5.55716,,21.17627,2.00804,3.14337,2.45403,1.59418,0.30987,,,0.9421,,,,3.00983,9.68562,18.99791,2.48854,0.40889,13.00337,2.10805,,19.7433,,,2.30668,,4.28189,,,9.68815,2.08542,3.08689,49.7399,,,4.73958,,28.32627,,1.05512,2.07133,,,,,4.72535,1.67843,9.16178,,0.91069,2.42377,0.3437,8.83666,,,,1.49276,,,4.7661,,,
2006,8.955,,19.35819,53.00912,23.45617,79.08978,,0.37283,3.01375,,,,2.67523,7.49588,2.58831,11.50835,11.60904,1.40611,8.01459,18.67268,15.75936,2.14529,16.3673,89.6606,,,42.61631,30.82245,37.37108,43.92831,,5.05297,1.20978,1.60339,,15.58907,1.64667,,,1.66127,,109.26082,,0.22445,,63.49206,93.72662,1.86648,,191.359,2.24224,,3.05901,,0.42381,,1.37791,4.75456,,1.95314,,2.43034,,,0.97809,4.32554,8.44579,11.82187,,41.33284,,5.21276,,,15.66452,20.28367,,6.39296,1.46373,0.84805,1.14928,10.62247,1.04312,,15.42523,3.99601,1.5503,13.32824,5.9564,,3.09665,,1.5617,2.66187,,3.10856,,5.12598,7.90934,,,66.47471,135.22012,,46.88962,2.99924,291.4283,2.63613,4.42403,10.92028,,6.65017,8.76377,,1.02042,,14.27448,,10.5974,,7.99814,3.33519,6.81951,31.37625,,38.8507,46.89864,6.67318,61.45926,38.31891,,,1.73269,5.56462,6.14383,,18.83341,1.95716,3.214,2.40959,1.77411,0.31327,,,1.06919,,,,,9.16842,17.80853,2.46232,0.42865,10.4388,2.20631,,19.62909,,,2.35847,,4.59752,,,11.01131,2.03264,3.1693,55.98629,,,3.96947,,,18.49847,1.08455,1.80915,,,,,5.00087,1.52305,,3.44122,0.8911,2.57068,,10.43753,,,,1.65475,,,4.82545,,,
