Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4.12,,,,,,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,23.8,,,0.87,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39,,
1989,,,,,,,,,,,,,,,,88.43,,,,,,,,,31.92,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,,,,,,,,,4.07,,,,,,10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69,,,,,,,,,,,22.51,,,,,,,,,,,,,,,3.26,,,,,,,,,4.31,,,,,,33.65,,,,,,,,,,,,,3.91,,,,,,,,,,
1990,,,,,,,,,,17.52,,,,,,,,,,,,,,,18.95,,,,,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,,,,,,,,,,,,,,,,,,,,15.09,56.36,,,,,,,,3.61,,,,,,9.54,,,,,,,28.96,,,,,,,,,,,,,,,,,,,,,,,24.83,,,,,,,,,,,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.87,,,,,,,3.92,,,,,,,,10.5,,
1991,,,,,,,,,18.56,,,,,,,,,,,,,,,,16.54,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,11.91,,,,,,,,,,,10.84,,,,,,,,,,,,,,,,,9.45,,11.85,,,,11.87,,,,,,,,,,,,,,,,,,,,,33.63,,,,,13.15,,,,,,,,3.95,,,,,,,,11.32,,
1992,,,,,,12.66,,,,,,,,,,,,,,,,,,,15.71,,4.43,,,,,,10.95,32.17,,,,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01,,,,,,,,4.24,,,,,,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.32,,,,,,11.24,7.43,,,,14.72,,,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09,26.02,,,,,,5.81,3.95,,,16.36,,,,,,,
1993,,,,,,12.53,,,9.75,,,,,,5.0,,,,,,,,,9.44,13.02,,,,,,3.59,8.84,10.94,30.29,4.89,,,,,,,,10.75,,,,,,,,,15.44,8.15,,,,,,,,,,,,10.0,,,,,,,,,,,,,8.96,12.51,,,,3.41,3.79,,,,4.36,,,,,,,,,,,,,31.22,,,,,45.44,,,,,,,,,,,,,,,9.33,,,,,,1.26,15.96,,9.02,,,,16.39,15.56,,,,,,,,,,6.25,25.33,,,,,,,,,,,,,,,,,,,36.64,,,,,,,6.1,,15.62,,,,3.75,,,,,,,,13.45,17.89,
1994,,,,,,,,,,,,,,,,77.19,,,,,,,,9.95,13.26,,,,,,,,10.93,27.93,,13.7,,16.35,11.64,,,,,,,,,,,,,,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,20.64,,,,,,,,,,,31.16,,,,,,,,,,,,,,,,,,,22.31,,,,,,,,,,,,,,,15.22,,,,,8.02,,,,,9.21,,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53,,,,,,,15.19,,,,,,
1995,,,,,,8.34,,,,,,,,,,,,,,,,,,9.49,10.97,,,,,13.36,6.69,16.77,10.63,,,14.49,,,11.91,,,8.56,,,,,,,,,,,11.05,17.05,,,0.39,18.15,,,,16.38,,,,,,,,,,8.66,,,8.97,,,,10.84,,,,,,,,,5.22,,,0.0,,,6.84,,,,,,,,,2.55,,,,,5.18,,7.25,,2.94,,,,,,,23.54,,,,,91.27,5.55,,6.45,,,,,44.94,,15.34,14.65,,,6.07,,6.35,,,,,,,,,,0.33,,,9.15,,,,,,,,,,14.58,,14.86,,,,,,27.36,6.74,,,,3.36,10.62,2.94,,,11.49,,,,,,,
1996,,,,,,13.33,,22.64,6.81,,,,,,,,,,,,8.85,15.63,,9.31,14.83,22.93,11.41,14.55,,,5.43,7.91,10.97,19.76,4.1,,,,11.19,,,9.04,8.88,,10.67,5.83,,,18.61,,7.87,,10.95,,,,0.04,,,,,,,,,,,,,,18.58,,18.71,0.0,7.8,,,8.62,7.73,23.72,,,3.64,,,17.85,,5.59,,,,,21.57,15.02,,,,,35.63,18.52,,,,2.18,0.0,,1.89,4.6,,14.02,,10.35,,4.13,,,,,17.99,17.75,6.27,,,16.06,8.26,,2.41,,,4.83,,,,,8.53,,,8.5,,10.45,,,,,9.64,,,3.66,,0.05,,,7.72,,,16.7,,,,,,,,13.79,,,,,,7.18,,3.19,,,,,10.32,2.86,,17.45,,,,,,8.27,,39.06
1997,,,,14.41,,13.93,,,6.82,,,,,,,,,,,,9.5,,,9.31,14.0,,11.25,,,13.44,1.99,3.04,10.97,15.82,,,,15.19,11.31,,,7.53,8.82,,9.75,5.45,,,15.98,,12.29,16.93,10.39,,,,0.03,,,,,,,,,,,,,,,6.8,,0.0,9.76,,,4.48,15.06,20.13,,,,,,,,4.33,,,,,,13.45,,,,,,,25.88,,2.28,3.21,0.0,17.31,,5.31,,13.08,,10.35,8.71,4.13,,,,,19.24,20.77,5.37,,,16.21,5.94,,4.42,,,4.15,4.49,,10.62,12.7,7.56,,15.6,8.63,,9.46,,,,,11.28,,,,,0.05,,,7.37,,,,,,,,,,14.58,14.58,,,,,,,,5.65,,18.29,,3.93,10.55,2.6,,,13.4,,,,,5.99,11.33,17.11
