Date,AGO,ALB,ARG,ARM,AUS,AUT,BDI,BEL,BEN,BFA,BGR,BHR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GAB,GBR,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNG,MOZ,MRT,MUS,MYS,NAM,NER,NGA,NIC,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,SVK,SVN,SWE,SWZ,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UKR,URY,USA,VEN,ZAF,ZMB,ZWE
1954,,,,,0.7235017,0.5088148,,0.51948684,,,,,1.2549313,0.9520636,,,,0.6701764,0.728283,,,,,0.986785,0.90510106,0.3847434,,0.3964862,0.5623593,,0.72988075,,0.50412035,,0.47631422,,0.40464967,,0.7443184,,0.9896253,,,,,,0.630581,0.30801424,,,0.4952806,0.5705401,0.6845704,,,0.6004357,,0.97627026,,,,,0.7996057,,,0.9444496,,,0.62799203,,1.4442475,,,,,0.9795847,,,,,,0.53071475,0.5697967,0.8663467,,1.4042218,1.2398702,,0.7434168,,,,,,,,,,,,,,,0.576841,,,0.6842255,,0.830253,,1.12408,,,,1.0140984,0.6364671,5.5184393,0.77179986,,
1955,,,,,0.7297465,0.54067075,,0.5322253,,,,,1.3216641,0.9682681,,,,0.71825904,0.75826585,0.93999356,,,,0.9753877,0.96285385,0.37822172,,0.4210403,0.5763478,0.9220222,0.7233988,,0.5216184,,0.4982818,,0.42219514,,0.7424293,0.6289341,0.9671179,,,,,,0.62393194,0.31800887,,,0.52778536,0.6196032,0.6988714,,,0.6083876,,0.9912868,,,,,0.80165654,,,0.9490326,,,0.57539773,,1.4890453,,,,,0.9849514,,,,,,0.54680794,0.5717116,0.869747,,1.4136459,1.2462009,,0.76358366,1.0738002,,,,,,,,,,,,,,0.58120394,,,0.6091719,,0.9023828,,1.1796597,0.2110496,,,0.9649614,0.6578249,5.587829,0.7773738,,
1956,,,,,0.71434623,0.55743045,,0.54293877,,,,,1.2309508,0.963096,,,,0.7472582,0.7815853,0.92866206,0.29400626,,,0.95363986,0.9164191,0.42221037,,0.4381093,0.5828882,0.98039305,0.7145355,,0.5438783,,0.49697742,,0.445688,,0.7313076,0.67583144,0.9933708,,,,,,0.6259805,0.30683908,,,0.53218246,0.6488089,0.704616,,,0.61623824,,1.009758,,,,,0.6810578,,,0.9561221,,,0.5812707,,1.5133514,,,,,0.9722636,,,,,,0.5501783,0.57753795,0.8592553,,1.406405,1.2769371,,0.7842414,1.0712734,,,,,,,,,,,,,,0.58734834,,,0.6197332,,0.9894115,,1.1757003,0.21510237,,,0.925494,0.6543146,5.8483133,0.79632556,,
1957,,,,,0.7172177,0.5748427,,0.54589295,,,,,1.2086828,1.00433,,,,0.750009,0.78861487,0.97374743,0.29075208,,,0.92265266,0.9433262,0.4478682,,0.4507851,0.5947876,1.0011383,0.7141906,,0.5494522,,0.48664913,,0.47021785,,0.7272995,0.71425813,0.9947355,,,,,,0.6174471,0.30390963,,,0.52776855,0.6757434,0.70835793,1.0953852,,0.6222643,,1.0306214,,0.39171305,,,0.6857445,,,0.9677997,,,0.5597753,,1.5413795,,,,,0.9838991,,,,,,0.5499172,0.59134334,0.88292205,,1.4297676,1.2879783,,0.80635655,1.0796143,,,,,,,,,,,,,,0.5882934,,,0.6814975,,1.0648417,,1.3674045,0.2231047,,,0.916606,0.661631,6.1072803,0.80481,,
1958,,,,,0.7517213,0.5866176,,0.5451376,,,,,1.1792692,1.0169718,,,,0.7722088,0.7706436,0.99896574,0.29332277,,,0.9057781,1.0286049,0.41186106,,0.4614977,0.6007939,1.02076,0.7113075,,0.5530783,,0.47612277,,0.48353174,,0.726811,0.73325247,1.0045066,,,,,,0.6543497,0.30485648,,,0.56559026,0.69819945,0.71939147,1.1156353,1.9892671,0.6268264,,1.0196483,,0.40437374,,,0.7145737,,,0.94983655,,,0.6170544,,1.5361797,,,,,0.95044714,,,,,,0.5387294,0.5936557,0.87334484,,1.3736125,1.2666515,,0.7988339,1.0967928,,,,,,,,,,,,,,0.59411794,,,0.67096984,,1.1273844,,1.3923106,0.23031262,,,0.86199987,0.6631528,6.016806,0.80667454,,0.65509874
1959,,,,,0.78088635,0.59215707,,0.56346124,,,,,1.1831743,1.0327799,,,,0.782625,0.8104967,0.97500044,0.27349997,,,0.93984884,1.0070542,0.42332274,,0.48570603,0.62738806,1.0564923,0.71061265,,0.5352872,,0.49887535,,0.49584812,,0.74184585,0.74609613,1.0101746,,,,,,0.6459696,0.31849217,3.1898363,,0.5632841,0.7508287,0.742856,1.127792,2.2035766,0.6490788,,0.9549002,,0.41418782,,,0.69847375,,,0.91229063,,,0.623344,,1.5019474,,,,,0.93776494,1.3475151,,,,,0.5492812,0.604989,0.87469244,,1.3876296,1.2794591,,0.8326523,1.0585631,,,,,,,,,,,,,,0.61279327,,,0.70657,,1.1361288,,1.2929708,0.23875697,,,0.81432927,0.68196577,6.087229,0.82060844,0.69172424,0.67380375
1960,,,,,0.7720821,0.624788,,0.5816205,,,,,1.2219148,1.0576812,,,,0.800474,0.8384209,1.048058,0.27771923,,,0.95677114,1.0540588,0.3737583,,0.51196116,0.6417956,1.1608666,0.7212343,,0.59168327,,0.5248127,,0.52863455,,0.74658006,0.7458552,1.0077991,,,,,,0.6795352,0.32781428,3.329726,,0.56712276,0.77202374,0.77472675,1.1821285,2.178792,0.6805415,,1.0146891,,0.4205737,,,0.72151065,,,0.92482793,,,0.6302917,,1.5617738,,,,,0.83104646,1.407056,,,1.5411525,,0.58476645,0.6219794,0.991704,,1.504273,1.2765284,,0.8707184,1.0612242,,,,,,,,,,,,,,0.6096942,,,0.75504804,,1.1990628,,1.2212362,0.24360177,,,0.82593626,0.6853411,5.6140122,0.82570136,0.69968134,0.68990636
1961,,,,,0.76868683,0.63832045,,0.60190177,,,,,1.2151467,1.1493146,,,,0.81506044,0.8568031,1.0634184,0.2275206,,,0.97097194,1.007958,0.4006433,,0.52098215,0.6583085,1.1119612,0.7298321,,0.64620274,,0.53909963,,0.5474055,,0.74519235,0.8259576,1.0273917,,,,,,0.6884475,0.3381832,3.4323907,,0.5519466,0.80987245,0.81011194,1.2246248,2.3896697,0.7035934,,0.9636222,,0.42402676,,,0.7772595,,,0.92067444,,,0.8073123,,1.5265772,,,,,0.8807996,1.4524997,,,1.3922035,,0.5885362,0.6437131,1.0146266,,1.5602986,1.2596688,,0.91097945,1.08886,,,,,,,,,,,,,,0.6250141,,,0.7588281,,1.3258545,,1.1933925,0.24798346,,,0.81132495,0.69187504,5.7323575,0.8417875,0.69677037,0.7215841
1962,,,,,0.7866371,0.6388971,,0.62060004,,,,,1.2363288,1.1544411,,,,0.84018743,0.8529779,1.0851948,0.2283673,,,0.98367226,1.0264338,0.4226686,,0.5343301,0.6709003,1.2576524,0.7345233,1.0799937,0.69152343,,0.5415846,,0.5679569,,0.74893326,0.8195764,1.0310323,,,,,,0.6862967,0.3408176,3.440403,,0.57782567,0.8312338,0.8430807,1.2300903,2.251608,0.71352905,,1.0159019,,0.41905174,,,0.7510294,,,0.8903942,,,0.83935225,,1.514532,,,,,0.8755744,1.4609076,,,1.3657976,,0.59988403,0.64870524,0.9982231,,1.6262228,1.2493274,,0.9451405,1.0285054,,,,,,,,,,,,,,0.6379477,,,0.766848,,1.2788122,,1.2130653,0.25821683,,,0.77769864,0.7069859,6.1125383,0.87546337,0.68560946,0.7190823
1963,,,,,0.8056246,0.6559176,,0.6384712,,0.975848,,,1.2732433,1.1829337,,,,0.85728604,0.86370385,1.1185204,0.23786817,,,0.9821415,1.0469483,0.43132946,,0.5385132,0.6579097,1.2801718,0.72513133,1.0552759,0.73518187,,0.5464933,,0.5905835,,0.7623139,0.8978801,1.0899023,,,,,,0.7130154,0.34732395,3.4572504,,0.61614996,0.86662513,0.87280875,1.299248,2.256571,0.7262763,,1.03846,,0.425475,,,0.7881232,,,0.8797671,,,0.9505803,,1.573999,,,,,0.9270007,1.4839442,,,1.3964045,,0.605089,0.66080576,1.035877,,1.6301383,1.2625822,,0.97933996,1.0366255,,,,,,,,,,,,,,0.657501,,,0.7733963,,1.2682698,,1.2682226,0.27232254,,,0.75397646,0.7175017,6.336522,0.91675985,0.6996801,0.72194564
