Date,ARG,AUS,AUT,BEL,BHS,BLZ,BOL,BRA,BRB,CAN,CHE,CHL,CIV,CMR,COD,COL,CPV,CRI,CUB,CZE,DEU,DNK,DOM,ECU,ESP,EST,FIN,FRA,GBR,GHA,GRC,GTM,HND,HUN,IDN,IRL,ISL,ISR,ITA,JAM,JPN,KAZ,KEN,LUX,LVA,MAR,MEX,MUS,MYS,NER,NIC,NLD,NOR,NZL,OWID_AFR,PAN,PER,PHL,POL,PRT,PRY,RWA,SEN,SGP,SLV,SVK,SVN,SWE,SWZ,TGO,TTO,TUN,TUR,UGA,URY,USA,VEN,ZAF
1990,13.675584,28.103508,39.287556,41.172394,9.668284,21.35014,8.267751,25.511692,23.217741,35.198723,23.744553,16.889399,21.639614,,,9.190635,10.450586,22.493204,29.083574,,34.803047,44.397427,8.325355,7.239333,31.623259,,42.907387,41.17252,32.87687,,25.190756,8.344125,12.380017,,,32.35072,30.942518,,36.390625,20.312998,28.203768,,,33.493122,,,12.091273,23.29208,18.530472,,,39.69767,40.24911,36.17517,,15.853553,12.11717,,,26.483492,5.784774,,,,10.492902,,,49.474545,,,24.397732,,14.547497,,19.880978,25.961868,18.055008,23.867071
1991,15.585613,26.667519,39.748146,41.386555,9.505404,20.458054,8.72825,21.036272,27.30149,35.629547,23.556137,17.786541,19.555178,,,10.908602,12.316443,17.660624,29.292675,,35.006245,43.776787,7.752936,7.21997,31.894976,,44.449368,41.551754,31.691786,,25.291634,9.076865,12.83247,44.62818,,32.91977,31.302055,,36.78669,17.854237,27.86338,,,31.481146,,,12.257293,23.19862,19.975779,,9.728085,41.72766,40.368214,34.341297,,16.483925,13.391344,,34.0275,27.527365,4.81368,,,,11.0465,,,47.524204,,,26.917591,,15.246257,,20.620506,25.78879,18.34222,22.536007
1992,18.199392,26.135174,41.282005,40.960842,10.527213,19.074806,10.669117,22.016981,26.404345,35.183777,23.995003,18.458506,18.151176,,,11.441723,14.136526,18.686056,31.926996,,35.89985,44.136112,10.821668,7.052372,32.90035,,43.96612,41.153214,30.90007,,26.123446,10.316316,13.347941,44.360065,,33.256866,32.14215,,39.04973,17.467003,26.337597,,,32.219402,,,12.801888,21.87097,19.776655,,10.765199,41.38857,39.53164,34.76281,,16.164673,14.518738,,36.178318,29.45155,6.537358,,,,11.299757,,,45.042984,,,24.946098,,16.294193,6.689267,21.680294,25.671497,13.96252,21.195036
1993,19.951904,26.604858,41.687943,42.40471,10.743926,20.108149,11.625592,22.978964,25.335571,34.55489,24.514093,18.654408,14.894064,7.819254,,11.911714,14.738848,18.888138,29.90617,36.959953,35.828384,45.462097,11.096363,7.72902,31.951912,,43.47778,42.35281,29.88326,,26.569916,10.180495,13.095361,45.204002,,33.25742,31.059614,,40.639294,19.435635,26.32317,,,34.221355,,,12.00159,20.806078,19.425068,,10.148684,41.581127,38.65665,34.87207,,17.342255,14.495465,,39.21737,28.026297,8.850759,,,,12.320622,,,44.357094,,,25.247398,,16.468458,7.889637,21.088829,25.874285,13.613657,21.24682
1994,19.794834,27.507092,41.420624,42.68434,11.194336,20.36197,13.232817,26.448845,25.329733,34.51054,24.930258,18.40487,15.250721,8.004114,,13.223618,14.918126,19.687216,33.488884,35.69938,36.170937,46.528553,10.005878,7.883276,31.98453,,45.50824,42.474747,30.61463,,26.833994,8.912802,12.650414,42.741505,,34.32465,30.600092,,38.709133,19.530615,25.464998,,,34.710007,,,12.00187,20.306425,19.825577,,10.850984,39.732838,39.951717,35.423237,,17.482325,15.383761,15.849668,36.438313,28.801626,10.629469,,,,12.84984,,,44.59254,,,23.534554,,16.156157,8.929105,20.808075,26.2082,14.370039,21.737652
1995,18.6699,28.28455,41.2715,42.609436,11.293485,19.415813,13.865044,26.63819,27.334276,34.740185,25.51883,18.300434,16.85169,9.952463,,13.82656,15.26148,19.033981,33.449875,34.71188,36.230213,46.499035,10.471693,8.103364,31.276382,36.033203,44.495888,42.326794,29.48451,,27.89025,10.241425,13.815744,40.77627,,31.733158,31.186563,35.420506,38.582558,20.78498,25.838617,,,34.850037,29.718702,,10.109544,17.87992,19.37134,,11.050353,37.248028,40.037006,35.570683,,18.445915,15.76264,16.223507,36.616543,29.277624,12.100866,,,,13.801671,39.56236,38.360237,45.61857,10.197859,,23.744793,,16.390093,10.138428,21.07646,26.46544,12.836137,21.622013
1996,18.207747,28.923573,42.64082,43.019665,11.105986,20.191027,13.725834,26.089085,26.714169,35.055717,26.003496,19.541239,17.599304,10.057362,,14.692977,14.966903,19.964417,31.85434,33.306644,35.574112,46.71341,10.308353,7.477089,31.654821,34.108063,45.699787,43.454586,29.310894,,34.34745,11.142597,13.555141,39.41998,,32.268063,32.299698,34.854824,40.26128,19.851917,25.816673,,,35.063377,29.192747,,9.91208,17.180504,19.260838,,11.167541,37.345444,40.01064,33.75399,,16.379038,16.217001,16.690052,36.611916,29.957346,11.352644,9.847022,,,13.214332,38.641747,37.238026,47.37221,10.313022,,24.55916,,18.464298,10.818585,21.3452,26.95402,13.706327,22.2487
1997,19.022215,28.66568,43.44015,43.450665,11.181471,19.985909,14.441872,26.248695,30.205976,35.911945,25.62989,19.04881,17.055183,10.242198,,15.585613,14.567042,20.253666,33.805218,33.606045,35.243137,46.727253,11.477517,8.371018,31.922655,34.137463,44.966007,43.663345,29.961863,,28.796923,11.305463,13.793971,37.748238,7.598573,31.369246,31.675274,35.406525,41.668446,19.446117,26.177986,,,36.45686,30.261261,,10.499815,18.78562,19.692526,,12.329931,36.798294,40.69493,33.931297,,16.13085,16.594658,16.661339,36.113678,29.92113,11.350811,10.291925,15.310353,,13.133096,36.466846,36.14493,48.321293,10.353141,,22.534513,,20.243671,11.16513,21.98679,27.385557,17.633577,22.550486
1998,19.39409,29.448,43.44661,44.0843,11.346089,20.306025,15.677043,26.809372,29.264648,35.83608,26.362324,18.835464,15.925711,10.94423,,14.968407,14.851951,20.566603,35.948402,32.452133,35.471622,47.297867,11.473942,9.024693,32.548252,33.962673,44.827053,43.536514,31.462172,,30.691534,11.424912,16.0578,37.448513,6.173535,30.836706,33.824493,34.35236,40.038136,20.697128,25.66946,12.325917,,37.32472,31.221945,,10.963266,18.86151,16.634327,,13.049298,36.25382,41.580067,32.276066,,15.546439,16.49396,15.52789,35.327766,30.175098,10.808916,10.775891,15.402039,,13.332491,36.05748,36.92444,48.425697,10.542628,,16.79277,,20.61485,10.823519,22.121107,27.785778,12.944938,23.515427
1999,19.507618,29.818312,43.090443,43.89283,10.82471,18.236244,14.858113,28.123661,29.24417,35.608704,26.568438,18.07914,15.899836,10.775679,,14.997487,15.285798,21.287724,37.142757,33.277576,36.158516,47.87538,11.803288,8.966177,33.077354,32.540005,44.258484,44.24824,32.21999,,31.401749,12.248193,17.174297,38.20153,7.759602,30.887743,36.180344,34.193512,40.90621,21.318388,25.19737,15.900839,,36.183887,30.254053,,11.728342,19.030834,15.68454,,12.836164,37.157623,41.860203,32.312737,,16.32279,15.07731,15.780754,35.020576,30.958471,11.754122,10.770772,16.14203,,13.288128,34.81572,37.286667,48.80372,11.133197,,20.482506,,22.58986,11.35779,21.761232,27.847013,13.805219,23.45277
