Date,AIA,AND,ARG,ARM,ATG,AUT,AZE,BDI,BEL,BFA,BGD,BGR,BHS,BIH,BMU,BRA,BRB,BTN,BWA,COL,CPV,CUB,CYP,CZE,DEU,DMA,DNK,DZA,ECU,EGY,ESP,EST,FIN,FJI,FRA,GEO,GHA,GRC,GRD,GTM,GUF,HKG,HRV,HUN,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,KAZ,KGZ,KNA,KWT,LIE,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDG,MDV,MHL,MKD,MLT,MMR,MNE,MNG,MTQ,MUS,MYS,NER,NLD,NOR,OMN,PAN,PER,POL,PRT,PSE,ROU,SDN,SLV,SRB,SUR,SVK,SVN,SWE,SYR,TGO,THA,TTO,TUN,TUR,TZA,UKR,VEN,WSM,YEM,ZAF,ZMB,ZWE
2000,,,,381600.0,,,1104000.0,,,424500.0,,,,837669.44,,41984000.0,,,,,,,,,,13500.0,,,,15000000.0,,,,,,,1325358.5,,,,,2760000.0,,,,,,3967580.0,,947000.0,1387000.0,,,,853000.0,,,,,,138290.0,3980000.0,38920.0,,,,,,,,,,251300.0,6377239.0,,,,,294701.28,,,,,,,,,,,,,,,,1158000.0,1512000.0,,,,,,1267000.0,,1215000.0,
2001,3093.15,,,375500.0,,,1267800.0,13100.0,,452400.0,,,,863226.75,,,,,396691.6,,,,,,,13500.0,,,,,,,,,,,1383828.9,,,1321016.4,57000.0,2756000.0,,,,,,3590481.0,,718000.0,,,,,1006000.0,,,,,,138110.0,,39560.0,,,,,,,,,161600.0,292900.0,6726505.0,2588000.0,,,,313014.88,,,,,,,,,,,,,,,,1038000.0,1529000.0,,,,,,822000.0,,,
2002,2979.07,,,377900.0,,,1853800.0,22900.0,,482300.0,,,,892008.4,,,,,403424.1,,,,,,,13500.0,,5200000.0,,,,,,,,,1444490.5,,,1350053.0,,2744000.0,,,,,,3855364.2,,697000.0,2226500.0,,,,1060000.0,,,,,,146640.0,,40220.0,,66559.0,,,,,,,,325010.0,7094900.0,2673000.0,,,,305973.53,,,,,,,,,,,,,,,,1164000.0,1546000.0,,,,,,1310000.0,,,
2003,2786.1,48500.0,,344100.0,,,1888500.0,18200.0,,514300.0,,,,915165.3,,,,,409177.1,,101000.0,,,,,13500.0,,,,,,,,,,,1483491.8,,,1383066.6,64000.0,2702000.0,,,,,,3846938.8,,703000.0,,,,,976000.0,,,,,,154070.0,4152000.0,40040.0,,64911.0,,,,,,,,352900.0,7483470.5,2762000.0,,,,304919.94,,,,860200.0,,,,,,,,,4100000.0,,,1332000.0,1554000.0,,,,,,1105000.0,,,
2004,3429.98,48300.0,,351400.0,,3441041.0,1783600.0,18200.0,5325207.0,548500.0,,2633592.0,65400.0,894664.44,,26319456.0,,,413957.4,,,,367353.0,2841428.0,38007850.0,13500.0,2016209.0,,,,24409990.0,401989.0,1164497.0,,25688700.0,,1548119.4,4212962.0,,1416754.1,,2567000.0,,4442050.0,1702345.0,,141487.0,3978303.2,31149584.0,709000.0,,0.0,,,840000.0,,,601749.0,221014.0,543490.0,154530.0,4709000.0,39940.0,,75762.0,,,132387.0,,,,,365500.0,7893323.0,2853000.0,9455209.0,1933939.0,,314663.25,,6768077.0,4582610.0,970050.0,3638200.0,,,,,1475121.0,660980.0,4079432.0,,,,1448000.0,1701000.0,29224710.0,325600.0,,,,1167000.0,202930.0,,
2005,4018.03,48610.0,,346300.0,21250.0,,1753100.0,13200.0,,585000.0,2919600.0,,90481.0,948811.9,,22986078.0,,,417771.4,,,4001200.0,,,,13500.0,,8500000.0,,,,,,,,,1817049.8,,,1444908.6,,2492000.0,,,,,,4085928.0,,,2358860.0,0.0,,,852000.0,,,,,,162130.0,,39860.0,,81409.0,,,,,,,,363800.0,8325622.0,2947000.0,,,,308207.84,,,,982190.0,,602250.0,,,,,,,,,,1548000.0,,,333300.0,,,,1273000.0,974630.0,1458000.0,
2006,4797.98,49750.0,,352300.0,20500.0,3711839.0,1573100.0,13800.0,4745161.0,624000.0,,2928981.0,89401.0,1002959.44,,13767522.0,,,420625.0,,,3854100.0,356520.0,3482017.0,34626020.0,15700.0,2069635.0,,,,24078308.0,411633.0,1191220.0,150626.5,26832200.0,,1895268.1,4132645.0,19000.0,1485972.6,,2422000.0,183162.0,2978311.0,1978711.0,,,4226500.5,32522650.0,1120000.0,2309570.0,0.0,,,987000.0,,26556300.0,1298932.0,191580.0,853889.0,167360.0,,39540.0,,80933.0,,,130208.0,,,,,387751.0,8781597.0,,9416499.0,2199862.0,,312635.8,,6885997.0,4641103.0,1023900.0,6368670.0,,,,,1623306.0,1088875.0,4340669.0,,246000.0,,1537000.0,,30081820.0,341600.0,,,,1382000.0,1364080.0,,
2007,5287.65,43940.0,,362300.0,20800.0,,1631400.0,10800.0,,665700.0,,,,1057106.9,,16417676.0,,,424635.6,,,4069900.0,,,,15700.0,,,,,,,,153595.2,,,2066221.2,,19200.0,,,2326000.0,,,,,,4304024.5,,1125000.0,2207298.0,0.0,,12210.0,1001000.0,,,,,,174050.0,,41100.0,2849555.0,82101.0,20800.0,,,,,,,367581.0,9262544.0,,,,,349794.8,,,,,,731830.0,,,,,,,,250000.0,,1629000.0,2200000.0,,348720.0,,,,1447000.0,1371819.9,,
2008,5037.97,45500.0,,385800.0,23000.0,3819277.0,1478400.0,15600.0,4459161.0,710400.0,,2907121.0,,1065105.2,,20356042.0,,,429245.4,,,4918500.0,432858.0,3176176.0,35754996.0,15700.0,2514155.0,,,,24431320.0,439973.0,1674400.0,163259.8,29310520.0,,2245024.5,3954486.0,19800.0,1879000.0,,2226000.0,0.0,3466071.0,1677338.0,,,4399715.5,32471572.0,1130000.0,2111251.0,0.0,,11130.0,1310036.0,0.0,,1362620.0,276272.0,606077.0,179020.0,,40730.0,,92095.0,,,145817.0,,,,,382860.0,9769832.0,,9434770.0,2224522.0,,348020.28,,6879294.0,5466307.0,1030140.0,6503356.0,821250.0,,,33100.0,1772426.0,714165.0,4393002.0,,255000.0,23930000.0,,,28454024.0,356300.0,,,,3422000.0,,,
2009,,45530.0,,393400.0,22700.0,,1602600.0,13800.0,,758100.0,4053600.0,,,996165.0,,19509108.0,6110.0,,434441.6,,,4279800.0,,,,18700.0,,9600000.0,,,,,,162363.5,,,2400392.2,,19400.0,1924000.0,,2195000.0,,,,,,4556308.5,,,1921857.1,0.0,,11560.0,1153230.0,,,,,,159290.0,,36690.0,,85258.0,,,,,,,,401990.0,10304902.0,,,,,370212.72,,,,847240.0,,912500.0,,,30470.0,,,,,259000.0,24110000.0,,,,333300.0,,,,3525000.0,,,
