Date,AIA,AND,ARM,AUT,AZE,BEL,BEN,BGD,BGR,BIH,BLR,CHL,COL,CRI,CYP,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GHA,GIN,GRC,GRD,GTM,HRV,HUN,IRL,ISL,ITA,JOR,JPN,KAZ,KGZ,KNA,KWT,LIE,LTU,LUX,LVA,MCO,MDA,MHL,MKD,MLT,MNE,MNG,MUS,NLD,NOR,OMN,PER,POL,PRT,ROU,RUS,SAU,SRB,SUR,SVK,SVN,SWE,TUN,TUR,TZA,UKR,ZAF,ZWE
2000,,,120.0,,,,844500.0,,,,,1128000.0,,,,,,,23000000.0,,,,,6784241.0,,,,,390000.0,,,,,,90828000.0,,,,211000.0,,,,,0.0,322300.0,,,,,,,,,,,,,,,,,,,,,55000.0,,,1251300.0,,
2001,649.91,,130.0,,10400.0,,861500.0,,,,,1150485.0,,,,,,,23000000.0,,,,,7032570.0,,,,18248776.0,826788.0,,,,,,90459000.0,,,,231000.0,,,,,0.0,313600.0,,,,,,,,,,,,,,,,,,,,,,,,1594000.0,,
2002,612.34,,120.0,,13100.0,,1135000.0,,,,,1308168.0,,,,,,,,,,,,8249630.0,,,,18732080.0,292030.0,,,,,,90161000.0,,,,227000.0,,,,,0.0,327600.0,,,,,,,,,,,,,,,,,,,,,,,,2081800.0,,
2003,551.1,,110.0,,19400.0,,,,,,,1418400.0,,,,,,,,,,,,8244813.5,,,,19488610.0,297000.0,,,,,,90602000.0,,,,320000.0,,,,,0.0,175100.0,,,,,,,,,,,,,,,,,,,,,,,,1929800.0,,
2004,743.78,,120.0,468629.0,20900.0,1186648.0,,,722228.0,,,1515326.0,,,378416.0,1244149.0,1226989.0,24038.0,,17986084.0,183860.0,1537025.0,1221940.0,6772571.0,,4711294.0,,19672982.0,121133.0,3999629.0,8706.0,78559.0,615288.0,,89300290.0,122500.0,,,268000.0,,874218.0,11324.0,208465.0,0.0,168100.0,,,36.0,,,,2392596.0,148558.0,,,1522976.0,694144.0,21019098.0,15154000.0,,,,605600.0,76497.0,314317.0,,0.0,32440.0,2494400.0,,
2005,1624.73,,120.0,,15800.0,,,65000000.0,,,,1393320.0,,,,,,,,,,,,8060916.0,,,,20309298.0,,,,,,,87583600.0,294100.0,,,261000.0,,,,,0.0,171100.0,,,,,,,,,,,,,,14338000.0,,,,,,,,,31440.0,2593000.0,,
2006,2651.88,,130.0,512872.0,8200.0,361827.0,,,632966.0,,,1367133.0,,,131541.0,315585.0,1515272.0,27550.0,,15152405.0,118829.0,2038408.0,1221940.0,8224598.5,,4711294.0,,19842348.0,72167.0,1997533.0,0.0,,558481.0,,87944730.0,46000.0,,,301000.0,,874219.0,11324.0,96126.0,0.0,141300.0,,,7.0,,,3752.0,2659520.0,172417.0,,,1522976.0,213722.0,21019098.0,17532000.0,,,,741965.0,214335.0,314317.0,,0.0,30820.0,3226000.0,,
2007,3486.89,,120.0,,6400.0,,,,,,,1469657.0,,,,,,,26583600.0,,,,,10833099.0,,,,77392000.0,,,,,,,87837100.0,45600.0,,2870.0,556000.0,,,,,0.0,1124700.0,520.0,,,,,3387.0,,,,,,,,26654000.0,,,,,,,,,30420.0,3150500.0,,
2008,4000.76,0.0,140.0,459096.0,2700.0,287656.0,,,754286.0,,,1434942.0,,,126651.0,254546.0,1350758.0,40731.0,20519800.0,11355660.0,240005.0,2738973.0,1312890.0,10954257.0,677.0,0.0,,75970000.0,18679.0,336865.0,19376.0,,349096.0,,87991740.0,68700.0,,5560.0,259409.0,615.0,786069.0,2486.0,74660.0,0.0,1214700.0,,0.0,2667.0,,,6867.0,3468475.0,184332.0,,,1350163.0,74760.0,19204236.0,68030000.0,,,7110.0,788788.0,132159.0,314314.0,,0.0,26040.0,3179700.0,,
2009,,0.0,130.0,,2700.0,,,,,,,1562458.0,,,,,,,20595800.0,,,,,13625672.0,711.0,,,74497000.0,,,,,,,88445976.0,70200.0,,4030.0,171128.0,,,,,0.0,103900.0,,,,,,7209.0,,,,,,,,77483000.0,,,12180.0,,,,,,32550.0,2761400.0,,
2010,,,150.0,550439.0,2600.0,225622.0,,,618107.0,,440400.0,,,,129184.0,113683.0,256272.0,189101.0,21156700.0,5816630.0,109873.0,2772031.0,1371625.0,12422402.0,,5073.0,,75601000.0,14223.0,487655.0,101143.0,72071.0,310912.0,,85108660.0,85700.0,17910.95,5320.0,174435.0,306.0,455856.0,2547.0,68024.0,0.0,107700.0,,0.0,2887.0,,,6339.0,4682517.0,195252.0,,,603472.0,68829.0,608062.0,24072000.0,,0.0,14670.0,525604.0,141285.0,308946.0,,,37560.0,8568200.0,,
2011,,891.0,2850.0,,9200.0,,,,,,400700.0,,,,,,,,21456900.0,,,,,14157824.0,,,,,12951.0,,,,,,84740000.0,143900.0,5878.21,4360.0,142752.0,,,,,0.0,185100.0,,,,,,5942.0,,,,,,,,27551000.0,,,14490.0,,,,,,33750.0,12438200.0,3023600.0,
2012,,1480.0,3690.0,179044.0,12300.0,165463.0,,,903119.0,0.0,236700.0,,1900.0,5866000.0,18203.0,196063.0,648869.0,75225.0,13407500.0,5496458.0,77404.0,3157813.0,1290136.0,14953128.0,,9979.0,,,75096.0,460047.0,96251.0,82097.0,407979.0,,85721000.0,1136400.0,13277.18,5090.0,132267.0,0.0,481708.0,1381.0,2767.0,0.0,212100.0,,23.0,2709.0,14144.0,,6061.0,4618778.0,150003.0,,,884425.0,63215.0,470756.0,26195000.0,,0.0,11910.0,549391.0,164761.0,273071.0,,,31740.0,10238700.0,,
2013,,1572.6,2700.0,,18700.0,,,,,,212000.0,,,,,,,,21837900.0,,,,,15107609.0,,,,,,,,,,,82963000.0,1146800.0,9364.1,3920.0,181461.0,,,,,0.0,317100.0,,,,,,5316.0,,,,,,,,40406000.0,,,8420.0,,,,,,34540.0,10311800.0,,
2014,,2539.6,140.0,128124.0,18400.0,311835.0,,,835401.0,0.0,248400.0,675371.2,,,19856.0,135313.0,438829.0,117682.0,22758000.0,5817439.0,121677.0,4471.0,1274216.0,15516543.0,,10976.0,,,269111.0,520961.0,96251.0,28885.0,323518.0,37000.0,81908000.0,1049500.0,0.0,3520.0,265725.0,0.0,421071.0,3094.0,36209.0,0.0,271500.0,,84366.0,3018.0,10712.0,,5707.0,4769683.0,192189.0,,,492106.0,50294.0,559573.0,43134000.0,,0.0,7720.0,574396.0,102716.0,655374.0,,0.0,35840.0,8451400.0,,
2015,,926.9,1570.0,,20000.0,,,,,,414000.0,1122464.6,,6403000.0,,,,,22722900.0,,,,,15834551.0,,,1200.0,,,,,,,56700.0,80955000.0,1410800.0,0.0,4300.0,368934.0,,,,,0.0,566200.0,,,,,,6333.0,,,,,,,,45823000.0,,,6020.0,,,,,,41740.0,8736800.0,,
2016,,981.6,2200.0,129834.0,25900.0,269190.0,,,617689.0,0.0,563900.0,874585.2,,,19453.0,114575.0,1126134.0,201648.0,,6271464.0,113946.0,0.0,1303642.0,,,255169.0,1300.0,,496153.0,484320.0,105033.0,38357.0,320928.0,30000.0,80907000.0,1774300.0,2.08,,403431.0,22.0,280625.0,30890.0,144075.0,0.0,179300.0,,40.0,10565.0,15409.0,,7028.0,5085249.0,161946.0,,,534931.0,55520.0,507712.0,49242000.0,,101675.0,7020.0,788559.0,63248.0,804382.0,,0.0,,8715500.0,,1960.9
2017,,1005.3,1400.0,,21200.0,,,,,,621000.0,1436638.5,,,,,,,,,,,,,,,1400.0,,,,,,,37460.0,78322000.0,2077400.0,2.15,,437832.0,,,,,0.0,215600.0,,,,,,7576.0,,,,,,,,41499000.0,,,4300.0,,,,,,167000.0,6188200.0,,2588.71
2018,,1216.9,3600.0,139870.0,24200.0,362508.0,,,308760.0,0.0,698900.0,1100442.2,,,19783.0,411533.0,982106.0,373978.0,,6258251.0,138195.0,0.0,1309912.0,,,466119.0,1500.0,,550471.0,449607.0,296865.0,47418.0,332554.0,33190.0,80964000.0,2130000.0,,,453667.0,0.0,293676.0,8330.0,132746.0,0.0,186600.0,,0.0,12292.0,14749.0,39101.2,,4678699.0,174257.0,47987.7,,431500.0,62073.0,584619.0,42774000.0,11300000.0,82473.0,2370.0,529786.0,61665.0,962141.0,,0.0,173000.0,5968100.0,,
2019,,915.6,3400.0,,33200.0,,,929890.7,,,727400.0,1163905.9,,,,,,,,,,,,,,,1200.0,,,,,,,53050.0,81269000.0,2450300.0,,,337293.0,,,,,0.0,82500.0,,,,,41939.0,,,,79910.0,,,,,47664000.0,,,610.0,,,,,,179000.0,6750500.0,,
2020,,1240.0,5670.0,168233.0,31500.0,417301.0,,1152985.2,892764.0,0.0,997050.0,624481.6,,,21156.0,398041.0,1004332.0,389498.0,,6330651.0,195258.0,0.0,1291230.0,,,644283.0,1000.0,,565300.0,295281.0,275414.0,39084.0,348501.0,45300.0,,2168700.0,,,572000.0,3.0,301722.0,11445.0,133282.0,0.0,6300.0,,121.0,11851.0,10987.0,36022.5,,4896548.0,158562.0,129319.8,198205.0,281119.0,94347.0,720130.0,45156000.0,,89033.0,2620.0,562363.0,55730.0,1045928.0,,0.0,185000.0,,,
2021,,1260.0,5680.0,,29800.0,,,909254.5,,,702350.0,892985.7,,,,,,,,,,,,,,,1000.0,,,,,,,,,3132900.0,,,467000.0,,,,,0.0,23600.0,,,,,36955.2,,,,124068.1,251168.6,,,,50620000.0,,,5480.0,,,,,,,,,
2022,,,,189253.0,,272374.0,,,817212.0,0.0,,,,,608239.0,352752.0,966384.0,389498.0,,6043196.0,188724.0,0.0,1352989.0,,,1048826.0,,,646525.0,292641.0,292031.0,,328210.0,,,,,,,1.0,289947.0,6882.0,27604.0,,,,462.0,3733.0,12959.0,,,5705557.0,170588.0,184423.8,,293280.0,151010.0,637561.0,,,88264.0,,459277.0,64265.0,1540859.0,,0.0,,,,
