Date,AIA,AND,ARE,ARM,ATG,AUT,AZE,BEL,BGD,BGR,BHS,BIH,BLR,BRA,CHL,CPV,CYP,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GRC,GRD,HKG,HRV,HUN,IRL,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KNA,KWT,LIE,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDV,MHL,MKD,MLT,MNE,MNG,MUS,NLD,NOR,OMN,PER,POL,PRT,PSE,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TUN,TUR,TZA,UKR,VCT,ZAF,ZWE
2000,,,,6300.0,,,,,,,,,,13545000.0,2565660.0,,,,,,,,,,,,,13793000.0,142000.0,,,,,,,,79011000.0,,,,,3140000.0,,,,,296860.0,,,600.0,,,,,,,6840.0,,,,,,,,,,,319000.0,,,,,,,,19100.0,,,
2001,626.39,,,5900.0,,,0.0,,,,,,,,2627717.0,,,,,,3500000.0,,,,,,,14176000.0,48379.0,,,,,,,241690.0,76151000.0,,,,,4035000.0,,,,,217250.0,,,1000.0,,,,,,,3710.0,,,,,,,,,,,351288.0,,,,,,,,58000.0,,,
2002,538.4,,,8200.0,,,0.0,,,,,,,,2274337.0,,,,,,,,,,,,,16566000.0,123098.0,,,,,,,692230.0,73510000.0,,,,,4789000.0,,,,,244930.0,,,1000.0,37517.0,,,,,,6400.0,,,,,,,,,,,406600.0,,,,,,,,40900.0,1900.0,,
2003,540.9,,,8800.0,,,800.0,,,,,,,,2649353.0,100000.0,,,,,,,,,,,,12734000.0,132000.0,,,,,,,308600.0,75006000.0,,,,,3774000.0,,,,,349090.0,,,37400.0,43886.0,,,,,,7200.0,,,,,,,60900.0,,,,422900.0,,,,,,,,51500.0,,,
2004,523.74,,,8700.0,,27935266.0,0.0,11037080.0,,2998621.0,59386.0,,,6953766.5,2932809.0,,488499.0,8130735.0,191562720.0,4273801.0,,46319660.0,488537.0,20842636.0,210041310.0,3324000.0,,11480000.0,646282.0,1735609.0,11286882.0,,18500.0,,49150772.0,1478400.0,79055464.0,186800.0,,,,4309000.0,,357380.0,6979984.0,8243.0,583380.0,,,1100.0,33078.0,,,2810774.0,,,6100.0,49619390.0,1101407.0,,,1677539.0,2625939.0,101350.0,91397.0,15807000.0,,509000.0,,1403965.0,907963.0,10271183.0,2000000.0,,53700.0,206300.0,,,
2005,1318.2,,,9100.0,10000.0,,9200.0,,,,81593.0,,,7982290.0,2945474.0,,,,,,,,,,,,,14159000.0,,,,,,3300000.0,,,76466000.0,448600.0,,,,4835000.0,,,,,1294860.0,,,1400.0,38901.0,,,,,,3760.0,,,,,,,0.0,,16999000.0,,492500.0,,,,,,,53800.0,198700.0,,,
2006,1580.5,,,9600.0,9800.0,31321626.0,100.0,13089651.0,,1023303.0,101658.0,,,8471111.0,3389464.0,,298346.0,8379849.0,196536160.0,5802368.0,,47323390.0,717105.0,23145712.0,225310880.0,6829161.0,0.0,10910000.0,18820.0,3045335.0,16599466.0,,,3200000.0,52315620.0,,77534056.0,70300.0,,,,8914000.0,,348968.0,6774547.0,19339.0,1971000.0,,,11000.0,43648.0,,,2492522.0,,,1109.0,56716250.0,1252051.0,,,14141031.0,3607449.0,64800.0,33740.0,17801000.0,,619000.0,,916228.0,994886.0,8943363.0,,,54000.0,154200.0,,,
2007,1516.84,80420.0,,11600.0,17800.0,,400.0,,,,,,,9240049.0,3513492.0,,,,,,11091050.0,,,,,,0.0,8385000.0,,,,,,3300000.0,,,77253400.0,69600.0,,,20260.0,7390000.0,,,,,3118250.0,,,5600.0,40179.0,8000.0,,,,,502.0,,,,,,,,,62844000.0,,778300.0,,,,,,,55000.0,332700.0,,,
2008,1763.85,81630.0,,1900.0,10600.0,31389804.0,200.0,15441861.0,,1828761.0,,,,9658064.0,3443807.0,,431231.0,10650635.0,197206500.0,5674326.0,,44926464.0,1099100.0,24455232.0,252979840.0,6828051.0,0.0,9035000.0,129223.0,3240063.0,13547588.0,,,3300000.0,69731944.0,,76465000.0,22400.0,,,15010.0,6895306.0,247.0,412045.0,8282055.0,12040.0,1939390.0,,,11900.0,52791.0,,,1698659.0,,,2070.0,58886880.0,1498376.0,,,6929512.0,1364419.0,45.6,318097.0,15078000.0,,922000.0,,1301760.0,1376225.0,3310326.0,,0.0,56000.0,231300.0,,,
2009,,53490.0,,2700.0,7900.0,,0.0,,,,,,,10959702.0,3062395.0,,,,,,,,,,,,0.0,15435000.0,,,,,,3500000.0,,,73640000.0,177300.0,,,15410.0,6658413.0,,,,,1566740.0,,,3900.0,47881.0,,,,,,671.0,,,,,,,4170.0,,24715000.0,,1175800.0,,,,,,,58000.0,203000.0,,,
2010,,49940.0,,5400.0,4900.0,20927070.0,600.0,16852672.0,,78880.0,,,1136800.0,11814413.0,2558066.0,,1068282.0,9353673.0,190990220.0,3142215.0,,37946524.0,436289.0,24645392.0,260699140.0,2086080.0,0.0,14309000.0,7656.0,4072214.0,1609762.0,6963000.0,12289.0,,59340136.0,,73211000.0,202500.0,,3600.28,16050.0,7243231.0,31.0,356772.0,8866757.0,21551.0,1954000.0,,,4300.0,28591.0,,0.0,929609.0,,,2394.0,78063890.0,1542803.0,,,20818234.0,1287140.0,,734946.0,11065000.0,,921800.0,0.0,1786430.0,1509476.0,9381226.0,,,70800.0,329400.0,,,
2011,,31240.0,15588569.0,12240.0,3600.0,,600.0,,,,,,752800.0,8938062.0,,,,,,,,,,,,,0.0,18780000.0,681215.0,,,4994000.0,,3932000.0,,,75395000.0,165100.0,,4126.98,12170.0,9414857.0,,,,,1618000.0,,,2400.0,55484.0,,,,,,5306.0,,,,,,,910.0,,14085000.0,,1203700.0,,,,,,,69000.0,679300.0,,4725500.0,
2012,,19310.0,17297794.0,18490.0,4800.0,33468558.0,700.0,17132768.0,,1032651.0,,0.0,433700.0,11555213.0,,,965177.0,8592900.0,197527870.0,7454350.0,,26129152.0,657089.0,16033874.0,246702430.0,812519.0,4469.4,24569000.0,674662.0,4038081.0,1132275.0,4582000.0,10820.0,,52965744.0,,74124000.0,138800.0,,6552.23,9830.0,9463941.0,106623.0,419136.0,7079473.0,7509.0,2420000.0,,,3100.0,56059.0,,7.0,1044088.0,100665.0,,5601.0,79166640.0,1880544.0,,,15367995.0,1087141.0,,1325341.0,14634000.0,,1291800.0,363706.0,806184.0,535154.0,7655935.0,,,69800.0,610300.0,,,
2013,,25518.3,17011670.0,15760.0,4000.0,,1200.0,,,,,,467900.0,10329254.0,,,,,,,,,,,,,5300.0,24079000.0,,,,4409000.0,,,,,80346000.0,267600.0,,8500.25,12920.0,9878681.0,,,,,3925000.0,,,6000.0,127319.0,,,,,,6141.0,,,,,,,,,16710000.0,,1695300.0,328000.0,,,,,,70800.0,738000.0,,,
2014,,33990.4,14171562.0,15620.0,3900.0,40265570.0,1100.0,18347256.0,,1340467.0,,149146.0,321300.0,8702623.0,357565.84,,634801.0,9409944.0,206466180.0,11263066.0,,20418072.0,671347.0,16296811.0,227607180.0,479999.0,5200.0,21005000.0,618158.0,3439941.0,1884390.0,3659000.0,32832.0,,51670600.0,,81614000.0,247400.0,,2575.18,19110.0,12078852.0,516704.0,434737.0,5979235.0,454281.0,4376000.0,30000000.0,,9300.0,50120.0,,9491.0,1241079.0,85498.0,,2363.0,90734850.0,2572427.0,,,17010252.0,1185489.0,,1048011.0,17612000.0,,1269700.0,274769.0,1386685.0,815010.0,8866720.0,,0.0,87000.0,306300.0,,,
2015,,38917.3,16917972.0,7820.0,5800.0,,3300.0,,,,,,493000.0,10106197.0,255189.55,,,,,,,,,,,,6000.0,24300000.0,,,,2518000.0,,6352200.0,,,81845000.0,225600.0,,1823.38,19110.0,10378027.0,,,,,4730000.0,,,7800.0,,,,,,,1488.0,,,,,,,,,17061000.0,,1411800.0,260000.0,,,,,,121600.0,376200.0,,,
2016,,33454.8,22817566.0,70100.0,7860.0,44914816.0,1600.0,19573150.0,,2089131.0,,156918.0,1172300.0,,304156.22,,876525.0,10141985.0,220499420.0,12224799.0,,35827924.0,1173517.0,13825168.0,224355220.0,610636.0,6800.0,24448000.0,1380861.0,3591723.0,1521590.0,4754000.0,43112.0,6359200.0,54576760.0,,80755000.0,273100.0,,1365.31,,11810325.0,441557.0,505757.0,8035668.0,111136.0,3165000.0,,,4100.0,,,87.0,1334053.0,113892.0,,2757.0,98551960.0,3056136.0,,,18890576.0,1710703.0,,320811.0,21138000.0,,1595400.0,547473.0,967275.0,543690.0,9810987.0,,0.0,,300200.0,,,1167.23
2017,,49179.1,25837518.0,40600.0,11700.0,,1600.0,,,,,,1446800.0,,281692.94,,,,,,,,,,,,7300.0,19399000.0,,,,10363000.0,,6210300.0,,,78706000.0,410200.0,9891700.0,1818.22,,15851493.0,,,,,2933000.0,,,16700.0,,,,,,,2090.0,,,,,,,,,15127000.0,,1609300.0,,,,,,,98000.0,493800.0,,4483000.0,688.43
2018,,53558.2,21527516.0,13200.0,11850.0,48883068.0,3700.0,22658152.0,,193186.0,,122919.0,1682400.0,,608431.56,,1053325.0,15800434.0,225260600.0,11999177.0,,38075988.0,2192957.0,15715231.0,240207090.0,2286467.0,7800.0,18109000.0,1259569.0,6103907.0,1903058.0,8223000.0,51034.0,5904800.0,60829200.0,,75481000.0,478400.0,,,,12679097.0,387787.0,620285.0,7320296.0,310772.0,2010000.0,,,43400.0,,,35617.0,1974801.0,137862.0,178416.1,5009.0,101613170.0,5653304.0,150897.1,,16950306.0,1397749.0,,647151.0,36014000.0,22270000.0,1624000.0,550436.0,541876.0,669341.0,12383239.0,,0.0,96000.0,378800.0,,,
2019,,53358.8,20263324.0,20100.0,13390.0,,2900.0,,121370.8,,,,1976600.0,,860811.44,,,,,,,,,,,,6100.0,17618000.0,,,,5859000.0,,5692700.0,,,79712000.0,477100.0,,,,15743415.0,,,,,2394000.0,,,1900.0,,,,,,191365.0,9578.0,,,289290.0,,,,,,42001000.0,,1440000.0,,,,,,,97000.0,188700.0,,,
2020,,53840.0,42871492.0,17230.0,6890.0,52701740.0,3100.0,20727608.0,120707.0,1816301.0,,85977.0,1856980.0,,571453.44,,1114411.0,16496214.0,226035630.0,11033792.0,,32542572.0,1587266.0,13688823.0,212733090.0,5417214.0,5400.0,,1431694.0,4358941.0,5278255.0,7255000.0,38032.0,5590300.0,66084350.0,,,358800.0,,,,13715000.0,501850.0,558430.0,7570240.0,276703.0,3974000.0,,22030.0,6200.0,,,56121.0,3010732.0,171539.0,164368.2,16082.0,81866040.0,6203343.0,375155.7,673739.1,22051232.0,1780360.0,,1220334.0,31560000.0,,825000.0,729118.0,1150030.0,473118.0,14163489.0,,0.0,99000.0,,,,
2021,,61330.0,,8660.0,7100.0,,2100.0,,72762.4,,,,1756940.0,,783262.56,,,,,,,,,,,,5100.0,,,,,,,6850000.0,,,,498400.0,,,,11180000.0,,,,,2789000.0,,123475.4,7300.0,,,,,,168624.5,7102.0,,,221504.2,148644.0,,,,,56979000.0,,1013000.0,,,,,,,,,,,
2022,,,,,,55974036.0,,25941004.0,,1537668.0,,99310.0,,,,,842549.0,17169128.0,212545500.0,11033792.0,,36240180.0,2041130.0,10673529.0,247437250.0,9992997.0,,,1758465.0,10250666.0,2844851.0,,,,80635010.0,,,,,,,,401938.0,559218.0,7458062.0,311338.0,,,,,,,64463.0,2067957.0,232873.0,,,79228780.0,5512320.0,187080.7,,21483304.0,3860578.0,,743215.0,,,,630134.0,1303853.0,748561.0,13585261.0,,0.0,,,,,
