Date,AND,ARM,ATG,AUT,AZE,BEL,BFA,BGD,BGR,BIH,BLR,BRA,BWA,CHL,CHN,COL,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GIN,GLP,GRC,GRD,GTM,GUF,HRV,HUN,IND,IRL,IRN,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KNA,LIE,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MHL,MKD,MLT,MMR,MNE,MNG,MTQ,MUS,NLD,NOR,PER,POL,PRT,PSE,REU,ROU,RUS,SAU,SRB,SUR,SVK,SVN,SWE,TUN,TUR,TZA,UKR,URY,UZB,VEN,ZWE
2000,,3200.0,,,,,,,,,,1372000.0,5030.0,1484588.0,816080000.0,,,,,,14293000.0,5000000.0,,,,,,,,,,,1600000.0,,,,7917158.0,,,,,123730000.0,,,,,,,,,,41310.0,974074.0,1153500.0,,,,,104200.0,,,,5860.0,,,,,,,,,,,,,,,,7200000.0,,,,725000.0,,,
2001,,3300.0,,,145300.0,,,,,,,,4096.0,1506000.0,888400000.0,,,,,,21024000.0,,,,,,,,,,62233184.0,,1298710.0,,,,26479214.0,,,,50180.0,122883000.0,,,,,,,,,,41250.0,,1146600.0,,,,,112100.0,,,,4270.0,,,,,,,,,,,,,,,,7500000.0,,,,,,,
2002,,3600.0,,,240300.0,,,,,,,,5173.0,1516000.0,945090000.0,,,,,,23114000.0,,,,,,,,,,71742840.0,,1869000.0,,,,,,,,69590.0,122551000.0,,,,,,,,,,46310.0,,1468400.0,,,,,117900.0,,,,6430.0,,,,,,,,,,,,,,,,7820000.0,,,51408600.0,,,,
2003,,4200.0,,,429400.0,,,,,,,,4069.0,1595245.0,1004280000.0,,,,,,23757000.0,,,,,,,,,,65054604.0,,1690000.0,,,,5172413.0,,,,,135090000.0,,,,,,,,,,46020.0,,822200.0,,,,,119400.0,,,,4420.0,,,,,,401500.0,,,,,,,,,,7500000.0,,,49373000.0,,,,
2004,,5100.0,,15072970.0,573100.0,18177314.0,,,5610655.0,,,,5492.0,1746176.0,1200300000.0,,556908.0,8618191.0,30162764.0,1552640.0,23727000.0,,28377050.0,6288386.0,18612952.0,21433660.0,,,4554175.0,,89214620.0,,3695174.0,5071285.0,,5356309.0,291164500.0,61012.0,,39471516.0,,137422430.0,177441700.0,,,,,,2632070.0,722764.0,349319.0,51510.0,,1059700.0,,,,10206.0,146600.0,,,,3100.0,16078032.0,2956380.0,,61514384.0,10126210.0,735490.0,,11406245.0,252561000.0,,,,3878305.0,1960074.0,12633970.0,,16324633.0,45000.0,53953600.0,,,,
2005,,5800.0,,,741700.0,,,,,,,,4590.0,1797170.0,1344490000.0,,,,,,26350000.0,,,,,,,,,,79187990.0,,,,,,,,,,,141627900.0,426152800.0,,,,,,,,,55460.0,,1422300.0,,,,,145600.0,,,,2340.0,,,,,,0.0,,,309933000.0,,,,,,,,,45000.0,54800800.0,,,,
2006,,7700.0,150.0,11470174.0,486000.0,15307573.0,,,4316435.0,,,,,1823072.0,1515410000.0,,174399.0,5932365.0,31705196.0,1642642.0,25950000.0,,22427334.0,3981123.0,17976516.0,22972976.0,,,5284710.0,2600.0,92446900.0,,2432653.0,5528243.0,,4067355.0,,,,39997384.0,,137338110.0,66787796.0,,,,,16378200.0,2741360.0,604216.0,569624.0,55920.0,,1212000.0,,,,9860.0,142800.0,,,,10675.0,15690050.0,3605398.0,,61130524.0,10929056.0,657500.0,,9092700.0,284007000.0,,,,5527117.0,2385279.0,12750526.0,,0.0,45000.0,59916000.0,,,,
2007,,8700.0,260.0,,393400.0,,,,,,,,,2042017.0,1756320000.0,,,,,,26600000.0,9999600.0,,,,,,,,9000.0,,,,,,,,,,,,141612900.0,66083704.0,,,1990.0,,,,,,68790.0,,675300.0,45957.0,0.0,,,138000.0,,,,15234.0,,,,,,,,,243863000.0,,,,,,,,,45000.0,63247300.0,,,,
2008,320.0,11500.0,240.0,13076830.0,463200.0,10090329.0,,263963000.0,3447004.0,3563000.0,,,,1789795.0,1901270000.0,,137925.0,5292547.0,52304324.0,1454489.0,25010000.0,,19368660.0,3771574.0,16948362.0,21640260.0,2406.0,,5702706.0,8700.0,,,1726759.0,3788947.0,,4025624.0,,,,43085764.0,,124899000.0,70814600.0,,,4810.0,32728.0,,2757738.0,672899.0,501287.0,75260.0,1575000.0,777400.0,,,1362466.0,17231.0,,,,,13946.0,15817768.0,3689060.0,,56745690.0,3574121.0,384200.0,,11064034.0,280412000.0,,1683000.0,30440.0,4469017.0,1734777.0,11926805.0,,10735474.0,45000.0,49791100.0,,,,
2009,660.0,14600.0,180.0,,325400.0,,,,,3077568.0,,,,1816234.0,2039430000.0,,,,,,,,,,,,21644.0,,,4800.0,,,,,,,,,,,,113205000.0,64399300.0,,,1800.0,,,,,,87670.0,,419600.0,,,,,,,,,10596.0,,,,,,41300.0,,,252068000.0,,1332000.0,29460.0,,,,,,45000.0,39700700.0,,,,
2010,740.0,18800.0,280.0,2958490.0,414600.0,14327418.0,,,3306468.0,1325000.0,39228900.0,,,,2409440000.0,,131587.0,4202465.0,48981040.0,1552155.0,,,16479926.0,3715887.0,15211273.0,21587442.0,,,4940825.0,500.0,,,634415.0,3134037.0,,3259089.0,,88199.0,1319700.0,35927620.0,,115813000.0,110028000.0,,156143.08,1340.0,32123.0,,2647996.0,867410.0,374867.0,89440.0,,520900.0,,,1017008.0,9078.0,,,,,12521.0,14094074.0,2687220.0,,28617768.0,2742663.0,,,7696852.0,280126000.0,,1135000.0,26490.0,2668787.0,1514112.0,7822631.0,,,64500.0,50011700.0,,,6630.0,
2011,730.0,12700.0,210.0,,529300.0,,,,,,35509900.0,,,,3262040000.0,,,,,,,,,,,,,,,700.0,,,493207.0,,,,,,,,,108310000.0,115000000.0,,,710.0,,,,,,97790.0,,542600.0,,,,,,60270.0,,,12097.0,,,,,,131340.0,,,280240000.0,,1127000.0,24210.0,,,,,,64500.0,51731200.0,,,6850.0,
2012,580.0,13430.0,130.0,3636406.0,868600.0,12956261.0,,,3008673.0,1213475.0,30775000.0,,,,3325090000.0,10951883.0,98033.0,4376398.0,56595630.0,1376849.0,,,14594016.0,4120946.0,14531463.0,21404504.0,,,4183313.0,701.5,,,422654.0,2990939.0,,3988608.0,,93097.0,1437900.0,26881600.0,,109025000.0,46000000.0,,121595.29,620.0,12459.0,,2551321.0,509431.0,395958.0,107300.0,,536300.0,,,1303809.0,24702.0,,20662.0,,,8283.0,14111372.0,2639157.0,,31134972.0,2596907.0,,,6056617.0,291043000.0,,760000.0,23730.0,2516482.0,1344999.0,6157952.0,,,71036.0,51743300.0,,,6990.0,
2013,591.1,17550.0,190.0,,482300.0,,,,,,26977200.0,,,,3308590000.0,10740146.0,,,,,,,,,,,,,,600.0,,,,,,,,,,,,109470000.0,49403000.0,,99297.01,790.0,,,,,,107050.0,1512619.0,639100.0,,,,,,,,,7377.0,,,,,,,,,253682000.0,,821000.0,21510.0,,,,,,71800.0,42469900.0,,1685492.4,6750.0,
2014,576.4,17320.0,350.0,5395577.0,394400.0,14327120.0,27000.0,,3274860.0,1305000.0,38836200.0,,,2965942.5,3292540000.0,11999233.0,613080.0,4394322.0,61083250.0,1083548.0,,,14813850.0,4406853.0,10292934.0,21796888.0,,7000.0,4894471.0,600.0,,0.0,484906.0,2699460.0,,3468052.0,,200664.0,1478300.0,26519662.0,113900.0,112404000.0,44918200.0,,48135.58,790.0,12306.0,,2608734.0,285694.0,244721.0,122910.0,,706200.0,,,1485156.0,24523.0,,30910.0,,10000.0,5399.0,13452298.0,1683245.0,,31431202.0,2523889.0,,3000.0,6744590.0,243129000.0,,869000.0,23429.5,2613258.0,1314785.0,5725885.0,,14342364.0,72530.0,34796700.0,,1778802.9,6590.0,
