Date,AND,ARM,AUT,AZE,BEL,BGD,BGR,BIH,BLR,CHL,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GLP,GRC,GTM,GUF,HRV,HUN,IRL,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,LIE,LSO,LTU,LUX,LVA,MCO,MDA,MHL,MKD,MLT,MMR,MNE,MNG,MTQ,NLD,NOR,OMN,PER,POL,PRT,REU,ROU,RUS,SRB,SVK,SVN,SWE,TUR,TZA,UKR,UZB,ZAF,ZWE
2000,,1527800.0,,,,,,,,510000.0,,,,,,,,,,,,,,167000.0,,,,,,,16751000.0,,,,,,,,,0.0,217300.0,,,,1413390.6,,,,,,,,,,,,,,,,,,,,,,
2001,0.0,3648600.0,,13800.0,,,,,,525458.0,,,,,,,,,,,,20938.3,,77278.0,,,,,,1569800.0,13772000.0,,,,,,,,,0.0,228700.0,,,,1442510.0,,,,,,,,,,,,,,,,,,,,,,
2002,0.0,3278600.0,,27900.0,,,,,,507930.0,,,,,,,,,,,,24877.05,,205148.0,,,,,,1304200.0,12409000.0,,,,,,,,,0.0,412800.0,,,,1716521.0,,,,,,,,,,,,,,,,,,,130080000.0,,,
2003,0.0,16083600.0,,39200.0,,,,,,543383.0,,,,,,,,,,,,27247.17,,129000.0,,,,,,,13945000.0,,,,,,,,,0.0,876100.0,,,,1997332.0,,,,,,,,,,,,,,,,,,,130058200.0,,,
2004,0.0,17621200.0,621924.0,52700.0,384179.0,,171193250.0,,,599838.0,119472.0,707898.0,55879700.0,2067.0,21779548.0,5305587.0,23819060.0,165780.0,,,1902330.0,26434.4,,347370.0,1640251.0,4049344.0,1100.0,,761406.0,,13393021.0,492980800.0,,,,,3595.0,45947.0,80.0,0.0,935600.0,,,168.0,1772564.9,,,,294882.0,116222.0,,,38297930.0,4761297.0,,326606140.0,2186660000.0,,210680.0,128702.0,58599640.0,,,146164000.0,,,
2005,0.0,11197700.0,,22400.0,,,,,,589490.0,,,,,,,,,,,,20695.73,,,,,,,,,14038900.0,1183966700.0,,,,,,,,0.0,435900.0,,,,1524252.0,,,,,,,,,,,,2506223000.0,,,,,,,161817600.0,,,
2006,0.0,12381200.0,1042516.0,15800.0,159059.0,,145731170.0,,,594144.0,27882.0,471508.0,47222200.0,2061.0,26014628.0,5960972.0,21500896.0,1040400.0,,,14887758.0,19466.03,,344503.0,26504.0,4765557.0,,,1005261.0,,13947189.0,185554700.0,,,,,5514.0,56487.0,0.0,0.0,454500.0,,,0.0,424129.0,,,,216408.0,125146.0,,,38671256.0,3563416.0,,199126800.0,2923490000.0,,331864.0,376930.0,62084292.0,,,206765900.0,,,
2007,0.0,13308100.0,,33300.0,,,,,,617103.0,,,,,,,,,,,,,,,,,,,,,12509200.0,183598200.0,,,,,,,,0.0,426800.0,0.0,,,373291.0,,,,,,,,,,,,2785159000.0,,,,,,,274367400.0,,,
2008,0.0,11432300.0,677937.0,32600.0,503487.0,,149112030.0,87148.0,,590285.0,504686.0,166949.0,28287600.0,2430.0,25716298.0,7197790.0,31796384.0,1195220.0,,,38151604.0,,,34225.0,272490.0,2061293.0,,,1262823.0,,12865634.0,368301500.0,,,11427.0,,3367.0,9738.0,2585.0,0.0,485800.0,,,0.0,,,,,269042.0,113389.0,,,33665850.0,182657.0,,140677020.0,3402381000.0,15010000.0,150860.0,54519.0,58701930.0,0.0,,211781900.0,,,
2009,0.0,14730900.0,,153500.0,,,,83617.0,,630810.0,,,,,,,,,,,,,,,,,,,,,13865161.0,151003000.0,,,,,,,,0.0,1239700.0,,,,,,,,,,,,,,,,3066473000.0,21109000.0,,,,,,191071090.0,,,
