Date,AIA,AND,ARM,ATG,AUT,AZE,BEL,BGD,BHS,BLR,BWA,CHL,CPV,CRI,CZE,DEU,DNK,DZA,EGY,ESP,EST,FIN,FRA,GBR,GHA,GLP,GRC,GRD,GTM,GUF,GUY,HKG,HRV,HUN,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KNA,KWT,LSO,LTU,LUX,LVA,MAC,MCO,MDA,MDV,MKD,MNG,MTQ,MUS,NLD,NOR,PER,POL,PRT,PSE,REU,RUS,SRB,SUR,SVK,SVN,SWE,TUR,TZA,UKR,URY,VEN,ZWE
2000,,2700.0,1800.0,,,,,,,,3215.65,4520300.0,,,,,,,,,,,,,331339.62,,,,,,,2815000.0,1026150.0,,,,,99110.0,,,,,,,,,,,,,48450.0,24980.0,515500.0,,,,,1870.0,,,,,,,434000.0,,,,,,,,,1025699.94,88000.0,,
2001,1265.19,,3900.0,,,100.0,,,,,4258.33,4514700.0,,,,,,,,,,,,,345957.22,,,,40709.52,,29851.0,2981000.0,948819.0,,,,,100000.0,,,,,,,,,,,,,51940.0,25950.0,336900.0,,,,,5830.0,,,,,,,,,,,,,,,,1658600.0,,,
2002,975.15,,6100.0,,,100.0,,,,,4376.4,4647100.0,,,,,,,,,,,,,361122.62,,,,40123.93,,31300.0,3213000.0,194752.0,,,,,99694.0,,,,,,,,,,,,,48880.0,21450.0,539000.0,69585.0,,,,7410.0,,,,,,,,,,,,,,,,11987700.0,,,
2003,761.62,,10000.0,,,100.0,,,,,4520.42,4802300.0,3976.0,,,,,,,,,,,,370872.94,,,,39296.71,,29740.0,3701000.0,1770000.0,,,,,102200.0,,7619.0,,,,,,,,,,,47070.0,16450.0,621900.0,31110.0,,,,6560.0,,,,,,42040.0,,,,,,,,,,4216800.0,,,
2004,575.79,,24700.0,,6437367.0,100.0,14181515.0,,44076.0,,4641.39,4964100.0,,,3916595.0,54725336.0,3369747.0,,,38606110.0,2266429.0,2473939.0,49847220.0,82773430.0,387029.84,,5760019.0,,38673.75,,28199.0,3730000.0,2083000.0,7402941.0,2886058.0,,186837.0,110865.0,35017156.0,,,,1678800.0,,,,,,411475.0,642398.0,48130.0,14530.0,927200.0,33715.0,,,,6390.0,14785317.0,2799963.0,,9423558.0,8843238.0,180000.0,,56459000.0,,,2409821.0,1097084.0,5810940.0,29286212.0,6500.0,4009500.0,,,
2005,1051.12,,24500.0,15200.0,,3800.0,,,67872.0,,736.0,5113700.0,,,,,,,,,,,,,454262.44,,,,38361.38,,32038.0,4162000.0,,,,,,99702.0,,,,,4032000.0,,,,,901159.0,,,59380.0,13910.0,960200.0,32495.0,2206273.0,,,12460.0,,,,,,0.0,,116840000.0,,,,,,,6500.0,3674700.0,,,
2006,1422.49,,21700.0,13150.0,7679177.0,337200.0,14708098.0,,36109.0,,,5310900.0,,,4984410.0,50168990.0,3622002.0,,,39908370.0,2176143.0,3510297.0,50990720.0,84392024.0,473817.03,,5653612.0,11900.0,37860.17,,25320.0,4403000.0,2151000.0,5771342.0,3305775.0,,,98022.0,38484520.0,,,,631900.0,,,,727863000.0,,437968.0,1094272.0,61090.0,9840.0,598300.0,143409.0,,,,3752.0,15243319.0,3913160.0,,11527921.0,15019988.0,261940.0,,203056000.0,,,5053645.0,1517982.0,6513381.0,,6900.0,4162900.0,,,
2007,2069.03,,16800.0,13200.0,,316200.0,,,,,,5492900.0,,,,,,,14275630.0,,,,,,516555.3,,,7600.0,,,27964.0,4406000.0,,,,,,105966.0,,,,,625200.0,,12040.0,,,947527.0,,,44640.0,12480.0,604400.0,146307.0,,,,9171.0,,,,,,,,709964000.0,,,,,,,7400.0,4851600.0,,,
2008,3852.11,8030.0,9600.0,12400.0,7611775.0,284100.0,9482802.0,,,,,5608000.0,,,4593737.0,45923860.0,4371440.0,,,37665336.0,1457700.0,3302183.0,53568270.0,85446660.0,561256.1,,5750596.0,6900.0,,,,4728000.0,2127000.0,4988502.0,3154735.0,,,109334.0,39119000.0,,,,733900.0,,12360.0,605287.0,,,460511.0,791007.0,44740.0,11437.0,911100.0,139860.0,,,,2750.0,15320355.0,4084399.0,,13124660.0,9115378.0,4380.0,,42353000.0,,5280.0,2818144.0,1261390.0,6554034.0,28503970.0,7800.0,4325800.0,,,
2009,,9380.0,17600.0,9600.0,,196500.0,,,,,,5779500.0,,,,,,,,,,,,,600098.06,,,6400.0,,,,4711000.0,,,,,,,,,,,650700.0,,13280.0,399300.0,,843871.0,,,77980.0,11740.0,716300.0,146601.0,,,,7473.0,,,,,,48220.0,,18958000.0,,4530.0,,,,,7500.0,4863400.0,,,
