Date,ALB,BGR,BRA,CAN,CHE,CHL,CHN,CMR,COL,CRI,CYP,DOM,DZA,ECU,EGY,ESP,FJI,FRA,GLP,GRC,GRL,GTM,HND,HRV,HTI,IDN,IND,IRN,ISR,ITA,JAM,JPN,KOR,MAR,MEX,MMR,MNE,MTQ,NCL,NIC,NOR,NPL,NZL,OWID_WRL,PAK,PAN,PER,PHL,PNG,PRT,RUS,SLB,SLV,SYR,TON,TUR,TWN,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM
-426,,,,,,,,,,,,,,,,,,,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,,,,,,
744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.0,,,,,,,,,,,,1520.0,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,
887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,,,,,,,,,,,,1001.0,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000.0,,,,,,,,,,70000.0,,,,,,,,,,,,
1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,,,,,,,,,,,,,,16000.0,,,,,,,,,,,,,,,,,,,,,,
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,,,,,,,,,,30000.0,,,,,,,,,,,,
1303,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,
1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,,,,
