Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,7.972,16.816,10.304,1.629,5.44,1.774,9.586,3.42,0.9,3.147,6.984,1.637,2.467,2.2,11.1,1.047,12.17,17.55,0.6,9.647,2.935,6.887,22.41,4.7,1.381,13.82,5.697,10.316,1.818,5.23,2.37,6.595,8.986,3.272,19.911,10.12,4.795,13.527,5.37,8.306,3.0,2.27,5.316,26.118,9.099,6.863,20.6,4.371,9.38,5.129,15.929,1.468,3.284,6.503,4.618,9.134,17.224,8.55,2.7,3.489,4.56,9.778,3.009,6.677,7.572,2.197,3.509,12.092,1.8,4.58,11.14,7.329,8.5,2.617,7.641,15.771,11.1,8.639,2.548,13.387,10.097,6.233,21.439,2.059,0.9,2.78,1.0,0.768,2.407,0.884,2.497,8.594,2.735,18.601,16.521,14.661,15.495,1.1,1.482,2.7,3.01,13.502,1.9,6.169,0.788,3.145,24.5,1.399,6.335,0.828,30.118,5.665,2.838,9.971,9.493,4.9,3.7,19.14,18.124,1.588,3.831,7.909,7.285,5.407,10.465,10.614,4.056,5.679,5.1193957,0.596,6.443,4.926,3.727,2.793,13.621,16.18,2.845,3.919,5.1,10.666,11.591,0.87,8.23,5.11,12.335,7.316,15.619,2.861,2.18,1.967,4.135,7.53,19.003,13.371,12.334,14.493,17.189,12.1,7.08,3.243,20.521,6.75,0.668,4.057,2.63,1.823,1.4,3.453,1.348,18.52,15.935,8.21,3.6,3.448,1.9,8.95,6.8,1.9,19.77,9.45,10.917,2.14,7.976,2.1,8.428,23.137,18.9,4.793
1992,7.958,16.959,30.007,1.715,6.36,1.8,10.733,3.59,1.8,3.131,6.702,1.51,2.505,2.233,15.3,0.968,14.81,18.477,3.1,9.654,3.03,7.086,22.94,4.791,1.391,16.33,5.825,11.197,2.344,4.35,2.37,6.7,9.055,3.372,19.916,9.44,4.528,13.428,3.93,8.779,2.09,2.6,6.323,26.457,9.027,6.669,24.38,4.333,8.92,5.297,17.697,3.681,3.416,11.595,4.64,10.203,17.716,9.772,5.4,4.7,4.58,9.888,3.083,6.878,8.927,2.163,3.837,11.9,1.96,3.06,10.974,7.387,9.942,2.734,7.649,15.021,10.653,8.346,4.305,14.08,9.321,6.383,19.947,2.158,1.0,2.894,1.1,0.748,2.513,0.878,2.71,8.225,2.724,18.828,16.549,14.22,15.448,1.2,2.029,6.6,2.196,13.781,3.7,6.275,0.789,3.235,26.3,1.483,6.333,0.796,30.181,5.857,3.028,10.052,9.428,5.064,3.71,18.896,18.61,1.569,3.79,7.809,5.555,5.91,10.473,10.667,4.16,6.121,5.27549,0.587,6.317,5.068,3.849,2.608,13.645,16.93,2.875,3.985,4.98,10.692,11.724,0.87,8.26,5.181,12.114,7.2,15.668,2.928,3.09,1.851,4.376,7.88,19.377,13.397,12.374,14.65,17.28,12.185,7.83,5.722,20.947,6.949,0.658,4.209,1.35,1.85,1.5,3.36,1.349,19.66,15.598,8.509,3.683,3.553,1.9,8.96,7.5,2.9,19.558,7.69,11.088,2.109,7.945,2.439,8.351,23.463,19.568,4.933
1993,7.908,17.44,25.251,1.901,10.1,5.3,10.879,4.25,4.5,3.094,8.078,1.494,2.426,2.31,16.4,0.882,12.72,19.408,8.5,9.78,3.05,6.03,24.54,4.903,1.418,18.761,5.897,11.377,3.551,4.49,2.69,5.869,9.154,3.45,19.99,7.8,4.571,13.276,3.95,9.27,2.7,4.349,7.675,27.253,10.719,6.322,26.23,4.403,10.92,5.387,22.156,6.544,3.252,16.201,4.694,11.32,17.78,10.346,5.4,5.231,4.561,9.917,3.143,7.024,10.177,2.133,5.527,11.617,1.96,3.098,10.779,7.534,12.098,2.782,7.662,15.571,10.573,8.36,5.257,12.741,10.212,6.235,19.7,2.539,1.11,2.979,1.258,0.733,2.878,0.8,2.732,8.226,2.706,19.006,16.8,13.82,15.568,13.8,2.33,16.7,2.057,14.026,3.7,6.317,0.796,3.365,27.7,1.419,6.332,0.779,30.238,5.859,2.896,9.85,9.5,4.988,4.11,19.078,18.762,1.541,4.023,7.833,6.287,5.965,10.492,9.804,4.009,7.082,5.5435996,0.596,6.374,4.795,3.869,2.382,14.393,16.91,2.98,5.301,5.06,10.705,11.778,0.87,8.251,5.883,12.155,7.002,15.51,2.878,3.07,1.829,4.401,9.94,19.331,13.416,12.233,14.46,15.64,12.2,8.51,9.33,21.76,7.4,0.7,4.507,1.49,2.65,1.5,3.273,1.3,19.81,15.948,8.962,3.892,3.487,2.0,8.35,6.9,4.9,19.681,6.6,11.187,2.037,8.262,2.689,8.343,23.361,19.7,4.993
1994,7.883,17.444,20.835,1.834,11.76,6.6,9.724,3.535,6.3,3.106,9.645,1.453,2.58,2.37,12.8,1.007,13.83,20.17,12.8,11.1,3.08,6.579,22.98,5.007,1.405,21.2,5.924,10.395,3.58,5.87,2.9,5.046,8.878,3.403,20.269,8.25,4.566,12.936,4.05,8.806,2.7,4.284,8.727,27.118,8.036,6.285,27.74,4.409,10.93,5.446,24.209,7.561,3.1,16.426,4.598,12.593,17.804,9.648,8.4,5.9,4.527,10.044,3.173,7.123,9.808,2.12,7.6,11.534,1.9,3.138,10.364,7.858,10.847,4.366,7.593,14.544,10.458,8.221,5.326,9.934,11.086,6.335,16.894,2.89,7.54,2.955,1.41,0.996,2.476,0.7,2.634,8.321,2.652,19.328,17.0,13.03,15.62,13.8,3.479,18.7,2.48,13.858,5.8,6.106,0.793,4.436,30.0,1.512,6.331,0.739,30.226,5.709,2.879,9.979,9.513,5.368,3.64,19.4,18.878,1.502,4.064,7.668,7.159,5.349,10.458,8.354,4.073,7.235,5.7891817,0.601,6.428,4.491,3.767,2.418,14.825,14.6,3.092,6.709,4.41,10.778,11.98,0.87,8.17,8.131,12.236,6.733,15.617,2.947,3.03,1.804,4.457,7.68,19.971,13.405,12.326,14.41,12.7,13.654,8.24,9.58,21.726,7.5,0.709,4.201,1.347,3.15,4.7,3.309,1.688,18.44,16.006,8.577,3.861,3.458,2.0,9.04,6.119,7.3,19.974,8.56,10.959,1.972,8.083,2.999,8.34,23.067,18.689,4.96
1995,7.868,16.978,14.607,1.8,18.8,6.7,8.473,4.345,7.2,3.095,9.337,1.305,2.532,2.441,11.1,1.044,10.83,20.944,17.7,12.48,2.664,7.092,19.66,5.066,1.4,21.394,5.871,9.489,3.094,4.7,3.0,4.1,8.598,3.285,20.226,8.72,4.675,12.883,5.18,8.27,2.6,4.082,8.158,27.303,6.992,6.439,31.84,4.408,11.04,5.349,22.675,9.659,3.005,17.005,4.651,11.834,17.388,8.694,7.6,6.484,4.494,10.153,3.126,7.16,10.116,2.117,7.9,11.566,3.22,3.24,10.007,7.51,10.168,4.611,7.57,11.97,9.904,8.431,5.196,8.782,11.661,6.325,14.6,3.15,10.98,2.848,1.539,0.973,2.063,0.694,2.6,8.421,2.588,19.331,15.83,12.27,15.797,17.54,2.918,19.0,3.581,14.054,5.3,6.092,0.79,7.095,35.6,1.464,6.33,0.754,30.196,5.5,2.758,9.766,9.59,4.895,3.15,21.34,18.629,1.494,4.152,7.414,7.157,6.307,10.473,6.461,4.167,6.974,5.919427,0.611,6.512,4.708,3.68,2.603,13.695,13.93,3.114,7.064,3.4,10.714,11.941,0.87,8.01,9.449,11.938,6.365,15.627,2.846,3.3,1.841,4.317,7.65,19.585,13.4,12.334,14.342,8.39,13.109,7.15,8.897,21.65,7.2,0.755,3.99,1.1,3.45,8.3,3.348,1.987,17.22,16.348,7.644,3.672,3.193,5.62,10.02,5.65,7.8,20.005,10.24,10.611,1.955,8.134,3.244,8.988,22.705,16.834,5.566
1996,7.878,16.177,13.928,1.836,17.11,9.3,8.509,5.282,8.1,3.095,9.483,1.246,2.446,2.51,12.5,1.177,11.46,21.682,24.4,13.82,2.375,8.035,14.71,5.153,1.392,21.593,5.84,9.62,3.684,7.414,3.12,4.039,8.06,3.156,20.049,11.81,4.774,12.844,6.16,7.61,3.1,3.852,8.822,27.172,6.844,6.485,28.268,4.422,9.0,5.31,22.142,9.915,3.121,15.572,4.623,12.367,17.325,8.189,11.5,7.091,4.509,10.192,2.994,7.215,10.402,2.156,8.283,11.542,2.83,4.37,9.68,7.304,10.022,4.861,7.537,11.692,9.1,8.516,3.6,8.455,11.864,6.611,13.7,3.383,12.96,2.773,1.647,0.963,2.048,0.7,2.45,8.413,2.397,19.212,16.33,11.35,15.709,16.4,3.286,20.7,4.261,13.362,7.9,6.092,1.019,5.465,38.8,1.421,6.329,0.753,30.173,5.53,2.763,9.764,9.503,4.94,2.52,22.844,18.64,1.498,4.043,7.12,6.421,5.036,10.446,6.29,4.254,6.897,5.9837008,0.6,6.728,4.929,3.607,2.728,12.684,13.64,3.153,7.298,8.15,10.726,11.92,0.87,6.74,9.665,11.507,5.804,15.605,2.831,3.57,1.875,4.313,7.68,19.463,13.2,12.314,14.33,10.88,11.341,6.879,9.547,22.074,7.221,0.7,3.606,1.071,4.05,10.3,3.372,2.404,16.25,16.061,6.629,3.475,3.169,7.65,11.93,5.451,10.7,20.343,11.77,10.647,1.93,8.091,3.515,9.585,22.5,15.3,6.151
1997,7.863,16.064,16.872,1.906,14.82,10.8,8.367,5.15,9.1,3.124,8.95,1.1,2.412,2.698,13.7,1.125,9.76,22.586,17.1,12.68,2.08,9.003,14.61,5.204,1.393,21.031,5.797,9.1,4.127,7.136,3.23,3.964,7.859,3.171,19.886,12.14,4.561,13.01,5.68,7.1,3.4,4.674,9.861,27.176,5.4,6.323,25.43,4.424,8.37,5.4,20.698,10.369,3.227,14.967,4.725,12.566,17.166,7.072,11.5,7.639,4.477,9.999,2.951,7.263,10.472,2.145,9.67,11.565,2.22,3.32,9.71,7.003,8.991,4.684,7.574,10.191,9.68,8.269,3.72,9.751,11.985,6.693,13.74,3.374,13.01,2.818,1.739,0.638,2.608,0.7,2.354,8.62,2.195,19.151,20.47,10.6,15.822,14.13,2.527,14.9,3.225,14.025,7.9,5.971,1.25,4.235,36.0,1.411,6.328,0.764,30.219,5.608,2.7,9.788,9.381,4.69,2.45,24.45,18.382,1.503,3.964,7.1,5.511,4.687,10.512,6.857,4.196,6.685,6.010137,0.611,6.588,4.762,3.592,2.854,10.964,13.8,3.253,6.571,5.36,10.522,11.866,0.87,5.515,11.813,11.087,5.283,15.324,2.759,2.5,2.009,4.363,7.98,18.899,13.8,12.068,14.414,10.56,11.894,6.648,10.359,22.5,7.31,0.732,3.618,0.873,4.15,11.0,3.406,2.877,15.01,15.94,6.841,3.342,3.209,8.93,11.44,5.0,10.9,20.133,11.16,10.547,2.87,8.221,3.78,10.223,22.549,13.273,6.93
1998,7.869,16.29,20.042,2.068,12.65,9.4,7.684,5.483,10.0,3.156,9.322,1.048,2.44,2.893,12.2,1.114,7.65,23.494,14.0,14.31,2.121,10.15,12.4,5.356,1.4,20.86,5.773,8.278,3.568,7.307,3.24,4.1,7.695,3.195,19.898,15.0,4.614,13.055,5.33,6.23,3.3,6.455,9.787,27.027,5.039,6.304,26.85,4.389,8.03,5.501,18.673,9.51,3.481,13.214,4.746,12.074,17.152,6.198,14.53,8.2,4.501,9.898,3.349,7.332,12.227,2.145,7.74,11.687,4.58,4.02,11.392,7.165,8.925,5.459,7.596,7.699,10.358,8.064,3.069,10.749,12.117,6.846,13.841,4.078,13.13,2.843,1.861,0.712,6.963,0.7,2.293,8.571,2.061,19.192,21.6,9.17,15.913,13.711,2.763,14.454,4.607,13.359,10.0,5.901,1.489,3.733,34.5,1.342,6.326,0.772,30.21,5.752,2.64,9.975,9.253,4.921,3.2,23.083,18.519,1.381,3.922,7.203,4.394,3.737,10.526,7.718,4.346,6.278,6.1590657,0.62,6.397,5.099,3.697,2.86,9.935,13.46,3.461,4.64,4.417,10.451,11.791,0.87,5.63,13.261,11.255,4.752,15.352,2.751,3.41,2.155,4.242,7.1,18.825,13.7,12.095,14.398,10.63,12.421,7.39,8.941,23.214,7.376,0.725,3.78,3.404,4.65,12.2,3.5,3.348,14.21,15.473,6.888,3.283,3.424,11.32,9.362,4.511,13.3,20.521,11.15,10.446,2.29,8.223,4.127,10.828,22.739,12.0,6.381
1999,7.877,16.543,20.835,2.195,14.05,11.2,6.876,4.699,10.9,3.133,8.649,0.949,2.552,3.088,14.1,1.112,7.45,24.441,12.8,12.84,2.299,11.125,10.61,5.415,1.4,18.224,5.767,7.583,3.053,11.158,3.25,4.421,7.595,3.23,20.141,20.06,4.544,13.071,5.9,6.26,5.532,8.702,8.854,26.742,5.141,6.312,28.575,4.656,7.95,5.604,15.475,11.573,3.714,11.693,4.698,11.981,17.599,6.042,13.8,10.1,4.517,9.737,3.269,7.417,12.138,2.113,13.95,11.771,6.25,3.85,13.559,7.2,6.929,6.358,7.583,5.804,11.176,7.979,2.178,11.183,11.681,6.813,13.763,4.677,13.46,2.884,2.001,0.727,6.342,0.7,2.154,8.787,2.006,19.233,18.09,8.88,16.167,13.388,2.39,13.79,6.34,13.94,11.14,5.822,1.726,2.598,32.4,1.358,6.325,0.75,30.471,5.844,2.663,10.033,9.278,5.002,3.43,21.668,18.205,1.385,3.986,7.18,3.622,3.247,10.549,7.023,4.433,5.91,6.278349,0.625,6.168,5.011,3.751,2.939,12.29,11.81,3.67,4.579,5.343,10.382,11.701,0.87,6.239,13.036,11.569,4.346,15.399,2.655,4.85,2.194,4.288,7.3,18.847,13.7,12.138,14.352,13.6,16.099,7.324,7.607,23.868,7.6,0.753,3.889,2.968,4.45,12.7,3.633,3.69,13.12,15.21,7.687,3.219,3.46,11.864,10.466,4.219,13.3,20.542,14.53,10.172,2.33,8.29,4.489,11.46,22.884,12.498,6.0
2000,7.897,16.646,19.023,2.25,15.0,11.107,6.288,4.687,11.78,3.137,6.586,0.864,2.687,3.27,16.218,1.081,7.118,25.446,12.193,10.841,2.439,10.889,9.35,5.53,1.655,15.88,5.722,6.829,2.658,10.491,3.26,4.835,7.533,3.245,19.872,20.52,4.4,13.024,5.08,5.45,4.766,8.764,7.917,26.664,4.476,6.432,29.77,4.8,8.98,5.656,13.785,13.36,3.499,11.134,4.697,10.218,17.848,5.558,10.82,10.456,4.586,9.722,3.358,7.444,11.345,2.143,15.32,11.917,4.92,3.883,16.064,8.443,6.563,6.077,7.589,4.318,11.698,8.038,1.936,11.102,10.834,6.752,13.7,4.748,12.75,2.884,2.143,0.745,4.063,0.8,2.045,8.641,2.018,19.275,16.49,7.74,16.169,15.931,2.345,14.211,6.874,13.58,8.539,5.8,1.97,2.646,32.2,1.412,6.324,0.712,30.447,5.992,2.832,10.03,9.125,5.045,3.0,20.3,17.907,1.427,3.953,7.181,2.725,3.458,10.531,6.13,4.433,5.351,6.111266,0.614,6.188,4.959,3.77,2.92,14.928,10.08,3.653,3.806,7.61,10.625,11.583,0.87,6.969,10.581,11.699,4.57,15.595,2.638,3.7,2.446,4.137,6.96,18.678,12.6,12.309,14.4,12.873,18.546,6.918,5.466,24.547,9.587,0.796,4.162,2.389,4.15,11.73,3.529,3.966,12.1,14.94,6.495,3.129,3.531,11.707,12.627,3.992,12.301,20.8,13.99,9.834,2.26,8.266,4.733,11.557,22.788,12.93,5.685
