Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1970,26.25,30.625,59.375,17.5,30.625,55.625,51.875,54.375,41.25,55.625,45.0,41.25,28.125,48.125,35.0,65.0,20.625,50.0,58.125,55.625,51.25,36.875,31.25,60.0,38.75,55.0,20.0,42.5,63.75,43.75,33.75,56.875,45.625,45.625,23.125,40.0,51.25,35.625,36.875,55.0,60.0,64.375,62.5,43.75,45.625,71.25,37.5,30.0,34.375,29.375,50.625,33.75,55.625,50.625,65.625,51.25,53.75,58.75,43.125,51.875,55.625,46.25,41.25,44.375,28.125,31.875,43.75,45.625,49.375,60.625,59.375,48.75,58.125,37.5,66.875,20.625,49.375,55.0,29.375,26.875,66.25,57.5,48.75,48.75,20.625,62.5,55.625,46.25,55.625,51.875,46.25,58.125,38.125,23.125,34.375,44.375,43.75,36.25,43.75,54.375,28.75,55.625,40.0,53.125,38.125,55.625,37.5,44.375,55.0,53.75,61.875,41.25,35.0,53.75,58.125,61.875,33.75,39.375,43.75,42.5,41.875,33.75,36.25,49.375,58.75,65.625,63.75,39.375,60.625,26.25,67.5,45.70395,38.125,47.5,50.0,34.375,53.75,48.125,62.5,58.75,39.375,45.0,23.125,29.375,65.0,55.625,44.375,23.75,17.5,35.0,51.875,48.125,31.875,52.5,57.5,32.5,67.5,35.0,18.75,28.125,58.75,64.375,71.25,26.875,51.25,26.875,39.375,25.625,51.875,55.625,31.875,50.0,43.125,43.75,45.625,58.75,46.875,55.625,60.0,66.875,53.125,55.0,49.375,53.75,41.25,43.125,23.75,25.625,46.875,36.875
1971,26.25,30.625,59.375,17.5,30.625,55.0,51.875,54.375,41.25,55.0,45.0,41.25,28.125,48.125,35.0,65.0,20.625,50.0,58.125,55.0,51.25,36.875,31.25,60.0,38.75,55.0,22.5,42.5,63.75,43.75,33.75,56.875,45.625,45.625,23.125,40.0,51.25,35.625,36.875,55.0,60.0,64.375,62.5,43.75,45.625,71.25,37.5,30.0,51.875,29.375,50.625,33.75,55.0,50.625,65.625,51.25,56.25,58.75,43.125,51.875,55.0,46.25,41.25,44.375,28.125,31.875,43.75,45.625,49.375,60.625,59.375,48.75,58.125,37.5,66.875,20.625,49.375,55.0,29.375,26.875,66.25,57.5,51.25,48.75,20.625,62.5,55.0,46.25,55.0,51.875,46.25,58.125,38.125,23.125,36.875,44.375,43.75,36.25,50.0,54.375,28.75,55.625,40.0,55.625,38.125,55.0,37.5,44.375,55.0,53.75,61.875,41.25,35.0,53.75,58.125,61.875,33.75,39.375,43.75,42.5,41.875,33.75,36.25,49.375,58.75,65.625,63.75,39.375,60.625,26.25,67.5,45.92105,38.125,47.5,50.0,34.375,53.75,48.125,62.5,58.75,39.375,45.0,23.125,29.375,65.0,52.5,44.375,23.75,17.5,35.0,51.875,48.125,31.875,52.5,57.5,32.5,67.5,35.0,18.75,28.125,58.75,64.375,71.25,26.875,60.0,26.875,39.375,25.625,51.875,58.125,31.875,50.0,43.125,43.75,45.625,58.75,46.875,55.0,60.0,66.875,55.625,55.0,49.375,53.75,41.25,43.125,23.75,25.625,46.875,36.875
1972,26.25,30.625,59.375,17.5,30.625,55.0,51.875,54.375,41.25,58.125,47.5,43.75,28.125,48.125,35.0,65.0,20.625,56.25,58.125,55.0,51.25,36.875,31.25,60.0,38.75,55.0,22.5,42.5,68.75,43.75,33.75,56.875,45.625,45.625,23.125,40.0,51.25,35.625,36.875,55.0,60.0,64.375,62.5,43.75,45.625,71.25,37.5,30.0,51.875,29.375,50.625,33.75,55.0,50.625,65.625,51.25,56.25,58.75,43.125,51.875,58.125,49.375,41.25,44.375,28.125,31.875,43.75,45.625,49.375,60.625,59.375,51.875,58.125,37.5,66.875,20.625,49.375,55.0,29.375,26.875,66.25,57.5,53.75,48.75,20.625,62.5,55.0,49.375,55.0,51.875,46.25,58.125,38.125,23.125,36.875,44.375,43.75,36.25,50.0,54.375,28.75,58.125,40.0,55.0,38.125,55.0,37.5,44.375,55.0,53.75,61.875,41.25,35.0,53.75,58.125,61.875,33.75,39.375,43.75,42.5,41.875,33.75,36.25,54.375,58.75,65.625,63.75,39.375,60.625,26.25,67.5,46.263157,38.125,47.5,50.0,34.375,53.75,48.125,62.5,58.75,39.375,45.0,23.125,29.375,65.0,58.125,44.375,23.75,17.5,35.0,51.875,48.125,31.875,52.5,57.5,32.5,67.5,35.0,18.75,28.125,58.75,64.375,71.25,26.875,60.0,26.875,39.375,25.625,51.875,58.125,31.875,50.0,55.0,43.75,45.625,58.75,46.875,55.0,60.0,66.875,55.625,55.0,49.375,53.75,41.25,49.375,23.75,25.625,46.875,36.875
1973,26.25,30.625,59.375,17.5,30.625,58.125,58.125,54.375,41.25,61.25,47.5,43.75,37.5,48.125,38.125,65.0,20.625,56.25,58.125,58.125,51.25,53.75,31.25,60.0,38.75,55.0,22.5,42.5,68.75,43.75,36.25,56.875,45.625,45.625,23.125,40.0,51.25,35.625,36.875,55.0,63.125,64.375,62.5,43.75,50.625,71.25,37.5,30.0,51.875,29.375,50.625,33.75,55.0,50.625,65.625,51.25,59.375,58.75,43.125,56.875,58.125,49.375,41.25,44.375,28.125,31.875,43.75,48.125,49.375,60.625,68.75,51.875,58.125,37.5,66.875,20.625,49.375,55.0,29.375,26.875,66.25,57.5,53.75,48.75,20.625,65.625,58.125,51.875,55.0,51.875,46.25,60.625,38.125,23.125,36.875,44.375,63.75,36.25,50.0,54.375,28.75,61.25,60.625,55.0,38.125,55.0,37.5,44.375,55.0,53.75,61.875,41.25,35.0,53.75,58.125,61.875,33.75,39.375,43.75,42.5,41.875,33.75,38.75,54.375,58.75,65.625,63.75,39.375,60.625,26.25,67.5,47.14145,38.125,47.5,50.0,36.875,53.75,48.125,65.0,58.75,39.375,45.0,23.125,29.375,65.0,58.125,44.375,23.75,17.5,38.125,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,18.75,28.125,58.75,64.375,71.25,26.875,60.0,26.875,39.375,25.625,51.875,58.125,31.875,50.0,55.0,43.75,45.625,58.75,46.875,55.0,60.0,66.875,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1974,26.25,30.625,59.375,17.5,30.625,58.125,58.125,54.375,43.75,61.25,47.5,43.75,40.0,48.125,38.125,65.0,20.625,56.25,58.125,58.125,51.25,53.75,28.125,60.0,38.75,55.0,22.5,42.5,68.75,43.75,36.25,56.875,45.625,45.625,23.125,40.0,51.25,35.625,36.875,63.125,63.125,64.375,62.5,43.75,53.75,71.25,37.5,30.0,51.875,29.375,50.625,33.75,55.0,50.625,65.625,51.25,59.375,58.75,43.125,60.0,61.25,49.375,41.25,44.375,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,41.25,49.375,55.0,29.375,26.875,66.25,60.0,53.75,48.75,20.625,65.625,58.125,51.875,55.0,51.875,46.25,60.625,44.375,23.125,36.875,44.375,63.75,36.25,50.0,54.375,28.75,61.25,63.125,55.0,38.125,55.0,37.5,44.375,55.0,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,43.75,42.5,41.875,33.75,38.75,54.375,58.75,65.625,63.75,39.375,60.625,26.25,67.5,47.611843,38.125,47.5,50.0,39.375,53.75,48.125,65.0,58.75,39.375,45.0,23.125,29.375,65.0,58.125,44.375,23.75,17.5,38.125,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,18.75,28.125,58.75,64.375,73.75,26.875,60.0,26.875,39.375,31.875,51.875,58.125,31.875,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,66.875,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1975,26.25,30.625,59.375,17.5,32.5,58.125,58.125,54.375,43.75,61.25,47.5,43.75,40.0,48.125,38.125,65.0,20.625,56.25,58.125,58.125,51.25,53.75,30.625,60.0,38.75,55.0,22.5,42.5,68.75,43.75,36.25,56.875,45.625,45.625,23.125,40.0,56.875,35.625,36.875,63.125,63.125,64.375,62.5,43.75,53.75,71.25,37.5,32.5,51.875,29.375,50.625,51.875,55.0,50.625,68.125,51.25,59.375,58.75,43.125,63.125,61.25,49.375,41.25,44.375,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,41.25,49.375,58.125,29.375,26.875,66.25,60.0,65.0,48.75,20.625,65.625,58.125,51.875,55.0,51.875,46.25,60.625,44.375,23.125,36.875,44.375,63.75,36.25,50.0,54.375,28.75,61.25,66.25,55.0,38.125,55.0,40.0,44.375,58.125,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,43.75,42.5,41.875,33.75,38.75,54.375,58.75,68.75,63.75,39.375,60.625,26.25,67.5,48.019737,38.125,47.5,50.0,39.375,53.75,48.125,64.375,61.875,39.375,48.125,23.125,29.375,65.0,58.125,44.375,23.75,17.5,38.125,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,18.75,28.125,58.75,64.375,73.75,33.125,60.0,26.875,39.375,31.875,51.875,58.125,31.875,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,70.0,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1976,26.25,30.625,59.375,17.5,38.75,58.125,61.25,56.875,51.875,61.25,47.5,43.75,40.0,48.125,38.125,65.0,20.625,56.25,58.125,58.125,51.25,53.75,30.625,60.0,38.75,55.0,22.5,45.0,71.25,43.75,36.25,56.875,45.625,45.625,23.125,40.0,59.375,35.625,36.875,63.125,63.125,64.375,62.5,43.75,60.0,71.25,37.5,32.5,51.875,29.375,50.625,54.375,55.0,50.625,68.125,51.25,62.5,58.75,43.125,69.375,61.25,49.375,41.25,44.375,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,41.25,49.375,58.125,29.375,26.875,68.75,60.0,65.0,48.75,20.625,65.625,58.125,51.875,55.0,51.875,46.25,60.625,44.375,23.125,40.0,44.375,63.75,36.25,50.0,54.375,28.75,61.25,71.25,55.0,38.125,55.0,40.0,44.375,58.125,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,43.75,42.5,41.875,33.75,38.75,54.375,58.75,68.75,63.75,39.375,60.625,26.25,67.5,48.38158,44.375,47.5,50.0,39.375,53.75,48.125,64.375,61.875,39.375,48.125,23.125,29.375,65.0,58.125,44.375,23.75,17.5,38.125,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,21.875,28.125,58.75,64.375,73.75,33.125,63.125,26.875,39.375,31.875,51.875,58.125,31.875,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,70.0,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1977,26.25,30.625,59.375,17.5,38.75,58.125,61.25,60.0,51.875,61.25,47.5,64.375,40.0,48.125,38.125,65.0,26.25,56.25,58.125,58.125,51.25,53.75,30.625,62.5,38.75,55.0,22.5,45.0,71.25,43.75,36.25,56.875,45.625,45.625,23.125,40.0,59.375,35.625,36.875,63.125,63.125,64.375,65.625,43.75,60.0,71.25,37.5,32.5,51.875,29.375,50.625,54.375,55.0,50.625,68.125,51.25,62.5,58.75,43.125,69.375,61.25,49.375,41.25,44.375,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,41.25,49.375,60.625,29.375,26.875,75.0,60.0,65.0,48.75,20.625,65.625,58.125,51.875,55.0,51.875,46.25,60.625,44.375,26.25,40.0,44.375,63.75,36.25,50.0,54.375,28.75,61.25,71.25,55.0,38.125,55.0,40.0,44.375,58.125,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,50.0,42.5,41.875,33.75,38.75,54.375,58.75,68.75,63.75,39.375,66.25,26.25,67.5,48.74671,44.375,47.5,50.0,39.375,53.75,48.125,64.375,72.5,39.375,48.125,23.125,29.375,65.0,58.125,44.375,23.75,17.5,38.125,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,21.875,28.125,58.75,64.375,73.75,33.125,63.125,26.875,39.375,31.875,51.875,58.125,31.875,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,70.0,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1978,26.25,30.625,59.375,17.5,38.75,58.125,61.25,60.0,51.875,61.25,47.5,64.375,40.0,48.125,38.125,65.0,26.25,56.25,58.125,58.125,51.25,53.75,33.125,62.5,38.75,55.0,22.5,45.0,77.5,43.75,36.25,56.875,45.625,45.625,23.125,40.0,59.375,35.625,36.875,63.125,63.125,64.375,65.625,43.75,60.0,71.25,37.5,32.5,51.875,29.375,50.625,57.5,55.0,50.625,73.125,51.25,62.5,58.75,43.125,69.375,61.25,49.375,41.25,50.625,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,47.5,49.375,63.75,29.375,26.875,75.0,60.0,71.25,48.75,20.625,65.625,58.125,51.875,55.0,51.875,52.5,66.25,44.375,26.25,40.0,44.375,63.75,36.25,50.0,54.375,28.75,61.25,71.25,55.0,38.125,55.0,40.0,44.375,58.125,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,50.0,42.5,41.875,33.75,38.75,54.375,58.75,68.75,73.75,39.375,69.375,26.25,67.5,49.44079,44.375,47.5,50.0,39.375,53.75,48.125,64.375,72.5,62.5,48.125,23.125,29.375,65.0,58.125,44.375,23.75,17.5,44.375,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,45.0,28.125,58.75,64.375,73.75,33.125,63.125,26.875,48.75,31.875,51.875,58.125,38.125,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,70.0,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
1979,26.25,30.625,59.375,17.5,38.75,58.125,61.25,60.0,68.125,61.25,47.5,64.375,40.0,48.125,38.125,65.0,26.25,56.25,58.125,58.125,51.25,53.75,33.125,62.5,38.75,55.0,22.5,45.0,77.5,43.75,36.25,56.875,45.625,45.625,23.125,40.0,59.375,35.625,36.875,63.125,63.125,64.375,65.625,43.75,60.0,71.25,55.625,32.5,51.875,29.375,50.625,57.5,55.0,50.625,73.125,51.25,62.5,58.75,43.125,69.375,61.25,49.375,41.25,50.625,28.125,31.875,43.75,53.75,49.375,60.625,68.75,51.875,58.125,37.5,66.875,47.5,49.375,63.75,29.375,26.875,75.0,60.0,71.25,48.75,26.25,65.625,58.125,51.875,55.0,51.875,52.5,66.25,44.375,26.25,40.0,44.375,63.75,36.25,52.5,54.375,28.75,61.25,71.25,55.0,38.125,55.0,40.0,44.375,58.125,53.75,61.875,41.25,44.375,53.75,58.125,61.875,33.75,41.875,50.0,42.5,41.875,33.75,38.75,54.375,58.75,68.75,80.0,39.375,69.375,26.25,67.5,49.726974,44.375,47.5,50.0,39.375,53.75,51.25,64.375,72.5,62.5,48.125,23.125,29.375,65.0,58.125,44.375,23.75,17.5,44.375,51.875,54.375,31.875,52.5,57.5,46.875,67.5,35.0,45.0,28.125,58.75,64.375,73.75,33.125,63.125,26.875,48.75,31.875,51.875,58.125,38.125,50.0,55.0,53.125,45.625,58.75,46.875,55.0,60.0,72.5,55.625,57.5,49.375,53.75,43.75,49.375,23.75,25.625,46.875,36.875
