Date,AGO,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BHR,BLR,BOL,BRA,BTN,BWA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DJI,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GHA,GRC,GTM,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KEN,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MEX,MNG,MUS,MYS,NGA,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SVK,SVN,SWE,THA,TKM,TUN,TUR,TWN,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZWE
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,11.0,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,17.0,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,31.0,,,,
1962,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,55.0,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,54.0,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,71.0,,,,
1965,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,94.0,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,99.0,,,,
