Date,ABW,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MNE,MNG,MNP,MOZ,MRT,MUS,MYS,NAM,NCL,NER,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,,,,5232423634.0,,,,14471245347.0,,,,,88037515.0,,804254700.0,,,,,,,,905171097.0,6077812094.0,,,,,,,2521493928.0,,,770199940.0,1045362460.0,198921571.0,3055963654.0,,,412942177.0,,,,,,,,2171996744.0,23733964091.0,1112757094.0,1753804655.0,,,,,,37315065211.0,,,504385719.0,,,,,,,,1928127938.0,,1404896093.0,,,1113091526.0,,,,9313082251.0,5166801404.0,,20759351543.0,,,,,,,,,1416220899.0,,,,155090509.0,,,,,,465126.0,,,,,3194935120.0,,618643681.0,,5546686278.0,,,,,,,,,,,4128126620.0,,,,304386259.0,,,,,,,,,1626890078.0,,4786769643.0,3186613524.0,,,,,,,,,,,67394217.0,,18660316663.0,1012601642.0,3728838215.0,,,,,,,,,,13865786127.0,,,,,,1866818762.0,,,,,,,,,,895474417.0,,,,,,,,21445881402.0,,
1961,,,,,4675767446.0,,,,15193228134.0,,,,,68934917.0,,711756517.0,,,,,,,,910487814.0,6393498875.0,,,,,35846696374.0,,2646171116.0,,,737387523.0,943384659.0,213840692.0,2852204059.0,,,408627211.0,,,,,,,,2018999624.0,23733964091.0,1067519068.0,1635678981.0,,,,,,39287722858.0,,,546070496.0,,,,,,,,2119040259.0,,1437952432.0,,6016799964.0,1126313701.0,,,,10154841608.0,5157197704.0,,23275571241.0,,,,,,,,,1565579147.0,,,,210088398.0,,,,,,513235.0,,,,,2854773966.0,,1078409760.0,,6037130717.0,,,,,,,,,116491464.0,,4356597844.0,,,,320136535.0,,,,,,,,,1675584185.0,,5648628634.0,3292037908.0,,,,,,,,,,,59511427.0,,19360875352.0,1348793483.0,3526048769.0,,,,,,,,,,14586873467.0,,,,,,2256585824.0,,,,,,,,,,1100449397.0,,,,,,,,22963053008.0,,
1962,,,,,6791012783.0,,,,17251130878.0,,,,,50663003.0,,859777272.0,,,,,,,,982263497.0,5919934272.0,,,,,37508687238.0,,2715217225.0,,,715910189.0,850610460.0,371320273.0,3083234420.0,,,455228836.0,,,,,,,,2263982814.0,8184125671.0,1292889669.0,1503088938.0,,,,,,39730883143.0,,,604429146.0,,,,,,,,2022336110.0,,1493046414.0,,6520022036.0,1163012040.0,,,,9277262703.0,5127294660.0,,26343763726.0,,,,,,,,,1718333820.0,,,,242892606.0,,,,,,689669.0,,,,,2906442342.0,,1061558501.0,,6411889043.0,,,,,,,,,120622372.0,,4566030291.0,,,,387196988.0,,,,,,,,,1727134178.0,,6030264879.0,3815194944.0,,,,,84962894.0,,,,,,53580476.0,,24264779225.0,1415226569.0,3691815321.0,,,,,,,,,,15768405220.0,,,,,,2236050286.0,,,,,,,,,,944733146.0,,,,,,,,24907730555.0,,
1963,,,,,6791012783.0,,,,16866561734.0,,,,,55646408.0,,901309749.0,,,,,,,,1168586038.0,7577513128.0,,,,,40808771867.0,,2858289241.0,,,632983851.0,727072439.0,442600503.0,3008796981.0,,,587020205.0,,,,,,,,1989902031.0,13503806429.0,1187170369.0,1849028413.0,,,,,,43072131314.0,,,758662836.0,,,,,,,,2336332207.0,,2047659015.0,,6928423005.0,1207535720.0,,,,8722059723.0,5558196498.0,,29015225770.0,,,,,,,,,1768196394.0,,,,278349444.0,,,,,,801941.0,,,,,2968174774.0,,977309676.0,,6585959016.0,,,,,,,,,227199673.0,,4833260218.0,,,,487024509.0,,,,,,,,,2400138230.0,,5921716676.0,4543582363.0,,,,,83102949.0,,,,,,30915320.0,,28754717550.0,1115270983.0,4208681104.0,,,,,,,,,,16919452316.0,,,,,,2359163049.0,,,,,,,,,,986064640.0,,,,,,,,26806841977.0,,
1964,,,,,6234376464.0,,,,19648278546.0,,,,,83054127.0,,935042241.0,,,,,,,,1246371177.0,6551376789.0,,,,,46354810518.0,,3122071030.0,,,676535290.0,865819067.0,485700178.0,3183999262.0,,,526672333.0,,,,,,,,2021815493.0,13913013268.0,1231588866.0,2135302369.0,,,,,,46586344641.0,,,942075819.0,,,,,,,,2186703867.0,,1968690922.0,,7567339237.0,1315741681.0,,,,9760826590.0,5196243981.0,,32618141893.0,,,,,,,,,1964906903.0,,,,358989435.0,,,,,,914212.0,,,,,3366700118.0,,1059154422.0,,7040328896.0,,,,,,,,,524624682.0,,4665306419.0,,,,578213736.0,,,,,,,,,2339591750.0,,6330146464.0,4816066843.0,,,,,93458579.0,,,,,,54691882.0,,25220087374.0,1223979748.0,3453821395.0,,,,,,,,,,18949725608.0,,,,,,2913057433.0,,,,,,,,,,1024050255.0,,,,,,,,28129828166.0,,
1965,,,,,6791012783.0,,,,19596544840.0,,,,,122924038.0,113861492.0,886514748.0,,,,,,,,1294308530.0,6788330145.0,,,,,48457381946.0,,3095703293.0,,,701939995.0,755512586.0,489015544.0,3388106342.0,,,538261097.0,,,,,,,,1655748636.0,13913013268.0,1337799883.0,2136507733.0,,,,,,51563285118.0,,,1021276871.0,,,,,,,,2540045065.0,,2226181794.0,,8242184207.0,1797945979.0,,,,10065292740.0,4475827546.0,,37963222125.0,,,,,,,,,1825606543.0,,,,490206264.0,,,,,,978362.0,,,,,3090544733.0,,1179509882.0,,10684984959.0,,,,,,,,,556845736.0,,5052212162.0,,,,639428725.0,,,,,,,,,2352587683.0,,6513579187.0,5470839168.0,,,,,123820426.0,,,,,,58998662.0,,22035730729.0,1272294707.0,3813212590.0,,,1336525942.0,,,,,,,20010970230.0,,,,,177835406.0,3159232718.0,,,,,955431419.0,,,,,1310856509.0,,,,,,,,28991271067.0,,
1966,,,,,7904292800.0,,,,19881309135.0,,,,,135382905.0,117660684.0,1013573992.0,,,,,,,,1465254940.0,7577666347.0,,,,,54820096736.0,,3219841664.0,,,699560492.0,764991709.0,441954974.0,3363272248.0,,,655073371.0,,,,,,,18771059055.0,1806435964.0,15106623024.0,1388392360.0,2231731491.0,,,,,,55072780213.0,,,984340828.0,,,,,,,,3330498431.0,,2736807647.0,,9199075259.0,2093151091.0,,,,9957834099.0,5632397596.0,,42704582121.0,,,,,,,,,2199207294.0,,,,700471505.0,,,,,,705710.0,,,,,3083796875.0,,1218028144.0,,11714009920.0,,,,,,,,,594111608.0,,5367720180.0,,,,629718761.0,,,,,,,,,2604625180.0,,6818613377.0,5804463196.0,,,,,114000526.0,,,,,,58866472.0,,26123358924.0,1416368948.0,4488062116.0,,,1327130428.0,,,,,,,20991557584.0,,,,,212290628.0,3856737725.0,,,,,1081887504.0,,,,,1162235700.0,,,,,,,,29388347306.0,,
1967,,,,,7904292800.0,,,,22061449929.0,,,,,149502468.0,117660684.0,894314663.0,,,,,,,,1814383586.0,7340844755.0,,,,,60705248109.0,,3325149545.0,,,703338125.0,726796177.0,486969811.0,3549711914.0,,,703894121.0,,,,,,,19534585779.0,2020417627.0,15554227057.0,1489544170.0,2383607358.0,,,,,,59112190271.0,,,1267815533.0,,,,,,,,3430993837.0,,2561394812.0,,10226505300.0,2250737826.0,,,,9939924325.0,5911546854.0,,49630115685.0,,,,,,,,,2084764376.0,,,,910559904.0,,,,,,817981.0,,,,,3389839372.0,,1263762449.0,,11081682523.0,,,25593851.0,,,,,,631116634.0,,5655349577.0,,,,695074288.0,,,,,,,,,2730715214.0,,7220173027.0,4967428768.0,,,,,111573316.0,,,,,,58707930.0,,29142665949.0,1350289785.0,4663284418.0,,244476902.0,1536400941.0,,,,,,,22146034202.0,,,,,216180969.0,4287544469.0,,,,,1103448473.0,,,,,1084582401.0,,,,,,,,30803171590.0,,
1968,,,,,7347660171.0,,,,23120846358.0,,,,,167774971.0,151816723.0,930088906.0,,,,,,,,1823428369.0,8524882939.0,,,,,68164956556.0,,3392706108.0,,,733788101.0,1046813992.0,628149601.0,3865564807.0,,,920443736.0,,,,,,,21510602498.0,2095021143.0,17643044918.0,1529080512.0,1559741047.0,,,,,,65485873139.0,,,1342614161.0,,,,,,,,3367265662.0,,2880995157.0,,11480385273.0,2534609818.0,,,,10978691192.0,6097053604.0,,56691486303.0,,,,,,,,,2344348805.0,,,,1256374604.0,,,,,,850050.0,,,,,3517904841.0,,1403377033.0,,11636632558.0,,,28917730.0,,,,,,652744250.0,,6552236315.0,,,,692313930.0,,,,,,,,,2914352803.0,,7932606485.0,4407340291.0,,,,,118858561.0,,,,,,52231215.0,,30637661299.0,1422326905.0,6270325314.0,,338456739.0,1700845902.0,,,,,,,23829164303.0,,,,,241744405.0,4308054888.0,,,,,1232682352.0,,,,,1241968616.0,,,,,,,,32081611205.0,,
1969,,,,,8906251165.0,,,,24628448969.0,,,,,235051246.0,144222565.0,972852289.0,,,,,,,,1872270201.0,10182495447.0,,,,,73610096344.0,,3513669692.0,,,814389655.0,1052265609.0,810251193.0,4480898487.0,,,1011427861.0,,,,,,,22864873061.0,2338781514.0,19246956990.0,1342551354.0,1799005806.0,,,,,,75853226854.0,,,1551298091.0,,,,,,,,3691579005.0,,3250188676.0,,13235949083.0,2382959743.0,,,,12518931718.0,5978892443.0,,67075474362.0,,,,,,,,,2558943632.0,,,,1715368240.0,,,,,,1026484.0,,,,,3869378317.0,,1453927074.0,,13071568708.0,,,32906382.0,,,,,,668031954.0,,6904463178.0,,,,703355360.0,63366468847.0,,,,,,,,3178385248.0,,7792112134.0,4214667871.0,,,,,140321649.0,,,,,,50938781.0,,31518700855.0,1401203238.0,7369156074.0,,361885530.0,1631953153.0,,,,,,,26569474388.0,,,,,287315125.0,4369598710.0,,,,,1286518807.0,,,,,1240304925.0,,,,,,,,32327009497.0,,
