Date,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,,,,,,,,,15580.291,6697.643,,,9460.031,,,,,,,,,,,2354.9143,1840.4657,,,,,,14303.69,18038.371,,,,,2326.593,,4007.9229,,,4104.5425,,,3370.8948,,5883.198,,,11824.372,,,5970.992,,4305.4507,,474.63458,7372.714,,8408.212,,11618.386,,,,,,,,,2598.165,,,2541.2898,,,,,1067.4624,6099.758,,,10710.335,6226.286,5083.2637,,,3138.2686,,1958.3802,,,,,,,,,,3131.9666,,,16034.346,,,1625.453,,,,5982.6494,,,,,,,,,,5710.6523,,,,,1974.8107,4059.9885,10224.057,11181.022,,13697.724,,1480.038,2411.5273,2505.9546,1587.0708,,3310.1514,,,,,,,,,,,,2015.729,,,,,,,,11935.467,,,,,,,1399.5924,,,6816.224,,3602.167,,,916.3868,,7319.839,17661.66,,,6732.5146,,,,6532.5713,,
1951,,,,,,,,,14647.794,7033.1133,,,9807.124,,,,,,,,,,,2512.363,1839.406,,,,,,14466.544,19386.936,5058.088,,,,2664.5144,,3941.132,,,4123.482,,,3493.4392,,6477.555,,,11534.144,2766.941,,6419.87,,5030.095,,530.94385,8212.928,,8789.05,,11950.071,,,,,,,4084.4758,,2561.8228,,,2544.4978,,,,,1093.6428,6181.407,,,10371.311,7211.592,5501.238,,,3412.109,,2268.2651,,,,,,,,,,3299.712,,,17210.934,,,1592.3341,,,,6297.6016,,,,,,,,,,5720.4565,,,,,1939.5098,4500.2256,10555.948,11660.983,,12339.813,,1473.1737,2326.2224,2634.6797,1579.9879,,3670.282,2768.1262,,,,,,,,,,,1966.5621,,,,,,,,12221.57,,,,,,,1313.575,,,7344.62,,4347.3174,1822.7308,,1112.013,,8507.657,18662.203,,,7140.2676,,,,6644.546,,
1952,,,,,,,,,14173.34,7239.94,,,9968.852,,,,,,,,,,,2450.836,1978.9888,,,,,,15237.956,19159.043,5363.805,443.49887,,,2794.5269,,4073.519,,,4510.76,,,3831.5845,,7034.6445,,,11699.289,2811.9385,,6318.904,,5231.0234,,538.289,8310.387,,8964.606,,11881.584,,,,,,,3961.0852,,2550.0012,,,2484.9446,,,,,1106.9814,6430.7056,,,10112.762,6427.3853,5649.889,,,3706.4353,,2038.659,,,,,,,,,,3065.6895,,,18831.002,,,1655.7136,,,,6378.903,,,,,,,,,,5693.357,,,,,1906.5093,5045.9077,10687.166,12115.857,,12612.056,,1412.4364,2445.2834,2715.0432,1681.604,,3802.981,2609.1199,,,,,,,,,,,2063.6758,,,,,,,,12248.222,,,,,,,1273.9202,,,7534.703,,4738.667,2025.9336,,1019.93524,,7967.4385,18977.596,,,7823.138,,,,6057.8413,,
1953,,,,,,,,,15644.965,7623.3716,,,10224.087,,,,,,,,,,,2016.3058,1993.7495,,,,,,15526.121,19664.996,5395.7183,467.0233,,,3105.3882,,4286.348,,,5215.6636,,,4243.1357,,7601.29,,,12331.509,2744.204,,7165.3623,,4991.2744,,566.12134,8159.918,,9256.862,,12442.95,,,,,,,4436.6147,,2554.9578,,,2591.0747,,,,,1145.5046,6588.9146,,,11416.95,6229.7495,6016.452,4036.4878,,3822.8506,,1886.9761,,,,1243.3826,,,,,,3037.536,,,16800.367,,,1644.5596,,,,6099.8994,,,,,,,,,,5420.206,,,,,1951.2003,5170.9336,11421.644,12578.393,,12733.154,,1437.1013,2551.1204,2785.4373,1822.797,,3968.8953,2409.7505,,,,,,,,,,,2157.398,,,,,,,,12616.891,,,,,,,1141.0249,,,7617.6562,,5159.367,2162.5505,,818.4952,,8252.913,19522.992,,,7737.878,,,,6520.161,,
1954,,,,,,,,,16410.373,8147.4536,,,10635.548,,,,,,,,,,,2047.6829,2102.383,,,,,,15030.908,20725.572,5666.9126,471.7262,,,3158.0356,,4547.7007,,,5250.0874,,,4640.039,,8205.822,,,12639.911,2919.7947,,8242.592,,5585.92,,560.4573,8926.534,,9699.959,,12874.468,,,,,,,4510.256,,2522.3813,,,2341.8916,,,,,1172.4727,6696.733,,,12330.298,7240.703,6230.773,4427.3887,3249.065,3973.4504,,2022.9631,,,,1277.2244,,,,,,3155.3591,,,16310.065,,,1690.6464,,,,6575.816,,,,,,,,,,5181.8965,853.4899,,,,2107.5315,5446.0264,11958.546,12776.655,,13690.585,,1416.7919,2652.319,2893.452,1896.5673,,4114.505,2572.3792,,,,,,,,,,,2118.3804,,,,,,,,13187.441,,,,,,,1205.0619,,,7875.4824,,4580.8105,2281.9126,,869.80927,,8974.976,19128.896,,,8194.749,,,,6902.106,,2262.3923
1955,,,,,,,,,16826.29,8913.389,,,11053.98,,,,,,,,,,,2208.386,2195.565,,,,,,15923.049,21982.398,5428.774,490.5476,,,3310.4976,,4571.7246,,,5509.3037,,,4715.9717,,9277.737,,,12506.047,2850.506,,8507.698,,5836.461,,562.3913,9541.8125,,10132.772,,13341.354,,4168.2773,,,,,4768.212,,2457.2952,,,2310.4316,,,,,1177.3549,6903.141,2932.3926,,13646.503,7928.5864,6601.7524,4799.7495,2597.2983,4236.1963,,2085.2517,,,,1355.3696,,,,,,3326.6826,,,17439.617,,,1632.6678,,,,6907.159,,,,,,,,,,5275.9614,890.31683,2892.733,,,1999.5745,5680.7427,12795.147,13061.321,,13914.121,,1362.1448,2772.774,2970.959,1993.0642,,4241.61,2725.003,,,,,,,,,,,2163.7983,,,,,,,,13470.849,,,,,,,1077.982,,,8677.8955,,4866.681,2365.5757,,853.4983,,9109.346,20203.697,,,8386.057,,,,7003.612,1465.057,2257.8643
1956,,,,,,,,,16692.861,9563.971,,,11297.241,,,,,,,,,,,2033.1328,2212.1382,,,,,,16806.809,23221.572,5232.934,528.0615,,,3352.6206,,4526.9736,,,5163.1206,,,5225.3296,,9939.263,,,12681.649,2970.834,,8417.844,,6208.2935,,579.86084,9609.383,,10538.221,,13560.183,,4166.646,,,,,5140.4985,,2544.2961,,,2532.3164,,,,,1207.1802,6872.2485,3144.6428,,13375.871,8435.839,6815.135,5257.09,3433.4011,4475.293,,2092.6973,,,,1360.0442,,,,,,3023.19,,,19096.979,,,1625.947,,,,7153.7974,,,,,,,,,,5275.991,935.3213,3003.0935,,,1865.7777,5495.8975,13131.349,13432.125,,13964.185,,1424.0918,2808.568,2993.4373,2010.9724,,4399.5215,2729.4272,,,,,,,,,,,2228.247,,,,,,,,13819.945,,,,,,,1096.8167,,,9382.562,,4751.8726,2465.6987,,841.68964,,8962.151,20306.156,,,8683.441,,,,7261.421,1619.6296,2384.6301
1957,,,,,,,,,16446.21,10044.024,,,11410.668,,,,,,,,,,,1931.7147,2333.3582,,,,,,16665.094,23697.76,5648.1616,541.42975,,,3250.9675,,4372.7017,,,5332.332,,,5222.534,,10441.402,,,13246.666,3081.8237,,8339.659,,6417.0693,,564.4676,9596.838,,10994.567,,13758.019,,3970.2817,,,,,5491.3364,,2594.9363,,,2507.5354,,,,,1190.5466,6880.992,3601.0898,,13139.481,8616.255,7062.4785,5840.6406,3492.9304,4743.7007,,2128.8572,,,,1443.8005,,,,,,3068.9119,,,19595.887,,,1568.5907,,,,7458.1396,,,,,,,,,,5359.923,988.8804,2984.04,,,1789.0391,5779.4434,13430.838,13934.828,,14248.384,,1390.561,3030.0515,3148.4104,2079.8867,,4554.573,2633.538,,,,,,,,,,,2274.769,,,,,,,,13990.333,,,,,,,1202.9221,,,10083.092,,5608.403,2586.9856,,953.14136,,9123.848,20381.625,,,9159.494,,,,7497.697,1801.9172,2550.0427
1958,,,,,,,,,17368.55,10427.695,,,11210.304,,,,,,,,,,,1870.367,2402.224,,,,,,16631.121,22624.664,5732.604,592.5342,,,3177.623,,4231.3604,,,5775.9087,,,4539.6387,,10723.218,,,13427.172,2930.0178,,8082.8545,,6624.4517,,557.2318,9538.491,,11199.969,,13765.005,,4078.4995,,,,,5696.6953,,2650.137,,,2533.4375,,,,,1248.7052,6832.206,4026.105,,14187.79,8870.825,7333.029,5853.3247,3788.5225,5044.648,,2087.1682,,,,1455.313,,,,,,3134.2004,,,18868.326,,,1621.8824,,,,7595.682,,,,,,,,,,5074.29,984.50055,2898.8035,,,1843.1462,5644.594,13203.704,13700.08,,14410.019,,1358.2821,3004.3833,3030.384,2094.2344,,4558.964,2737.9692,,,,,,,,,,,2287.5645,,,,,,,,14244.197,,,,,,,1200.8174,,,10858.138,,5974.735,2685.1096,,889.43713,,8521.661,19851.113,,,9293.993,,,,7331.5503,1715.4313,2474.2742
1959,,,,,,,,,18107.244,10743.323,,,11467.739,1728.7798,1111.3907,1524.5868,,,,,,,,1874.1377,2436.1104,,,,,,16890.887,23998.863,5545.5884,590.1343,,,3119.5398,,4340.3696,,,5588.373,,,4731.892,,11533.474,,,14401.712,3170.708,,8422.419,,6434.196,,584.5685,10173.797,,11404.357,,14146.792,,4582.655,3197.9907,,,,5856.467,,2726.1824,,,2536.587,,,,,1243.8625,7112.9585,4376.35,,14254.446,9690.891,7798.4556,5919.8535,4132.195,5459.3447,,1971.2908,,,,1440.2642,,,,,,3212.5498,,,18854.756,,,1655.6274,,,,7551.645,,,,,,,,,,5133.9014,937.74146,3019.1985,,,1977.9642,5557.592,13738.176,13954.25,,14778.861,,1428.0433,3104.2905,3013.4163,2247.243,,4781.072,2710.3823,,,,,,,,,,,2302.7986,,,,,,,,14978.678,,,,,,,1287.9614,,,11364.337,,5681.56,2822.658,,910.6566,,8136.717,20911.932,,,9359.975,,,,7276.6733,1888.7954,2731.1519
1960,,,,,,,,,17977.102,11440.331,,807.93756,12036.021,1844.5342,1088.3992,1607.6605,,,,,,,,1922.8981,2596.1567,9708.747,,,642.0674,1468.5525,17115.883,25405.418,5762.7085,580.1438,1860.6531,1754.006,3253.9297,2098.74,4451.35,2165.0835,1303.7675,5827.894,,,4430.799,,12509.438,,,15160.701,3646.7058,12589.238,8848.054,,7103.5483,,597.6634,11087.475,3609.7112,12206.483,4331.4175,14704.504,,4856.843,3454.0488,2752.4907,,1263.4535,5906.574,,2704.56,,7129.9453,2442.0632,,1543.556,,1515.6444,1308.2198,7503.61,4394.583,,14392.208,10005.831,8462.631,6121.4805,4254.837,6093.168,,2075.9539,,,,1407.7065,,,,,,3322.3572,1124.5034,,20463.014,,,1643.3578,,1759.5251,,7869.147,,812.6349,,,,,,2384.116,,4500.4478,995.679,3200.0945,4968.2754,2201.718,2183.6428,5423.912,14841.756,14179.443,813.42865,16446.172,,1393.7349,3208.2424,3232.1943,2182.7214,,5075.1777,2700.2146,,,1721.5006,,1073.9082,,,3024.424,3216.9312,,2246.1812,,,,,,,,15341.005,,,7154.471,2838.0576,2329.7776,1274.2191,1385.4814,,,12177.017,2031.4432,5415.2695,2921.8586,1277.7246,873.13763,,8375.681,21164.889,,,8522.068,,,,7405.519,1997.4717,2807.1409
