Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,,,,,,150797810295.0,,,,204556496020.0,83828673166.0,,798536036.0,107240692072.0,1651120631.0,1166782785.0,22255159273.0,,,2184283332.0,,,141975428.0,1684353374.0,4727739746.0,188463862170.0,1704405287.0,,,203297646.0,980371513.0,276385630513.0,212618998244.0,26275664125.0,161023131028.0,5492745889.0,4827329401.0,19168015351.0,1260529281.0,30607351920.0,,,4791476272.0,,,,,,917491579543.0,,,80238063131.0,4496273447.0,27287513101.0,10979942382.0,20297834751.0,,191405167019.0,,,49407156991.0,864434173.0,508897750935.0,,,1696430402.0,793127688244.0,5243159135.0,7662648270.0,,,,,41539985361.0,,,7658203960.0,,1555849243.0,,2488221554.0,,6694501128.0,20802988700.0,52777607844.0,,136368119594.0,24135304212.0,50350548202.0,7007485325.0,2370633618.0,18583908318.0,488503132607.0,,,595545661031.0,,6102055403.0,,,,,25704085715.0,,,,2785350370.0,4206979769.0,,,,193508327.0,,8747570887.0,,,,,,4151435154.0,,152252652598.0,,,,,2819978877.0,,,,,,956645875.0,944667422.0,10075053649.0,,,2602180352.0,65552393151.0,2980615373.0,165062637640.0,68793506117.0,3312007761.0,,42169502939.0,1249211741.0,,,11047909931405.0,18921911099.0,3163056541.0,27514598739.0,31344414578.0,,2618701702.0,,14872866396.0,36024040922.0,2840643135.0,,,,,,1013800019.0,39062138603.0,9621210052.0,3845391101.0,5946720491.0,,2005356249.0,,,917045732.0,,,,1039858389.0,,,125833171525.0,,,132183659.0,2416812217.0,,2436524901.0,751799549.0,15908737340.0,,,,,3630222802.0,,68944998408.0,,8038068840.0,,,16784217051.0,3406320762468.0,,159183504.0,,,,,,65652787805.0,3745698444.0,4350191358.0
1961,,,,,,,158982878499.0,,,,209634264251.0,88471087748.0,,688768194.0,112579587419.0,1702986960.0,1213966641.0,23603412614.0,,,2417282962.0,,,148921259.0,1763181111.0,4826516221.0,204671754317.0,1835585348.0,,,216193392.0,1028934744.0,285128514178.0,229859575870.0,27725978494.0,117112123190.0,6038315904.0,4884469573.0,17088021918.0,1365792636.0,32165026473.0,,,4881521363.0,,,,,,956929400595.0,,,85356314760.0,4392263457.0,23574926517.0,11542600183.0,21345429171.0,,214065001135.0,,5263329225.0,53164408473.0,894841354.0,533344343072.0,,,1946939619.0,814552559055.0,5498288150.0,7925452126.0,,,,,47024857985.0,,,7987393262.0,,1628811172.0,12533146158.0,2534394469.0,,6498219674.0,21780729168.0,55807383384.0,,141444753584.0,25345971888.0,55582432557.0,7520837447.0,2368874988.0,20666029079.0,528595785997.0,,,667270419543.0,,5627642874.0,,,,,27486919211.0,,,,2853312513.0,4623294238.0,,,6526664115.0,197116860.0,,9082601376.0,,,,,,4236482815.0,,159865285229.0,,,,,2833276800.0,,,,,1064724230.0,1175230799.0,1016836214.0,10840555621.0,,,2720485699.0,65678119684.0,3204094266.0,165550474773.0,73109153566.0,3375209678.0,,43567695918.0,1263447838.0,,,11495483018211.0,20054831466.0,3508670914.0,29536122813.0,33129626605.0,,2780566580.0,,15920174750.0,38017936816.0,3036655622.0,,,,,,970231699.0,43701490633.0,9623364370.0,3960500894.0,6430636626.0,,2041634016.0,,,887131872.0,,,,1089771591.0,,,132982122458.0,,,125730088.0,2678627029.0,,2470581273.0,843288422.0,16761787111.0,,,,,4139799749.0,6137829834.0,69742050427.0,,8129565884.0,,,17202653946.0,3493704590510.0,,166390192.0,,,,,,68176962953.0,3796691708.0,4624956286.0
1962,,,,,,,157628310158.0,,,,212347394915.0,90814399431.0,,751192343.0,118447239466.0,1644635648.0,1288368214.0,24890514014.0,,,2669936698.0,,,156207459.0,1841995308.0,5095783596.0,218180090101.0,2001903306.0,,,230606288.0,990722163.0,306307396491.0,240869714664.0,28815827040.0,110577266727.0,6112405708.0,5033033599.0,20710801756.0,1436845387.0,33905762200.0,,,5147192860.0,,,,,,1001172753513.0,,,90193305330.0,5141023191.0,18934192372.0,12110397647.0,22172696194.0,,235371828523.0,,5491025655.0,54749742178.0,927110248.0,569994161066.0,,,2091971271.0,823502017570.0,5779416530.0,8251121525.0,,,,,47196410446.0,,,8269867526.0,,1646808327.0,14324290929.0,2680498409.0,,7010771683.0,23109353648.0,56835342943.0,,145590679986.0,26161210988.0,59978596070.0,7867047598.0,2565841579.0,22764895216.0,561388020895.0,,,726717361028.0,,6159869249.0,,,,,28557609625.0,,,,2891678326.0,6127004092.0,,,6775853428.0,227338452.0,,9206004653.0,,,,,,4332696292.0,,167322065049.0,,,,,2949069211.0,,,,,1072460605.0,1184708882.0,1023632388.0,11536630907.0,,,3000116629.0,68372888067.0,3553045710.0,176879933635.0,75166405038.0,3439686985.0,,44909961495.0,1518510059.0,,,12108104990454.0,20953861208.0,3797951596.0,32500159377.0,34735185774.0,,2957802655.0,,17245260651.0,40532613389.0,3136873107.0,,,,,,1080195804.0,48911870586.0,10288901060.0,3955105291.0,6916371174.0,,2134343944.0,,,949911138.0,,,,1132272683.0,,,138645893911.0,,,136302204.0,3335461123.0,,2603007298.0,875111199.0,18028015159.0,,,,,4253332232.0,5856098258.0,73627678958.0,,8869091956.0,,,16931789756.0,3707855986272.0,,172537082.0,,,,,,72388888580.0,3702122212.0,4691299938.0
1963,,,,,,,149261089202.0,,,,225547290344.0,94572542282.0,,782257207.0,123601570921.0,1722427374.0,1272031494.0,24777039582.0,,,2950922311.0,,,163949779.0,1861704657.0,5442175895.0,219489170642.0,1900238226.0,,,244260590.0,983717651.0,322533846696.0,252622227587.0,30454488579.0,121966725197.0,6998115047.0,5221397415.0,21790660916.0,1378950570.0,35020145447.0,,,5502293755.0,,,,,,1028557795839.0,,,90767855837.0,5475338924.0,25431219789.0,12365487217.0,24504840915.0,,257959283397.0,,5739145003.0,56548325759.0,986063074.0,605326016606.0,,,2219423267.0,863520470098.0,6022260625.0,8614663810.0,,,,,52786762334.0,,,9058899220.0,,1444602377.0,16582351283.0,2776471958.0,,6878072319.0,24426586806.0,55563919278.0,,154317899661.0,27402464757.0,64202333927.0,8059609507.0,2829636122.0,25199765384.0,592880361770.0,,,788296791335.0,,6700603529.0,,,,,31133668301.0,,,,2957448411.0,8272704007.0,,,6946384623.0,251470587.0,,9522609145.0,,,,,,4292428143.0,,180886675668.0,,,,,3342749157.0,,,,,1051185480.0,1349318561.0,1009392858.0,12383281583.0,,,3282974505.0,74238337576.0,3939101155.0,183291161792.0,78011485853.0,3504872894.0,,47650420051.0,1587317448.0,,,12713773901050.0,22774506905.0,4122250662.0,33906847467.0,37172298520.0,,3078259812.0,,18737156256.0,42913378359.0,3284628970.0,,,,,,974115775.0,53165300282.0,9995978959.0,4028847382.0,7610786827.0,,2170621713.0,,,976592267.0,,,,1195679954.0,,,146032855284.0,,,150117255.0,3046852122.0,,2561373393.0,918864084.0,19470225866.0,,,,,4491714373.0,5227504980.0,80302989304.0,,9424297384.0,,,16960651491.0,3869417876417.0,,161727049.0,,,,,,77726634753.0,3823270196.0,4984240868.0
1964,,,,,,,164381681831.0,,,,241290865664.0,100364499310.0,,831328498.0,132200142535.0,1836981870.0,1301069673.0,27490816335.0,,,3260815400.0,,,172147070.0,2068540044.0,5657500838.0,226951802444.0,1995342789.0,,,260949209.0,1004182171.0,344001699477.0,265900938033.0,31204014436.0,144140275830.0,8230699197.0,5406608719.0,21258920074.0,1431582304.0,37179817268.0,,,5703625342.0,,,,,,1096848581197.0,,,99181979992.0,5845738217.0,26916253746.0,13281429196.0,27324754468.0,,271653078386.0,,5973903904.0,59510715322.0,1034156138.0,644223451498.0,,,2320505870.0,911832808560.0,6349244544.0,8804989947.0,,,,,57753826340.0,,,9478597335.0,,1608713286.0,18013093820.0,2926863603.0,,6764765888.0,25574636386.0,57525157909.0,,165819135753.0,28439911537.0,69643628268.0,9254568661.0,3109258336.0,27199917741.0,609467389164.0,,,880343907381.0,,7033252799.0,,,,,34083217464.0,,,,3109815009.0,12001351827.0,,,7217740543.0,272219723.0,,10271641279.0,,,,,,4462516417.0,,202422104047.0,,,,,3145726892.0,,,,,1342268056.0,1256357353.0,1036253845.0,13046897050.0,,,3287276511.0,77913498064.0,4399916077.0,198458329344.0,81919589024.0,3768875641.0,,50558660811.0,1588503800.0,,,13547632465667.0,24498481838.0,4304954185.0,36127022963.0,38437083908.0,,3342075344.0,,20060172567.0,45621533261.0,3422993221.0,,,,,,852692315.0,57831504044.0,9883979101.0,4185324877.0,7374611314.0,,2315732958.0,,,916916392.0,,,,1273399151.0,,,155993996630.0,,,159003065.0,3329336867.0,,2497058854.0,1050133110.0,20800236244.0,,,,,4834454628.0,4983069468.0,84686775101.0,,9943685369.0,,,17374579715.0,4092402635290.0,,167661988.0,,,,,,83897825365.0,4290246254.0,4929106598.0
1965,,,,,,,181755894112.0,,,,255720398204.0,103857359442.0,,864309175.0,136907339919.0,1934229170.0,1350049032.0,27932389835.0,,,3600774855.0,,,180634852.0,2167002551.0,5935478857.0,232398645703.0,2223507114.0,,,276120678.0,1013697588.0,365732975014.0,271496969295.0,31413343021.0,168572052589.0,7974752907.0,5516149516.0,21470945657.0,1484213965.0,38518294925.0,,,6170782350.0,,,,,,1154369120212.0,,,103699971910.0,5116082881.0,28586918218.0,13716406958.0,28667504459.0,,288639911835.0,,6318713576.0,62666483933.0,1006231162.0,675197188363.0,,,2513881414.0,931257884730.0,7019638203.0,8925530160.0,,,,,63972764697.0,,,9892031885.0,,1778288055.0,20650572607.0,3191368847.0,,6911006452.0,36420945624.0,58147343958.0,,161448524536.0,28989783006.0,81507915872.0,10250719342.0,3336121642.0,29647352059.0,629384928005.0,,,931577351068.0,,7174557471.0,,,,,36577575097.0,,,,3258892894.0,15379597827.0,,,7400851267.0,278083623.0,,10196151536.0,,,,,,4442334514.0,,216794073430.0,,,,,3482088443.0,,,,,1558887711.0,1296522845.0,1177355281.0,14049533276.0,,,3514748216.0,81719554395.0,4819014940.0,215611271157.0,86249538031.0,3723528943.0,,53648670594.0,1595621860.0,,,14310380351285.0,27051068282.0,4699289550.0,38157987897.0,40491580379.0,,3685257013.0,,21906679850.0,49029000348.0,3634122579.0,,2165319767.0,,,,912462032.0,64850377193.0,10553823687.0,4241081336.0,7952357572.0,,2482006192.0,8436981023.0,,862417802.0,,,,1426207049.0,,,161955318965.0,,,157316724.0,3405890769.0,,2512196719.0,1212480672.0,22502041173.0,,,,,4867998505.0,4856664332.0,87077931215.0,,10377699460.0,,,17556249025.0,4358345546391.0,,169145688.0,,,,,,89034719819.0,5004463110.0,5171153857.0
1966,,,,,,,180556802912.0,,,,261804000641.0,109717886300.0,,904179696.0,141227991789.0,2003394550.0,1357307072.0,28649361769.0,,,3927434583.0,,,189252662.0,2478262917.0,6361087691.0,247969354965.0,2312522358.0,,,293637827.0,1020233745.0,390455390791.0,278179751690.0,35014387052.0,186524976187.0,8898018736.0,5770717368.0,22925706424.0,1504384173.0,40535396289.0,,,6600843858.0,,,,,,1186832072458.0,,,106542294923.0,5804878762.0,27213325104.0,13669836239.0,30114182469.0,,309554933923.0,,6777237221.0,64153448687.0,1006231162.0,710376197079.0,,,2627207303.0,945854883421.0,7548614493.0,8545455168.0,,253504725.0,,,68127476783.0,,,10437290969.0,,1871350740.0,21021162090.0,3362867975.0,,6871213789.0,39116095601.0,59770437997.0,,161359197052.0,29248688585.0,90883288325.0,10759449895.0,3628054269.0,29623738826.0,667052320830.0,7024390230.0,,1030683781033.0,,8231266932.0,,,,,40964673582.0,,,,3509914203.0,18238997837.0,,,7772654451.0,276955934.0,,10308911195.0,,,11518527478.0,,,4534048838.0,,230010142146.0,,,,,3313145218.0,,,,,1562488149.0,1250260258.0,1333343510.0,15147744693.0,,,3501304403.0,78246053144.0,4978097196.0,221521401056.0,89515388221.0,3985689329.0,,57000887530.0,1678665420.0,,,15092565230467.0,28617312097.0,5055561577.0,41301794164.0,42289875657.0,,3899508937.0,,23549494281.0,51028358578.0,3706496252.0,,2372683308.0,,,,976415683.0,70155880866.0,10176508923.0,4363087108.0,8761915152.0,,2524200297.0,9041164856.0,,940886220.0,,,,1700038802.0,,,165341552542.0,,,179178255.0,3145031364.0,,2466799003.0,1326559573.0,25004834864.0,,,,,5065484518.0,5024455669.0,96841818579.0,,11586045113.0,,,18093971640.0,4645793322317.0,,169145688.0,,,,,,92986424438.0,4725699010.0,5249917254.0
1967,,,,,,,186320169964.0,,,,278310424154.0,113018252763.0,,1029151061.0,146690898041.0,2024999131.0,1477066550.0,28111938729.0,,,4304394227.0,,,198550878.0,2807253305.0,6762931564.0,258384067873.0,2558485385.0,,,311034576.0,1067946130.0,402424491586.0,286680708387.0,36270742031.0,175762485053.0,9307163143.0,5141012904.0,22699718872.0,1536221035.0,42211479864.0,,,6973799848.0,,,,,,1182912482567.0,,,112813620772.0,5998038557.0,29785790538.0,14301529480.0,30356681177.0,,322990665643.0,,7052500667.0,65544827211.0,1140581419.0,745158757031.0,,,2735320899.0,972109334166.0,8020635559.0,8808259025.0,,253504725.0,,,71989954837.0,,,10866490704.0,,1952073734.0,21358246843.0,3563884850.0,,6725703043.0,42049802771.0,60595510800.0,,173987108161.0,30940931207.0,101110205808.0,9806505271.0,3582329882.0,30510977643.0,714937421885.0,7151436058.0,,1144905624564.0,,8507938913.0,,,,,44684104770.0,,,,3746685675.0,20265366359.0,,,8273137569.0,307177536.0,,10331253782.0,,,12673702326.0,,,4784716703.0,,243477063182.0,,,2208088439.0,,3116832787.0,,,,,1618224178.0,1305073285.0,1430431584.0,15732015396.0,,,3505606409.0,65927285449.0,5325046369.0,233217763700.0,95115541631.0,3923054320.0,,54384875094.0,2790262280.0,,,15668362189934.0,30162822259.0,5487960279.0,42892972386.0,44498543744.0,,4058236946.0,,25015031909.0,54878184176.0,4045654269.0,,2260237893.0,,,,1043944762.0,76406337221.0,10321430684.0,4309866483.0,9857909188.0,,2525116116.0,9532719323.0,,996783740.0,,,,1905743497.0,,,170905938215.0,,,180082638.0,3404738073.0,,2485724319.0,1399525278.0,27159247018.0,,,,,5168947937.0,5032592899.0,101424867564.0,,12225972344.0,,,17432305113.0,4773211933325.0,,153036568.0,,,,,,99678213920.0,5099960030.0,5689178299.0
1968,,,,,,,195305461613.0,,,,292486739692.0,118072782527.0,,1026085388.0,152843304453.0,2102806394.0,1522423925.0,30779608227.0,,,4666900132.0,,,213178569.0,2866353374.0,7339771963.0,283705706525.0,2735579172.0,,,343901775.0,1082941302.0,422579012939.0,296966886752.0,37566955711.0,168556223190.0,10475049116.0,5467278232.0,23683229243.0,1653455074.0,44715936774.0,,,7564711134.0,,,,,,1249969106699.0,,,119416599036.0,6012365501.0,33001535545.0,14574608375.0,29868912347.0,,344298424898.0,,7344628492.0,67054514651.0,1230872372.0,778321728132.0,,,2803944654.0,1025309894084.0,8378001665.0,8840749198.0,,277780701.0,,,77175907942.0,,,11819051088.0,,1972079123.0,22083918552.0,3799036503.0,,6939689176.0,44110243106.0,67209619010.0,,179881668161.0,33491679547.0,115674304556.0,11719960412.0,3385363290.0,35466555950.0,761726892208.0,7562224000.0,,1292397726863.0,,9187101299.0,,,,,50567110466.0,,,,3925360307.0,27128012832.0,,,8753070070.0,306049826.0,,10763500260.0,,,13927351920.0,,,5111454772.0,,266420585705.0,,,2289973416.0,,3492702255.0,,,,,1783225478.0,1215158229.0,1402923252.0,16987114742.0,,,3519050222.0,65104275426.0,5396559614.0,248181328024.0,97265034480.0,3949553904.0,,54358308883.0,5075146585.0,,,16603001893725.0,32344565831.0,5870876595.0,42958271665.0,46740451307.0,,4235159448.0,,26310919276.0,59748902480.0,4228804025.0,,2597709541.0,,,,1117164761.0,82259159326.0,10524063160.0,4580990423.0,11191387994.0,,2576121538.0,9841264124.0,,1017018224.0,,,,2050580003.0,,,177124360483.0,,,193684704.0,3531703487.0,,2474359119.0,1469833116.0,29365194461.0,,,,,5438515891.0,5556472161.0,108299441041.0,,12994443432.0,,,17761585972.0,5007791880196.0,,162998798.0,,,,,,103818221927.0,5163624360.0,5801262790.0
1969,,,,,,,214210104570.0,,,,313093232453.0,125482873518.0,,1011109250.0,162976509539.0,2163314605.0,1553269467.0,31155383509.0,,,5086065354.0,,,224064265.0,2964853490.0,7668160504.0,310657748645.0,2941251087.0,,,395911433.0,1159738545.0,443991228283.0,313694770516.0,39108395437.0,197109647391.0,11474286967.0,5735255755.0,25892599199.0,1778266546.0,47444734555.0,,,7980149936.0,,,,,,1342693099411.0,,,127535877471.0,6667199033.0,35784647535.0,15255131525.0,31445846805.0,,374965139160.0,,7446620220.0,73487247214.0,1262830871.0,833684910476.0,,,3030584989.0,1045192065287.0,8778177254.0,9371740063.0,,284546114.0,,,86100274027.0,,,12378908785.0,,2110013962.0,24588963101.0,3823936864.0,,7204226191.0,47153849881.0,71794859672.0,,191645390152.0,35455583097.0,133623091839.0,12100177780.0,3466260283.0,40277843295.0,808177455097.0,7983793326.0,,1453661751929.0,,9918323313.0,,,,,57930372849.0,,,,4211459133.0,30678497533.0,,,9428528702.0,310786059.0,,11836928851.0,,,15091980118.0,,,5301663360.0,,275528493194.0,,,2295263241.0,,3607672972.0,,,,,1805489620.0,1275101630.0,1485448247.0,17817535562.0,,,3325997034.0,80857806917.0,5733181024.0,264138020129.0,101646446365.0,4125839146.0,,59899960124.0,6377742274.0,,,17597723183240.0,34126072054.0,6366460137.0,44468022472.0,48932332357.0,,4585553584.0,,28777629536.0,61016022048.0,4427606505.0,,2527936595.0,,,,1240135221.0,87225874036.0,10670279283.0,4280745764.0,12739585038.0,,2795747409.0,10184273395.0,,999733290.0,,,,2142856103.0,,,185996652977.0,,,193684704.0,4194530603.0,,2644627446.0,1629028806.0,31288808475.0,,,,,5587024608.0,5820283202.0,112719298936.0,,13418275376.0,,,18803256921.0,5164159048266.0,,167661941.0,,,,,,108714188432.0,5141063668.0,6522257411.0
