Date,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,CIV,COL,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,GTM,HUN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,MEX,MLI,NLD,NOR,PAN,PER,POL,PRY,PSE,ROU,RUS,SRB,SVK,SVN,SWE,URY,USA,VNM,ZAF
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,
1968,,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,
1969,,,,,,,,,,,,,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316,,
1970,,,,,,,,,,,,,,,,,,,0.34,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,,
1971,,,,,,0.323,,,,,,,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329,,
1972,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328,,
1973,,,,,,0.304,,,,,,,0.271,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,,
1974,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,
1975,,,,,,0.303,,,,,,,,,,,,,0.323,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,,0.319,,
1976,,,,,,,,,,,,,,,,,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,
1977,,,,,,0.299,,,,,,,,,,,,,,0.245,,,,,,,,,0.321,,,,,,,,,,,,,,,,,,,,,0.316,,
1978,,,,,,,,,,,,,0.263,,,,,,,0.25,,,,,,,,,0.319,,,,,,,,,,,,,,,,,,,,,0.31,,
1979,,,,,,0.3,,,,,,,,,,,,,0.301,0.252,,,,,,,,0.304,0.323,,,,,,,,0.225,,,,,,,,,,,,,0.313,,
1980,,,,,,,,,,,,,,,,0.319,,,,0.262,,,,,,,,,0.311,,,,,,,,,,,,,,,,,,,,,0.31,,
1981,0.282,,,,0.533,0.295,,,,,,,,,,,,,,0.269,,,,,,,,,0.296,,,,,,,,,,,,,,,,,,,0.198,,0.316,,
1982,,,,,0.539,0.296,0.316,,,,,,,,,,,,,0.273,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,0.329,,
1983,,,,,0.545,,,,,,,,0.26,,,,,,,0.272,,,,,,,,,0.289,,,,,,,0.255,,,,,,,,,,,,,,0.337,,
1984,,,,,0.527,0.307,,,,,,,0.255,,,,,,0.299,0.27,,,,,,,,,0.296,,,,,0.434,,,,,,,,,,,,,,,,0.338,,
1985,0.293,,0.228,,0.538,0.305,,,,,,,0.251,,,0.315,,,,0.285,,,,,,,,,,,,,0.231,,,,,,,,,,,,,,,,,0.341,,
1986,,,,,0.535,0.287,,,,,,,0.247,,,,,,,0.298,,,,,,,,0.31,0.295,,,,0.245,,,,0.235,,,0.271,,,,,,,,,,0.342,,
1987,,,,,0.541,0.289,,,,,,,0.25,0.257,,,,0.207,,0.314,,,,,,0.329,,,0.329,,,,0.264,,,0.236,,,,,,,,,,,,0.212,,0.339,,
1988,,,0.235,,0.571,0.286,,,,,,,0.254,,,,,,,0.323,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,0.344,,
1989,0.304,,,,0.588,0.283,,,,,,,0.256,,,,,,,0.315,,,,,,,,,0.299,,,,0.271,0.469,,,,,,,,,,,,,,,,0.347,,
1990,,,,,0.569,0.287,,0.507,,,,,0.258,,,0.302,,,0.289,0.333,,,,,,,,,,,,,0.247,,,0.271,,,,,,,,,,,,,,0.345,,
1991,,,,,,0.293,,,,,,,0.268,,,,,0.209,,0.329,,,,0.294,,,,,0.29,,,,0.24,,,,0.233,,,,,,,,,,,,,0.345,,
1992,,,0.228,,0.54,0.286,0.31,0.508,,,,0.205,0.264,0.241,,,,,,0.325,,,,,,,,0.305,,,,,0.243,0.499,,,,,,0.262,,,,,,0.189,,0.229,,0.351,,
1993,,,,,0.562,0.288,,,,,,,0.257,,,0.342,,,,0.327,,,,,,,,,0.339,,,,0.236,,,0.261,,,,,,,,,,,,,,0.373,,
1994,,0.278,,,,0.285,,0.506,,,,,0.262,,,0.339,,,,0.341,,,,0.327,,0.337,,,,,,,0.255,0.504,,,,,,,,,,,,,,,,0.369,,
1995,0.311,0.266,0.268,,0.568,0.287,,,,,,,0.258,0.22,,0.343,,0.217,,0.337,,0.35,,,,0.343,,,0.34,,,,0.252,,,,0.241,,,0.32,,,0.28,,,,,0.221,,0.365,,
