Date,AFG,AGO,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,CPV,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GNB,GNQ,GRC,GTM,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MUS,MWI,MYS,NAM,NIC,NLD,NOR,NPL,NRU,NZL,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLV,SMR,SOM,SRB,SVK,SVN,SWE,SYC,TGO,THA,TJK,TLS,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VUT,WSM,ZAF,ZMB,ZWE
2000,,28.7,,9.62,,23.02,26.23,,27.27,,,20.46,3.73,10.68,,16.62,13.07,12.33,,,10.36,,,14.86,10.03,16.07,,,,,11.22,,12.84,35.53,14.47,11.7,31.59,12.16,,,,19.69,,24.24,,23.39,,,26.09,11.4,,,,22.47,10.06,,22.17,22.38,,8.81,26.35,5.86,,25.11,26.39,23.81,22.49,19.0,10.22,,,,,16.53,14.26,11.9,,17.05,14.5,22.94,20.3,25.47,20.72,14.92,,14.73,,13.8,9.13,,,10.79,48.59,2.97,13.91,,16.95,,13.67,27.43,10.65,20.94,26.67,8.74,,,,7.5,,12.61,12.44,,18.98,16.96,20.88,,,17.96,13.73,,,,,14.86,,10.61,,,,18.5,20.1,29.86,24.51,,12.98,7.7,,,19.29,,,,13.62,14.7,12.97,,19.7,,,20.98,,
2001,,29.25,,9.32,,24.86,27.97,,26.79,,6.61,19.78,4.1,9.86,,15.75,13.96,11.78,,,8.8,,,14.18,8.97,15.91,,9.54,,9.07,,,13.36,36.39,14.74,10.96,30.17,13.38,,,,19.22,8.08,21.89,,23.37,,,25.74,11.8,17.19,,,20.94,11.04,,21.25,21.4,11.58,8.08,24.21,5.75,,22.76,25.9,23.41,21.41,18.68,9.64,,,,,15.73,13.55,11.88,,16.49,14.63,25.78,19.4,24.98,20.66,16.4,,12.17,,9.83,,,,10.59,51.42,2.26,14.66,,15.14,,17.79,26.31,9.8,21.21,26.04,8.8,,28.56,,,,12.9,12.27,,24.7,16.06,20.51,,,16.63,15.78,,,,,14.59,,13.31,,,,17.28,19.95,27.89,,,13.07,8.2,,22.12,19.6,,,,11.66,15.31,11.86,,19.36,,,21.7,16.54,
2002,,15.53,,9.82,,23.55,26.98,,25.71,9.66,6.69,18.15,3.58,9.0,,14.2,14.51,13.18,,,9.54,,,13.38,8.96,16.07,,10.05,,8.14,,,13.37,36.62,14.56,10.84,30.12,13.22,,13.41,,19.63,9.71,22.47,,22.57,,,24.96,11.62,17.49,,,21.27,12.07,,21.65,20.89,11.83,8.68,23.52,4.99,,22.59,24.9,22.89,21.86,17.48,12.13,,,8.17,,21.03,13.25,14.43,,16.66,14.02,24.19,19.2,24.78,19.96,17.23,17.11,12.88,,9.51,,,,11.17,53.73,2.0,13.37,,15.01,,17.45,26.06,10.4,21.16,27.13,8.56,,28.21,,,,12.49,11.67,,21.01,16.84,20.83,,,16.49,13.63,,,,,12.69,,12.1,18.1,,,17.12,20.5,26.76,,,13.47,,,20.46,19.54,,,,12.63,15.78,9.87,,20.72,,,20.82,15.44,
2003,,17.17,,12.52,,24.3,26.65,,25.08,9.86,6.97,20.12,3.31,9.29,,17.69,14.57,12.97,,25.24,9.64,,,13.23,8.98,15.77,,9.66,,8.65,11.26,,13.58,37.61,14.99,11.0,30.14,11.75,,13.35,,19.83,9.12,22.06,,22.12,,,24.56,10.92,18.48,,,19.71,11.86,13.75,21.1,20.66,12.39,9.11,24.16,5.2,,23.68,24.14,22.76,24.07,18.22,13.08,,,7.54,,21.5,13.69,15.38,,16.17,12.71,27.11,19.06,24.63,20.2,20.05,16.86,14.67,8.6,9.42,,,,12.77,54.07,2.21,18.04,,16.1,,15.5,23.19,11.72,20.35,25.87,8.65,,29.25,,,,13.41,11.67,,,16.72,19.88,,,17.77,13.31,,,,,12.45,,12.68,16.91,,,17.68,20.67,26.89,,,14.48,9.7,,21.3,18.75,,,,13.16,17.21,9.39,,19.83,,,20.49,14.86,
2004,,18.07,,13.1,14.0,24.26,26.31,,25.54,11.29,7.05,21.03,4.22,9.43,,18.37,14.92,15.02,,25.77,7.91,,6.21,13.34,9.02,16.42,,10.01,,7.81,,,13.36,37.3,15.41,10.43,31.29,12.52,,13.84,,20.23,9.68,21.81,22.35,22.16,,,25.15,15.1,21.75,,,19.13,11.74,14.5,20.32,20.36,12.33,9.57,25.07,5.2,,24.77,24.04,22.22,24.17,21.0,13.91,,,8.12,,21.25,12.97,16.51,,17.21,13.47,28.96,19.36,24.04,20.33,21.27,17.12,16.36,9.37,10.49,,,,13.69,55.02,3.27,,,16.24,,15.2,24.27,12.19,20.17,27.32,8.97,,29.26,,,,13.66,11.36,,,15.69,19.98,,,17.42,13.23,,,,,11.6,,12.65,15.93,,,17.29,20.63,27.25,,13.15,14.85,9.82,,22.03,18.67,,,,12.81,17.85,9.54,,19.59,,,21.7,15.32,
2005,,17.11,,13.1,14.34,24.75,25.51,,25.47,10.45,7.14,20.89,,10.0,19.89,20.15,16.17,16.22,,26.73,8.58,,,13.3,9.13,18.12,8.57,9.87,,5.69,,21.08,13.64,39.59,14.48,10.66,33.07,13.7,,14.07,,19.1,8.72,21.79,21.54,22.3,,,25.49,16.54,21.32,,,20.33,11.38,14.53,20.36,19.9,,10.08,25.46,6.66,,27.24,24.57,21.96,23.22,24.42,,,,7.89,,20.66,13.31,15.17,7.64,17.64,13.73,28.57,19.75,25.34,21.44,20.98,18.99,18.49,8.69,11.57,,,18.43,13.3,58.82,3.88,,,17.26,,14.83,25.73,12.9,21.23,28.2,9.18,,30.31,14.09,,,14.1,11.92,,,16.47,20.58,8.26,4.66,17.47,16.62,,,,,11.58,,14.51,16.94,,,18.01,21.15,28.56,25.66,12.88,16.06,,,26.38,18.88,,,,16.53,17.9,10.68,,19.72,,,22.97,14.79,
2006,6.97,23.39,,12.88,14.4,24.51,25.05,,25.29,10.78,7.04,21.81,,11.25,21.69,22.22,16.74,16.82,,25.28,9.27,27.53,,13.35,9.19,19.61,9.06,10.33,,5.3,,22.74,13.84,41.54,14.22,10.85,31.86,13.99,,15.83,,19.96,8.26,21.42,23.39,22.58,,,25.77,18.57,12.53,,9.67,19.98,12.05,15.24,20.67,19.81,,11.13,26.82,6.22,,26.9,25.31,23.33,24.01,24.55,,,,8.18,,20.85,13.73,15.01,7.24,17.63,14.58,33.92,20.48,23.93,22.12,21.13,19.4,19.57,9.2,11.76,,,18.08,13.32,60.03,,28.71,,16.03,,14.52,29.07,13.68,21.6,28.8,8.78,,31.99,14.56,,,15.67,13.13,,,17.16,21.13,8.35,4.22,17.95,16.57,,,,,11.83,,15.67,17.22,,,16.8,20.89,28.56,23.21,13.89,15.64,,,30.26,18.51,,,,17.09,18.83,11.31,,20.82,,,24.38,13.71,
2007,5.28,21.5,,12.45,15.96,24.04,25.39,,24.79,11.28,6.92,21.76,,11.36,21.39,23.73,17.41,16.96,,25.96,7.7,26.62,,13.33,9.07,20.38,9.77,10.67,,6.03,,19.18,14.86,48.56,14.61,11.33,35.09,14.89,,15.35,,20.22,7.81,21.07,19.21,22.12,,,25.99,20.96,13.88,,7.55,20.24,12.26,16.39,20.51,21.38,,12.11,25.94,5.94,,25.96,25.3,23.76,24.79,24.69,,,,9.7,,21.63,14.82,14.94,10.2,18.27,14.22,39.31,20.37,24.38,21.61,25.46,21.73,20.57,9.85,12.15,,,19.07,13.06,62.5,,23.48,,15.11,,14.3,30.53,13.86,21.6,28.08,9.77,,30.11,14.79,,,16.41,12.96,,,18.09,21.35,7.84,4.39,17.54,16.55,,,,,12.82,,16.74,17.64,,21.3,16.75,20.07,28.51,22.31,10.88,15.14,,,26.0,19.07,,,,15.82,18.11,11.29,,20.9,,,24.81,14.08,
2008,6.09,25.65,,13.32,17.32,24.21,26.08,16.42,25.25,10.55,7.66,21.97,,12.12,20.3,25.35,17.15,,,25.43,8.63,27.92,8.28,12.39,9.59,18.71,10.1,10.74,,5.9,13.03,19.42,15.23,46.05,13.67,11.47,33.42,14.16,,15.32,,19.3,7.81,20.49,22.71,22.01,4.29,,26.46,24.22,13.9,,7.79,20.21,11.46,16.13,20.29,23.26,13.31,10.98,23.81,6.2,,22.8,23.28,23.49,24.68,17.15,,,,10.56,,20.04,14.5,16.42,9.84,18.68,13.28,38.26,20.48,23.56,20.68,30.24,24.07,20.45,11.39,11.58,9.58,19.42,18.52,11.84,25.81,,21.65,,16.97,,14.66,29.7,13.2,21.14,27.76,10.44,,31.53,14.38,,,16.51,13.03,16.59,,18.27,21.05,8.09,4.62,16.79,15.82,,,,,13.75,,17.06,17.67,,21.15,16.45,19.41,27.47,22.08,10.34,15.38,,,29.49,20.5,17.5,,,17.09,17.8,10.28,,22.64,,,24.32,13.26,
2009,8.48,18.36,,12.38,16.51,22.02,25.23,14.11,23.78,11.13,7.5,18.59,,11.25,18.95,18.63,17.87,,,24.71,9.47,27.69,7.91,12.3,9.35,14.61,10.31,10.5,,8.22,12.68,16.88,13.18,23.25,13.57,11.61,33.18,12.64,,15.66,,21.52,6.58,18.88,21.75,20.7,4.4,,24.17,23.51,12.61,,12.76,19.78,10.5,14.16,19.4,23.29,11.06,9.81,22.06,7.36,,19.93,21.39,23.74,24.96,16.53,,,,9.65,,18.87,13.65,16.86,,19.13,12.8,39.99,17.04,23.84,18.67,29.31,21.54,17.69,8.34,9.1,9.23,18.47,17.13,12.97,26.01,,16.54,,18.07,9.94,14.94,29.07,13.14,20.94,25.85,11.84,,29.69,13.17,,,14.46,11.7,15.62,,16.05,19.06,8.33,4.69,15.27,12.96,,,6.47,,12.95,,14.98,16.94,,20.0,15.52,18.0,27.23,25.13,10.32,14.19,,,26.83,20.05,18.07,11.53,,15.79,18.12,7.9,,22.43,16.5,,21.89,11.69,9.2
2010,9.17,16.6,,12.85,17.07,20.48,25.28,12.16,24.47,11.31,7.83,17.87,,10.76,19.69,16.32,18.96,,14.25,24.71,13.46,23.88,8.41,11.73,9.36,17.47,10.21,10.21,,6.9,12.14,16.82,12.95,23.11,13.65,11.19,32.74,12.21,,14.13,,19.82,8.16,18.6,21.82,21.95,4.66,,25.27,21.43,13.39,,7.59,20.39,10.61,14.43,19.46,22.59,10.54,10.39,21.84,,,20.23,22.08,23.68,24.28,15.5,15.71,,,10.0,,16.31,13.44,16.84,11.21,18.21,10.93,30.3,15.96,23.82,19.66,34.39,21.09,15.16,8.54,,9.68,17.81,16.87,12.89,25.31,,19.59,14.35,18.02,10.56,13.33,25.54,13.68,20.99,26.74,13.4,,26.15,13.36,,,15.47,11.64,16.8,,16.62,19.64,8.87,5.02,16.24,13.05,,2.53,5.86,,12.79,,15.81,15.59,,20.23,15.0,18.06,27.4,27.51,10.51,14.93,,110.17,26.24,19.2,18.86,9.91,,15.0,18.14,8.56,,21.67,16.19,,22.52,12.83,17.43
2011,8.92,16.1,0.31,12.66,17.22,20.32,25.43,12.22,24.94,12.22,8.69,17.88,,13.01,20.31,14.51,18.45,,14.85,25.96,13.84,24.05,7.54,11.8,9.32,18.94,10.31,7.57,,8.11,14.58,17.99,13.21,23.21,14.52,11.48,32.75,12.3,,14.01,,19.24,9.21,20.02,22.92,21.82,4.96,,25.82,23.21,14.87,,7.02,22.48,11.02,14.79,18.87,21.04,11.16,10.18,21.84,,,20.58,22.3,23.65,23.36,14.61,18.26,,,10.15,17.73,18.08,13.85,16.38,11.15,18.05,10.85,30.21,15.48,23.99,20.6,37.42,21.45,15.24,8.71,,9.62,17.11,17.0,12.55,25.81,,18.47,16.8,18.0,10.62,14.79,29.55,14.52,20.23,27.55,11.62,,25.67,13.71,,,15.97,11.85,17.62,,16.78,21.13,9.37,4.91,17.22,13.95,,2.31,3.86,,13.11,25.16,15.34,16.15,,19.05,15.97,17.84,26.63,31.69,11.41,16.36,,135.48,25.64,20.17,18.57,9.79,,17.84,18.2,9.54,12.37,21.38,16.44,,22.87,14.72,17.93
2012,7.71,14.82,0.35,12.95,17.49,21.1,25.93,12.78,25.82,13.89,9.02,18.39,,12.04,20.48,14.66,18.53,,14.33,24.45,15.05,28.04,8.17,11.66,9.17,18.99,10.26,10.62,11.34,7.28,13.23,16.28,13.11,23.4,14.93,11.62,33.45,13.03,,12.38,11.76,19.95,9.38,20.14,22.89,22.53,4.89,14.06,25.09,23.66,15.37,,8.74,24.27,11.01,14.75,19.42,22.87,11.38,10.84,22.52,,,21.5,21.71,24.95,24.33,14.92,13.31,,,11.08,18.38,17.9,14.08,15.2,12.97,17.15,10.11,38.08,15.53,24.43,21.08,36.8,21.97,15.6,8.37,,9.35,16.46,16.42,12.99,25.69,4.52,15.31,18.63,18.62,9.32,15.61,32.93,15.01,19.41,26.87,12.04,,26.91,13.76,,,16.55,12.31,18.36,,16.1,20.77,9.46,4.22,17.16,13.75,,2.52,6.89,,13.58,26.18,16.18,18.02,,18.55,15.52,17.87,26.3,29.56,11.36,15.44,,147.64,24.79,20.12,18.11,10.43,,17.63,17.79,9.76,13.17,21.84,17.38,20.54,23.35,14.89,17.84
