Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,8.07,16.855,10.304,1.625,5.44,1.783,9.586,3.42,0.9,3.158,6.984,1.64,2.477,2.2,11.1,1.051,12.17,17.55,0.6,9.69,2.934,6.894,22.323,4.7,1.385,13.82,5.334,10.316,1.818,5.23,2.37,6.603,8.936,3.267,19.917,10.12,4.805,13.535,5.37,8.311,3.0,2.27,5.316,25.669,9.099,6.907,20.6,4.385,9.38,5.097,15.929,1.468,3.264,6.503,4.633,9.134,17.282,8.55,2.7,3.489,4.573,9.861,3.038,7.25,7.572,2.684,3.509,12.055,1.8,4.58,11.14,7.363,8.5,2.617,7.722,15.771,11.1,8.652,2.548,13.387,10.097,6.235,21.406,2.059,0.9,2.792,1.0,0.781,2.407,0.881,2.498,8.609,2.641,18.538,16.498,14.661,15.59,1.1,1.482,2.7,3.01,13.538,1.9,6.168,0.799,3.145,24.5,1.405,6.353,0.832,30.228,5.659,2.842,9.984,9.507,4.923,3.702,19.14,18.009,1.583,3.851,7.946,7.285,5.407,10.484,10.614,4.055,5.861,5.1337795,0.611,6.445,4.934,3.729,2.799,13.611,16.18,2.3,3.919,5.1,10.653,11.592,0.87,8.218,5.068,12.31,7.294,15.652,2.867,2.18,1.985,4.085,7.53,19.315,13.339,12.37,14.513,17.085,12.166,7.08,3.243,20.684,6.75,0.674,4.085,2.63,1.845,1.4,3.51,1.349,18.52,15.946,8.21,3.6,3.464,1.9,8.95,6.8,1.9,19.77,9.45,11.718,2.142,7.997,2.1,8.409,23.002,18.9,4.813
1992,8.011,16.978,30.007,1.713,6.36,1.8,10.733,3.59,1.8,3.133,6.702,1.51,2.511,2.234,15.3,0.971,14.81,18.5,3.1,9.697,3.031,7.086,22.94,4.711,1.397,16.326,5.455,11.197,2.344,4.35,2.37,6.7,8.999,3.36,19.92,9.44,4.532,13.448,3.93,8.778,2.09,2.6,6.323,25.985,9.027,6.7,24.38,4.346,8.92,5.256,17.697,3.681,3.379,11.595,4.653,10.203,17.725,9.772,5.4,4.7,4.598,9.961,3.099,7.45,8.927,2.639,3.837,11.9,1.96,3.06,10.914,7.428,9.942,2.734,7.733,15.021,10.653,8.368,4.305,14.08,9.321,6.389,19.945,2.158,1.0,2.903,1.1,0.76,2.513,0.875,2.717,8.259,2.623,18.796,16.529,14.22,15.543,1.2,2.029,6.6,2.196,13.8,3.7,6.268,0.805,3.235,26.3,1.483,6.349,0.8,30.283,5.843,3.033,10.058,9.451,5.073,3.71,18.932,18.616,1.566,3.81,7.838,5.555,5.91,10.493,10.667,4.158,6.316,5.2901096,0.596,6.303,5.071,3.844,2.618,13.645,16.93,2.333,3.985,4.98,10.672,11.731,0.87,8.26,5.181,12.12,7.2,15.702,2.926,3.09,1.868,4.266,7.88,19.536,13.372,12.414,14.662,17.28,12.192,7.809,5.722,21.052,6.949,0.664,4.222,1.35,1.85,1.5,3.537,1.35,19.66,15.616,8.509,3.679,3.556,1.9,8.96,7.5,2.9,19.545,7.69,11.891,2.11,7.964,2.44,8.342,23.262,19.544,4.938
1993,7.888,17.399,25.251,1.905,10.1,5.3,10.879,4.25,4.5,3.08,8.078,1.495,2.438,2.311,16.4,0.884,12.72,19.454,8.5,9.78,3.05,6.03,24.54,4.806,1.433,18.759,5.521,11.377,3.551,4.49,2.69,5.866,9.089,3.433,19.985,7.8,4.576,13.314,3.95,9.261,2.7,4.349,7.675,26.728,10.719,6.331,26.23,4.415,10.92,5.33,22.156,6.544,3.235,16.201,4.702,11.32,17.78,10.346,5.4,5.239,4.573,9.986,3.148,7.594,10.177,2.599,5.527,11.71,1.96,3.097,10.794,7.595,12.098,2.782,7.75,15.571,10.567,8.381,5.257,12.741,10.212,6.236,19.7,2.539,1.11,2.985,1.248,0.745,2.878,0.8,2.739,8.262,2.493,19.005,16.8,13.82,15.658,13.8,2.33,16.7,2.057,14.029,3.7,6.307,0.792,3.365,27.7,1.423,6.346,0.784,30.348,5.845,2.899,9.874,9.512,5.002,4.11,19.104,18.803,1.539,4.038,7.862,6.287,5.965,10.517,9.804,4.004,7.299,5.5596943,0.61,6.364,4.803,3.863,2.397,14.393,16.91,2.433,5.301,5.06,10.685,11.786,0.87,8.273,5.883,12.154,7.078,15.52,2.881,3.07,1.846,4.285,9.94,19.491,13.395,12.242,14.476,15.64,12.2,8.51,9.33,21.75,7.4,0.7,4.491,1.49,2.65,1.5,3.556,1.3,19.81,15.954,8.962,3.878,3.497,2.0,8.35,6.9,4.9,19.667,6.6,11.989,2.038,8.288,2.69,8.344,23.179,19.7,4.99
1994,7.822,17.4,20.835,1.836,11.76,6.6,9.724,3.535,6.3,3.095,9.645,1.455,2.58,2.371,12.8,1.009,13.83,20.383,12.8,11.1,3.08,6.578,22.98,4.892,1.413,21.2,5.551,10.395,3.58,5.87,2.9,5.041,8.83,3.389,20.232,8.25,4.57,13.016,4.05,8.801,2.7,4.284,8.727,27.103,8.036,6.29,27.74,4.419,10.93,5.385,24.209,7.561,3.1,16.426,4.611,12.593,17.794,9.648,8.4,5.896,4.526,10.102,3.172,7.699,9.808,2.581,7.6,11.622,1.9,3.136,10.45,7.97,10.847,4.366,7.645,14.544,10.448,8.243,5.326,9.934,11.086,6.338,16.899,2.89,7.54,2.962,1.384,0.995,2.476,0.7,2.636,8.35,2.402,19.349,17.0,13.03,15.706,13.8,3.479,18.7,2.48,13.869,5.8,6.103,0.791,4.436,30.0,1.509,6.343,0.745,30.334,5.701,2.881,9.991,9.524,5.349,3.64,19.4,18.948,1.502,4.078,7.685,7.159,5.349,10.465,8.354,4.067,7.46,5.800499,0.617,6.429,4.505,3.765,2.432,14.825,14.6,2.538,6.709,4.41,10.761,11.998,0.87,8.17,8.131,12.222,6.889,15.64,2.941,3.03,1.82,4.325,7.68,19.974,13.374,12.352,14.424,12.7,13.654,8.24,9.58,21.717,7.5,0.709,4.214,1.347,3.15,4.7,3.567,1.705,18.44,16.009,8.577,3.847,3.471,2.0,9.04,6.119,7.3,19.967,8.56,11.751,1.972,8.103,3.0,8.34,22.942,18.648,4.96
1995,7.817,16.987,14.607,1.8,18.8,6.7,8.473,4.345,7.2,3.077,9.337,1.305,2.533,2.441,11.1,1.047,10.83,21.078,17.7,12.48,2.661,7.092,19.66,4.982,1.404,21.394,5.51,9.489,3.094,4.7,3.0,4.1,8.566,3.276,20.192,8.72,4.681,12.969,5.18,8.27,2.6,4.082,8.158,27.279,6.992,6.45,31.84,4.417,11.04,5.266,22.675,9.659,3.029,17.005,4.66,11.834,17.411,8.694,7.6,6.48,4.481,10.201,3.132,7.738,10.116,2.577,7.9,11.643,3.22,3.24,10.108,7.565,10.168,4.611,7.608,11.97,9.896,8.446,5.196,8.782,11.661,6.327,14.6,3.15,10.98,2.856,1.474,0.974,2.063,0.694,2.6,8.442,2.391,19.443,15.83,12.27,15.875,17.54,2.918,19.0,3.581,14.052,5.3,6.088,0.79,7.095,35.6,1.464,6.34,0.759,30.294,5.5,2.76,9.797,9.59,4.914,3.15,21.312,18.63,1.495,4.163,7.414,7.157,6.307,10.484,6.461,4.16,7.2,5.930044,0.632,6.526,4.717,3.683,2.613,13.695,13.93,2.557,7.064,3.4,10.705,11.957,0.87,8.01,9.449,11.972,6.45,15.65,2.853,3.3,1.856,4.22,7.65,19.747,13.4,12.361,14.356,8.39,13.109,7.15,8.897,21.65,7.2,0.749,4.02,1.1,3.45,8.3,3.52,2.003,17.22,16.339,7.644,3.663,3.235,5.62,10.02,5.65,7.8,19.994,10.24,11.384,1.955,8.153,3.245,8.988,22.647,16.828,5.571
1996,7.867,16.275,13.928,1.834,17.11,9.3,8.509,5.282,8.1,3.076,9.483,1.246,2.451,2.51,12.5,1.182,11.46,21.725,24.4,13.82,2.373,8.035,14.71,5.035,1.392,21.593,5.488,9.62,3.684,7.414,3.12,4.043,8.06,3.153,20.033,11.81,4.781,12.934,6.16,7.61,3.1,3.852,8.822,27.153,6.844,6.496,28.308,4.43,9.0,5.215,22.142,9.915,3.146,15.572,4.633,12.367,17.347,8.189,11.5,7.083,4.5,10.235,3.022,7.792,10.402,2.625,8.283,11.611,2.83,4.37,9.68,7.325,10.022,4.861,7.558,11.692,9.1,8.527,3.6,8.455,11.864,6.62,13.7,3.383,12.96,2.783,1.525,0.963,2.048,0.7,2.449,8.435,2.354,19.296,16.33,11.35,15.788,16.4,3.286,20.7,4.249,13.398,7.9,6.087,1.013,5.465,38.8,1.424,6.337,0.758,30.235,5.533,2.764,9.794,9.505,4.955,2.52,22.835,18.64,1.498,4.056,7.102,6.421,5.036,10.443,6.29,4.247,7.125,5.992539,0.616,6.524,4.931,3.613,2.734,12.684,13.64,2.592,7.298,8.15,10.731,11.934,0.87,6.74,9.665,11.586,5.852,15.624,2.84,3.57,1.89,4.216,7.68,19.651,13.2,12.336,14.342,10.88,11.341,6.886,9.547,22.074,7.222,0.703,3.666,1.071,4.05,10.3,3.479,2.408,16.25,16.059,6.629,3.469,3.213,7.65,11.93,5.451,10.7,20.339,11.77,11.408,1.93,8.108,3.516,9.585,22.48,15.3,6.163
1997,7.863,16.172,16.872,1.904,14.82,10.8,8.367,5.15,9.1,3.116,8.95,1.099,2.416,2.698,13.7,1.129,9.76,22.378,17.1,12.68,2.08,9.003,14.61,5.186,1.393,21.048,5.449,9.1,4.127,7.136,3.23,3.973,7.864,3.166,19.886,12.14,4.564,13.078,5.68,7.1,3.4,4.674,9.861,27.156,5.4,6.324,25.43,4.431,8.37,5.328,20.698,10.369,3.255,14.967,4.728,12.566,17.197,7.072,11.5,7.636,4.458,10.053,2.986,7.832,10.472,2.61,9.67,11.624,2.22,3.32,9.71,6.978,8.991,4.684,7.61,10.191,9.681,8.286,3.72,9.751,11.985,6.703,13.739,3.374,13.01,2.827,1.551,0.638,2.608,0.7,2.352,8.62,2.256,19.437,20.47,10.6,15.896,14.13,2.527,17.569,3.261,14.023,7.9,5.969,1.24,4.235,36.0,1.414,6.333,0.769,30.298,5.613,2.7,9.815,9.39,4.723,2.45,24.45,18.381,1.502,3.977,7.079,5.511,4.687,10.535,6.857,4.188,6.912,6.022391,0.631,6.406,4.768,3.598,2.856,10.964,13.8,2.68,6.571,5.36,10.507,11.877,0.87,5.515,11.813,11.217,5.327,15.305,2.776,2.5,2.022,4.253,7.98,19.267,13.8,12.042,14.421,10.56,11.894,6.658,10.359,22.5,7.31,0.732,3.677,0.873,4.15,11.0,3.433,2.857,15.01,15.94,6.841,3.338,3.247,8.93,11.44,5.0,10.9,20.116,11.16,11.297,2.87,8.24,3.78,10.223,22.518,13.305,6.93
1998,7.89,16.371,20.042,2.068,12.65,9.4,7.684,5.483,10.0,3.159,9.322,1.048,2.44,2.893,12.2,1.117,7.65,23.295,14.0,14.31,2.121,10.15,12.4,5.347,1.4,20.86,5.421,8.278,3.568,7.307,3.24,4.1,7.702,3.188,19.895,15.0,4.617,13.117,5.33,6.23,3.3,6.455,9.787,27.013,5.039,6.301,26.853,4.395,8.03,5.441,18.673,9.51,3.494,13.214,4.747,12.074,17.176,6.198,14.53,8.2,4.488,9.956,3.39,7.886,12.227,2.609,7.74,11.731,4.58,4.02,11.392,7.162,8.925,5.459,7.639,7.699,10.358,8.087,3.069,10.749,12.117,6.86,13.838,4.078,13.13,2.85,1.632,0.71,6.963,0.7,2.294,8.564,2.197,19.282,21.6,9.17,15.983,13.711,2.763,14.454,4.607,13.393,10.0,5.9,1.47,3.733,34.5,1.35,6.33,0.776,30.269,5.755,2.64,9.984,9.269,4.935,3.2,23.081,18.623,1.389,3.935,7.187,4.394,3.737,10.551,7.718,4.259,6.498,6.1709743,0.645,6.23,5.096,3.698,2.862,9.935,13.46,2.871,4.64,4.417,10.422,11.797,0.87,5.63,13.261,11.352,4.771,15.336,2.769,3.41,2.164,4.161,7.1,19.169,13.7,12.072,14.402,10.63,12.421,7.4,8.941,23.195,7.376,0.727,3.826,3.404,4.65,12.2,3.445,3.356,14.21,15.476,6.888,3.28,3.437,11.32,9.362,4.511,13.3,20.514,11.15,11.187,2.29,8.24,4.128,10.829,22.673,12.0,6.39
1999,7.903,16.593,20.835,2.197,14.05,11.2,6.876,4.699,10.9,3.125,8.649,0.949,2.549,3.087,14.1,1.115,7.45,24.284,12.8,12.84,2.303,11.125,10.61,5.434,1.4,18.236,5.411,7.583,3.053,11.158,3.25,4.415,7.601,3.22,20.11,20.06,4.546,13.13,5.9,6.26,5.532,8.702,8.854,26.74,5.141,6.308,28.548,4.658,7.95,5.553,15.475,11.573,3.714,11.693,4.702,11.981,17.572,6.042,13.8,10.1,4.509,9.804,3.539,7.954,12.138,2.567,13.95,11.802,6.25,3.85,13.559,7.2,6.929,6.358,7.617,5.804,11.173,8.002,2.178,11.183,11.681,6.825,13.761,4.677,13.46,2.89,1.743,0.726,6.342,0.7,2.154,8.745,2.19,19.334,18.09,8.88,16.226,13.388,2.39,13.79,6.348,13.94,11.14,5.823,1.71,2.598,32.4,1.364,6.327,0.754,30.676,5.848,2.663,10.036,9.28,5.009,3.43,21.669,18.293,1.393,3.997,7.162,3.622,3.247,10.581,7.023,4.342,6.121,6.2886147,0.652,6.232,5.01,3.749,2.939,12.29,11.81,3.059,4.579,5.343,10.339,11.703,0.87,6.239,13.036,11.627,4.346,15.387,2.684,4.85,2.202,4.195,7.3,19.164,13.7,12.121,14.356,13.6,16.099,7.33,7.607,23.837,7.6,0.752,3.925,2.968,4.45,12.7,3.463,3.712,13.12,15.21,7.687,3.215,3.468,11.864,10.466,4.219,13.3,20.531,14.53,10.902,2.33,8.308,4.49,11.46,22.791,12.495,6.0
2000,7.935,16.682,19.023,2.25,15.0,11.095,6.288,4.687,11.78,3.129,6.586,0.864,2.679,3.27,16.218,1.083,7.12,25.187,12.224,10.836,2.447,10.889,9.35,5.459,1.66,15.88,5.362,6.829,2.658,10.491,3.26,4.816,7.536,3.234,19.87,20.52,4.398,13.088,5.08,5.45,4.766,8.764,7.917,26.664,4.476,6.432,29.77,4.8,8.98,5.608,13.785,13.36,3.5,11.134,4.7,10.218,17.789,5.558,10.82,10.456,4.599,9.787,3.557,7.955,11.345,2.606,15.32,11.93,4.92,3.881,16.064,8.454,6.563,6.077,7.624,4.318,11.696,8.058,1.936,11.102,10.834,6.762,13.7,4.748,12.75,2.889,1.858,0.744,4.063,0.8,2.046,8.603,2.231,19.201,16.49,7.74,16.227,15.931,2.345,14.211,6.874,13.58,8.539,5.8,1.97,2.646,32.2,1.414,6.324,0.717,30.609,5.993,2.833,10.033,9.138,5.048,3.0,20.3,17.984,1.431,3.963,7.162,2.725,3.458,10.551,6.13,4.331,5.551,6.1230407,0.634,6.264,4.958,3.767,2.92,14.928,10.08,3.05,3.806,7.61,10.625,11.579,0.87,6.969,10.581,11.731,4.57,15.608,2.668,3.7,2.45,4.08,6.96,18.98,12.6,12.325,14.4,12.983,18.546,6.92,5.466,24.502,9.587,0.79,4.174,2.389,4.15,11.666,3.477,4.12,12.1,14.94,6.495,3.127,3.529,11.707,12.627,3.992,12.317,20.794,13.99,10.546,2.26,8.283,4.734,11.557,22.714,12.93,5.684
