Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,7.554,14.83,10.328,1.554,5.244,1.27,9.887,3.334,0.831,4.027,4.554,2.361,2.355,2.231,11.254,0.465,12.229,15.11,0.739,7.743,3.082,5.818,19.932,3.752,1.383,11.58,4.885,10.819,1.204,5.025,2.628,6.543,10.574,4.062,18.667,7.691,4.591,13.4,4.649,5.619,2.219,2.434,4.433,22.453,8.295,4.703,21.156,3.458,5.744,4.635,12.013,1.415,3.127,7.814,4.015,7.176,18.403,9.441,2.838,3.46,5.68,7.327,3.317,6.723,4.678,2.381,3.589,10.478,1.927,4.169,11.119,6.426,9.258,2.393,7.705,15.324,9.577,8.803,2.262,11.333,6.811,4.532,19.756,1.946,0.767,2.619,0.953,0.59,2.677,0.544,2.495,8.093,2.645,16.094,12.516,10.288,13.83,1.114,1.128,2.867,2.497,13.704,2.293,6.116,0.641,2.616,19.803,1.461,6.27,0.723,26.077,4.9,4.326,8.838,7.614,4.042,3.301,19.592,15.263,1.998,3.929,7.847,5.467,5.749,9.92,11.263,3.366,5.189,5.141427,0.655,5.178,4.893,3.523,3.705,12.371,17.973,2.065,2.608,5.336,11.102,10.51,0.327,8.544,5.08,11.683,7.625,13.081,2.753,2.176,2.209,5.058,8.114,16.692,11.25,11.193,12.205,13.852,12.494,8.062,3.513,19.528,5.092,1.014,4.135,1.986,1.845,2.037,2.877,1.016,15.647,15.53,8.671,2.847,2.646,2.125,7.202,7.151,1.594,18.483,9.531,10.142,2.402,5.965,1.834,9.449,20.525,16.162,6.504
1992,7.498,14.94,32.116,1.644,6.129,1.281,11.305,3.461,1.663,3.993,4.799,2.167,2.39,2.279,15.513,0.409,13.933,16.047,3.815,7.716,3.196,5.972,20.502,3.776,1.397,14.373,5.001,12.009,1.887,3.905,2.628,6.643,10.65,4.182,18.67,6.844,4.32,13.311,3.354,6.041,2.007,2.238,4.923,22.718,8.289,4.522,24.901,3.423,6.307,4.786,13.502,3.875,3.245,13.328,4.032,8.106,18.879,11.615,5.678,3.779,5.709,7.411,3.388,6.917,5.563,2.336,3.926,10.312,2.001,3.124,10.831,6.481,11.002,2.586,7.716,14.866,9.3,8.508,3.801,11.961,6.729,4.656,18.328,2.102,0.853,2.728,1.049,0.574,2.754,0.537,2.72,7.729,2.626,16.301,12.517,10.153,13.785,1.215,1.582,7.009,2.072,13.988,4.464,6.221,0.638,2.817,21.962,1.546,6.266,0.695,26.126,5.061,4.624,8.892,7.561,4.174,3.308,18.743,15.784,1.973,3.885,7.735,3.967,6.58,9.926,11.389,3.483,5.753,5.3271346,0.639,5.06,5.042,3.634,3.463,12.401,19.058,2.104,3.379,5.801,11.126,10.639,0.326,8.588,5.194,11.495,7.525,13.054,2.811,3.034,2.075,5.291,8.314,16.857,11.277,11.233,12.333,14.015,12.518,9.215,6.734,19.879,6.239,0.999,4.283,1.24,1.85,2.18,2.899,1.008,17.006,15.183,8.812,2.988,2.721,2.126,6.922,7.898,2.427,18.522,8.169,10.329,2.366,5.94,2.131,9.385,20.735,17.777,6.683
1993,7.382,15.319,26.877,1.842,8.438,3.452,11.509,4.07,4.157,3.927,6.166,2.147,2.317,2.373,16.627,0.355,12.457,16.972,10.454,7.769,3.218,5.228,21.686,3.872,1.437,17.125,5.075,11.946,2.89,4.202,2.983,5.815,10.761,4.276,18.732,5.447,4.363,13.175,3.512,6.5,1.844,3.468,6.47,23.36,10.396,4.235,26.653,3.482,7.455,4.868,18.413,6.458,3.098,17.783,4.076,9.628,18.938,12.411,5.679,4.378,5.672,7.434,3.444,7.071,6.656,2.295,5.771,10.111,1.971,3.111,10.647,6.632,13.579,2.627,7.733,15.426,9.369,8.521,4.958,11.249,7.615,4.54,18.098,2.44,0.947,2.809,1.19,0.563,3.276,0.478,2.743,7.726,2.487,16.46,12.709,9.809,13.886,13.974,1.871,17.737,2.139,14.237,4.464,6.262,0.619,3.073,23.528,1.48,6.261,0.68,26.181,5.061,4.412,8.714,7.604,4.113,3.665,18.28,15.948,1.937,4.129,7.76,5.278,6.619,9.948,10.455,3.354,6.722,5.5903497,0.656,5.123,4.751,3.652,3.167,12.962,19.184,2.199,4.535,5.493,11.141,10.692,0.322,8.199,5.938,11.526,7.306,12.831,2.766,2.867,2.05,5.314,11.726,16.81,11.295,11.07,12.168,11.859,12.523,10.332,10.867,20.551,7.633,1.053,4.573,1.219,2.687,2.18,2.915,0.96,17.608,15.528,8.827,3.245,2.674,2.238,6.557,7.165,3.087,18.904,7.173,10.536,2.283,6.186,2.349,9.387,20.688,18.926,6.774
1994,7.322,15.316,22.233,1.77,10.266,4.876,9.983,3.21,5.817,3.949,7.697,2.091,2.461,2.45,12.975,0.419,12.631,17.884,15.747,9.089,3.254,5.575,18.457,3.961,1.414,19.899,5.09,10.883,3.089,5.438,3.216,4.996,10.441,4.221,18.969,5.377,4.359,12.873,3.377,6.142,1.999,3.539,7.549,23.678,7.214,4.2,28.044,3.482,7.259,4.907,19.826,7.227,2.961,17.802,3.995,11.039,18.543,11.455,8.837,5.08,5.609,7.533,3.472,7.16,6.574,2.277,8.053,10.04,2.023,3.101,10.239,6.976,12.121,3.881,7.624,14.463,9.425,8.377,5.137,8.183,8.658,4.624,14.916,2.835,6.431,2.786,1.32,0.765,2.828,0.414,2.637,7.81,2.39,16.743,12.909,9.299,13.926,13.973,2.997,19.863,2.396,14.067,7.0,6.046,0.61,4.172,25.661,1.575,6.257,0.645,26.164,4.933,4.382,8.807,7.605,4.417,3.245,17.924,16.071,1.887,4.171,7.575,6.506,5.882,9.897,8.78,3.413,6.879,5.774356,0.665,5.181,4.429,3.558,3.215,13.443,16.624,2.291,5.866,4.838,11.223,10.889,0.32,7.705,8.293,11.58,7.002,12.868,2.826,2.776,2.021,5.365,8.428,17.247,11.275,11.172,12.117,11.469,13.294,9.363,10.887,20.527,6.422,1.054,4.275,1.128,3.076,6.824,2.924,1.248,16.114,15.58,8.772,3.302,2.652,2.239,7.03,6.174,4.768,19.473,7.947,10.277,2.208,6.044,2.62,9.392,20.444,17.978,6.765
1995,7.322,14.941,14.967,1.732,16.451,3.647,8.743,3.926,6.644,3.921,7.311,1.87,2.411,2.538,11.251,0.435,10.037,18.602,21.782,10.009,2.774,5.891,16.737,4.055,1.405,19.805,5.04,9.796,2.685,4.437,3.326,4.058,10.116,4.075,18.932,6.852,4.468,12.824,4.581,5.72,1.919,3.459,7.06,23.818,5.618,4.302,32.029,3.478,7.329,4.781,17.891,10.383,2.712,17.776,4.038,9.991,17.73,10.116,7.995,5.717,5.547,7.617,3.426,7.188,6.736,2.271,8.468,10.067,3.4,3.162,9.836,6.594,11.416,4.049,7.585,11.921,9.086,8.589,5.451,7.324,9.071,4.619,12.178,3.076,9.363,2.681,1.405,0.746,2.308,0.418,2.6,7.898,2.378,16.793,12.235,8.872,14.075,17.76,2.089,20.183,4.045,14.266,6.397,6.031,0.6,6.231,31.617,1.526,6.253,0.658,26.123,4.756,4.189,8.62,7.651,4.039,2.809,19.913,15.793,1.876,4.262,7.293,6.057,6.289,9.915,6.44,3.486,6.505,5.862748,0.676,5.301,4.655,3.479,3.461,12.469,15.934,2.313,6.486,3.172,11.166,10.852,0.317,7.54,9.676,11.315,6.422,12.813,2.736,3.209,2.062,5.228,8.669,17.058,11.296,11.182,12.047,7.077,12.557,7.415,9.835,20.467,5.42,1.103,4.067,0.902,3.376,12.044,2.886,1.465,15.158,15.917,7.771,3.213,2.46,6.292,7.942,5.633,5.268,19.765,8.791,10.026,2.188,6.075,2.833,10.044,20.069,16.266,7.363
1996,7.375,14.298,14.658,1.764,15.647,4.476,8.711,5.34,7.471,3.92,7.405,1.783,2.326,2.625,12.669,0.515,8.659,19.281,30.025,11.626,2.447,6.399,11.808,4.115,1.391,19.714,4.998,9.893,3.375,6.141,3.459,3.996,9.495,3.909,18.78,9.567,4.568,12.787,5.239,5.068,2.329,3.254,8.243,23.688,5.542,4.32,28.322,3.488,6.278,4.713,17.591,10.549,2.655,15.587,4.014,10.598,17.251,9.703,12.095,6.372,5.569,7.645,3.299,7.222,6.4,2.318,8.963,10.047,3.118,4.346,9.348,6.367,10.862,4.221,7.533,11.659,8.522,8.674,3.73,7.523,9.285,4.856,12.03,3.358,11.044,2.609,1.453,0.737,2.353,0.429,2.448,7.882,2.339,16.619,14.034,8.301,13.991,16.605,2.483,21.988,4.729,13.559,9.535,6.029,0.791,4.67,34.937,1.481,6.249,0.658,26.064,4.896,4.195,8.605,7.689,4.076,2.473,21.531,15.804,1.879,4.147,6.969,5.169,4.776,9.873,6.324,3.552,6.413,5.905789,0.661,5.285,4.887,3.412,3.626,11.289,14.913,2.364,6.371,7.859,11.192,10.832,0.315,6.274,9.997,10.937,5.669,12.73,2.723,3.383,2.101,5.221,8.368,16.983,11.31,11.158,12.021,7.846,10.236,7.134,10.434,20.204,5.54,1.019,3.689,1.034,3.902,14.943,2.852,1.762,13.211,15.623,6.892,3.109,2.443,8.02,9.388,5.435,7.454,20.391,10.176,9.813,2.159,6.035,3.07,10.633,19.832,14.846,7.937
1997,7.377,14.206,17.705,1.833,12.803,5.281,8.584,5.058,8.389,3.976,7.088,1.563,2.29,2.782,13.885,0.474,8.35,19.963,21.044,8.936,2.114,7.08,11.445,4.263,1.392,19.064,4.951,9.251,4.28,5.89,3.581,3.92,9.137,3.922,18.639,9.977,4.352,12.932,4.89,4.898,2.704,3.809,9.308,23.651,4.523,4.175,25.322,3.49,5.193,4.811,16.127,11.144,2.591,14.78,4.102,11.023,16.681,8.11,12.093,6.979,5.513,7.495,3.257,7.254,6.791,2.302,10.547,10.068,2.316,3.32,9.368,6.042,9.944,4.093,7.586,10.22,8.931,8.423,3.636,8.872,9.36,4.926,12.173,3.378,11.078,2.652,1.477,0.639,2.812,0.433,2.352,8.069,2.234,16.714,17.931,7.825,14.083,14.306,1.849,18.682,3.751,14.237,9.529,5.905,0.984,3.142,32.869,1.47,6.244,0.668,26.109,5.078,4.095,8.61,7.702,3.875,2.236,23.233,15.596,1.883,4.063,6.945,4.291,4.396,9.962,6.853,3.481,6.207,5.8919673,0.681,5.165,4.707,3.398,3.795,9.272,14.836,2.455,5.813,4.506,10.96,10.775,0.319,5.208,12.137,10.576,4.985,12.48,2.659,2.435,2.253,5.267,9.512,16.654,12.098,10.884,12.071,7.593,11.111,6.393,10.97,19.934,5.713,1.051,3.701,0.847,3.962,15.944,2.813,2.092,12.224,15.494,6.478,3.06,2.471,9.46,8.904,4.938,7.817,20.43,9.639,9.739,3.187,6.131,3.3,11.267,19.804,13.301,8.74
1998,7.409,14.385,20.238,2.001,11.65,5.641,7.948,5.412,9.213,4.035,7.582,1.483,2.312,2.945,12.569,0.46,5.716,20.88,17.234,10.713,2.098,7.915,8.551,4.421,1.4,18.745,4.915,8.522,3.158,6.263,3.592,4.048,8.825,3.949,18.646,12.739,4.404,12.97,4.21,4.54,2.759,5.037,9.29,23.478,3.854,4.141,26.782,3.436,4.891,4.91,13.672,10.432,2.635,12.883,4.124,10.366,16.236,6.893,15.279,7.596,5.552,7.418,3.725,7.299,7.889,2.3,8.501,10.174,4.958,3.844,10.849,6.207,9.638,5.045,7.616,7.939,9.415,8.22,2.432,10.392,9.438,5.057,12.374,4.148,11.17,2.675,1.554,0.709,7.798,0.433,2.294,8.02,2.172,16.536,18.228,6.667,14.156,15.382,1.907,15.363,5.624,13.555,12.062,5.832,1.177,3.034,32.456,1.399,6.241,0.674,26.069,5.321,3.888,8.749,7.709,4.06,3.14,21.886,15.824,1.731,4.018,7.057,3.329,3.489,9.973,7.804,3.531,5.754,6.0429716,0.699,5.007,5.066,3.494,3.807,8.362,14.388,2.669,3.802,4.026,10.878,10.697,0.32,5.759,13.54,10.703,4.265,12.518,2.651,3.236,2.418,5.147,7.931,16.576,11.803,10.909,12.033,7.198,12.021,7.325,9.75,20.586,5.863,1.032,3.859,3.41,4.643,17.676,2.823,2.458,11.296,15.028,6.919,3.082,2.628,11.866,7.194,4.419,9.791,21.122,9.807,9.503,2.419,6.125,3.604,11.859,19.93,12.436,7.943
1999,7.427,14.585,21.159,2.132,13.258,7.594,7.039,4.654,10.039,3.988,7.472,1.332,2.383,3.105,14.054,0.453,5.801,21.86,15.765,9.075,2.236,8.819,7.936,4.514,1.236,16.636,4.905,7.826,2.672,10.148,3.602,4.363,8.583,3.991,18.851,17.571,4.332,12.981,4.865,4.408,4.339,7.268,8.559,23.202,4.485,4.131,28.523,3.695,4.902,5.014,10.795,12.905,2.654,11.005,4.088,10.363,16.176,6.785,15.354,9.452,5.578,7.288,3.899,7.369,8.032,2.258,15.416,10.248,7.068,3.88,12.792,6.236,7.541,6.031,7.594,5.93,10.012,8.136,1.639,10.897,8.839,5.037,12.409,4.82,11.443,2.714,1.66,0.72,7.159,0.434,2.154,8.215,2.165,16.552,16.25,6.651,14.37,14.656,1.78,14.182,7.952,14.151,13.436,5.751,1.377,2.054,31.842,1.414,6.236,0.656,26.417,5.519,3.813,8.783,7.83,4.125,3.505,20.497,15.555,1.735,4.084,7.028,2.677,3.258,9.997,7.295,3.593,5.458,6.169806,0.708,4.997,4.97,3.544,3.914,11.548,13.421,2.856,4.178,4.883,10.796,10.605,0.32,6.814,13.167,10.964,3.664,12.573,2.566,4.632,2.462,5.191,8.864,16.58,11.709,10.954,11.968,9.922,16.009,7.201,8.286,21.195,5.923,1.057,3.965,2.989,4.635,18.404,2.837,2.718,10.822,14.767,7.727,3.096,2.654,12.414,8.098,4.118,10.028,21.415,13.331,9.498,2.255,6.17,3.921,12.477,20.02,13.349,7.332
2000,7.463,14.664,19.38,2.184,14.029,7.935,6.459,4.761,10.85,3.991,5.306,1.199,2.473,3.251,16.562,0.428,6.209,22.763,15.071,7.36,2.328,8.66,7.443,4.552,1.215,14.788,4.867,6.942,2.293,9.453,3.613,4.767,8.386,4.008,18.616,17.408,4.185,12.938,4.307,3.894,2.916,7.33,7.641,23.108,4.042,4.207,29.778,3.851,5.085,5.075,9.497,15.017,2.509,10.354,4.091,8.543,15.923,6.141,11.108,10.183,5.694,7.267,3.92,7.382,7.435,2.294,17.021,10.375,5.569,3.873,15.047,7.357,7.231,5.683,7.601,4.353,10.313,8.199,1.32,11.051,8.318,4.995,12.46,4.912,10.834,2.713,1.77,0.734,4.623,0.494,2.045,8.08,2.208,16.38,12.974,5.893,14.376,18.214,1.819,14.985,8.735,13.765,9.85,5.727,1.593,2.269,30.433,1.469,6.233,0.623,26.342,5.772,3.953,8.767,7.82,4.158,2.968,19.149,15.302,1.785,4.048,7.026,2.154,3.618,9.962,6.256,3.568,4.927,6.0109906,0.689,5.043,4.915,3.561,3.893,13.441,11.853,2.847,3.039,6.822,11.095,10.486,0.32,7.453,10.781,11.058,3.766,12.769,2.55,3.854,2.749,5.042,9.043,16.425,10.832,11.147,11.979,9.352,18.666,6.797,5.892,21.825,6.935,1.102,4.233,2.435,4.498,16.909,2.848,3.016,10.196,14.557,6.577,3.086,2.706,12.226,10.208,3.903,9.492,21.973,13.615,9.282,2.374,6.146,4.133,12.245,19.934,14.216,6.743
