Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,5.766,,,,0.0,,,,,,,,,,,,,,,,3.381,,,,,,60.521,,,0.0,,,,,,,,,,,,,,138.641,,,,,,,0.0,,,28.044,,,,,,224.1,,,61.095,,,,,,,,,,,,,,,,,,,0.0,4.507788,,0.0,,,,7.024,,,159.578,0.0,,,,,,16.74534,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,3.899,,,,,,,1488.9216,,,,,,0.0,,,,,,,,,99.31718,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,28.72674,,,53.306805,,403.88498,,,,,,0.0,,,,5.315,,
1986,,,,,0.0,5.711,,,,0.0,,,,,,,,,,,,,,,,0.144,,,,,,71.267,,,0.0,,,,,,,,,,,,,,130.489,,,,,,,0.0,,,37.458,,,,,,254.155,,,59.079,,,,,,,,,,,,,,,,,,,0.0,5.020438,,0.0,,,,8.758,,,165.36972,0.0,,,,,,28.311216,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,4.216,,,,,,,1594.7357,,,,,,0.0,,,,,,,,,105.2215,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,26.940798,,,42.70908,,435.82953,,,,,,0.0,,,,8.803,,
1987,,,,,0.0,6.465,,,,0.0,,,,,,,,,,,,,,,,0.973,,,,,,77.261,,,0.0,,,,,,,,,,,,,,141.725,,,,,,,0.0,,,41.271,,,,,,265.52,,,55.238,,,,,,,,,,,,,,,,,,,0.0,5.3209577,,0.0,,,,0.174,,,188.605,0.0,,,,,,39.314194,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,3.556,,,,,,,1734.7332,,,,,,0.0,,,,,,,,,124.70221,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,33.128326,,,50.425354,,479.232,,,,,,0.0,,,,6.167,,
1988,,,,,0.0,5.798,,,,0.0,,,,,,,,,,,,,,,,0.608,,,,,,82.867,,,0.0,,,,,,,,,,,,,,156.82,,,,,,,0.0,,,50.466,,,,,,275.521,,,63.456,,,,,,,,,,,,,,,,,,,0.0,6.076675,,0.0,,,,0.0,,,173.89693,0.0,,,,,,40.100674,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,3.675,,,,,,,1891.2493,,,,,,0.0,,,,,,,,,134.8138,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,30.651255,,,72.00086,,554.7085,,,,,,0.0,,,,10.493,,
1989,,,,,0.0,5.039,,,,0.0,,,,,,,,,,,,,,,,1.83,,,,,,79.31684,,,0.0,,,,,,,,,,,,,,161.671,,,,,,,0.0,,,56.126,,,,,,303.931,,,71.734,,,,,,,,,,,,,,,,,,,0.0,4.021654,,0.0,,,,0.0,,,185.8142,0.1016462,,,,,,47.365173,,,,,,,,,,,,,,,,,0.372,,,,,,,,,,,,0.0,,,,,,,4.019,,,,,,,1945.0106,,,,,,0.0,,,,,,,,,136.33849,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,28.276138,,,66.51639,,557.2155,,,,,,0.0,,,,11.099,,
1990,,,,,0.0,7.281,,,,0.0,0.0,,,42.72,,,,14.66,,,,,,,,2.237,,,,,,72.46,,,0.0,,,,,,,,,,,,0.0,12.59,152.47,,,0.0,,,,0.0,,,54.27,0.0,,19.22,,,314.08,,,65.75,,,,,,,,0.0,,,,,,,,0.0,,13.73,0.0,6.3948717,0.0,0.0,,,,0.0,,,194.57127,0.0,,,,,,52.886562,,,,,,,,,17.03,0.0,0.0,,,,,,2.937,0.0,,0.0,,,,,,,,,0.0,,,,,,,3.5,0.0,,,,,,2000.596,,,,,,0.0,,,0.0,,,,,0.0,118.32501,,0.0,,,,,,,,,,0.0,,,,12.04,4.62,68.18,,,,,,,0.0,,,,,,,0.0,32.86595,,,76.18,,607.22284,,,,,,0.0,,,,8.449,,
1991,,,,,0.0,7.756,,,,0.0,0.0,,,42.86,,,,13.18,,,,,,,,1.442,,,,,,84.33895,,,0.0,,,,,,,,,,,,0.0,12.13,147.23,,,0.0,,,,0.0,,,55.58,0.0,,19.51,,,331.34,,,70.54,,,,,,,,0.0,,,,,,,,0.0,,13.73,0.0,5.413765,0.0,0.0,,,,0.0,,,208.69353,0.5391668,,,,,,56.31075,,,,,,,,,17.0,0.0,0.0,,,,,,4.242,0.0,,0.0,,,,,,,,,0.0,,,,,,,3.33,0.0,,,,,,2096.3098,,,,,,0.0,,,0.0,,,,,0.0,119.9838,,0.0,,,,,,,,,,0.0,,,,11.69,4.95,76.76,,,,,,,0.0,,,,,,,0.0,35.29008,,,75.13,,644.80536,,,,,,0.0,,,,9.144,,
1992,,,,,0.0,7.081,,,,0.0,0.0,,,43.46,,,,11.55,,,,,,,,1.759,,,,,,80.0221,,,0.0,,,,,,,,,,,,0.0,12.25,158.8,,,0.0,,,,0.0,,,55.78,0.0,,19.26,,,338.45,,,76.81,,,,,,,,0.0,,,,,,,,0.0,,13.96,0.0,6.4037104,0.0,0.0,,,,0.0,,,217.03513,0.464037,,,,,,56.530212,,,,,,,,,14.64,0.0,0.0,,,,,,3.919,0.0,,0.0,,,,,,,,,0.0,,,,,,,3.8,0.0,,,,,,2112.223,,,,,,0.0,,,0.0,,,,,0.0,119.626,,0.0,,,,,,,,,,0.0,,,,11.05,3.97,63.54,,,,,,,0.0,,,,,,,0.0,33.844505,,,73.75,,651.34344,,,,,,0.0,,,,9.288,,
1993,,,,,0.0,7.75,,,,0.0,0.0,,,41.93,,,,13.97,,,,,,,,0.442,,,,,,93.28421,,,1.604,,,,,,,,,,,,0.0,12.63,153.28,,,0.0,,,,0.0,,,56.06,0.0,,19.93,,,368.19,,,89.35,,,,,,,,0.0,,,,,,,,0.0,,13.8,0.0,6.2269344,0.0,0.0,,,,0.0,,,247.69992,0.4463594,,,,,,58.138203,,,,,,,,,12.26,0.0,0.0,,,,,,4.931,0.0,,0.0,,,,,,,,,0.0,,,,,,,3.95,0.0,,,,,,2184.9646,,,,,,0.0,,,0.0,,,,,0.0,119.186,,0.0,,,,,,,,,,0.0,,,,11.49,3.96,61.4,,,,,,,0.0,,,,,,,0.0,34.354156,,,75.24,,642.4118,,,,,,0.0,,,,7.255,,
1994,,,,,0.0,8.235,,,,0.0,0.0,,,40.62,,,,15.34,,,,,,,,0.055,,,,,,107.08421,,,14.756,,,,,,,,,,,,0.0,12.98,150.7,,,0.0,,,,0.0,,,55.31,0.0,,19.43,,,359.98,,,88.28,,,,,,,,0.0,,,,,,,,0.0,,14.05,0.0,4.9453087,0.0,0.0,,,,0.0,,,258.248,0.3800684,,,,,,58.650917,,,,,,,,,7.71,0.0,0.0,,,,,,4.239,0.0,,0.0,,,,,,,,,0.0,,,,,,,3.97,0.0,,,,,,2225.9788,,,,,,0.0,,,0.0,,,,,0.0,97.82,,0.0,,,,,,,,,,0.0,,,,12.6,4.61,73.16,,,,,,,0.0,,,,,,,0.0,34.870544,,,68.85,,674.1472,,,,,,0.0,,,,9.697,,
