Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,20.77313,,,,14.396511,,,,,,,,,,,,,,,,181.44212,,,,,,305.323,,,92.38756,,,,,,,,,,,,,,19.04468,,,,,,,9.148,,,31.898,,,,,,63.568153,,,3.9552102,,,,,,,,,,,,,,,,,,,2.7665443,51.813046,,5.899,,,,43.927998,,,95.57348,5.2104726,,,,,,3.184966,,,,,,,,,,,,,,,,,30.068293,,,,,,,,,,,,3.7684176,,,,,,,0.444,,,,,,,2058.0222,,,,,,2.249,,,,,,,,,159.72595,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.691,,,,,,,12.0508995,6.0040855,,,10.7126255,,323.59183,,,,,,1.477,,,,0.624,,
1986,,,,,0.0,21.154238,,,,14.485799,,,,,,,,,,,,,,,,185.61295,,,,,,312.501,,,94.548645,,,,,,,,,,,,,,20.16855,,,,,,,8.972,,,27.032,,,,,,64.145805,,,4.76931,,,,,,,,,,,,,,,,,,,4.4547553,52.568764,,7.05,,,,44.121002,,,94.61936,4.7817907,,,,,,3.10988,,,,,,,,,,,,,,,,,24.691502,,,,,,,,,,,,4.120606,,,,,,,0.557,,,,,,,2091.6704,,,,,,1.917,,,,,,,,,164.33096,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.5317,,,,,,,11.9162,6.134454,,,10.655173,,335.69504,,,,,,1.407,,,,1.623,,
1987,,,,,0.0,22.018503,,,,14.0837965,,,,,,,,,,,,,,,,189.16571,,,,,,318.51898,,,100.02428,,,,,,,,,,,,,,21.79082,,,,,,,8.9695,,,27.946,,,,,,72.248604,,,4.1868,,,,,,,,,,,,,,,,,,,4.5829177,48.962532,,7.816,,,,42.748,,,89.57947,5.7319617,,,,,,3.965371,,,,,,,,,,,,,,,,,23.703194,,,,,,,,,,,,4.9658585,,,,,,,0.70500004,,,,,,,2124.9143,,,,,,1.854,,,,,,,,,162.52785,,0.0,,,,,,,,,,,,,,,,,,,,,,,4.06115,,,,,,,18.6757,5.5117784,,,9.594518,,298.0898,,,,,,1.384,,,,1.617,,
1988,,,,,0.0,15.382105,,,,15.065444,,,,,,,,,,,,,,,,202.43279,,,,,,309.921,,,109.16802,,,,,,,,,,,,,,21.725273,,,,,,,8.829,,,35.919,,,,,,78.29525,,,4.88561,,,,,,,,,,,,,,,,,,,5.0336967,54.614944,,8.246,,,,44.015,,,106.27756,6.991491,,,,,,1.987232,,,,,,,,,,,,,,,,,26.46911,,,,,,,,,,,,5.728934,,,,,,,0.853,,,,,,,2192.8516,,,,,,1.887,,,,,,,,,160.92361,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.74836,,,,,,,29.018,4.67697,,,11.93238,,270.78876,,,,,,1.791,,,,3.162,,
1989,,,,,0.0,13.293395,,,,15.063669,,,,,,,,,,,,,,,,208.09317,,,,,,293.92773,,,118.40898,,,,,,,,,,,,,,20.018997,,,,,,,9.487,,,19.946062,,,,,,48.478447,,,4.7773,,,,,,,,,,,,,,,,,,,6.2799673,63.369778,,6.732,,,,37.39302,,,108.78798,7.29201,,,,,,2.963969,,,,,,,,,,,,,,,,,30.029194,,,,,,,,,,,,5.294568,,,,,,,0.96,,,,,,,2195.1714,,,,,,1.712,,,,,,,,,159.72595,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.53378,,,,,,,18.0022,5.0588975,,,10.129265,,325.96497,,,,,,3.838,,,,2.759,,
1990,,,,,0.0,17.846197,,,,15.518999,32.64,,,0.56,,,,1.63,,,,,,,,210.56706,,,,,,299.63925,,,126.812,,,,,,,,,,,,0.0,1.16,19.1,,,0.83,,,,9.953,,,26.03,0.0,,16.02,,,54.62,,,5.73,,,,,,,,1.77,,,,,,,,3.93,,0.2,7.61986,66.46495,0.7,7.381,,,,34.9,,,98.23612,7.366,,,,,,4.684946,,,,,,,,,0.41,0.08,4.5,,,,,,29.606943,0.49,,0.0,,,,,,,,,4.026689,,,,,,,0.82,121.35,,,,,,2279.8672,,,,,,1.49,,,9.83,,,,,11.41,166.91061,,0.0,,,,,,,,,,7.49,,,,1.88,2.95,74.45,,,,,,,4.925119,,,,,,,23.23,6.5928063,,,10.51,,352.9278,,,,,,5.369,,,,1.01,,
1991,,,,,0.0,16.000261,,,,16.37845,32.65,,,0.54,,,,2.27,,,,,,,,221.78162,,,,,,311.26193,,,124.76404,,,,,,,,,,,,0.0,1.09,16.98,,,1.06,,,,9.916,,,27.81,0.0,,18.2,,,58.43,,,5.24,,,,,,,,3.1,,,,,,,,5.54,,0.21,8.46063,74.12687,0.75,5.607,,,,45.53,,,106.067856,7.2,,,,,,3.487046,,,,,,,,,0.34,0.09,3.28,,,,,,28.460775,0.85,,0.0,,,,,,,,,4.4493155,,,,,,,0.93,110.34,,,,,,2335.3987,,,,,,1.5,,,9.84,,,,,14.59,168.159,,0.0,,,,,,,,,,9.57,,,,1.41,3.61,65.11,,,,,,,4.535017,,,,,,,22.8,4.0968704,,,11.71,,351.3368,,,,,,6.317,,,,1.98,,
1992,,,,,0.0,19.295076,,,,16.6236,36.16,,,0.62,,,,1.9,,,,,,,,228.27237,,,,,,319.7007,,,130.9334,,,,,,,,,,,,0.0,1.4,19.73,,,1.36,,,,9.8,,,19.6,0.0,,20.06,,,69.62,,,6.31,,,,,,,,2.21,,,,,,,,4.36,,0.21,10.73122,70.26861,0.83,9.204,,,,45.77,,,91.90662,6.866,,,,,,3.0994482,,,,,,,,,0.31,0.08,2.52,,,,,,33.183216,0.85,,0.0,,,,,,,,,4.286,,,,,,,1.0,116.9,,,,,,2344.674,,,,,,1.62,,,5.49,,,,,11.7,172.657,,0.0,,,,,,,,,,9.17,,,,1.94,3.42,76.37,,,,,,,4.179801,,,,,,,26.69,6.8176165,,,7.88,,319.56662,,,,,,7.228,,,,0.75200003,,
1993,,,,,0.0,23.864302,,,,17.073599,38.05,,,0.51,,,,1.79,,,,,,,,240.04893,,,,,,327.09195,,,152.17928,,,,,,,,,,,,0.0,1.53,20.52,,,1.61,,,,10.0925,,,25.13,0.0,,19.44,,,65.27,,,5.72,,,,,,,,2.33,,,,,,,,4.57,,0.21,9.983049,71.079315,0.78,10.533,,,,45.22,,,104.162834,7.629,,,,,,4.230549,,,,,,,,,0.39,0.08,2.88,,,,,,33.15969,0.52,,0.0,,,,,,,,,4.853,,,,,,,1.1,119.48,,,,,,2483.0623,,,,,,1.55,,,9.43,,,,,12.77,174.349,,0.0,,,,,,,,,,8.06,,,,3.47,3.04,76.87,,,,,,,3.6419299,,,,,,,34.09,4.3415475,,,11.04,,349.687,,,,,,7.965,,,,0.14600004,,
1994,,,,,0.0,27.385681,,,,16.8694,36.9,,,0.61,,,,1.3,,,,,,,,248.09332,,,,,,333.64966,,,168.2778,,,,,,,,,,,,0.0,1.78,23.43,,,1.74,,,,10.728,,,29.06,0.0,,18.27,,,79.19,,,6.98,,,,,,,,2.64,,,,,,,,5.44,,0.21,9.58685,80.783676,0.94,6.896,,,,48.25,,,77.96449,9.179,,,,,,2.349092,,,,,,,,,0.45,0.11,3.31,,,,,,26.499846,0.69,,0.0,,,,,,,,,6.483,,,,,,,1.26,111.92,,,,,,2504.3118,,,,,,1.78,,,11.63,,,,,13.05,175.987,,0.0,,,,,,,,,,8.92,,,,4.36,3.4,61.4,,,,,,,4.4543657,,,,,,,30.72,5.318485,,,12.12,,329.67996,,,,,,9.243,,,,1.0739999,,
