Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,,,,,,,,,,,2.293485,,,0.3983497,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.2950614,,,0.7324595,,,,,,,0.35723737,0.0,,9.492273,,,0.33890972,,,0.18764661,,,,,,,,,0.0,,,,,,,,,0.11350737,,0.07032348,,,0.0,,,,,0.02345766,,,,,,,,,,,,,,,,,,,0.0,1.6129031,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.9476663,0.17269737,,,,,,,,,,,,0.03719408,,,2.4355807,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.3289492,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1991,,,,,,,,,,,2.4122808,,,0.4214075,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.34886757,,,0.79561037,,,,,,,0.34904015,0.0,,8.626639,,,0.3530666,,,0.21370168,,,,,,,,,0.0,,,,,,,,,0.11655012,,0.066755675,,,0.0,,,,,0.050359383,,,,,,,,,,,,,,,,,,,0.0,1.4285715,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.0106528,0.1899421,,,,,,,,,,,,0.060277272,,,2.7254374,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.2655644,,,,,,,,,,,,,,0.06640106,,,,0.0,,,,,,,,,,,,,,
1992,,,,,,,,,,,2.6257765,,,0.37804538,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.38218707,,,1.3398693,,,,,,,0.3638685,0.0,,8.5788555,,,0.35329524,,,0.28968352,,,,,,,,,0.0,,,,,,,,,0.11235955,,0.15782829,,,0.0,,,,,0.04490749,,,,,,,,,,,,,,,,,,,0.0,1.5151514,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.9625528,0.19639656,,,,,,,,,,,,0.08417509,,,2.9850748,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.3773727,,,,,,,,,,,,,,0.07423905,,,,0.0,,,,,,,,,,,,,,
1993,,,,,,,,,,,2.6115768,,,0.35673514,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.27271178,0.37832236,,,1.6281824,,,,,,,0.37390408,0.0,,9.760891,,,0.31619203,,,0.37139058,,,,,,,,,0.0,,,,,,,,,0.2096436,,0.1215436,,,0.0,,,,,0.05460999,,,,,,,,,,,,,,,,,,,0.0,1.4925373,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.1070111,0.20046775,,,,,,,,,,,,0.045530427,,,2.9182878,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.4938731,,,,,,,,,,,,,,0.0812898,,,,0.0,,,,,,,,,,,,,,
1994,,,,,,,,,,,2.2906642,,,0.35043457,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5479452,0.39727473,,,1.4115899,,,,,,,0.39952555,0.0,,9.859798,,,0.35107014,,,0.4654581,,,,,,,,,0.0,,,,,,,,,0.11441648,,0.14916468,,,0.0,,,,,0.065573774,,,,,,,,,,,,,,,,,,,0.0,3.3898306,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.1755686,0.24038462,,,,,,,,,,,,0.037512194,,,2.988432,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.562719,,,,,,,,,,,,,,0.06383251,,,,0.0,,,,,,,,,,,,,,
1995,,,,,,,,,,,3.342416,,,0.43525574,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.676791,0.4578686,,,1.7769271,,,,,,,0.6118616,0.1150748,,10.328125,,,0.37187636,,,0.4860411,,,,,,,,,0.0,,,,,,,,,0.10822511,,0.17636684,,,0.0,,,,,0.09268231,,,,,,,,,,,,,,,,,,,0.0,4.0816326,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.253447,0.23721881,,,,,,,,,,,,0.05107625,,,3.0082042,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.5848395,,,,,,,,,,,,,,0.25510204,,,,0.0,,,,,,,,,,,,,,
1996,,,,,,,,,,,2.9373248,,,0.41256323,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4543318,0.456013,,,1.5548894,,,,,,,0.62352055,0.0,,8.498053,,,0.38007838,,,0.5130105,,,,,,,,,0.0,,,,,,,,,0.0897666,,0.14249074,,,0.1589825,,,,,0.1587368,,,,,,,,,,,,,,,,,,,0.0,4.4444447,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.5463303,0.28656033,,,,,,,,,,,,0.092074506,,,2.8070173,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.5077163,,,,,,,,,,,,,,0.18977334,,,,0.0,,,,,,,,,,,,,,
1997,,,,,,,,,,,3.040115,,,0.3595275,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.763121,0.48501933,,,2.2202084,,,,,,,0.7719558,0.10845987,,11.416582,,,0.432597,,,0.60170525,,,,,,,,,0.0,,,,,,,,,0.0,,0.14124294,,,0.40712467,,,,,0.22718053,,,,,,,,,,,,,,,,,,,0.0,4.878049,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.7038779,0.21719457,,,,,,,,,,,,0.1206187,,,3.0687518,,,,,,0.017630465,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.8564439,,,,,,,,,,,,,,0.2807357,,,,0.0,,,,,,,,,,,,,,
1998,,,,,,,,,,,3.2604802,,,0.4385431,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.91302997,0.5571132,,,2.6392963,,,,,,,0.7911474,0.11695906,,13.307659,,,0.4210069,,,0.73061126,,,,,,,,,0.0,,,,,,,,,0.08741259,,0.16129032,,,0.4316547,,,,,0.3153828,,,,,,,,,,,,,,,,,,,0.0,5.405405,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,1.7563486,0.23191893,,,,,,,,,,,,0.15628329,,,2.632258,,,,,,0.018871484,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.75074,,,,,,,,,,,,,,0.21617727,,,,0.0,,,,,,,,,,,,,,
1999,,,,,,,,,,,2.6791694,,,0.5997361,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0596852,0.63903,,,3.409091,,,,,,,0.7878228,0.120918974,,12.042639,,,0.45039845,,,0.9316855,,,,,,,,,0.0,,,,,,,,,0.07716049,,0.15860426,,,0.41436467,,,,,0.4358727,,,,,,,,,,,,,,,,,,,0.0,5.5555553,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0784404,0.22078666,,,,,,,,,,,,0.13572398,,,2.7140849,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.22624433,1.7437356,,,,,,,,,,,,,,0.111645475,,,,0.0,,,,,,,,,,,,,,
