Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,99.99181,27.484709,,,,9.299524,,,,,,,,,,,,,,,,0.0,,,,,,1.4831715,,,0.23667486,,,,,,,,,,,,,,5.3556323,,,,,,,30.530352,,,1.986379,,,,,,0.91533136,,,0.9715219,,,,,,,,,,,,,,,,,,,11.086109,1.1578133,,35.29908,,,,13.304619,,,19.055376,10.688369,,,,,,0.09222368,,,,,,,,,,,,,,,,,7.49691,,,,,,,,,,,,14.681478,,,,,,60.679638,,,,,,,14.427701,,,,,,0.058817547,,,,,,,,,46.90927,,57.59969,,,,,,,,,,,,,,,,,,,,,,,46.313606,,,,,,,0.17008145,0.0,,,17.999485,,11.814176,,,,,,1.4203985,,,,0.0,,
1986,,,,,99.99167,27.028484,,,,10.641798,,,,,,,,,,,,,,,,0.0,,,,,,1.4695337,,,0.37661555,,,,,,,,,,,,,,5.693936,,,,,,,31.696497,,,1.6477792,,,,,,0.78513366,,,0.5789332,,,,,,,,,,,,,,,,,,,10.113588,1.8166819,,37.38519,,,,13.971299,,,19.34398,10.77887,,,,,,0.07580303,,,,,,,,,,,,,,,,,7.6834717,,,,,,,,,,,,17.742235,,,,,,61.78651,,,,,,,14.072498,,,,,,0.044905696,,,,,,,,,46.915688,,55.383453,,,,,,,,,,,,,,,,,,,,,,,41.55569,,,,,,,3.3775206,0.0,,,18.933481,,9.98513,,,,,,1.1941379,,,,0.0,,
1987,,,,,99.991684,24.057772,,,,10.30004,,,,,,,,,,,,,,,,0.0,,,,,,1.240739,,,0.55040854,,,,,,,,,,,,,,6.1895943,,,,,,,32.859806,,,1.1276486,,,,,,0.6436164,,,1.500106,,,,,,,,,,,,,,,,,,,10.390089,1.8934188,,30.021605,,,,15.757901,,,18.779186,10.680869,,,,,,11.883315,,,,,,,,,,,,,,,,,8.43882,,,,,,,,,,,,19.11486,,,,,,60.326088,,,,,,,14.212,,,,,,0.11314312,,,,,,,,,46.589443,,50.87732,,,,,,,,,,,,,,,,,,,,,,,54.678635,,,,,,,5.6999655,0.0,,,18.520922,,10.574277,,,,,,1.0907288,,,,0.0,,
1988,,,,,99.99167,40.128777,,,,10.26546,,,,,,,,,,,,,,,,0.0023260915,,,,,,1.8639735,,,0.37655213,,,,,,,,,,,,,,6.0312066,,,,,,,33.982563,,,0.98371965,,,,,,0.6156793,,,1.5471544,,,,,,,,,,,,,,,,,,,10.633812,1.4935479,,42.614483,,,,15.926429,,,18.830784,10.517568,,,,,,11.883339,,,,,,,,,,,,,,,,,7.3983693,,,,,,,,,,,,20.824722,,,,,,52.298508,,,,,,,13.832076,,,,,,0.06720244,,,,,,,,,46.377617,,49.330994,,,,,,,,,,,,,,,,,,,,,,,57.753807,,,,,,,6.7421036,0.0,,,16.89198,,9.326943,,,,,,0.9432573,,,,0.0,,
1989,,,,,99.99171,47.845207,,,,9.989897,,,,,,,,,,,,,,,,0.096960835,,,,,,2.9783618,,,0.6342231,,,,,,,,,,,,,,6.8899555,,,,,,,33.76873,,,0.9506678,,,,,,0.734593,,,1.5731838,,,,,,,,,,,,,,,,,,,10.399868,2.6702497,,51.25425,,,,16.32598,,,18.70391,10.478828,,,,,,9.563217,,,,,,,,,,,,,,,,,8.129545,,,,,,,,,,,,18.99605,,,,,,54.638004,,,,,,,14.827241,,,,,,0.07905736,,,,,,,,,46.540184,,51.279682,,,,,,,,,,,,,,,,,,,,,,,51.386917,,,,,,,18.30018,0.154955,,,17.430141,,12.01638,,,,,,0.48818088,,,,0.0,,
1990,,,,,99.99171,38.91724,,,,8.072739,15.668763,,,7.696685,,,,7.613365,,,,,,,,0.14613223,,,,,,2.0087674,,,0.4460721,,,,,,,,,,,,0.0,0.6102457,6.6204405,,,2.6599846,,,,39.201477,,,0.9989415,5.5878925,,8.572479,,,0.7282953,,,1.5637217,,,,,,,,0.2631579,,,,,,,,15.437003,,15.7172985,10.269632,3.4604888,27.726954,52.592197,,,,18.630074,,,19.617733,10.4578905,,,,,,10.461326,,,,,,,,,23.838028,4.8387094,26.015038,,,,,,11.232501,0.0,,0.0,,,,,,,,,24.070211,,,,,,51.669025,0.0,,,,,,14.954135,,,,,,0.09670461,,,0.0,,,,,35.101086,47.27554,,50.98688,,,,,,,,,,3.3872209,,,,7.140055,0.0,0.28771064,,,,,,,40.27216,,,,,,,17.70942,1.3341569,,,16.590183,,12.398704,,,,,,0.069116466,,,,0.0,,
1991,,,,,99.99164,38.93286,,,,7.0918283,14.892344,,,8.737182,,,,7.0779066,,,,,,,,0.15914579,,,,,,1.7006088,,,0.35849753,,,,,,,,,,,,0.0,0.63018245,6.772135,,,2.2770917,,,,47.154312,,,0.879064,6.630212,,8.540373,,,0.67726606,,,1.8025273,,,,,,,,0.2557545,,,,,,,,8.624709,,16.789053,11.416062,4.167477,25.150906,55.72318,,,,16.63691,,,20.22863,10.049089,,,,,,10.037252,,,,,,,,,21.41641,4.285714,32.035397,,,,,,14.72503,0.0,,0.0,,,,,,,,,29.09762,,,,,,56.009285,0.0,,,,,,14.842638,,,,,,0.08288125,,,0.0,,,,,36.03873,46.932068,,50.303333,,,,,,,,,,3.504115,,,,8.738664,0.0,0.39463836,,,,,,,38.01085,,,,,,,20.899734,2.8942041,,,16.582144,,12.543768,,,,,,0.38002172,,,,0.0,,
1992,,,,,99.991714,37.063084,,,,7.4126163,13.30928,,,9.339121,,,,7.816027,,,,,,,,0.16131571,,,,,,2.5301428,,,0.32721436,,,,,,,,,,,,0.0,0.64352244,6.182438,,,3.5294118,,,,51.002514,,,1.0916055,2.4513948,,8.977469,,,0.69350547,,,3.9185147,,,,,,,,0.21762787,,,,,,,,15.393259,,13.257575,8.066134,4.8221383,23.159899,55.31469,,,,15.933178,,,20.087454,10.503593,,,,,,13.342564,,,,,,,,,6.7924533,4.545454,29.947916,,,,,,14.194555,0.0,,0.0,,,,,,,,,40.38133,,,,,,57.304855,0.0,,,,,,14.8214035,,,,,,0.07652281,,,0.0,,,,,36.04888,45.633144,,46.961918,,,,,,,,,,1.7196151,,,,3.7435458,0.0,0.5413555,,,,,,,40.231083,,,,,,,16.050484,2.8627713,,,16.63385,,13.228898,,,,,,0.061823804,,,,0.0,,
1993,,,,,99.991684,35.5502,,,,7.405257,13.233288,,,9.717465,,,,8.033827,,,,,,,,0.15396635,,,,,,2.8853397,,,0.38492343,,,,,,,,,,,,0.0,0.6817795,6.2989707,,,4.7069273,,,,55.99953,,,0.7735947,1.4254385,,9.08942,,,0.7477514,,,10.535112,,,,,,,,0.21203287,,,,,,,,19.077568,,12.397448,10.87275,4.9362707,28.101736,53.93736,,,,18.185127,,,19.687222,9.962861,,,,,,11.687956,,,,,,,,,1.8664751,2.9850745,14.249364,,,,,,14.16145,0.0,,0.0,,,,,,,,,44.324898,,,,,,58.14444,0.008352823,,,,,,14.781277,,,,,,0.07588405,,,0.0,,,,,32.51445,44.86452,,46.63115,,,,,,,,,,1.23498,,,,4.906445,0.0,0.62646294,,,,,,,44.13378,,,,,,,14.618616,2.2636766,,,16.809301,,13.1042595,,,,,,0.13130745,,,,0.0,,
1994,,,,,99.99169,34.621536,,,,7.9674387,16.631376,,,11.592376,,,,6.74039,,,,,,,,0.18426637,,,,,,2.791224,,,0.33994398,,,,,,,,,,,,0.0,0.6678082,6.9283175,,,5.6463594,,,,60.33265,,,2.022598,2.4043717,,9.798841,,,0.76770157,,,16.309406,,,,,,,,0.19990005,,,,,,,,21.052633,,14.4093075,26.853743,5.6401706,26.563429,58.328472,,,,17.836065,,,20.22559,8.012337,,,,,,9.76861,,,,,,,,,3.3811476,8.474577,6.9819818,,,,,,14.631178,0.0,,0.0,,,,,,,,,48.916096,,,,,,55.635063,0.13354701,,,,,,14.885442,,,,,,0.11253659,,,0.0,,,,,30.105377,41.527172,,47.60014,,,,,,,,,,1.0058404,,,,8.5983515,0.0,0.602663,,,,,,,44.280903,,,,,,,17.643303,4.3189406,,,16.779312,,14.3083725,,,,,,0.032552086,,,,0.0,,
