Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.008182865,12.59499,,,,3.7736611,,,,,,,,,,,,,,,,2.0209193,,,,,,1.4764179,,,13.8023815,,,,,,,,,,,,,,1.8362442,,,,,,,39.231827,,,6.1211133,,,,,,2.0501332,,,16.205563,,,,,,,,,,,,,,,,,,,,,40.172333,6.367437,,49.316105,,,,41.011093,,,27.362066,10.212316,,,,,,27.836676,,,,,,,,,,,,,,,,,57.23284,,,,,,,,,,,,,60.338596,,,,,,5.1734815,,,,,,,11.235588,,,,,,1.2199194,,,,,,,,,,11.781398,,42.400307,,,,,,,,,,,,,,,,,,,,,,,14.55458,,,,,,,20.696165,9.432343,,,17.32192,,4.054885,,,,,,23.988953,,,,0.02927013,,
1986,,,,,0.00834009,16.102911,,,,2.9113622,,,,,,,,,,,,,,,,5.0402174,,,,,,1.3158792,,,11.940916,,,,,,,,,,,,,,2.6058288,,,,,,,40.664185,,,4.8134136,,,,,,1.4978147,,,10.374629,,,,,,,,,,,,,,,,,,,,,36.648243,5.6760206,,45.696873,,,,40.286488,,,26.737583,10.298787,,,,,,17.654726,,,,,,,,,,,,,,,,,61.13987,,,,,,,,,,,,,56.95245,,,,,,5.1451545,,,,,,,11.475273,,,,,,1.1561434,,,,,,,,,,11.7830105,,44.616547,,,,,,,,,,,,,,,,,,,,,,,13.559569,,,,,,,17.636063,12.012083,,,18.220757,,5.4880137,,,,,,25.275917,,,,0.028332243,,
1987,,,,,0.00831748,19.337898,,,,2.0608916,,,,,,,,,,,,,,,,3.8276384,,,,,,2.0268023,,,10.988866,,,,,,,,,,,,,,2.5938973,,,,,,,41.983482,,,4.8513007,,,,,,1.5242294,,,8.694789,,,,,,,,,,,,,,,,,,,,,37.650185,5.521987,,52.444775,,,,44.66411,,,26.671816,10.205151,,,,,,2.9986947,,,,,,,,,,,,,,,,,62.34682,,,,,,,,,,,,,52.6491,,,,,,5.345664,,,,,,,11.088151,,,,,,1.1643455,,,,,,,,,,11.701073,,49.12268,,,,,,,,,,,,,,,,,,,,,,,7.667179,,,,,,,12.390622,9.06053,,,17.823729,,4.5960293,,,,,,25.384233,,,,0.027563937,,
1988,,,,,0.008334434,16.44777,,,,1.7046328,,,,,,,,,,,,,,,,3.3460383,,,,,,2.3402433,,,11.066561,,,,,,,,,,,,,,2.146346,,,,,,,43.21085,,,4.9993134,,,,,,1.435905,,,9.193879,,,,,,,,,,,,,,,,,,,,,38.533356,5.110967,,39.642273,,,,44.0664,,,28.266012,10.049123,,,,,,9.470131,,,,,,,,,,,,,,,,,61.834816,,,,,,,,,,,,,48.52212,,,,,,5.449795,,,,,,,11.278762,,,,,,1.1265069,,,,,,,,,,11.647872,,50.669003,,,,,,,,,,,,,,,,,,,,,,,9.704368,,,,,,,6.877799,20.534895,,,16.256105,,5.493568,,,,,,21.960207,,,,0.0322497,,
1989,,,,,0.008295455,14.1635895,,,,1.9969227,,,,,,,,,,,,,,,,2.7744985,,,,,,3.648719,,,9.854825,,,,,,,,,,,,,,1.8641728,,,,,,,42.872623,,,6.2140217,,,,,,2.8968751,,,9.358996,,,,,,,,,,,,,,,,,,,,,37.685623,4.7000065,,35.531933,,,,48.77058,,,28.982908,10.01211,,,,,,10.780611,,,,,,,,,,,,,,,,,59.953247,,,,,,,,,,,,,46.534977,,,,,,4.525116,,,,,,,11.581788,,,,,,1.1624869,,,,,,,,,,11.688701,,48.72032,,,,,,,,,,,,,,,,,,,,,,,12.730522,,,,,,,8.161489,26.467531,,,16.774008,,5.600774,,,,,,15.184996,,,,0.0,,
1990,,,,,0.008303503,9.693187,,,,2.2318804,5.520601,,,6.4162755,,,,3.4367542,,,,,,,,2.275333,,,,,,3.4265985,,,8.107856,,,,,,,,,,,,100.0,1.7986189,4.564231,,,3.3153431,,,,37.074074,,,6.3575015,94.4121,,8.830022,,,3.0862417,,,11.518374,,,,,,,,,20.964912,,,,,,,,,32.80363,,5.2391,37.21632,4.626032,25.686136,34.493053,,,,49.96012,,,32.619152,9.992104,,,,,,11.23328,,,,,,,,,14.753522,82.258064,6.315789,,,,,,54.45827,1.7391305,,44.144146,,,,,,,,,,45.8594,,,,,,6.845828,0.17269737,,,,,,11.420837,,,,,,1.82251,,,33.321568,,,,,,18.38258,11.873387,,49.013123,,,,,,,,,,4.8242235,,,,8.826991,7.877814,1.2672969,,,,,,,23.506891,,,,,,,6.8474107,24.791601,,,16.03485,,4.206248,,,,,,15.03283,,,,0.0,,
1991,,,,,0.008365623,14.147439,,,,1.822573,6.3795853,,,7.1077394,,,,3.8830183,,,,,,,,2.2382488,,,,,,2.7879968,,,7.6633463,,,,,,,,,,,,100.0,1.8242123,5.1938357,,,3.0727022,,,,29.932293,,,7.2134957,93.36979,,9.5065565,,,3.9769952,,,9.235629,,,,,,,,,23.586248,,,,,,,,,22.261072,,9.846462,37.382797,4.1952505,30.583502,35.20082,,,,49.471226,,,30.225574,8.72076,,,,,,15.357431,,,,,,,,,19.54375,82.85714,9.911505,,,,,,52.650307,1.0398613,,58.450706,,,,,,,,,,41.221,,,,,,7.224802,0.15376267,,,,,,11.057069,,,,,,1.7781795,,,34.084793,,,,,,10.7922535,11.606224,,49.696667,,,,,,,,,,4.990709,,,,12.737015,4.3956046,1.741852,,,,,,,25.436682,,,,,,,5.4614873,25.809017,,,13.835715,,3.9368997,,,,,,16.199783,,,,0.0,,
1992,,,,,0.0082964245,13.654243,,,,1.4817178,5.973141,,,6.524783,,,,3.9785554,,,,,,,,2.619566,,,,,,3.006786,,,7.0575905,,,,,,,,,,,,100.0,1.879763,4.9777994,,,3.9215686,,,,27.213419,,,9.792532,97.54861,,9.601386,,,2.8481703,,,9.874159,,,,,,,,,21.381939,,,,,,,,,28.202248,,13.257575,37.08651,4.3929567,29.31472,30.860842,,,,53.920425,,,30.77503,8.778046,,,,,,15.805868,,,,,,,,,12.614555,83.33333,4.4270835,,,,,,50.53613,0.9884678,,62.416107,,,,,,,,,,33.733673,,,,,,6.526899,0.13662368,,,,,,10.778767,,,,,,1.8212429,,,46.87924,,,,,,8.331791,9.921372,,53.038086,,,,,,,,,,1.8070533,,,,9.251291,2.5121555,2.3504422,,,,,,,26.461073,,,,,,,7.824796,21.303259,,,8.990313,,3.278924,,,,,,16.692427,,,,0.0,,
1993,,,,,0.008310866,10.818057,,,,1.4333439,6.8017926,,,6.464041,,,,4.9682875,,,,,,,,2.4664786,,,,,,2.2646685,,,8.06491,,,,,,,,,,,,100.0,1.4317368,4.0079126,,,3.7004147,,,,22.40623,,,6.6464677,98.57456,,10.31772,,,2.168479,,,7.040946,,,,,,,,,19.957594,,,,,,,,,28.301888,,17.623823,37.08054,3.922952,25.992556,31.831062,,,,53.65432,,,25.785034,8.646891,,,,,,15.644226,,,,,,,,,7.3223257,85.07462,12.468193,,,,,,48.96264,1.7374519,,60.0,,,,,,,,,,30.63593,,,,,,6.984713,0.15035082,,,,,,10.067904,,,,,,1.8667476,,,32.522697,,,,,,9.934971,8.6647215,,53.36885,,,,,,,,,,1.0013351,,,,8.98129,2.1757321,2.753683,,,,,,,28.795792,,,,,,,7.0044713,22.96473,,,7.404045,,3.5620875,,,,,,19.189646,,,,0.0,,
1994,,,,,0.008307036,6.9443145,,,,1.4864011,6.371511,,,6.812448,,,,4.9763036,,,,,,,,2.4774783,,,,,,1.8204342,,,5.1949778,,,,,,,,,,,,100.0,1.729452,3.9401212,,,7.602773,,,,17.570547,,,6.8730884,97.595634,,11.444681,,,1.9330007,,,5.113915,,,,,,,,,19.290354,,,,,,,,,15.560641,,17.004772,24.387383,4.0588503,28.05241,33.041092,,,,52.38907,,,28.554483,7.1407146,,,,,,20.505764,,,,,,,,,13.012295,72.88136,18.468468,,,,,,54.55527,0.67340064,,76.623375,,,,,,,,,,24.510616,,,,,,6.874521,0.16915955,,,,,,10.0884285,,,,,,2.2282243,,,25.449871,,,,,,10.519622,8.365026,,52.399864,,,,,,,,,,0.77871513,,,,5.7322345,2.094647,3.2726,,,,,,,29.58036,,,,,,,7.0854077,21.598888,,,5.1963954,,3.2925014,,,,,,16.0319,,,,0.0,,
