Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,970000.0,1020000.0,710000.0,11290000.0,28340000.0,2960000.0,120000.0,62030000.0,13630000.0,6200000.0,129999.99,20210000.0,170000.0,259999.98,1670000.0,6440000.0,990000.0,250000.0,2190000.0,11480000.0,110000.0,2260000.0,82180000.0,270000.0,550000.0,40000.0,650000.0,80000.0,124670000.0,14510000.0,9080000.0,94150000.0,1190000.0,1750000.0,570000.0,510000.0,30000.0,16350000.0,40000.0,129999.99,1590000.0,5070000.0,1170000.0,6950000.0,158600000.0,40000.0,40000.0,10190000.0,2310000.0,15810000.0,7830000.0,16150000.0,,63210000.0,2400000.0,930000.0,11720000.0,410000.0,113230000.0,,320000.0,114970000.0,3720000.0,1620000.0,270000.0,80000.0,60000.0,10000.0,15060000.0,40000.0,1710000.0,259999.98,1050000.0,3570000.0,430000.0,8400000.0,32200000.0,64379996.0,4890000.0,39150000.0,21770000.0,630000.0,8029999.5,96070000.0,1080000.0,2730000.0,211960000.0,14420000.0,2690000.0,6020000.0,,10000.0,30000.0,43740000.0,2840000.0,,1860000.0,110000.0,6190000.0,90000.0,2500000.0,250000.0,5510000.0,2630000.0,3060000.0,3890000.0,2420000.0,530000.0,120000.0,83490000.0,,770000.0,,450000.0,1340000.0,,1540000.0,610000.0,490000.0,440000.0,420000.0,14560000.0,,210000.0,11760000.0,740000.0,0.0,27050000.0,10030000.0,340000.0,30000.0,8660000.0,1680000.0,4617799700.0,13790000.0,1270000.0,7140000.0,13760000.0,,650000.0,20230000.0,5600000.0,9690000.0,1620000.0,1470000.0,11730000.0,298760000.0,350000.0,49400000.0,3960000.0,730000.0,4070000.2,100000.0,110000.0,1270000.0,310000.0,4470000.0,,30000.0,,4090000.2,2620000.0,19860000.0,450000.0,50000.0,7240000.0,259999.98,430000.0,28000000.0,730000.0,9820000.0,,60000.0,1350000.0,2490000.0,27850000.0,0.0,700000.0,600000.0,54860000.0,1520000.0,1426970000.0,7690000.0,50000.0,28550000.0,4170000.0,40000.0,50000.0,4010000.2,29550000.0,770000.0,2089999.9
1991,930000.0,1260000.0,540000.0,11620000.0,29970000.0,2900000.0,120000.0,60590000.0,15050000.0,4760000.0,160000.0,20390000.0,129999.99,270000.0,1850000.0,3480000.0,1010000.0,220000.0,1860000.0,12250000.0,150000.0,2370000.0,85970000.0,270000.0,600000.0,40000.0,710000.0,90000.0,120950000.0,14950000.0,9480000.0,100620000.0,1180000.0,1570000.0,480000.0,540000.0,30000.0,17090000.0,50000.0,100000.0,1650000.0,3720000.0,1160000.0,6170000.0,161480000.0,50000.0,40000.0,10750000.0,2280000.0,16880000.0,8010000.0,16900000.0,,65830000.0,2170000.0,930000.0,11400000.0,420000.0,116850000.0,,390000.0,114360000.0,2800000.0,1500000.0,290000.0,80000.0,60000.0,10000.0,15880000.0,40000.0,1790000.0,240000.0,1039999.94,2850000.0,400000.0,7350000.0,35850000.0,66930000.0,5070000.0,42320000.0,18350000.0,640000.0,8300000.0,97930000.0,1030000.0,2530000.0,222330000.0,18090000.0,2760000.0,4660000.0,,10000.0,30000.0,49040000.0,1900000.0,,2330000.0,80000.0,6230000.0,90000.0,2510000.0,250000.0,6080000.0,3150000.0,2790000.0,4330000.0,2270000.0,590000.0,129999.99,89390000.0,,770000.0,,510000.0,1260000.0,,990000.0,500000.0,510000.0,450000.0,450000.0,15670000.0,480000.0,200000.0,15340000.0,810000.0,0.0,27540000.0,10150000.0,400000.0,30000.0,8660000.0,1800000.0,4655590000.0,14300000.0,1330000.0,6380000.0,13010000.0,,650000.0,21090000.0,4280000.0,10350000.0,1530000.0,1490000.0,10280000.0,293100000.0,330000.0,51470000.0,3130000.0,750000.0,4930000.0,100000.0,120000.0,1380000.0,290000.0,3190000.0,,30000.0,,3390000.0,2480000.0,19560000.0,460000.0,50000.0,7600000.0,259999.98,320000.0,28750000.0,730000.0,8800000.0,,70000.0,1420000.0,2560000.0,26560000.0,0.0,650000.0,620000.0,66110000.0,1610000.0,1399670000.0,6940000.0,50000.0,30250000.0,3940000.0,40000.0,50000.0,5130000.0,29570000.0,970000.0,1590000.0
1992,740000.0,1190000.0,410000.0,11810000.0,32000000.0,1830000.0,120000.0,62080000.0,15080000.0,4000000.0,129999.99,21200000.0,120000.0,270000.0,2120000.0,3810000.0,1120000.0,170000.0,1060000.0,11320000.0,220000.0,2340000.0,86610000.0,270000.0,650000.0,50000.0,810000.0,90000.0,125210000.0,15290000.0,10290000.0,111100000.0,1140000.0,1570000.0,440000.0,470000.0,30000.0,18010000.0,50000.0,110000.0,2390000.0,2600000.0,1310000.0,7920000.0,164060000.0,50000.0,40000.0,10810000.0,2450000.0,16800000.0,8130000.0,17570000.0,110000.0,69380000.0,1130000.0,730000.0,11350000.0,450000.0,119360000.0,80000.0,370000.0,115830000.0,2330000.0,1790000.0,290000.0,80000.0,50000.0,10000.0,16280001.0,40000.0,1870000.0,230000.0,1160000.0,2690000.0,410000.0,7110000.0,37910000.0,68550000.0,5440000.0,44150000.0,23280000.0,630000.0,9070000.0,102960000.0,1070000.0,2670000.0,227020000.0,15830000.0,2560000.0,2710000.0,,10000.0,40000.0,54520000.0,4540000.0,,3230000.0,90000.0,6330000.0,110000.0,2800000.0,250000.0,4010000.2,3440000.0,2450000.0,4790000.0,2200000.0,600000.0,190000.0,89690000.0,30000.0,770000.0,,530000.0,1039999.94,,890000.0,690000.0,540000.0,500000.0,450000.0,16750000.0,519999.97,190000.0,18710000.0,920000.0,0.0,29020000.0,10400000.0,440000.0,30000.0,9040000.0,1950000.0,4761400000.0,16110001.0,1430000.0,6900000.0,15090000.0,100000.0,650000.0,21470000.0,3490000.0,11260000.0,1830000.0,1580000.0,10420000.0,280700000.0,340000.0,54530000.0,3120000.0,790000.0,4760000.0,110000.0,120000.0,1600000.0,270000.0,2260000.0,,30000.0,,3550000.0,2560000.0,20340000.0,440000.0,70000.0,7150000.0,280000.0,270000.0,30520000.0,370000.0,6880000.0,,50000.0,1360000.0,2640000.0,27110000.0,0.0,680000.0,620000.0,40940000.0,1730000.0,1430660100.0,5430000.0,50000.0,29780000.0,4420000.0,30000.0,60000.0,5410000.0,30060000.0,930000.0,2210000.0
1993,740000.0,1210000.0,510000.0,12600000.0,34280000.0,1190000.0,129999.99,63190000.0,15230000.0,3690000.0,140000.0,21730000.0,120000.0,280000.0,2180000.0,4310000.0,1160000.0,150000.0,850000.0,9460000.0,230000.0,2700000.0,90080000.0,270000.0,680000.0,50000.0,800000.0,100000.0,127180000.0,14270000.0,11410000.0,125700000.0,1100000.0,1690000.0,440000.0,470000.0,30000.0,18270000.0,50000.0,100000.0,2470000.0,1950000.0,1330000.0,7960000.0,168670000.0,50000.0,40000.0,10970000.0,2660000.0,16960000.0,8160000.0,18280000.0,210000.0,68390000.0,1270000.0,880000.0,11120000.0,430000.0,120480000.0,90000.0,390000.0,117000000.0,2000000.0,1800000.0,290000.0,80000.0,60000.0,20000.0,16490000.0,40000.0,2060000.0,230000.0,1320000.0,2830000.0,380000.0,7100000.0,40490000.0,68550000.0,5480000.0,49810000.0,24510000.0,630000.0,9540000.0,104850000.0,1160000.0,2750000.0,232120000.0,13190000.0,2380000.0,1580000.0,,20000.0,40000.0,61500000.0,4780000.0,,3770000.0,100000.0,7440000.0,120000.0,2990000.0,250000.0,3060000.0,3470000.0,2280000.0,5220000.0,1430000.0,620000.0,160000.0,91750000.0,30000.0,1450000.0,,590000.0,1590000.0,,990000.0,850000.0,550000.0,540000.0,460000.0,17430000.0,540000.0,210000.0,16070000.0,950000.0,0.0,29880000.0,11010000.0,480000.0,30000.0,9440000.0,2079999.9,4803180000.0,18420000.0,1540000.0,7050000.0,17110000.0,100000.0,700000.0,20890000.0,3130000.0,11820000.0,2280000.0,1670000.0,8350000.5,235620000.0,350000.0,57440000.0,2050000.0,760000.0,4720000.0,120000.0,110000.0,1750000.0,259999.98,2700000.0,,30000.0,,2940000.0,3090000.0,19440000.0,440000.0,60000.0,7500000.0,280000.0,170000.0,35910000.0,290000.0,7090000.0,,60000.0,1220000.0,2960000.0,32270000.0,0.0,710000.0,600000.0,35440000.0,1960000.0,1454190000.0,4770000.0,60000.0,31910000.0,6900000.0,30000.0,70000.0,4410000.0,30230000.0,660000.0,1970000.0
1994,730000.0,1540000.0,640000.0,12480000.0,33790000.0,160000.0,129999.99,64830000.0,15290000.0,3240000.0,140000.0,22310000.0,120000.0,270000.0,2230000.0,3940000.0,1180000.0,150000.0,970000.0,6730000.0,230000.0,2810000.0,94210000.0,280000.0,720000.0,50000.0,770000.0,100000.0,133420000.0,14620000.0,12330000.0,116350000.0,1090000.0,1760000.0,450000.0,290000.0,30000.0,17040000.0,50000.0,100000.0,2590000.0,1890000.0,1380000.0,8540000.0,166040000.0,50000.0,50000.0,11390000.0,3150000.0,15520000.0,8680000.0,20020000.0,290000.0,70710000.0,1560000.0,980000.0,11560000.0,420000.0,121380000.0,90000.0,310000.0,117380000.0,1470000.0,1880000.0,290000.0,80000.0,50000.0,20000.0,16590000.0,50000.0,2190000.0,410000.0,1540000.0,3020000.0,110000.0,6920000.0,45350000.0,70810000.0,5700000.0,56750000.0,24790000.0,660000.0,10260000.0,104610000.0,1170000.0,2750000.0,244240000.0,9050000.0,2320000.0,500000.0,,20000.0,40000.0,64570000.0,5040000.0,,3540000.0,100000.0,8840000.0,140000.0,3480000.0,259999.98,2400000.0,3520000.0,2110000.0,5640000.0,1310000.0,700000.0,150000.0,97420000.0,30000.0,930000.0,,590000.0,1830000.0,,670000.0,700000.0,580000.0,550000.0,470000.0,19250000.0,580000.0,210000.0,12900000.0,1010000.0,0.0,29310000.0,10840000.0,560000.0,30000.0,10100000.0,2110000.0,4899850000.0,19470000.0,1650000.0,8000000.0,18000000.0,100000.0,710000.0,21540000.0,2110000.0,12430000.0,2570000.0,1780000.0,8860000.0,207060000.0,370000.0,61240000.0,2980000.0,740000.0,5140000.0,140000.0,100000.0,1860000.0,240000.0,2620000.0,,30000.0,,3360000.0,3450000.0,20150000.0,450000.0,70000.0,7530000.0,290000.0,320000.0,39940000.0,200000.0,4250000.0,,70000.0,1280000.0,3100000.0,31340000.0,0.0,710000.0,550000.0,32250000.0,2200000.0,1506900000.0,4270000.0,70000.0,32400002.0,7610000.0,30000.0,70000.0,4450000.0,31330000.0,810000.0,1750000.0
1995,730000.0,1070000.0,630000.0,13110000.0,35210000.0,110000.0,140000.0,67540000.0,15510000.0,3340000.0,150000.0,22460000.0,120000.0,340000.0,2690000.0,4190000.0,1230000.0,180000.0,990000.0,6680000.0,240000.0,3130000.0,104190000.0,280000.0,780000.0,70000.0,890000.0,100000.0,137090000.0,14370000.0,13640000.0,127370000.0,1230000.0,1710000.0,450000.0,420000.0,30000.0,20330000.0,50000.0,110000.0,2590000.0,1970000.0,1470000.0,7250000.0,167930000.0,60000.0,50000.0,11600000.0,3510000.0,15110000.0,8270000.5,21230000.0,330000.0,71960000.0,1540000.0,1090000.0,11360000.0,430000.0,122320000.0,110000.0,340000.0,116330000.0,1030000.0,2050000.0,300000.0,80000.0,50000.0,20000.0,16709999.0,50000.0,2730000.0,430000.0,1550000.0,3210000.0,500000.0,7120000.0,49260000.0,78290000.0,5850000.0,55710000.0,24730000.0,610000.0,11270000.0,106890000.0,1400000.0,3000000.0,252450000.0,9160000.0,2560000.0,1120000.0,1160000.0,20000.0,40000.0,72470000.0,5340000.0,,4179999.8,100000.0,9510000.0,140000.0,3700000.0,259999.98,2940000.0,3350000.0,2010000.0,5990000.0,1300000.0,670000.0,190000.0,89390000.0,30000.0,880000.0,,690000.0,2720000.0,,830000.0,730000.0,630000.0,540000.0,470000.0,20480000.0,630000.0,180000.0,14940000.0,1110000.0,0.0,29570000.0,11520000.0,620000.0,30000.0,10780000.0,2190000.0,5034310000.0,20240000.0,1730000.0,8700000.0,21270000.0,100000.0,710000.0,22320000.0,2530000.0,12920000.0,2930000.0,1970000.0,8170000.0,190940000.0,360000.0,54130000.0,2790000.0,790000.0,5650000.0,140000.0,100000.0,2120000.0,220000.0,2730000.0,,30000.0,,3790000.0,3840000.0,20340000.0,450000.0,60000.0,7510000.0,300000.0,390000.0,47580000.0,180000.0,3990000.0,,70000.0,1340000.0,3200000.0,35200000.0,0.0,900000.0,720000.0,33320000.0,2180000.0,1537760000.0,6860000.0,80000.0,33490002.0,7270000.0,30000.0,80000.0,3960000.0,35170000.0,810000.0,2170000.0
1996,700000.0,990000.0,620000.0,13270000.0,41000000.0,60000.0,150000.0,70020000.0,17130000.0,2710000.0,160000.0,22900000.0,500000.0,350000.0,2960000.0,4139999.8,1260000.0,170000.0,1030000.0,7250000.0,190000.0,3240000.0,113670000.0,250000.0,840000.0,80000.0,900000.0,100000.0,140440000.0,14390000.0,14840000.0,169850000.0,1250000.0,1730000.0,450000.0,320000.0,40000.0,20860000.0,50000.0,110000.0,2610000.0,2200000.0,1520000.0,10080000.0,169050000.0,50000.0,40000.0,11720000.0,3890000.0,14960000.0,10070000.0,22480000.0,380000.0,76900000.0,1630000.0,1210000.0,11090000.0,430000.0,122120000.0,120000.0,350000.0,120850000.0,2520000.0,2230000.0,320000.0,80000.0,40000.0,40000.0,17190000.0,70000.0,2720000.0,480000.0,1500000.0,3600000.0,560000.0,7110000.0,54600000.0,83800000.0,6800000.0,59930000.0,24160000.0,680000.0,11890000.0,108660000.0,1610000.0,3060000.0,258269980.0,8210000.0,2690000.0,1180000.0,1160000.0,20000.0,40000.0,76370000.0,5450000.0,,4330000.0,110000.0,10520000.0,160000.0,5070000.0,259999.98,3240000.0,3440000.0,1930000.0,6400000.0,1390000.0,700000.0,210000.0,91710000.0,40000.0,1670000.0,,540000.0,2920000.0,,870000.0,810000.0,740000.0,540000.0,470000.0,23390000.0,1050000.0,190000.0,17150000.0,1170000.0,0.0,30820000.0,12050000.0,640000.0,30000.0,10910000.0,2270000.0,5240380000.0,22790000.0,1820000.0,9090000.0,24100000.0,100000.0,740000.0,25280000.0,2040000.0,13690000.0,2960000.0,2100000.0,11480000.0,181470000.0,350000.0,56870000.0,2650000.0,850000.0,5110000.0,150000.0,90000.0,2100000.0,210000.0,4590000.0,,30000.0,,3520000.0,4360000.0,20090000.0,300000.0,60000.0,8810000.0,310000.0,660000.0,51990000.0,140000.0,4490000.0,,50000.0,1390000.0,3320000.0,36990000.0,0.0,1200000.0,740000.0,30150000.0,2320000.0,1577189900.0,9370000.0,80000.0,34830000.0,8000000.0,40000.0,80000.0,3760000.0,34320000.0,630000.0,2130000.0
1997,670000.0,1050000.0,490000.0,13200000.0,40970000.0,60000.0,160000.0,71390000.0,16200001.0,3220000.0,160000.0,23240000.0,680000.0,350000.0,3340000.0,4280000.0,1320000.0,180000.0,1060000.0,7610000.0,259999.98,3070000.0,120610000.0,300000.0,870000.0,80000.0,970000.0,100000.0,144850000.0,14850000.0,15730000.0,146130000.0,1380000.0,1820000.0,450000.0,250000.0,40000.0,21870000.0,50000.0,110000.0,2670000.0,2760000.0,1580000.0,10390000.0,169800000.0,60000.0,50000.0,11900000.0,4460000.0,15010000.0,10670000.0,24070000.0,360000.0,76850000.0,1720000.0,1280000.0,11700000.0,430000.0,124640000.0,120000.0,380000.0,121950000.0,1890000.0,2330000.0,350000.0,90000.0,60000.0,90000.0,17780000.0,80000.0,2880000.0,519999.97,1650000.0,3800000.0,580000.0,7530000.0,60650000.0,85800000.0,7160000.0,61270000.0,23760000.0,590000.0,12660000.0,110250000.0,1700000.0,3210000.0,260470000.0,7040000.0,2670000.0,1260000.0,1200000.0,20000.0,40000.0,78070000.0,5700000.0,,4170000.0,110000.0,10100000.0,150000.0,4670000.0,259999.98,3630000.0,3650000.0,1970000.0,6830000.0,1370000.0,730000.0,250000.0,95710000.0,40000.0,1480000.0,,750000.0,2400000.0,,810000.0,830000.0,790000.0,530000.0,470000.0,26930000.0,1080000.0,190000.0,21900000.0,1240000.0,0.0,30820000.0,12240000.0,740000.0,30000.0,11130000.0,2420000.0,5316630000.0,23350000.0,1940000.0,9400000.0,24750000.0,110000.0,730000.0,26740000.0,1130000.0,14250000.0,3320000.0,2350000.0,11680000.0,166570000.0,360000.0,57720000.0,3130000.0,920000.0,5060000.0,150000.0,100000.0,2130000.0,200000.0,6320000.0,,30000.0,,4110000.2,4560000.0,20330000.0,410000.0,80000.0,9000000.0,330000.0,430000.0,51790000.0,140000.0,2690000.0,,70000.0,1500000.0,3510000.0,34350000.0,0.0,1180000.0,770000.0,35900000.0,2520000.0,1602130000.0,9490000.0,80000.0,32450000.0,8750000.0,40000.0,80000.0,3780000.0,35230000.0,730000.0,2140000.0
1998,670000.0,830000.0,740000.0,13190000.0,43590000.0,70000.0,160000.0,71390000.0,18300000.0,3000000.0,160000.0,23970000.0,750000.0,410000.0,3420000.0,5420000.0,1390000.0,180000.0,1400000.0,8040000.0,259999.98,3170000.0,126900000.0,340000.0,820000.0,90000.0,1039999.94,120000.0,147470000.0,14990000.0,16559999.0,140290000.0,1210000.0,1880000.0,450000.0,320000.0,40000.0,21410000.0,60000.0,120000.0,2960000.0,2490000.0,1660000.0,10670000.0,172810000.0,100000.0,50000.0,11930000.0,4880000.0,15460000.0,9980000.0,26720000.0,230000.0,84240000.0,1780000.0,1410000.0,11860000.0,420000.0,129119990.0,120000.0,410000.0,121190000.0,1250000.0,2780000.0,400000.0,90000.0,60000.0,80000.0,19420000.0,80000.0,3430000.0,510000.0,1830000.0,3940000.0,640000.0,8400000.0,59200000.0,88780000.0,8450000.0,63730000.0,24220000.0,610000.0,11790000.0,113420000.0,1840000.0,3250000.0,259660000.0,7930000.0,2730000.0,1220000.0,1400000.0,20000.0,50000.0,65170000.0,5840000.0,,4460000.0,120000.0,9950000.0,170000.0,4880000.0,270000.0,3820000.0,3820000.0,1940000.0,7270000.0,1080000.0,830000.0,220000.0,98310000.0,40000.0,1010000.0,,650000.0,2950000.0,,790000.0,840000.0,890000.0,530000.0,430000.0,25150000.0,1120000.0,230000.0,18040000.0,1340000.0,0.0,31540000.0,12680000.0,770000.0,30000.0,11310000.0,2490000.0,5440819700.0,24560000.0,2160000.0,9350000.0,25460000.0,110000.0,750000.0,28190000.0,2120000.0,15520000.0,3480000.0,2470000.0,11050000.0,196400000.0,350000.0,57910000.0,2980000.0,1020000.0,5080000.0,150000.0,100000.0,2290000.0,180000.0,4900000.0,,30000.0,,4170000.0,3790000.0,20630000.0,430000.0,90000.0,9300000.0,340000.0,480000.0,44850000.0,120000.0,3260000.0,,60000.0,1550000.0,3610000.0,31720000.0,0.0,1390000.0,880000.0,33580000.0,2690000.0,1640360000.0,12940000.0,110000.0,33230000.0,9200000.0,40000.0,90000.0,4080000.0,34890000.0,700000.0,2120000.0
1999,490000.0,1160000.0,1410000.0,13570000.0,40970000.0,70000.0,170000.0,72770000.0,17820000.0,1570000.0,170000.0,24190000.0,850000.0,490000.0,3120000.0,5650000.0,1440000.0,180000.0,1340000.0,7090000.0,240000.0,3180000.0,124250000.0,350000.0,810000.0,100000.0,1130000.0,129999.99,151160000.0,14970000.0,16740000.0,157360000.0,1420000.0,1640000.0,440000.0,310000.0,40000.0,19080000.0,60000.0,150000.0,3070000.0,2350000.0,1700000.0,11760000.0,177660000.0,110000.0,60000.0,11960000.0,5200000.0,16469999.0,9050000.0,28390000.0,210000.0,88510000.0,1650000.0,1450000.0,12170000.0,420000.0,129520010.0,120000.0,390000.0,124730000.0,1130000.0,3090000.0,440000.0,90000.0,80000.0,120000.0,19600000.0,80000.0,3600000.0,580000.0,2120000.0,4230000.0,660000.0,8930000.0,58780000.0,93310000.0,9330000.0,71210000.0,24220000.0,620000.0,12540000.0,116260000.0,1930000.0,3320000.0,262000000.0,5820000.0,2690000.0,1130000.0,1360000.0,10000.0,50000.0,71800000.0,6010000.0,,4250000.0,120000.0,10950000.0,160000.0,5400000.0,270000.0,3410000.0,4250000.0,1910000.0,7760000.0,720000.0,910000.0,310000.0,101070000.0,40000.0,1080000.0,,600000.0,3000000.0,,820000.0,850000.0,1030000.0,710000.0,410000.0,30410000.0,1150000.0,220000.0,19660000.0,1410000.0,0.0,32090000.0,12890000.0,780000.0,20000.0,11590000.0,2540000.0,5602370000.0,25890000.0,2310000.0,9870000.0,25160000.0,110000.0,710000.0,30670000.0,890000.0,16250000.0,3480000.0,2290000.0,9310000.0,198050000.0,370000.0,58130000.0,2430000.0,1100000.0,5140000.0,150000.0,90000.0,2610000.0,160000.0,2590000.0,,30000.0,,4240000.0,3590000.0,21070000.0,490000.0,110000.0,8010000.0,350000.0,580000.0,46330000.0,60000.0,4150000.0,,70000.0,1570000.0,3840000.0,33300000.0,0.0,1160000.0,890000.0,28100000.0,2780000.0,1686180100.0,13490000.0,100000.0,32890000.0,9830000.0,40000.0,90000.0,4510000.0,35360000.0,670000.0,3130000.0
