Date,AFG,ALB,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,CAN,CHE,CHL,CHN,CYP,CZE,DEU,DNK,DZA,EGY,ESP,EST,FIN,FRA,GBR,GRC,GTM,HKG,HRV,HUN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KGZ,KOR,LBN,LBR,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MLT,MNE,MNG,NGA,NLD,NOR,NPL,NZL,OWID_CZS,OWID_GFR,OWID_SRM,OWID_WRL,OWID_YGS,PAK,PER,POL,PRK,PRT,PRY,PSE,ROU,RUS,SDN,SLV,SRB,SVK,SVN,SWE,THA,TJK,TUR,TWN,UKR,URY,USA,ZAF
1936,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.0,,,,,,,,,,,,,,,,,,,,,,,1193.0,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,69.0,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,,111.0,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,107.0,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,150.0,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,262.0,
1968,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,10.0,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,22.0,
1975,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,14.0,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,470.0,,70.0,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389.0,,,,,,,,,,,,,,,,,,,,,,,1260.0,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,17.0,,,,,,,,,,,,,,,,,,,,188.0,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,
1985,,68.0,,,,,,0.0,,,,,,,,,,,,,,,,,,40.0,,,0.0,,20.0,,,,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,456.0,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,48.0,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,10.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.0,,,,,,,,,,,,,,,,,,,30.0,,,,80.0,
1988,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,56.0,,,,,450.0,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,644.0,38.0,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,,,,,,,,,,,,,,,,,,,,,,,84.0,
1990,144.0,,,,,,,,117.0,,,,0.0,,,,,,,,,,,,,,,,5.0,,,,,,,264.0,,,,,,,,,40.0,,0.0,,,,,,380.0,,,,,,,,,,,,,979.0,,18.0,,,,,,,,,,,,,,,,,,,,,11.0,
1991,80.0,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,20.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.0,,523.0,25.0,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,78.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,275.0,,,0.0,,15.0,,,,,,,,,,,,80.0,,,,,18.0,,,,,,,,466.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,17.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,41.0,,,,,,,,,,,,,48.0,
1994,,,,,5.0,,,,29.0,,,,,,0.0,,,,104.0,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,,,,,,,,,0.0,42.0,,,,,,,,,0.0,,,,,
1995,,,0.0,,1.0,,,,120.0,,,,,,,,,2.0,,,,,,,32.0,30.0,,,,,,,,,,558.0,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,1730.0,,,,,,,,,,228.0,,,,,,,,,,,,,710.0,
1996,,,,,,,,,200.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,32.0,,,,,,,16.0,,,,,,,,,,,,,,,30.0
1997,,,,,,,,,33.0,,,,,,,,,,40.0,,,30.0,,,,,,,23.0,14.0,,,,,,,,,,,,,0.0,,,,,,,,,,292.0,,,,,,,,,,,,,604.0,,100.0,,50.0,,,,,,22.0,,,,,,,,,,,,,,
1998,,,,,,,,,120.0,3.0,,,,,,,,,,52.0,,,,,,,,,,,,,,,,2641.0,,,,10.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,3269.0,,,,64.0,,,,,80.0,69.0,,,,,,,,,,,,,130.0,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,32.0,,,,,15.0,,,,,,,,,,,,,771.0,,11.0,,154.0,,,,,,162.0,,,,,,,,,,,,,257.0,
2000,,,15.0,,,,,,49.0,7.0,,0.0,,6.0,7.0,,,0.0,,5.0,,,,,3.0,,,,,,27.0,,,40.0,,275.0,,,0.0,,0.0,,,11.0,,,,,,,0.0,,66.0,,,,,,,,,,,,3.0,934.0,,24.0,,84.0,,,8.0,,6.0,245.0,,,,,,,,,11.0,,0.0,7.0,35.0,
2001,327.0,,14.0,,,,,,6.0,,,,,9.0,,,0.0,,,,,,,,,,,,,,,0.0,,,81.0,173.0,,,,,,,3.0,,,,,20.0,,21.0,,,,15.0,,,,,,,,0.0,,,,1734.0,,0.0,,217.0,,,,,10.0,753.0,,,,,,,,,29.0,,,,56.0,
2002,,,0.0,,,,,,247.0,,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,1930.0,,,,,,,,,,,,,,,,,50.0,,,,,60.0,,,60.0,,,,,2922.0,,113.0,,189.0,,,,,10.0,242.0,,,,,,,,,,,,,14.0,
2003,,,,,,345.0,,1175.0,569.0,,,,,,,,1039.0,,,,418.0,9355.0,,40.0,,15090.0,,,19490.0,301.0,,,,788.0,,1351.0,,,,20089.0,,,,,,,,,170.0,15.0,,,21.0,,,,,,965.0,,17.0,,,,,74809.0,,200.0,339.0,47.0,,2696.0,,,,,,,,0.0,289.0,,,,,,,,,
2004,,3.0,5.0,,,,,,99.0,,,,,,0.0,,,0.0,39.0,,,,,,,39.0,,,,,,,,,,259.0,,,,,,10.0,,,,,,,,,,,14.0,15.0,,,,,,,31.0,,,,,644.0,,,90.0,,,,0.0,,27.0,,,,,,,,,,10.0,,,0.0,3.0,
