Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,1.9812835,2.8757534,2.7888806,10.571507,2.0812235,27.845016,1.7566587,1.3314228,75.27276,2.0875294,2.9833941,1.1623712,4.8748918,-1.6201546,0.9298991,1.778353,2.7337935,0.29386863,0.48917937,3.4353814,12.71076,8.570845,12.681305,6.382891,0.6596791,10.950703,2.4458284,6.956102,1.3967252,30.672644,2.1699574,6.120384,1.05527,45.34547,1.0864321,2.7681239,6.950995,0.3163048,17.416182,1.1599679,0.20376386,23.374247,7.274117,2.0088983,2.2951705,2.3400035,1.2131578,1.290252,5.6840696,5.545762,0.91152966,11.765036,0.7273645,0.29152083,1.653659,19.016352,1.818675,11.757752,12.847528,2.919519,2.9701705,3.9934647,7.275671,5.235304,0.8952019,41.739857,1.8175763,1.8989695,-0.17222407,2.347662,0.8961184,10.252878,51.44336,0.70904684,23.879852,1.8917408,3.1853774,3.2679229,4.4095087,1.4789305,,1.4488314,1.1512508,11.646766,2.321354,1.1189122,2.3215773,0.4541046,0.777897,11.0269575,1.3206681,3.9292026,2.7349777,0.12929851,3.024703,1.1250887,0.7454714,7.0929637,0.48725244,44.31323,1.2033473,0.48856524,2.1897914,6.1024113,1.0444063,14.150735,3.122118,9.743874,,1.8222522,4.287443,5.417534,0.043941725,3.1284695,2.3020623,2.4268496,0.30915233,12.14061,6.1873517,28.689386,1.9554657,6.229374,0.45255083,0.57194763,27.254467,4.4662156,3.615635,0.77824426,23.56869,,5.088283,8.34814,2.0411751,0.08951438,260.29156,0.6447999,3.3075037,1.3280581,25.508528,2.8584023,12.226971,2.3625352,-3.1579506,4.039485,3.1246321,1.225891,9.214513,1.7421887,2.8856752,10.142568,0.7526431,-0.30872706,2.7187588,1.9592179,6.4267917,8.151893,2.9381351,8.724402,2.3622143,4.5168543,4.432844,1.8909979,3.1795392,2.4974337,1.9460614,7.715664,3.5143409,0.23771489,1.7978495,1.3829384,3.7197504,0.60399574,3.5672212,2.2857494,8.335063,6.378104,2.7108176,7.6908436,0.6553034,1.8505198,0.28212202,0.5362488,1.5733265,1.8576846,4.404494,44.199093,36.810047,2.7397861,0.99022233,24.143223,6.001741,4.8505607,3.8810325,0.71688044,0.98855454,5.6829057,1.5594481
1851,1.9904315,2.7215648,2.812177,10.121024,2.0979168,28.133827,1.7294003,1.0349016,73.99898,2.0642395,2.9404216,1.1537435,5.028778,-1.6285752,0.9270642,1.6892523,2.6209993,0.29522824,0.4816154,3.3504555,12.499715,12.682445,16.374903,7.468081,0.6457653,7.864319,3.644952,7.0034876,1.2521281,39.350636,2.151204,5.5255475,1.0539991,58.430298,2.8351765,2.2753804,5.6571765,,16.882256,1.1551739,0.20279314,21.326237,6.9461746,2.0925934,2.280241,2.3445096,1.2066468,1.37478,5.7029004,5.154901,0.89213836,0.28627062,0.712796,0.2961268,1.5972626,18.626135,1.8088857,10.975676,15.6106415,2.8336074,2.9826767,4.1290364,6.920885,5.155517,0.811446,51.246456,1.8335527,2.1155646,9.377423,2.3393736,0.88344574,11.641829,-6.752744,0.70324033,23.20052,1.8465074,2.6006584,3.1816518,6.458652,1.3579199,,1.4454155,1.1572249,11.462393,2.3207815,1.1642202,1.1536844,0.45666873,0.67811626,11.010921,1.2471578,3.891894,2.7158682,0.12939435,2.8359075,1.1346248,0.7525724,6.2847123,0.48870647,51.91857,1.202277,0.5014085,2.1318462,5.8565035,1.0750368,13.878473,3.06971,9.534929,,1.8219508,4.153001,5.2321353,0.043997914,3.0768654,2.2767985,2.469267,0.29516476,13.127234,6.174826,27.476185,2.073778,6.253337,0.4741596,0.54638475,-9.201433,4.5012836,3.5476975,0.70323396,23.34686,,5.0360646,8.240224,1.9832143,0.09049667,240.10133,0.64496255,3.4480927,1.3373471,24.37092,1.558547,14.991074,2.3769526,5.628379,4.0761867,3.107125,1.2279359,8.310667,1.7626575,2.8652444,11.838652,0.7410547,-0.25445545,2.7170691,1.9707539,5.369902,0.92162853,3.6527786,9.059525,2.3625052,4.600303,4.4009824,0.060590237,3.0681806,2.4318407,1.9705244,7.646199,3.5263262,0.23726922,1.7977583,,5.3094525,0.584685,3.564559,2.2328386,8.311405,5.213732,2.7155826,7.1559315,0.6589251,1.8185122,0.28378627,0.53724504,1.5494753,1.8105364,4.5109577,47.77437,37.967045,2.7259498,0.9825601,31.734781,6.0155773,1.7057848,3.0588481,0.7186096,1.0308768,5.6615987,1.585511
1852,1.9980485,2.616829,2.8407319,9.83487,2.1146548,28.359211,1.7059573,0.8750077,61.760994,2.14844,2.9025502,1.147675,5.2262344,-1.6414341,0.9192282,1.6950301,2.5403254,0.29657745,0.47246408,3.3932135,12.427076,9.721868,18.406082,5.6965485,0.63634354,11.982475,3.9105935,7.024403,1.2339243,42.927635,2.1453674,5.6396008,1.0291712,66.00416,-0.021260243,2.814605,9.718441,,12.586345,1.1487851,0.20110345,22.590225,6.7665157,2.14805,2.2717695,2.4006462,1.2039319,1.400893,5.7594514,5.273125,0.8787311,10.206276,0.7074815,0.2884189,1.5624403,18.245747,1.8064319,11.033654,5.9100666,2.83227,2.9945738,-1.7375228,6.7953267,5.0755315,0.81733656,58.760765,1.8375031,2.2694943,-9.30079,2.3276217,0.87878793,9.967019,28.106636,0.6951653,22.554064,1.8877971,2.8141937,3.0724368,6.788024,1.2979186,,1.4419357,1.1629345,11.247008,2.3160753,1.1963964,1.5644362,0.46080372,0.6473534,10.939214,1.229751,3.8601403,2.7084234,0.12948596,2.7006984,1.1194197,0.75971216,5.772181,0.49013907,57.85724,1.200212,0.49429083,2.079725,5.6855817,1.0905821,13.7206955,3.0684116,9.334544,,1.8195583,4.06679,5.2179723,0.04405209,3.0733793,2.2593398,2.47735,0.28113458,13.196832,6.36153,27.652601,2.0734296,6.2588882,0.4565247,0.52078015,33.064156,4.506371,3.485472,0.67961866,20.220333,,5.1776996,8.118864,1.9565096,0.09147247,238.77097,0.64534676,3.4851882,1.3457623,25.38403,2.906256,12.615516,2.3906333,-1.4456633,4.1438465,3.1772985,1.221198,7.946762,1.783022,2.8714123,11.391003,0.7484821,-0.1930517,2.717638,1.9693056,12.043258,2.3576005,4.0147786,10.352069,2.3688962,4.671007,4.3695583,1.0354065,3.024165,2.4165635,2.028255,7.631864,3.5543265,0.23640218,1.7974327,,6.379764,0.553953,4.2322435,2.192377,8.281198,5.1222353,2.7174616,6.8838573,0.6595142,1.788616,0.2854209,0.53821534,1.5478286,1.7667065,4.5985684,49.437332,38.715282,2.7120261,0.9752504,31.226648,5.903303,3.935572,2.7192426,0.720597,1.0643922,5.65938,1.5865637
1853,2.004733,2.522021,2.8507264,9.60552,2.1308842,28.697557,1.6850629,0.77087724,63.52447,2.211277,2.8680174,1.1425705,5.358441,-1.6550177,0.90955764,1.6662675,2.4878829,0.29792345,0.46435183,3.4346597,12.225049,14.040294,19.63763,5.5696254,0.6306847,26.976503,3.131818,7.021132,1.1674321,32.163177,2.203111,5.6165857,1.0695189,71.440155,0.86273587,0.6735824,-0.31891054,,14.406209,1.1414423,0.19906744,19.103891,6.639522,2.191453,2.249746,2.423648,1.2061365,1.4347832,5.7893972,5.4051204,0.8698293,16.322786,0.7046692,0.28549692,1.5490743,18.058575,1.8851173,11.014306,3.516809,2.910443,3.0065079,0.47839794,6.732894,5.0573378,0.81414145,61.804447,1.8336965,2.2728963,-3.8173058,2.315456,0.8791269,9.507266,15.045379,0.6845033,22.663345,1.8741454,3.0120094,2.9686453,7.4487386,1.2666832,,1.4382792,1.1684544,11.008892,2.3072681,1.1733075,1.8689528,0.46670395,0.6402679,10.896658,1.231388,3.8342392,2.707971,0.129564,2.6205745,1.1438851,0.76651376,5.333452,0.49160287,57.451874,1.1917758,0.4977671,2.1031713,5.698273,1.1070215,13.5102625,3.1051438,9.248126,,1.8140601,3.9727006,5.4882374,0.04410365,3.0433817,2.2328427,2.4720342,0.27229124,13.775847,6.503282,29.600004,2.1939087,6.246725,0.4487104,0.52195674,54.984795,4.4788456,3.423237,0.68683124,16.433985,,5.395976,8.044854,1.9404035,0.092437685,214.05902,0.64576423,3.5335805,1.3528239,26.625347,4.45076,16.887575,2.404575,-6.181932,4.1444564,3.1796832,1.2158664,7.7698965,1.8035204,2.867984,11.425226,0.73858696,-0.13880342,2.71865,1.9590441,6.5360236,-3.3346047,4.27099,10.72441,2.3816566,4.74865,4.326623,-0.113699734,3.044011,2.4088895,2.0064692,7.5505915,3.4923182,0.23553912,1.7967647,,7.051384,0.51950884,4.3173018,2.1631496,8.247653,4.7559524,2.719898,6.7609487,0.65788907,1.7627248,0.28691998,0.5391502,1.5339551,1.7353667,4.654313,50.089592,37.86206,2.6976163,0.97295034,37.376865,5.802699,3.5738375,2.5133197,0.72246796,1.0877703,5.7258925,1.5881977
1854,2.0110118,2.496239,2.848297,9.264407,2.146281,29.020702,1.6657851,0.6944268,59.759796,2.161815,2.8362198,1.1374952,5.668104,-1.6673537,0.9000701,1.6623518,2.4334025,0.29925513,0.45636645,3.3777452,12.240137,10.563831,20.437151,5.8485637,0.625251,21.44055,4.7148547,7.0146446,1.2259306,26.455515,2.1025922,6.451035,1.0226496,72.895325,0.8252126,1.5830184,4.338047,,12.579462,1.1341096,0.19680645,19.325405,6.519348,2.23047,2.2353542,2.5003858,1.2082406,1.441566,5.907642,5.301707,0.8620713,-7.7397027,0.702396,0.2930473,1.5218133,18.084112,1.8433222,11.064206,5.413529,3.0214534,3.0170476,0.862889,7.726894,4.9734483,0.77696353,64.582016,1.8277088,2.4790235,-0.25234184,2.303841,0.8800247,9.555601,18.934248,0.67149365,20.761194,1.8023201,2.9235919,2.8724163,8.4109335,1.2487617,,1.4346292,1.1735277,10.7735195,2.2982209,1.1215857,1.8119481,0.47255105,0.6649908,10.81873,1.219492,3.810812,2.7065055,0.12962554,2.5485208,1.1474158,0.7730511,6.938869,0.49284518,62.814785,1.1828737,0.48765412,1.9713266,5.954496,1.118386,13.5189,3.119907,9.188145,,1.8083754,3.8869379,5.334731,0.044152014,3.0000775,2.2102723,2.460385,0.26469213,13.660689,6.5120387,30.873104,2.112079,6.2338095,0.41830996,0.51952606,23.939106,4.439937,3.3629127,0.64821994,16.374292,,6.022035,7.972855,1.9285777,0.09343774,205.5705,0.6461817,3.5769014,1.3611634,23.291748,2.3787138,12.856732,2.417662,-2.8608239,4.156341,3.106462,1.2145388,7.658572,1.822813,2.79561,12.158225,0.738117,-0.0916843,2.7170417,1.947892,5.0771155,-0.5151846,4.317411,8.90756,2.3943,4.7543564,4.2976723,3.1411679,3.053848,2.3654065,1.9576339,7.5310493,3.3925514,0.23466124,1.7956508,,7.6098924,0.48664328,4.09529,2.138864,8.211954,4.607981,2.7232556,6.6679363,0.6556203,1.7387253,0.2884715,0.54004,1.5262278,1.7193589,4.7088766,50.299335,38.116035,2.6827493,0.9703371,35.395412,5.653586,4.073901,2.3664153,0.7241899,1.1102246,5.6586237,1.598753
1855,2.0168493,2.5008163,2.8418508,8.916004,2.160976,29.291487,1.6487844,0.63579535,57.02028,2.242254,2.813272,1.13406,5.6012554,-1.6786755,0.8910229,1.6616268,2.3849418,0.3005798,0.44701582,3.3500175,12.021722,13.888033,21.201868,6.5557075,0.62022567,61.830708,2.8278532,7.0047574,1.194145,24.47472,2.190634,4.6462655,1.0283039,74.425026,-1.5012074,1.5882417,4.11236,,12.774503,1.1267781,0.1946665,19.253588,6.4101157,2.2660937,2.2230275,2.5810885,1.2102163,1.4462419,5.815653,5.3148723,0.8547347,19.421154,0.70034766,0.29794368,1.5011444,17.8691,1.8781996,10.931609,1.0337708,3.106041,3.0273151,-5.1467624,7.252866,4.9014244,0.71173406,65.76606,1.8202732,2.4004073,-19.863054,2.292046,0.8820219,9.505057,26.996052,0.65638316,19.46192,1.8067919,3.0111506,2.7238941,8.077402,1.2295499,,1.4309244,1.1782644,10.535512,2.2886322,1.1620936,1.895747,0.47831926,0.7195359,10.782968,1.2091224,3.7906153,2.7069957,0.12966768,2.481097,1.1494372,0.7793979,5.334599,0.49383736,69.18606,1.1739042,0.47807598,2.0021508,5.994611,1.1277666,13.388979,3.079393,9.027259,,1.8024267,3.8092568,5.192089,0.044196617,3.0219526,2.1874206,2.44597,0.25797766,13.911695,6.445913,30.669874,2.0371733,6.220105,0.43202555,0.5076304,41.7968,4.407448,3.2966695,0.63571745,14.561158,,5.475443,7.8925896,1.9164966,0.09436994,199.71477,0.64661497,3.5542731,1.3686395,23.189175,3.2806969,13.279206,2.4303653,0.8977948,4.2038984,3.113268,1.2111425,7.5895557,1.8402133,2.739501,10.627504,0.73519933,-0.050751057,2.7152934,1.9360268,11.201362,-3.528952,4.3778477,8.266036,2.4067822,4.7595854,4.254562,0.65993756,3.1134763,2.3280373,1.9963448,7.524106,3.3244498,0.23381048,1.793955,,8.081751,0.45573232,4.2919607,2.1165302,8.179856,5.365286,2.7275145,6.5785975,0.6527371,1.71612,0.28987193,0.54087526,1.523507,1.6958156,4.746246,50.090183,37.49701,2.670575,0.9677116,30.274717,5.5376306,3.1966722,2.254744,0.7257965,1.1309165,5.647796,1.5960392
1856,2.0222046,2.429535,2.842713,8.681097,2.1748734,29.634182,1.6298753,0.59284216,47.543674,2.3721101,2.779755,1.1285548,5.6073637,-1.6886953,0.88252765,1.6656708,2.3422575,0.30202827,0.4416897,3.3760643,12.043976,10.107826,21.845774,7.071731,0.61792433,-27.601171,7.7280717,6.990906,1.224715,25.244211,2.1138217,5.4877453,1.0179163,75.24199,0.21846792,1.6719481,5.7360225,,12.131832,1.1197313,0.19241372,19.363823,6.600195,2.2988358,2.20081,2.6280618,1.2122624,1.4628785,5.94905,5.216954,0.84782475,3.4953322,0.69100696,0.30473888,1.4932528,17.68526,1.865121,11.050467,10.487524,3.1060133,3.0363743,-0.5945522,7.5533876,4.928421,0.6925047,65.12784,1.8118675,2.3762136,-5.9453855,2.2804906,0.8872869,8.805677,24.790413,0.6394713,19.003141,1.8156186,3.0045886,2.7073827,8.515343,1.2246807,,1.4271437,1.1826333,10.306937,2.278751,1.1916488,1.8528377,0.4840755,0.67563987,10.711974,1.2023429,3.7659214,2.714035,0.1296937,2.4704576,1.1595095,0.78529036,5.1770515,0.49461317,64.19865,1.164522,0.4777845,1.9566133,5.99611,1.1356568,13.1236515,3.0817711,8.926573,,1.796229,3.7379825,5.0404034,0.044236902,2.9672034,2.1669645,2.4287934,0.2520234,14.297709,6.448755,29.454435,2.1427016,6.2056704,0.40393218,0.5244037,19.166018,4.434277,3.2386537,0.6247991,14.405147,,5.5393453,7.8087573,1.9086117,0.09527929,164.03693,0.64708704,3.6411295,1.3756362,21.593948,3.6113203,11.546329,2.4426298,-8.660092,4.1962857,3.099571,1.209949,7.4698114,1.8579084,2.7276826,12.338939,0.74114364,-0.015139563,2.717569,1.9238126,6.3678474,7.0189514,4.4581876,7.9486456,2.4190378,4.8509974,4.218864,2.2057097,3.0758076,2.2983053,2.0285943,7.5279593,3.299719,0.23294155,1.7918788,,8.485087,0.42706996,4.1452217,2.0914905,8.13456,5.066388,2.7325084,6.5062423,0.6495756,1.6963588,0.29121178,0.54164636,1.5177474,1.6803578,4.7647424,49.780827,37.484898,2.6510463,0.9727039,38.803406,5.452498,2.4144547,2.1671019,0.7272355,1.1497554,5.6755757,1.5963235
1857,2.0273747,2.437468,2.866779,8.402934,2.1881042,29.943094,1.6130147,0.55808264,51.91035,2.5072424,2.7545514,1.1236168,5.732255,-1.69753,0.8745943,1.6646985,2.3117106,0.30332384,0.43750015,3.3902295,11.825901,11.481973,22.283844,6.98682,0.61564773,2.419052,0.03114856,6.9732976,1.2151434,30.609722,2.0169282,5.661298,1.0035292,76.82113,1.7511417,0.9523259,3.4390578,,12.238854,1.1125188,0.19004934,18.551344,6.4826875,2.3290663,2.1853657,2.648826,1.2137008,1.4717884,5.919959,5.249921,0.84118867,11.048311,0.68934727,0.29854548,1.4782931,17.561993,1.8784734,10.883382,9.932774,3.0777779,3.045792,1.154312,7.374378,4.8409905,0.7877867,67.16325,1.8019437,2.375172,4.155552,2.2690303,0.8925875,9.12286,26.189756,0.6210104,18.085104,1.8351548,3.0872972,2.6990361,8.03213,1.2073238,,1.4232622,1.18657,10.079649,2.2684062,1.175655,1.9956344,0.48969203,0.7331057,10.645618,1.1933739,3.7446072,2.716639,0.12968875,2.461782,1.1521188,0.790915,4.701807,0.49514326,65.39045,1.1527221,0.47395658,1.8815817,6.152482,1.1362886,13.135618,3.0687115,8.8303385,,1.7897562,3.6613915,5.7221065,0.044271473,2.9649436,2.1517758,2.4109056,0.24675636,13.418128,6.465259,24.311739,2.117202,6.1903954,0.3786139,0.50714,51.261402,4.3695636,3.1680844,0.6116862,14.609918,,5.3916154,7.74131,1.8914605,0.096161686,179.59535,0.64748645,3.6296575,1.3831208,20.937672,3.5430858,13.723841,2.454401,-2.1783314,4.1971283,3.1835055,1.2071877,7.3768263,1.8745592,2.7155163,10.619426,0.7393737,0.015893204,2.7158203,1.9110266,5.2565517,0.94395596,4.5114336,8.044668,2.430988,4.848789,4.181582,1.7663702,3.0949397,2.269327,2.0652246,7.4915442,3.2847588,0.23206876,1.7896309,,8.832064,0.40054634,4.3365307,2.0692883,8.093429,4.650793,2.738508,6.440948,0.64618295,1.6753947,0.29258153,0.5423442,1.5170124,1.6661552,4.7823563,49.087364,36.863934,2.6343212,0.9775562,36.18967,5.297077,2.153942,2.0978034,0.72852033,1.1663849,5.6526966,1.6005161
1858,2.0320203,2.3635743,2.862475,8.124554,2.2003446,30.250004,1.5983512,0.52950245,48.372787,3.0672245,2.7273276,1.1187122,5.7839136,-1.7052147,0.8671792,1.6690482,2.2746575,0.30460194,0.4314081,3.36431,11.876844,10.142533,22.899632,6.6088405,0.61332226,13.392772,4.5718126,6.9511847,1.2384745,34.183132,2.0650551,7.188294,1.025192,77.69098,1.010528,0.93943936,3.1649117,,9.57846,1.1055853,0.18768185,20.245672,6.3684964,2.3570077,2.1658435,2.693243,1.2153506,1.4682655,5.727091,5.1409025,0.83646935,9.32812,0.68793297,0.30331692,1.4829063,17.573872,1.8814615,10.72886,0.07236812,3.0153975,3.0541716,0.90555197,7.186429,4.783853,0.6948714,68.65507,1.792294,2.363892,-1.4580883,2.2573147,0.89857644,10.072126,33.08227,0.60127866,17.613457,1.8007598,3.022605,2.6237853,8.558294,1.2035916,,1.4192228,1.1900657,9.854836,2.257555,1.1799868,1.8971106,0.4952042,0.71861464,10.581731,1.1890945,3.7273955,2.7209077,0.12966226,2.4549987,1.1647421,0.7961205,5.3138547,0.4955053,65.53065,1.1356984,0.463243,1.8671905,6.2638307,1.1391747,12.962346,3.0264573,8.794748,,1.7830054,3.6004424,5.145321,0.0443015,2.9297543,2.1346064,2.3924453,0.24199961,13.942256,6.5118904,30.348251,2.101626,6.1741624,0.40638986,0.5022076,-7.0223694,4.3531604,3.1015818,0.6059531,14.535751,,5.1702185,7.582551,1.893394,0.09706444,174.05554,0.64788324,3.6507769,1.3885095,21.856226,2.742219,12.903999,2.4656248,3.6024053,4.2219706,3.100948,1.2057809,7.2985573,1.8894812,2.6662185,10.594941,0.736682,0.04296494,2.7165651,1.8983552,4.4723854,-2.4883485,4.548239,8.575231,2.4425802,4.854656,4.147079,1.1644441,3.1053596,2.2490444,2.0741634,7.3906245,3.253722,0.23119012,1.7872833,,9.138136,0.3760716,3.9268508,2.0511613,8.058635,4.4887795,2.745203,6.378956,0.6425743,1.6561716,0.29377824,0.5429594,1.5164266,1.7002816,4.82081,48.493107,36.853504,2.6216779,0.9822438,35.554047,5.111096,3.4732146,2.042981,0.7296418,1.1803943,5.677836,1.595943
1859,2.0362172,2.3754082,2.841838,7.989538,2.2117262,30.360334,1.5845243,0.50570804,42.698166,2.6965754,2.6911263,1.1139652,5.7131658,-1.7105076,0.8602237,1.6674899,2.2389948,0.30585593,0.42798087,3.3002212,11.71995,9.731202,23.315155,5.239352,0.61159796,8.542293,-0.23586771,6.924813,1.176226,37.214535,1.9703616,6.4063506,1.0093708,77.828415,5.158458,2.4063778,8.429298,,10.509841,1.0983084,0.1854118,18.776947,6.2873945,2.3831897,2.1540418,2.6068792,1.2165335,1.4270107,5.853087,5.0701127,0.8307589,-4.6293325,0.6865325,0.334091,1.4994899,17.56378,1.9107015,10.334387,3.1453679,2.961526,3.0622938,17.735592,7.7165813,4.769392,0.6478235,69.62905,1.7825694,2.3612497,30.36875,2.2462902,0.89984465,9.500895,22.012539,0.5805371,18.193695,1.7215482,2.9491687,2.6862524,8.8818445,1.1911563,,1.4150363,1.1889613,9.641822,2.2418263,1.1435076,1.6962979,0.5005807,0.777062,10.521557,1.1834928,3.7063274,2.7349534,0.12960562,2.4502027,1.1484324,0.8009807,4.9024024,0.49560457,71.287315,1.1173192,0.43091995,1.7037778,6.5174103,1.1420038,12.977204,2.958896,8.663521,,1.7758706,3.5436134,5.5615683,0.044324756,2.9033196,2.1117513,2.373197,0.23763289,14.160728,6.3103824,29.862448,2.0402923,6.156886,0.39817345,0.50220287,13.121366,4.306936,3.0383685,0.6007614,13.149494,,4.976365,7.555761,1.8788438,0.09788115,167.1201,0.6482447,3.7139578,1.3944362,19.08937,3.8520894,12.679165,2.476249,-2.5152302,4.1711955,3.1736605,1.201954,7.250252,1.9035499,2.6439445,10.303927,0.73602945,0.06662498,2.721403,1.8849759,7.768462,9.646072,4.7525473,9.899831,2.4537761,4.904034,4.106983,1.6118165,3.0895054,2.249778,1.9997182,7.5256352,3.277817,0.2302878,1.7849251,,9.398333,0.35343662,4.0681467,2.0314157,8.014826,4.4027233,2.7523818,6.3176103,0.63878083,1.6389138,0.2948928,0.54348314,1.5651054,1.6540841,4.8385468,47.36098,37.278694,2.6040306,0.98512554,34.517902,5.0692477,1.998455,2.0007582,0.73061377,1.1928229,5.671716,1.5998248
