Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,0.17624165,0.1648146,0.033149455,0.00082135334,0.00198071,0.71830523,0.022636836,0.001167621,1.1107594,0.19554944,0.08184826,0.03864119,0.5133706,-0.030319262,0.0407747,0.95732975,0.16172346,0.00044907824,0.0003289246,0.083394445,0.93328226,0.005257616,0.41220918,1.094273,0.0021202771,0.0010921992,0.019570576,0.01663307,0.030424133,1.8003817,0.12224763,0.20441714,10.250442,1.1169602,0.070907556,0.53471124,0.08284645,0.000119952674,0.8629463,0.0016532672,0.00036931963,0.05630292,0.20454748,0.0088275485,0.3713599,1.8700825,0.001149047,0.00071722775,0.20226628,0.019300787,0.06163156,0.22683576,0.09720815,0.0047262795,0.58317965,0.21604723,0.79461884,0.45219538,0.04170925,2.5131378,0.0013354662,0.027902167,4.6999745,0.17500255,0.042188052,1.0198395,0.00483738,0.009498671,-0.00044123255,0.16939308,0.0006980022,0.20579481,0.1550009,0.00065362785,0.19528104,0.07162052,0.07088921,0.39965975,2.2971332,8.263258,1.052736,0.2577575,0.034082044,0.016378941,0.011608912,0.6487146,0.022013944,0.0031966283,0.5909345,0.7017693,0.10500095,0.06496762,0.14498672,6.330601e-05,0.0020563237,0.2546188,0.0014361469,0.10501671,0.0047597024,0.34736487,0.00771754,0.000279899,0.00037271073,0.31386116,0.004469395,0.40564793,0.014266148,0.22221875,0.00021422138,0.12358137,0.09524764,0.3354848,5.2667856e-05,0.5701359,0.0278145,0.086413346,0.0011743808,1.1314789,0.029661462,0.44060382,0.2167391,0.04293584,0.001960217,0.02882604,0.34254473,0.012618597,0.08557318,0.2497619,0.1665934,4.627694e-05,0.37359285,0.27583763,0.21055305,3.992975e-06,0.56022644,0.005296437,100.0,0.47424784,0.06634661,0.21863662,1.047966,0.00025075325,-0.057147525,1.2490344,0.32911143,0.110994585,0.0753192,0.00058190484,0.5469934,9.927815,0.026780844,-0.01636098,0.30209064,0.043489132,0.008531256,0.015206468,0.054413904,0.075780645,0.08199094,0.21635312,0.12669355,0.0012593621,0.0064226664,0.14159633,0.028181318,0.633046,0.005561807,7.8367586e-05,0.06302588,7.0473443e-06,0.1572743,0.007259855,0.44250968,0.033253405,0.0954257,0.030784374,0.0011897483,0.014689681,0.017303813,0.48566586,1.9311605e-05,0.027968572,0.20138586,0.12977445,1.5401034,0.14046706,20.589865,0.16393185,0.0007047164,0.75900865,0.86976194,0.004284619,0.0042964863,0.046531204,0.069979884,0.21280146,0.024999967
1851,0.17009138,0.1509146,0.032227926,0.0007572443,0.001911163,0.7114427,0.02152212,0.0008682327,1.1127895,0.18625799,0.07799109,0.03700547,0.5103874,-0.029370679,0.03903251,0.8720666,0.14874758,0.00043167637,0.00031479192,0.07830774,0.88658935,0.007451309,0.5129038,1.2442162,0.0020135792,0.00076657877,0.027781023,0.016096242,0.026371552,2.2842329,0.11665363,0.17982477,9.74254,1.38368,0.17839961,0.42332783,0.064955816,0.000116593,0.81573516,0.0015841454,0.00035662213,0.049878784,0.19005056,0.008799092,0.35529268,1.8066589,0.0011017229,0.00073560665,0.19641192,0.017549276,0.058117528,0.005353928,0.09252813,0.0046481574,0.5420084,0.20492794,0.7556541,0.4074551,0.04842002,2.3406885,0.0012898541,0.027941462,4.296262,0.1664027,0.036682077,1.2048994,0.004694212,0.01015121,0.023169683,0.1630241,0.0006581997,0.22700967,-0.019838251,0.00065089396,0.1848323,0.06748996,0.05595055,0.37492162,3.2485971,7.2845125,0.9762181,0.24741112,0.032949604,0.015563474,0.011158229,0.64986867,0.01055705,0.003068444,0.4942636,0.67641884,0.09534036,0.06213819,0.13804519,6.10244e-05,0.0018783587,0.24580063,0.0013877145,0.08976826,0.004599856,0.3914824,0.0074261604,0.00027722784,0.00034975473,0.2880256,0.0043889564,0.3863171,0.013499436,0.21144144,0.0002080578,0.11902532,0.089096345,0.3120946,5.0702296e-05,0.5426724,0.02656215,0.084821366,0.0010783162,1.1735485,0.028771343,0.40433377,0.22209689,0.041151684,0.0020739818,0.026574653,-0.11282176,0.012188337,0.080605336,0.21706899,0.15995786,4.4415166e-05,0.3562621,0.26390404,0.19636199,3.8646676e-06,0.5111908,0.005078096,100.0,0.45813286,0.061694037,0.11403312,1.247237,0.00024258408,0.097655244,1.2186568,0.31421056,0.1068089,0.065969296,0.0005628193,0.5233936,11.188762,0.025405558,-0.012892316,0.28948104,0.041949023,0.0069590677,0.0016623884,0.06493741,0.076497346,0.078836255,0.21010935,0.12146612,3.889374e-05,0.0059348294,0.13240618,0.02753905,0.6063826,0.005360533,7.527076e-05,0.060512293,6.7529827e-06,0.21541308,0.006765531,0.42509767,0.031359877,0.09188044,0.024371088,0.00114294,0.013303997,0.016810386,0.45801517,1.8677469e-05,0.026886065,0.19112678,0.122061774,1.5233674,0.1518097,20.932222,0.1574511,0.000672234,0.96543425,0.84752125,0.0014554822,0.0032296355,0.04469863,0.07091473,0.20406176,0.024311837
1852,0.16932504,0.14467429,0.032425065,0.0007314901,0.001903061,0.72287154,0.021159956,0.0007247837,0.9846287,0.19274348,0.076815404,0.03658896,0.52734447,-0.029421996,0.03834115,0.86604196,0.14266098,0.0004282264,0.00031112245,0.07880385,0.878757,0.0056462046,0.57298386,0.95174795,0.0019846016,0.0011778312,0.029300474,0.01605925,0.025823109,2.5395265,0.115533516,0.18451743,9.326029,1.5535097,-0.0013288285,0.51897293,0.11059479,0.00011651643,0.6144901,0.0015655106,0.0003541205,0.05305043,0.18591073,0.008919952,0.3517968,1.8403533,0.0010895325,0.00074464077,0.19822729,0.01815423,0.05701434,0.19088235,0.09181241,0.004487726,0.5263235,0.2006286,0.74462575,0.40759087,0.018073898,2.3163548,0.0012853974,-0.0117180925,4.1872644,0.16324954,0.036622297,1.3730274,0.0046733487,0.010790201,-0.022854337,0.1616782,0.0006454107,0.1946066,0.08289203,0.0006683434,0.1797939,0.068746746,0.06042311,0.35999504,3.4026558,6.8984227,0.9316231,0.24513972,0.032858357,0.01524453,0.011067067,0.66358215,0.014270036,0.0030398786,0.46747258,0.6694654,0.093300655,0.061418984,0.13622718,6.0705082e-05,0.0017985791,0.23960446,0.0013838258,0.08208802,0.0045875665,0.43337357,0.007368635,0.00027284597,0.00033941076,0.2739949,0.004405728,0.3827432,0.013397488,0.20772351,0.00020850013,0.118366405,0.08695373,0.30868843,5.0371422e-05,0.542011,0.026266426,0.08471889,0.0010193767,1.1679269,0.029733256,0.4024129,0.2202623,0.040695094,0.0020856627,0.02511812,0.4081889,0.012126013,0.07845796,0.20823504,0.13830692,4.3993452e-05,0.36420262,0.26021367,0.19189928,3.8595995e-06,0.5203137,0.005026491,100.0,0.45642668,0.0647614,0.20686997,1.051792,0.00024216449,-0.024819646,1.2376386,0.31836963,0.1053528,0.0629118,0.00056165206,0.5215997,10.727842,0.02543819,-0.009650945,0.28652203,0.041557,0.01572339,0.004243712,0.070787,0.087727666,0.078232475,0.20994088,0.120188534,0.0006611644,0.0057810317,0.1304016,0.028232405,0.6037213,0.0053726304,7.447729e-05,0.059952687,6.6821394e-06,0.25615597,0.0063706576,0.5008866,0.030678796,0.09122845,0.023931604,0.0011323064,0.012886231,0.016783418,0.44616666,1.8639927e-05,0.026672194,0.18910612,0.11845364,1.5478797,0.16283475,21.711992,0.15606286,0.00066217576,0.9492665,0.8396559,0.0033476895,0.0028220552,0.04432959,0.07325871,0.20206484,0.024143344
1853,0.16810527,0.13846122,0.032359626,0.0007082059,0.0018897158,0.7328441,0.020779729,0.0006288529,1.0788002,0.1967862,0.0755444,0.036052596,0.5359604,-0.029391121,0.03747861,0.840486,0.13783483,0.0004237286,0.0003085972,0.079063326,0.859701,0.008040436,0.60567236,0.93073887,0.0019604624,0.0026680047,0.02301038,0.015970984,0.02411278,1.9314973,0.117494665,0.18423867,9.460459,1.6699231,0.053339906,0.12242043,-0.0035765746,0.00011653309,0.71159816,0.0015430126,0.0003501237,0.0450218,0.18273471,0.008964684,0.3453845,1.8432494,0.0010751368,0.0007557533,0.19872335,0.018803153,0.05616155,0.30419144,0.09094885,0.0043572793,0.5165486,0.19796488,0.76485425,0.403417,0.010576775,2.3501031,0.0012778683,0.0031979892,4.111657,0.1616941,0.036110915,1.4326365,0.004624399,0.010689772,-0.009298256,0.15991178,0.00063401373,0.18517344,0.04432877,0.00068344426,0.17946479,0.06783106,0.064399384,0.3449669,3.7124715,6.6530795,0.9023348,0.2423164,0.032671183,0.01488581,0.01094753,0.64503,0.016965495,0.0030050466,0.45717418,0.66268164,0.092502505,0.060645737,0.13444528,6.023131e-05,0.001750417,0.2413364,0.0013757908,0.075330436,0.004564189,0.42670134,0.0072908765,0.00027426088,0.00034056726,0.26646063,0.004435864,0.37674144,0.013422611,0.20600891,0.00020837945,0.117405705,0.08444629,0.3204494,4.9915165e-05,0.5359278,0.025803475,0.08394273,0.0009774956,1.2039323,0.03041432,0.42491305,0.22935852,0.040137105,0.0021402675,0.024794739,0.6817777,0.012002379,0.07622926,0.20837949,0.11171908,4.346668e-05,0.37644738,0.25750503,0.18806456,3.8440817e-06,0.47741428,0.0049632867,100.0,0.45312566,0.068510965,0.30270293,1.4078038,0.000241104,-0.10475786,1.2348667,0.31490937,0.10381085,0.060892582,0.00055910245,0.5167256,10.695606,0.024747528,-0.006829499,0.28293324,0.040952753,0.008574469,-0.0059750956,0.074584186,0.09101692,0.07744733,0.20950907,0.11830551,-7.2042894e-05,0.0057363813,0.12850879,0.027748274,0.5942657,0.0052518677,7.3507035e-05,0.05923935,6.606593e-06,0.27930185,0.0059252125,0.50592387,0.030084003,0.090318345,0.022154018,0.0011195665,0.012740431,0.01666544,0.4344107,1.8552772e-05,0.026392471,0.18440233,0.11525691,1.5576445,0.17130838,21.544712,0.15427056,0.0006541552,1.133185,0.83611894,0.003023025,0.0025539,0.043846972,0.074545555,0.20144768,0.024050467
1854,0.16711242,0.1362978,0.03220262,0.00067830883,0.0018784812,0.7435929,0.020454068,0.0005587657,1.0827075,0.19112849,0.07446835,0.035578303,0.56283504,-0.029380927,0.03669453,0.8290706,0.13320376,0.00041989397,0.0003065332,0.07718505,0.8573151,0.0059742215,0.6254548,0.9790461,0.001940114,0.0021363164,0.034021348,0.015900183,0.02502862,1.6152173,0.111217394,0.21247928,8.843529,1.6948247,0.050544534,0.28401774,0.048019122,0.000116493866,0.62961847,0.0015231029,0.0003462651,0.045774445,0.18000877,0.0090021575,0.34073582,1.8893977,0.001062454,0.00075357273,0.20254569,0.018664505,0.055473506,-0.14394322,0.0902984,0.0043935436,0.5030953,0.19794036,0.7372683,0.4024107,0.016035749,2.412467,0.0012716088,0.005726158,4.683553,0.158304,0.034165937,1.4873426,0.0045774435,0.011550922,-0.0006102228,0.1584388,0.00062415586,0.18593973,0.055817205,0.00069884054,0.16355792,0.06493008,0.062341716,0.3315373,4.17499,6.4915276,0.88170326,0.23988965,0.032521334,0.0145545965,0.010844484,0.6120816,0.01639368,0.0029743072,0.47022012,0.65481365,0.09084244,0.060009595,0.13283885,5.9844748e-05,0.0017099101,0.23897913,0.0013693077,0.09748371,0.0045457636,0.46329522,0.007221667,0.00026861086,0.00031719997,0.27059332,0.0044517745,0.3774242,0.01337227,0.20519176,0.00020853184,0.11661685,0.08226614,0.30789807,4.9534498e-05,0.5283241,0.025428852,0.08308303,0.0009421935,1.1807381,0.030520206,0.4378458,0.21762659,0.039642207,0.0020863132,0.024343612,0.29858288,0.011867255,0.07419382,0.19503085,0.110798255,4.2811276e-05,0.41731688,0.25525528,0.18498468,3.8334297e-06,0.46996465,0.0049083177,100.0,0.45094398,0.0605397,0.15481177,1.0732827,0.00024036737,-0.04792336,1.2373323,0.30454627,0.102783956,0.05950658,0.0005569704,0.500336,11.330821,0.024419766,-0.0044466443,0.27954328,0.040399123,0.006702952,-0.00092032977,0.07478743,0.075824074,0.07678077,0.20621963,0.116995774,0.0019779187,0.005681868,0.1249434,0.026938459,0.59062153,0.005083455,7.265709e-05,0.058609024,6.5414774e-06,0.29780912,0.0055129235,0.47590667,0.029608658,0.089528605,0.021433316,0.0011090197,0.012667905,0.016557133,0.42397797,1.8490216e-05,0.026153175,0.18080257,0.11329042,1.5692375,0.17889246,22.040613,0.15270057,0.0006470063,1.0718648,0.8265214,0.0034320517,0.002357977,0.043426376,0.07587218,0.196466,0.024128987
1855,0.16917942,0.13833077,0.03259686,0.0006601094,0.0019013644,0.76707965,0.020534005,0.00051399606,1.122652,0.20061278,0.07500083,0.035814974,0.56245685,-0.02989769,0.03660973,0.8346311,0.13139087,0.00042381612,0.00030912244,0.077407055,0.8542591,0.007900746,0.6558235,1.1197913,0.0019568682,0.0063236193,0.020412982,0.016116513,0.024546739,1.5474745,0.11706709,0.15652405,8.855369,1.7531784,-0.09278856,0.2865391,0.04576602,0.0001187934,0.65993494,0.0015313788,0.00034898915,0.046688795,0.18087235,0.009191463,0.34271237,1.9739332,0.0010693517,0.0007642946,0.20286745,0.019287733,0.055837084,0.36717045,0.091350116,0.004469698,0.5011559,0.19892311,0.7543298,0.40215832,0.0030721868,2.4979389,0.0012888401,-0.03453624,4.4447474,0.1582087,0.03160646,1.5328286,0.004611605,0.01128704,-0.048575096,0.15988551,0.00062668486,0.18822254,0.08110911,0.0007267621,0.15537451,0.065996744,0.065229185,0.31809193,4.0680776,6.4437346,0.86641675,0.24189796,0.032964807,0.01448518,0.0109396605,0.641266,0.017413398,0.0029977027,0.51323366,0.66163886,0.09097927,0.06053498,0.13379194,6.0558854e-05,0.0017033126,0.24073243,0.0013877907,0.07593412,0.0046093357,0.5161786,0.0072854613,0.00026815545,0.00032611075,0.26966634,0.0045424206,0.38120303,0.013330491,0.20587297,0.00021252588,0.11797151,0.0817681,0.30172798,5.006745e-05,0.54210716,0.025520273,0.08366371,0.0009274976,1.2113482,0.030838387,0.43772107,0.21073966,0.03987716,0.0022950007,0.023899537,0.5341551,0.0119686555,0.0734013,0.19321094,0.09989875,4.2950007e-05,0.38392097,0.25744542,0.18531126,3.8928024e-06,0.476722,0.0049444623,100.0,0.45682257,0.06201638,0.2081223,1.1307701,0.0002440427,0.015143883,1.2736837,0.3077498,0.10348514,0.05955434,0.0005644923,0.49610078,10.043488,0.02446352,-0.0024713746,0.28132007,0.04057869,0.015159576,-0.0064020297,0.07662387,0.07188772,0.07752981,0.20673953,0.1174559,0.0004206531,0.0058256914,0.12402251,0.027843684,0.59892774,0.0050558913,7.315924e-05,0.059045777,6.5971544e-06,0.31829968,0.005223386,0.5038122,0.029706923,0.09043591,0.0253832,0.0011193849,0.012835115,0.016739817,0.42176232,1.8766568e-05,0.026395837,0.18116431,0.11291889,1.6043223,0.18870841,22.444166,0.15411133,0.0006518405,0.9327797,0.8366766,0.0027320911,0.0022442045,0.04380337,0.0785056,0.1971171,0.0244541
1856,0.16607335,0.13204296,0.032084756,0.0006305046,0.0018658033,0.76928186,0.019968014,0.00046703976,0.9866054,0.20830365,0.07298008,0.034903172,0.5522612,-0.029483274,0.035443775,0.8172641,0.12595876,0.00041506215,0.0003049883,0.07650547,0.8421373,0.005609923,0.662427,1.1954411,0.0019226831,-0.0028095867,0.054126367,0.015834933,0.024584323,1.6031721,0.11068844,0.1833925,8.466523,1.7416884,0.013216241,0.2941842,0.06224681,0.00011725938,0.6274032,0.0014936517,0.00034089893,0.046624593,0.18458697,0.009088511,0.33281472,1.9728755,0.0010439424,0.00075798965,0.20478024,0.018928472,0.054534048,0.065152,0.088694476,0.0044366173,0.48827738,0.19420472,0.7295296,0.39882177,0.030327339,2.4402173,0.0012664817,-0.0039127767,4.5390778,0.15646271,0.030120883,1.4899465,0.004503631,0.010936026,-0.014260409,0.1564992,0.0006125045,0.1721088,0.07362464,0.00073193444,0.14911325,0.06521698,0.06413033,0.31024933,4.220953,6.275666,0.82401854,0.23656379,0.032397438,0.013987427,0.010701801,0.6448921,0.016758516,0.0029297718,0.47149435,0.6462712,0.088630654,0.059153773,0.13101028,5.9426162e-05,0.0016830559,0.23684005,0.00136329,0.07241532,0.004531061,0.46990854,0.007125545,0.00026468528,0.000312913,0.2589704,0.0044890763,0.36957732,0.01306834,0.20163286,0.00021003175,0.11573097,0.07892824,0.28604776,4.9077255e-05,0.525891,0.024865568,0.08161302,0.0008876084,1.2164215,0.030544989,0.41030043,0.21583287,0.038900692,0.002216634,0.024059864,0.24341357,0.01186545,0.070581146,0.18604384,0.09718333,4.179075e-05,0.38115573,0.25169456,0.18043779,3.832763e-06,0.39652047,0.00483116,100.0,0.44867253,0.057631128,0.21658617,0.9727122,0.00024025742,-0.14266157,1.2549602,0.299637,0.10123715,0.057412736,0.0005549655,0.4847603,11.468709,0.024056653,-0.00071792665,0.2749886,0.03952303,0.008568293,0.012541845,0.07646832,0.068498395,0.07591966,0.20465489,0.114554204,0.0013803893,0.0056136525,0.11976852,0.02781364,0.58990735,0.0049398807,7.1442846e-05,0.057682276,6.4680275e-06,0.3261969,0.004803235,0.47671402,0.028867403,0.08845674,0.02364554,0.0010961664,0.012643618,0.016407525,0.40753704,1.8468747e-05,0.025835434,0.17570822,0.10966583,1.5844272,0.19267856,22.525555,0.15043107,0.0006419617,1.179764,0.8257607,0.0020304187,0.0020896632,0.042843062,0.07863125,0.19312792,0.02408248
1857,0.16750488,0.1337531,0.03271664,0.0006151953,0.001880766,0.7917735,0.019975934,0.00044024282,1.1666976,0.22205734,0.073182926,0.034969687,0.56899923,-0.029854665,0.03528095,0.81985617,0.12469587,0.00041747608,0.0003099713,0.07742437,0.8360952,0.006388842,0.68066853,1.2011174,0.0019412448,0.00025189092,0.00021751171,0.015978852,0.024476796,2.0063584,0.10634366,0.19285537,8.284176,1.7956074,0.106543414,0.16793057,0.037395414,0.000119101765,0.6510923,0.0014967597,0.000341931,0.04557648,0.18465275,0.009222856,0.3331176,2.0057204,0.0010466984,0.0007683456,0.20663494,0.019569479,0.05474493,0.20864138,0.08947246,0.0043343604,0.48651376,0.19548208,0.73531854,0.39597306,0.02872018,2.4273443,0.0012789483,0.007655807,4.4653764,0.15532841,0.03448726,1.5497609,0.004515612,0.010994283,0.010045914,0.15741302,0.0006151944,0.1808479,0.079005525,0.0007563643,0.14332633,0.06661146,0.066718206,0.31187978,4.027271,6.216195,0.8105467,0.23771083,0.0327058,0.013874509,0.010755514,0.6411782,0.01826385,0.0029410939,0.5143335,0.64892906,0.08855922,0.059449866,0.1316097,5.9912018e-05,0.0017102845,0.2358457,0.0013756232,0.06641151,0.004574709,0.4825296,0.0071459427,0.00026646303,0.00030354955,0.26215848,0.004529569,0.37597683,0.013098923,0.20300427,0.00021325072,0.11664561,0.07814682,0.32587203,4.9428087e-05,0.5334996,0.024954874,0.08177778,0.000874821,1.1461878,0.031154895,0.3396654,0.21338987,0.038989495,0.0022055293,0.02330018,0.6648278,0.011839166,0.0694437,0.18337011,0.09959701,4.1979034e-05,0.3741129,0.2533676,0.17965601,3.8763114e-06,0.4517626,0.0048501138,100.0,0.45297226,0.057302922,0.20643201,1.175361,0.00024299492,-0.036012188,1.2731836,0.30926266,0.101638,0.057067286,0.00056028727,0.48667482,9.9756155,0.024056582,0.00075416407,0.2758044,0.039543368,0.00722615,0.0017071443,0.077924766,0.07058986,0.076382205,0.20416372,0.11475203,0.0011152623,0.005661626,0.11887076,0.028603539,0.5938591,0.0049742735,7.1686896e-05,0.057899136,6.5160802e-06,0.3405624,0.0045425366,0.50207466,0.02886093,0.08895088,0.022003401,0.0011033759,0.012810907,0.016519174,0.40430966,1.8671853e-05,0.025980957,0.17569704,0.10951763,1.607625,0.20058107,22.853436,0.15104207,0.0006495459,1.1157178,0.82630134,0.0018313973,0.0020137504,0.04305052,0.080755025,0.19270767,0.024430415
1858,0.16738302,0.12977134,0.032733824,0.0005941611,0.0018778653,0.80744636,0.019829042,0.00041450007,1.1668928,0.27151465,0.07266557,0.034721203,0.5734302,-0.029937431,0.034820586,0.81765497,0.121963985,0.00041609208,0.0003107963,0.076733224,0.8414012,0.0056069973,0.69826514,1.1450032,0.0019421786,0.0014136658,0.031543598,0.015968343,0.024807861,2.2917323,0.10864564,0.24736677,8.323825,1.8171617,0.061278854,0.16452532,0.034173094,0.00011984562,0.51945907,0.0014866578,0.00033981557,0.050293535,0.18309048,0.009264312,0.32978138,2.0385315,0.0010402182,0.000765326,0.20087975,0.019510265,0.054583497,0.17686246,0.089476,0.004351767,0.48676777,0.19649772,0.7304193,0.38996992,0.00020734339,2.3658094,0.0012794281,0.005998269,4.34535,0.15373766,0.030341115,1.5834506,0.004487406,0.010906108,-0.0035206252,0.15688486,0.00061275566,0.20068632,0.10045767,0.00077346124,0.13971229,0.06545521,0.065539986,0.30296764,4.3020234,6.170439,0.79197794,0.23668471,0.032707263,0.01363523,0.010709537,0.6426999,0.017409585,0.002924845,0.5023002,0.6458568,0.08803332,0.059272837,0.13110155,5.9845457e-05,0.001723636,0.23680039,0.0013747768,0.07510866,0.004575625,0.4831129,0.0070685633,0.00026194088,0.00030119458,0.2609507,0.004538212,0.37370297,0.01288675,0.20392698,0.00021452797,0.11648926,0.07697741,0.29140243,4.9327005e-05,0.5303837,0.024794785,0.081178464,0.0008558691,1.1849895,0.031637125,0.4214295,0.21003622,0.038720414,0.0024903582,0.022897635,-0.09216802,0.011835345,0.06776441,0.18123212,0.09922667,4.1398835e-05,0.35851264,0.24972877,0.17905726,3.8834874e-06,0.4515107,0.00482528,100.0,0.4524992,0.060787972,0.15381554,1.1133856,0.00024348524,0.059228487,1.2873598,0.2999947,0.10123494,0.056317847,0.00055997004,0.47753754,9.968074,0.023810005,0.0020217337,0.27438226,0.03920813,0.0062248013,-0.004513719,0.07839965,0.07592729,0.07614266,0.2021758,0.11398025,0.00073507946,0.005642549,0.11735217,0.02875789,0.5873147,0.0049392316,7.1279086e-05,0.05759025,6.5050417e-06,0.35024768,0.0042618494,0.45358428,0.028648311,0.08870981,0.021334212,0.0011009563,0.012868909,0.016475856,0.39785248,1.8701623e-05,0.025888098,0.17412119,0.11154738,1.6234721,0.20731138,23.357765,0.1505184,0.0006511804,1.1014745,0.8138264,0.0029589594,0.0019347926,0.042859767,0.08199069,0.19217913,0.02442588
1859,0.16528912,0.12898707,0.0321872,0.0005770373,0.0018525054,0.8111136,0.019464236,0.00038785793,1.0805032,0.23580153,0.07107307,0.03407986,0.5592878,-0.02965562,0.033984397,0.80317324,0.11795408,0.00040988272,0.00030914988,0.074304774,0.82234854,0.0052782865,0.70149225,0.9042367,0.0019201013,0.0009034177,-0.0015893419,0.01576343,0.023165282,2.512379,0.10224827,0.22010002,7.973171,1.8001655,0.30818862,0.41418836,0.08943907,0.00011897006,0.5697492,0.0014590521,0.00033392818,0.046581004,0.17955112,0.00919024,0.32383683,1.9502877,0.001021427,0.0007342684,0.20384833,0.019363713,0.05372727,-0.08710525,0.088445984,0.004681956,0.48512194,0.19499005,0.72714895,0.37050325,0.008826466,2.2849507,0.0012650192,0.1159713,4.6074514,0.15173946,0.027887454,1.5869193,0.004407516,0.010734591,0.07239211,0.15459427,0.00060253695,0.18807119,0.06667244,0.00078070315,0.14277202,0.061939474,0.063420676,0.30637386,4.4248896,6.010203,0.75753355,0.23291115,0.032317434,0.01323167,0.010537967,0.61485773,0.015436151,0.0028738787,0.5348839,0.63556504,0.08640064,0.058350816,0.12954761,5.9073955e-05,0.0017180863,0.22920674,0.0013573964,0.06853906,0.0045212167,0.51909167,0.0069012525,0.00024248738,0.00027157564,0.26523322,0.0044939606,0.37248084,0.012403853,0.20027025,0.00021327609,0.11496111,0.07501418,0.30960968,4.865005e-05,0.52166533,0.024283813,0.079617634,0.00082868186,1.183672,0.030552045,0.40739903,0.19981073,0.03800172,0.002507369,0.022457713,0.17226644,0.011614153,0.06541437,0.17720601,0.088845775,4.0541992e-05,0.340962,0.24724159,0.17486192,3.8440003e-06,0.4458572,0.004744787,100.0,0.44696388,0.053330474,0.20699206,1.0893896,0.00024108538,-0.04065132,1.2636847,0.30221874,0.099530116,0.05515706,0.00055293646,0.46777493,9.5970335,0.02335778,0.00307288,0.27021506,0.038425345,0.010820549,0.017347187,0.080824256,0.08742653,0.07501211,0.19966225,0.11174183,0.0010055196,0.005511491,0.11558333,0.027434185,0.5924227,0.004930258,7.004826e-05,0.05662002,6.418514e-06,0.35391492,0.003956116,0.46338874,0.028083758,0.08734609,0.020777987,0.0010859543,0.012781069,0.016237356,0.38738257,1.850886e-05,0.025492894,0.17610686,0.10705638,1.6135014,0.2089454,23.842712,0.1479738,0.0006447722,1.0621656,0.8143748,0.0016862126,0.0018476748,0.042167593,0.08216191,0.18838313,0.024266973
