Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,919.34,22603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,11781.0,0.0,6429.0,37874.34,484.01,0.0,0.0,0.0,0.0,0.0,0.0,24.0,330.13,0.0,0.0,15.0,39.8,4003.34,0.0,0.0,0.0,39.0,29341.13,18133.0,94787.72,2463.04,0.0,125.38,89.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,7.07,2.0,87.3,0.0,98.0,0.0,0.0,24699.0,0.0,0.0,0.0,0.0,372.83,0.0,0.0,19820.33,14576.58,456.5,2054.0,480.76,0.0,0.0,0.0,50.0,2.17,0.0,184.0,0.0,1549.99,29525.97,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11942.42,0.0,1582.0,0.0,0.0,0.0,0.0,350.0,0.0,5971.51,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2239.0,0.0,0.0,0.0,0.0,22773.65,0.0,2742.0,0.0,0.0,39103.41,702.05,0.0,19273.0,35.0,215.97,23419.0,229489.94,6.83,0.0,0.0,0.0,7.72,0.0,0.0,0.0,851844.8,989.01,1.1,96.0,536.0,0.0,3077.36,0.0,0.52,0.0,0.0,0.0,0.0,0.0,6177.4,0.0,5198.06,4336.0,0.0,444.51,12748.28,0.05,0.0,2968.0,0.0,11604.0,137.6,24.85,0.0,0.0,0.0,42.42,0.0,0.0,9779.31,4895.0,639.57,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,41909.94,42266.32,0.0,0.0,0.0,0.0,0.0,26.0,176.02,34.0,0.0,2656.0,316.93,14526.07,2606.33
2001,915.29,23840.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,11853.0,0.0,7642.0,46007.0,470.01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,184.04,0.0,0.0,14.0,25.13,4775.58,0.0,0.0,0.0,29.95,30822.86,19205.33,102451.49,2652.99,0.0,167.78,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,17.0,1.0,120.8,0.0,133.0,0.0,0.0,23014.0,0.0,0.0,0.0,0.0,382.53,0.0,0.0,19028.19,12305.53,471.44,1574.0,483.66,0.0,0.0,0.0,52.0,1.48,0.0,188.0,0.0,1572.02,28671.94,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13764.73,0.0,904.0,0.0,0.0,0.0,0.0,242.0,0.0,5699.19,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.0,0.0,0.0,0.0,0.0,22933.51,0.0,2843.68,0.0,0.0,37105.01,667.0,0.0,18405.19,46.0,335.8,22443.16,229939.27,5.08,0.0,0.0,0.0,4.04,0.0,0.0,0.0,864389.6,1480.51,1.17,89.0,439.0,0.0,3036.17,0.0,0.47,0.0,0.0,0.0,0.0,0.0,5542.21,0.0,4973.9,3539.76,0.0,489.6,13011.73,0.05,0.0,3308.0,0.0,11441.0,128.8,24.06,0.0,0.0,0.0,34.51,0.0,0.0,7878.39,5173.0,432.7,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,39391.77,46564.42,0.0,0.0,0.0,0.0,0.0,28.0,161.84,24.0,0.0,2961.0,167.22,13998.0,2506.02
2002,1448.43,22074.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10772.0,0.0,8622.0,45074.0,598.01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,122.48,0.0,0.0,11.0,19.5,4795.6,0.0,0.0,0.0,42.1,31970.87,19068.37,91494.27,2374.0,0.0,160.58,89.0,2.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,11.19,0.0,89.22,0.0,86.0,0.0,0.0,21530.0,0.0,0.0,0.0,0.0,344.46,0.0,0.0,18154.67,12925.0,489.19,1220.0,484.5,0.0,0.0,0.0,42.0,0.77,0.0,191.0,0.0,1592.97,27203.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13540.66,0.0,810.4,0.0,0.0,0.0,0.0,195.0,0.0,5490.04,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.0,0.0,0.0,0.0,0.0,21298.2,0.0,2799.0,0.0,0.0,35344.71,651.0,0.0,16658.34,38.0,300.34,20727.12,207703.88,17.22,0.0,0.0,0.0,27.18,0.0,0.0,0.0,810606.5,1295.31,1.11,108.0,180.01,0.0,2551.42,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5391.42,0.0,3947.68,3369.82,0.0,479.51,13974.94,0.05,0.0,3255.0,0.0,10560.0,129.71,15.61,0.0,0.0,0.0,28.42,0.0,0.0,8876.0,5623.0,364.16,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,33997.62,47058.51,0.0,0.0,0.0,0.0,0.0,23.0,129.14,52.0,0.0,3283.0,131.78,12172.07,2438.61
2003,887.64,22056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,9271.0,0.0,9895.0,41766.0,574.01,0.0,0.0,0.0,0.0,0.0,0.0,12.0,128.29,0.0,0.0,14.0,13.06,5971.68,0.0,0.0,0.0,52.07,33670.75,20275.89,103030.21,2375.48,0.0,119.62,89.0,4.0,0.0,0.0,0.0,0.0,0.0,7.54,0.0,0.0,12.16,0.0,63.4,0.0,112.0,0.0,0.0,22859.99,0.0,0.0,0.0,0.0,319.01,0.0,0.0,16897.73,12170.91,486.05,963.21,508.59,0.0,0.0,0.0,53.0,0.58,0.0,194.0,0.0,1615.01,27843.02,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12167.83,0.0,1062.0,0.0,0.0,0.0,0.0,187.0,0.0,5051.01,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2917.0,0.0,0.0,0.0,0.0,21077.57,0.0,2826.0,0.0,0.0,34420.74,650.0,0.0,14006.24,21.0,342.74,18406.67,209826.19,18.82,0.0,0.0,0.0,8.1,0.0,0.0,0.0,807910.06,1523.93,4.41,95.0,256.99,0.0,2753.26,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4413.0,0.0,4219.0,3613.0,0.0,420.34,12940.94,0.04,0.0,3333.0,0.0,9678.0,115.2,18.28,0.0,0.0,0.0,16.54,0.0,0.0,8362.81,6083.0,206.93,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,31347.92,45080.81,0.0,0.0,0.0,0.0,0.0,40.0,107.89,55.49,0.0,2964.0,140.36,10183.93,2500.58
2004,355.64,21414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,8108.0,0.0,11432.0,37579.0,1136.2,0.0,0.0,0.0,0.0,0.0,1.0,9.0,126.8,0.0,0.0,7.0,14.95,5770.02,0.0,0.0,0.0,30.98,33241.84,21181.68,107406.92,2326.65,0.0,131.09,89.0,4.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,16.2,0.0,49.77,0.0,32.0,0.0,0.0,23670.0,0.0,0.0,0.0,0.0,388.34,0.0,0.0,15716.41,10636.1,474.02,870.0,531.34,0.0,0.0,2.0,51.0,0.81,0.0,198.0,0.0,1367.59,31231.05,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10755.08,0.0,894.0,0.0,0.0,0.0,0.0,107.01,0.0,4085.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.0,0.0,0.0,0.0,0.0,20672.0,0.0,2851.0,0.0,0.0,32068.08,626.0,0.0,11979.25,35.0,408.85,18030.59,230693.45,3.58,0.0,0.0,0.0,7.98,0.0,0.0,0.0,804660.44,866.24,2.22,98.0,233.0,0.0,3471.49,0.0,0.53,0.0,0.0,0.0,0.0,0.0,3683.0,0.0,3911.0,3525.0,0.0,614.47,11872.46,0.05,0.0,3151.0,0.0,8976.0,104.67,7.0,0.0,0.0,0.0,18.21,0.0,0.0,8744.98,6683.0,234.34,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0,27915.25,35565.06,0.0,0.0,0.0,0.0,0.0,35.0,71.98,46.0,0.0,2393.52,101.89,8507.57,2492.29
2005,281.59,20837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6931.0,0.0,13450.0,33411.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,148.38,0.0,0.0,5.0,8.96,6577.49,0.0,0.0,0.0,48.04,28715.72,20807.47,110618.88,2204.08,0.0,92.01,92.0,2.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,16.45,0.0,32.35,0.0,59.0,0.0,0.0,16864.0,0.0,0.0,0.0,0.0,260.18,0.0,0.0,14964.89,9779.66,472.47,828.0,594.27,0.0,0.0,4.0,69.0,1.46,0.0,201.0,0.0,1646.99,32628.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9615.75,0.0,705.0,0.0,0.0,0.0,0.0,86.0,0.0,4074.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638.0,0.0,0.0,0.0,0.0,21067.73,0.0,2874.0,0.0,0.0,28114.83,620.71,0.0,11183.61,33.0,322.56,21130.49,193767.95,13.46,0.0,0.0,0.0,16.08,0.0,0.0,0.0,744172.4,923.0,1.06,48.44,167.0,0.0,2767.66,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3365.0,0.0,4336.15,3471.0,0.0,509.45,11243.98,0.04,0.0,3565.0,0.0,8268.0,79.98,1.0,0.0,0.0,0.0,11.65,0.0,0.0,10421.6,6776.0,157.2,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,25828.7,31052.22,0.0,0.0,0.0,0.0,0.0,34.0,53.57,35.0,0.0,2495.0,64.98,7289.47,2466.82
2006,254.24,19321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6272.0,0.0,14584.0,32928.0,507.99,0.0,0.0,0.0,0.0,0.0,1.0,14.0,128.02,0.0,0.0,7.0,33.22,7136.89,0.0,0.0,0.0,37.94,27966.85,19548.03,115760.2,2032.0,0.0,80.61,89.0,8.0,0.0,0.0,0.0,0.0,0.0,30.38,0.0,0.0,11.12,0.0,11.93,0.0,47.0,0.0,0.0,15242.0,0.0,0.0,0.0,0.0,263.19,0.0,0.0,15012.16,9666.9,486.93,807.0,575.03,0.0,0.0,2.0,40.0,0.55,0.0,207.0,0.0,1956.99,27841.08,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8900.93,0.0,897.0,0.0,0.0,0.0,0.0,123.0,0.0,3607.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.0,0.0,0.0,0.0,0.0,20742.39,0.0,2089.82,0.0,0.0,27032.4,600.77,0.0,10683.12,21.0,300.8,16787.98,242990.31,1.36,0.0,0.0,0.0,41.92,0.0,0.0,0.0,774211.2,881.99,1.06,43.16,203.0,0.0,2911.76,0.0,0.48,0.0,0.0,0.0,0.0,0.0,3147.0,0.0,3915.0,3558.0,0.0,511.09,10967.28,0.04,0.0,3323.0,0.0,8084.0,21.84,1.0,0.0,0.0,0.0,15.63,0.0,0.0,10851.77,6405.0,112.37,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,23713.21,27687.44,0.0,0.0,0.0,0.0,0.0,33.04,69.11,30.0,0.0,3027.0,89.92,6415.32,2484.98
2007,239.9,17746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5492.0,0.0,14135.0,33480.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,106.65,0.0,0.0,2.0,5.0,6635.47,0.0,0.0,0.0,18.0,28853.78,17030.09,113543.48,1917.0,0.0,68.94,89.0,2.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.0,17.0,0.0,11.12,0.0,60.0,0.0,0.0,12666.0,0.0,0.0,0.0,0.0,263.88,0.0,0.0,14980.17,9909.18,495.63,799.0,565.19,0.0,0.0,3.0,20.0,1.96,0.0,187.0,0.0,1700.97,27805.13,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8492.0,0.0,394.0,0.0,0.0,3.33,0.0,117.71,0.0,3437.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,0.0,0.0,0.0,0.0,20438.58,0.0,2671.8,0.0,0.0,25704.08,611.0,0.0,10442.43,15.0,150.84,18751.06,236542.27,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,752349.06,879.0,1.02,43.0,218.0,0.0,2666.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3051.0,0.0,3555.0,3502.0,0.0,271.76,11901.0,0.03,0.0,2780.0,0.0,7596.0,2.94,1.0,0.0,0.0,0.0,11.93,0.0,0.0,11284.88,5742.0,100.65,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,21571.77,26450.03,0.0,0.0,0.0,0.0,0.0,37.0,30.0,36.0,0.0,2117.0,37.98,6002.66,4230.84
2008,197.33,15121.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4860.0,0.0,11884.0,36241.0,263.99,0.0,0.0,0.0,0.0,0.0,0.0,6.0,77.85,0.0,0.0,2.0,13.91,6501.83,0.0,0.0,0.0,23.08,29460.83,14421.88,98188.6,1797.0,0.0,57.53,89.0,2.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,11.15,0.0,6.82,0.0,37.0,0.0,0.0,11077.0,0.0,0.0,0.0,0.0,286.04,0.0,0.0,15573.72,10526.77,523.61,807.0,547.18,0.0,0.0,0.0,23.0,1.92,0.0,229.0,0.0,1722.98,29908.98,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8268.19,0.0,497.0,0.0,0.0,0.0,0.0,104.0,0.0,3623.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,19892.89,0.0,3332.62,0.0,0.0,22986.45,625.0,0.0,10668.18,20.0,114.58,19692.28,226157.69,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,715021.75,679.01,1.03,27.0,144.0,0.0,2497.76,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3003.0,0.0,3035.0,1609.0,0.0,146.21,13301.0,0.03,0.0,1772.0,0.0,7371.0,14.95,0.0,0.0,0.0,0.0,7.69,0.0,0.0,11929.44,4800.03,101.37,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,20380.38,26969.6,0.0,0.0,0.0,0.0,0.0,26.05,25.01,37.0,0.0,1361.0,45.13,5915.18,1905.83
2009,151.9,13210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4595.0,0.0,10468.0,38371.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,96.29,0.0,0.0,4.0,6.0,7107.56,0.0,0.0,0.0,11.99,31653.09,13422.57,89392.0,1833.0,0.0,29.36,89.0,2.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,0.0,14.0,0.0,8.57,0.0,41.0,0.0,0.0,16285.99,0.0,0.0,0.0,0.0,321.34,0.0,0.0,16614.16,12569.0,531.47,857.8,532.56,0.0,0.0,0.0,28.0,2.03,0.0,215.0,0.0,1744.0,32019.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8232.93,0.0,853.0,0.0,0.0,3.44,0.0,120.0,0.0,3230.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0,0.0,0.0,0.0,0.0,19511.84,0.0,3268.44,0.0,0.0,23238.6,631.0,0.0,10763.06,23.0,64.46,25832.24,222662.42,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,721927.75,999.99,0.0,31.0,116.0,0.0,3339.67,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2968.0,0.0,2795.0,1038.0,0.0,142.0,14576.0,0.03,0.0,1305.88,0.0,7028.93,21.13,0.0,0.0,0.0,0.0,9.38,0.0,0.0,12711.25,4201.0,71.35,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,19945.4,27274.86,0.0,0.0,0.0,0.0,0.0,36.0,33.0,22.0,0.0,1779.0,43.77,6077.94,2110.21
