Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,41.09,1.6,4.72,0.01,0.33,2.75,0.0,0.0,158.53,31.73,5.21,2.65,33.66,0.0,0.0,50.92,3.84,0.12,0.12,1.25,58.86,0.03,2.54,2.19,0.07,0.0,0.28,1.5,0.4,198.38,39.55,2.07,3261.32,0.0,0.01,5.11,1.05,0.0,0.68,0.18,0.0,0.59,1.07,1.33,14.72,262.07,0.31,0.04,35.54,0.26,26.01,0.74,1.9,1.2,73.4,3.78,17.98,35.43,0.56,484.66,0.01,0.17,344.67,1.46,1.72,0.0,0.0,0.0,0.1,49.45,0.17,3.36,0.0,0.67,4.79,1.16,12.51,55.46,1026.74,20.57,180.6,13.9,2.07,5.08,98.39,0.22,0.89,65.73,49.47,6.1,7.41,2.22,0.26,0.01,11.85,0.27,0.8,4.55,0.0,6.07,0.02,25.86,2.48,10.67,2.59,4.8,34.99,0.0,3.52,5.17,0.02,26.81,0.01,0.16,0.0,0.34,11.02,0.4,1.75,2.34,0.0,0.0,2.96,2.61,1.71,0.0,0.03,0.08,0.0,17.84,65.55,9.24,0.0,5.11,0.53,12207.64,135.24,2.25,1.16,8.09,0.0,0.24,22.52,34.5,5.66,0.0,0.11,23.06,1305.41,2.89,0.42,23.98,0.0,0.0,0.03,0.0,0.32,0.01,2.21,2.06,0.66,0.0,0.03,3.77,0.8,36.41,0.98,0.09,28.44,0.0,0.0,19.83,0.01,3.23,0.08,0.01,0.28,8.28,38.09,0.0,8.27,5.68,242.71,1.57,2837.89,14.18,0.0,1.88,106.37,0.01,0.02,15.72,155.51,4.89,9.94
2001,42.6,1.48,4.7,0.01,0.38,5.94,0.0,0.0,89.58,30.4,5.4,2.72,35.18,0.0,0.0,52.68,3.79,0.12,0.11,1.31,62.07,0.02,2.62,1.53,0.07,0.0,0.29,1.36,0.36,198.44,48.03,5.52,2933.96,0.0,0.01,5.45,0.88,0.0,0.39,0.19,0.0,0.0,0.26,1.31,19.89,282.62,0.36,0.04,45.39,0.26,27.29,0.5,2.17,1.26,84.38,3.04,17.84,42.8,0.54,441.39,0.01,0.19,316.16,0.0,1.75,0.0,0.0,0.0,0.1,66.8,0.08,3.07,0.0,0.68,7.61,1.19,3.8,57.34,1026.44,20.45,184.87,14.67,3.43,3.4,110.04,0.22,0.87,73.7,53.12,5.62,8.17,2.24,0.26,0.01,19.79,0.26,0.82,4.56,0.0,6.86,0.02,20.87,1.78,14.06,2.61,4.77,35.78,0.0,5.43,5.43,0.02,19.64,0.01,0.2,0.0,0.22,10.63,0.4,1.85,2.35,0.0,1.92,3.02,2.67,1.77,0.0,0.02,0.36,0.0,20.01,90.65,9.31,0.0,6.04,0.54,12354.649,139.25,1.41,0.64,3.74,0.0,0.23,31.66,33.59,6.66,0.0,0.11,20.07,1353.43,2.56,0.39,25.03,0.0,0.86,0.03,0.0,0.34,0.01,2.35,1.96,0.64,0.0,0.03,1.39,0.72,31.36,1.14,0.09,28.61,0.0,0.0,19.87,0.01,3.68,0.08,0.01,0.26,8.72,35.99,0.0,8.14,5.75,240.52,4.58,3250.7,15.21,0.0,1.95,111.71,0.01,0.02,16.54,156.44,4.97,11.3
2002,43.53,1.59,4.96,0.01,0.4,8.11,0.0,0.0,71.56,20.59,5.55,2.65,38.61,0.0,0.0,55.05,2.39,0.12,0.08,1.39,69.86,0.02,2.8,1.83,0.07,0.0,0.28,1.51,0.4,227.35,47.47,6.63,2603.06,0.0,0.01,5.67,0.8,0.0,1.08,0.19,0.0,0.44,0.39,1.37,11.12,218.94,0.43,0.04,24.78,0.25,29.02,0.52,2.63,1.3,81.8,4.56,17.4,41.42,0.56,380.97,0.01,0.19,277.25,0.8,1.77,0.0,0.0,0.0,0.1,46.2,0.23,3.01,0.0,0.71,2.52,1.24,8.04,60.28,1064.92,18.35,189.18,15.41,2.83,5.82,107.3,0.18,0.91,84.73,57.69,6.13,10.1,2.03,0.29,0.01,12.94,0.27,0.8,4.46,0.0,7.18,0.01,19.69,2.13,6.42,1.37,6.36,38.14,0.0,0.89,5.78,0.02,15.04,0.01,0.21,0.0,0.23,10.46,0.41,2.03,2.4,0.0,0.0,3.1,2.77,1.92,0.0,0.02,0.7,0.0,17.55,79.84,9.34,0.0,13.13,0.55,13068.67,145.88,0.32,0.96,6.51,0.0,0.24,42.5,32.6,5.42,0.0,0.12,23.18,1427.74,2.32,0.4,26.11,0.0,0.0,0.03,0.0,0.32,0.01,2.45,1.47,0.65,0.0,0.03,3.94,3.59,27.49,1.41,0.09,29.81,0.0,0.0,21.48,0.01,4.48,0.07,0.01,0.21,9.25,35.66,0.0,8.46,5.7,246.46,0.75,4287.2,16.66,0.0,2.08,116.41,0.01,0.02,17.43,214.61,5.41,12.75
2003,47.74,1.98,5.47,0.01,0.42,2.33,0.0,0.0,83.69,37.71,6.04,2.54,39.22,0.0,0.0,56.14,3.29,0.12,0.1,1.46,69.45,0.02,2.91,2.82,0.06,0.0,0.3,1.19,0.39,219.08,51.17,8.12,2103.86,0.0,0.01,6.13,0.78,0.0,1.08,0.19,0.0,0.59,0.66,1.38,22.79,252.99,0.5,0.04,30.8,0.22,29.74,0.2,3.22,1.34,79.46,3.81,17.12,35.51,0.73,430.01,0.01,0.2,281.85,0.47,1.8,0.0,0.0,0.0,0.12,46.35,0.21,2.78,0.0,0.76,8.42,1.27,6.51,62.81,1093.51,20.28,186.3,15.85,2.65,2.9,73.1,0.15,0.91,103.57,63.6,5.06,12.03,2.07,0.32,0.01,9.61,0.26,0.78,4.53,0.0,7.77,0.01,18.82,2.76,8.98,1.24,4.98,41.07,0.0,1.75,5.99,0.02,18.1,0.01,0.0,0.0,0.2,10.23,0.4,2.38,2.49,0.0,0.0,3.25,3.0,1.95,0.0,0.02,0.0,0.0,24.7,73.77,9.64,0.0,6.76,0.57,13604.27,148.66,0.74,0.53,6.67,0.0,0.21,33.62,31.55,6.97,0.15,0.12,21.19,1559.17,2.15,0.39,26.88,0.0,0.91,0.03,0.0,0.33,0.01,2.56,2.33,0.72,0.0,0.02,3.44,1.67,26.28,1.45,0.09,29.69,0.0,0.0,21.14,0.01,5.26,0.07,0.01,0.17,9.63,33.86,0.0,8.91,5.65,248.47,2.47,4999.68,17.52,0.0,1.96,121.39,0.01,0.01,17.99,253.39,5.21,14.09
2004,51.4,2.1,5.33,0.01,0.45,2.36,0.0,0.0,72.06,36.42,7.07,2.61,34.61,0.0,0.0,55.93,3.2,0.11,0.11,1.58,72.88,0.02,3.07,3.35,0.06,0.0,0.31,0.96,0.4,214.41,60.17,12.26,1782.45,0.0,0.01,6.57,0.89,0.0,0.99,0.2,0.0,1.08,0.33,1.02,16.67,214.63,0.55,0.03,25.98,0.21,30.62,0.45,3.71,1.46,106.46,8.05,16.94,55.23,0.58,376.94,0.01,0.2,302.91,0.81,1.8,0.0,0.0,0.0,0.12,54.56,0.15,2.85,0.0,0.79,9.48,1.29,4.18,64.73,1116.94,24.91,192.14,16.37,2.9,8.62,85.09,0.13,0.65,102.61,68.73,6.18,15.21,2.11,0.35,0.01,10.05,0.24,0.78,4.44,0.0,8.03,0.01,17.39,2.66,5.92,1.02,11.02,42.2,0.0,2.56,6.29,0.02,26.34,0.01,0.0,0.0,0.81,9.95,0.4,2.65,2.61,0.0,0.0,3.39,3.14,1.94,0.0,0.03,1.01,0.0,22.66,100.37,9.87,0.0,6.67,0.57,14094.811,152.81,2.02,0.26,5.44,0.0,0.22,46.41,30.57,4.95,0.13,0.1,12.7,1626.76,1.9,0.32,27.54,0.0,1.8,0.02,0.0,0.34,0.01,2.71,2.51,0.79,0.0,0.02,4.16,0.0,24.85,1.59,0.09,33.41,0.0,0.0,21.08,0.01,7.37,0.07,0.01,0.16,10.1,32.66,0.0,9.19,5.47,259.03,0.85,5642.86,18.93,0.0,1.76,127.39,0.01,0.01,18.34,249.19,4.49,14.23
2005,53.37,2.03,8.42,0.01,0.44,4.4,0.0,0.0,75.12,43.06,7.41,2.56,47.13,0.0,0.0,58.88,4.04,0.18,0.1,1.61,75.01,0.02,3.23,4.06,0.06,0.0,0.31,1.39,0.39,263.36,63.76,6.8,1576.66,0.0,0.01,6.78,0.93,0.0,0.79,0.2,0.0,0.47,1.16,1.78,13.48,222.98,0.56,0.04,37.59,0.21,31.79,0.82,4.29,1.52,113.51,3.99,16.72,60.4,0.43,394.72,0.01,0.2,314.27,0.0,1.83,0.0,0.0,0.0,0.13,52.09,0.0,3.14,0.0,0.83,6.24,1.33,9.02,66.71,1203.32,23.8,196.49,17.01,2.69,0.0,92.83,0.15,1.41,112.19,74.92,7.32,18.29,2.2,0.38,0.0,16.35,0.37,0.78,4.59,0.0,8.53,0.01,16.95,3.4,1.73,1.0,6.59,44.23,0.0,3.2,6.47,0.02,15.62,0.01,0.0,0.0,1.19,9.69,0.38,2.89,2.76,0.0,0.64,3.41,3.27,1.9,0.0,0.03,0.0,0.0,26.6,66.61,10.19,0.0,7.86,0.58,14949.46,159.82,0.96,0.33,5.46,0.0,0.22,39.09,30.04,5.12,0.08,0.18,19.01,1761.3,2.06,0.6,28.35,0.0,4.45,0.02,0.0,0.32,0.01,2.83,1.68,0.82,0.0,0.02,3.42,1.56,36.61,1.75,0.09,37.12,0.0,0.0,20.52,0.01,9.45,0.08,0.01,0.15,10.43,32.73,0.0,9.6,5.94,269.55,2.41,6326.96,23.37,0.0,1.61,132.4,0.01,0.01,19.42,229.13,4.07,12.65
2006,53.16,2.22,8.52,0.01,0.46,6.29,0.0,0.0,65.09,47.8,7.28,2.57,53.03,0.0,0.0,61.82,3.2,0.19,0.11,1.66,71.63,0.02,3.29,8.17,0.06,0.0,0.32,1.69,0.37,267.13,53.61,10.49,1391.45,0.0,0.01,7.13,0.86,0.0,0.19,0.22,0.0,0.05,0.26,1.37,12.96,224.89,0.54,0.04,33.69,0.22,32.53,1.06,4.73,1.58,84.05,4.2,16.56,61.84,0.35,408.71,0.01,0.2,316.04,0.0,1.76,0.0,0.0,0.0,0.14,61.19,0.0,3.27,0.0,0.87,12.62,1.34,9.74,68.2,1156.92,29.57,206.35,17.24,2.43,1.53,69.1,0.12,1.58,108.16,81.05,9.59,19.84,2.23,0.41,0.0,9.5,0.48,0.77,4.72,0.0,8.54,0.01,17.82,5.6,4.88,1.79,8.98,45.12,0.0,2.8,6.67,0.02,11.02,0.01,0.0,0.0,1.25,9.36,0.36,2.98,2.86,0.0,0.67,3.51,3.43,1.9,0.0,0.03,0.36,0.0,24.79,80.97,10.59,0.0,5.07,0.61,15669.06,164.14,0.43,1.62,5.51,0.0,0.22,22.73,29.93,4.85,0.0,0.23,14.53,1699.72,2.61,0.71,29.29,0.0,7.21,0.02,0.0,0.33,0.01,2.91,4.81,0.91,0.0,0.03,0.0,0.0,38.13,1.99,0.11,41.93,0.0,0.0,20.7,0.01,11.0,0.08,0.01,0.14,10.69,33.17,0.0,10.52,6.36,251.07,2.41,7329.13,27.38,0.0,1.64,138.04,0.01,0.01,19.57,236.63,3.97,12.96
2007,53.13,2.11,8.13,0.01,0.49,5.04,0.0,0.0,76.91,46.02,7.42,2.51,42.78,0.0,0.0,62.25,5.24,0.23,0.12,1.76,67.59,0.02,3.51,8.63,0.06,0.0,0.31,2.6,0.42,311.46,54.64,13.69,1296.31,0.01,0.01,7.71,0.92,0.0,0.76,0.21,0.0,0.58,0.27,1.36,14.81,223.07,0.61,0.04,35.17,0.22,33.36,0.93,5.0,1.61,74.05,6.1,16.24,68.11,0.3,389.21,0.01,0.21,308.59,0.74,1.97,0.0,0.0,0.0,0.15,33.36,0.0,3.38,0.0,0.89,13.22,1.37,3.1,71.45,1139.06,36.79,248.96,17.08,1.11,1.2,67.08,0.16,1.72,116.19,81.72,12.96,19.1,2.31,0.45,0.0,4.91,0.56,0.77,4.81,0.0,9.73,0.01,18.74,5.93,11.48,3.18,10.92,44.99,0.0,1.1,6.71,0.02,10.58,0.01,0.0,0.0,0.88,9.03,0.32,3.06,1.61,0.0,0.0,3.62,3.63,1.82,0.0,0.03,0.37,0.0,21.79,73.62,10.84,0.0,8.22,0.66,16174.87,166.63,0.29,0.9,6.94,0.0,0.23,25.0,30.59,4.28,0.3,0.31,11.25,1613.76,3.07,0.86,30.32,0.0,3.87,0.03,0.0,0.32,0.01,2.99,2.99,0.98,0.0,0.03,0.0,3.29,33.18,2.3,0.12,50.7,0.0,0.0,21.01,0.01,11.13,0.09,0.01,0.14,10.91,33.76,0.0,10.99,6.24,252.29,2.5,7949.03,30.92,0.0,1.76,144.94,0.01,0.01,21.56,252.49,4.1,13.1
2008,53.42,2.09,8.24,0.01,0.49,6.55,0.0,0.0,81.79,43.97,7.38,2.5,40.32,0.0,0.01,63.14,7.81,0.27,0.11,1.67,67.02,0.02,3.62,8.28,0.06,0.0,0.32,3.66,0.36,367.72,65.43,6.62,1259.99,0.0,0.01,8.07,0.94,0.0,0.57,0.23,0.0,0.87,1.37,2.19,18.45,260.37,0.62,0.04,39.88,0.22,34.25,0.1,5.4,1.73,101.41,6.82,16.02,75.8,0.21,531.85,0.01,0.2,425.19,0.22,2.19,0.0,0.0,0.0,0.14,28.62,0.14,3.72,0.03,0.91,9.5,1.4,5.48,71.9,1141.1,25.26,254.95,17.51,0.88,1.3,76.68,0.15,1.88,130.25,79.19,14.9,19.2,2.34,0.48,0.0,3.24,0.72,0.8,4.9,0.0,10.95,0.01,18.98,5.16,6.1,4.83,9.08,46.61,0.0,1.94,6.87,0.02,10.39,0.01,0.78,0.0,1.06,8.87,0.31,3.22,3.7,0.0,0.0,3.77,3.93,1.72,0.0,0.03,0.39,0.0,27.14,59.19,11.59,0.0,7.05,0.65,16855.6,172.2,0.0,0.74,4.64,0.0,0.23,29.86,31.73,4.67,0.6,0.36,7.68,1536.89,3.49,1.05,31.78,0.0,4.11,0.03,0.0,0.33,0.01,3.18,4.65,1.04,0.0,0.03,6.12,3.9,40.37,2.59,0.13,55.85,0.0,0.0,20.96,0.01,11.64,0.1,0.01,0.15,11.07,35.55,0.0,10.78,6.45,241.03,0.87,8224.77,33.41,0.0,1.93,150.72,0.01,0.01,22.5,327.33,4.28,13.74
2009,49.13,2.09,8.41,0.01,0.52,4.68,0.0,0.0,92.38,45.77,7.23,2.7,51.52,0.0,0.01,65.87,6.98,0.29,0.12,1.68,71.81,0.02,3.76,7.74,0.05,0.0,0.31,4.4,0.39,351.01,42.86,14.24,1225.3,0.01,0.01,8.1,1.05,0.0,0.35,0.25,0.0,0.05,0.79,0.86,23.49,253.38,0.66,0.04,51.08,0.22,34.9,0.98,5.81,1.86,109.95,12.52,15.79,83.24,0.15,655.17,0.01,0.22,406.81,0.0,2.43,0.0,0.0,0.0,0.16,46.24,0.14,4.64,0.03,0.92,14.36,1.46,4.65,72.82,1127.72,33.22,246.97,18.47,1.7,0.53,70.56,0.14,1.81,157.52,70.12,17.47,18.99,2.34,0.51,0.0,4.24,0.75,0.79,4.98,0.0,12.77,0.01,20.78,4.91,7.12,3.3,4.19,48.61,0.0,0.75,7.01,0.02,10.3,0.01,0.74,0.0,0.6,8.4,0.31,3.56,5.33,0.0,0.0,3.91,4.3,2.72,0.0,0.04,1.66,0.0,24.85,71.3,12.22,0.0,8.36,0.73,17284.09,176.96,0.77,0.21,3.72,0.0,0.21,19.11,32.02,6.0,0.31,0.39,9.63,1393.26,3.7,1.08,33.01,0.0,2.03,0.03,0.0,0.36,0.01,3.38,5.97,1.13,0.0,0.03,1.74,9.52,44.76,2.43,0.13,57.75,0.0,0.0,20.65,0.01,10.57,0.12,0.01,0.15,11.53,38.75,0.0,11.53,6.63,199.75,4.32,8685.72,35.0,0.0,2.04,156.58,0.01,0.01,23.25,326.96,4.58,11.75
