Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,106.84,31.66,17.44,0.05,9.38,4.78,1.89,0.0,540.53,119.67,10.6,19.58,104.67,1.24,1.92,249.57,16.65,1.42,0.41,3.67,264.75,0.07,5.74,8.81,0.15,0.0,1.27,2.45,8.04,467.26,167.22,4.94,12393.5,2.3,2.63,72.48,9.22,0.01,3.47,3.33,0.24,1.66,1.28,9.15,25.73,1153.93,3.37,0.02,101.87,0.92,217.44,2.57,20.74,16.84,550.83,17.75,52.62,108.7,0.84,470.32,0.14,3.15,1276.41,0.67,0.0,1.23,0.29,0.26,1.63,292.85,0.07,29.25,0.04,9.27,36.92,5.41,23.42,96.03,2698.55,71.56,1416.18,89.73,3.24,51.3,617.37,0.72,2.62,100.52,246.58,43.71,26.94,8.01,1.91,0.02,16.94,2.19,3.27,5.73,0.38,39.17,0.07,139.74,2.42,47.46,8.79,38.48,179.04,0.02,17.06,54.46,0.28,47.15,0.07,5.38,1.74,2.91,28.67,0.37,4.54,22.48,0.37,6.59,38.41,19.09,2.25,1.14,18.45,0.54,0.0,84.84,320.58,33.33,0.01,12.31,6.08,42338.3,402.87,2.41,2.18,23.37,0.0,3.85,81.63,60.41,42.91,0.0,0.93,37.36,5691.48,41.54,11.28,112.31,1.72,4.05,0.42,0.65,6.44,0.02,42.22,16.53,14.33,0.12,0.58,12.24,11.21,157.03,1.18,0.31,36.12,1.01,0.89,27.47,5.94,10.38,0.51,0.11,1.37,59.6,99.38,0.01,129.02,65.07,1130.95,0.67,7457.13,56.62,0.0,5.59,319.6,0.2,0.2,103.79,208.44,30.33,19.09
2001,109.89,31.8,15.79,0.06,9.87,7.87,2.14,0.0,238.02,106.14,10.63,19.37,102.83,1.17,1.81,253.12,17.23,1.15,0.41,3.74,291.84,0.06,5.88,9.53,0.14,0.0,1.34,2.43,7.67,473.84,147.38,6.5,10930.45,2.12,2.57,73.86,8.5,0.01,3.26,3.45,0.24,1.0,0.74,9.7,36.27,1079.9,3.58,0.02,99.51,0.86,223.0,1.45,22.28,16.69,503.11,30.55,55.01,91.93,0.84,446.02,0.13,3.19,1366.29,0.81,0.0,1.16,0.28,0.24,1.61,357.22,0.13,25.92,0.05,9.45,46.17,5.59,27.2,98.43,2743.23,68.79,1411.58,93.05,3.21,36.64,487.16,0.74,2.56,107.29,262.28,47.04,28.13,8.59,1.86,0.02,10.38,1.73,3.37,5.91,0.36,45.1,0.07,126.33,2.31,35.21,7.37,28.88,184.25,0.02,18.16,56.92,0.3,50.69,0.06,5.13,1.64,3.67,28.87,0.37,5.38,23.68,0.35,2.08,39.31,19.19,2.25,1.11,17.82,1.14,0.0,82.03,341.67,34.09,0.01,19.32,6.13,40835.36,417.87,1.37,1.71,18.07,0.0,3.8,66.46,59.08,38.09,0.0,0.83,16.32,5507.4,39.57,11.32,116.86,1.57,2.99,0.4,0.64,6.59,0.02,44.03,18.98,14.28,0.13,0.63,14.59,14.73,135.06,1.22,0.35,34.41,0.95,0.84,31.16,5.89,11.31,0.52,0.11,1.36,62.69,99.56,0.01,133.66,70.02,1107.71,4.3,7970.35,58.43,0.0,6.37,324.6,0.2,0.19,109.51,210.93,31.65,18.4
2002,120.18,32.68,16.35,0.07,10.41,6.57,2.19,0.0,208.21,82.05,11.03,19.07,80.21,1.28,1.95,261.01,13.38,1.03,0.39,3.9,321.84,0.06,6.16,8.82,0.12,0.0,1.39,2.46,7.82,487.41,144.18,16.56,9300.46,2.29,2.73,77.36,7.93,0.01,3.38,3.45,0.25,1.67,0.98,10.19,17.46,866.73,3.22,0.02,84.26,0.79,230.76,1.97,25.7,17.23,494.99,75.4,58.28,87.17,0.9,397.93,0.13,3.25,1280.44,1.58,0.0,1.24,0.3,0.24,1.58,279.94,0.08,20.81,0.03,9.8,40.51,5.68,16.19,104.52,2861.22,68.58,1414.16,96.97,3.26,60.07,349.12,0.68,2.63,94.19,274.36,59.42,30.51,8.14,2.03,0.02,11.37,2.1,3.32,6.07,0.41,41.88,0.06,112.95,2.36,26.73,7.54,27.07,188.79,0.03,18.04,60.81,0.32,59.27,0.06,6.18,1.76,3.05,28.45,0.38,6.32,25.14,0.37,0.45,39.72,18.97,2.35,1.22,18.99,1.13,0.0,74.26,251.37,34.65,0.01,19.82,5.73,40336.89,428.74,1.84,0.63,27.14,0.0,3.74,73.74,56.58,43.28,0.14,1.15,22.25,5517.36,37.48,11.05,124.26,1.69,7.13,0.4,0.71,6.21,0.02,45.83,13.05,14.64,0.13,0.62,12.16,12.9,110.29,1.26,0.32,36.66,1.02,0.92,32.82,5.96,13.9,0.46,0.1,1.35,66.57,105.02,0.01,137.88,74.24,1144.9,1.33,9493.27,60.95,0.07,6.11,328.39,0.19,0.18,114.01,239.64,32.86,17.87
2003,132.12,35.55,16.71,0.06,10.98,6.63,1.66,0.06,227.2,140.27,12.81,19.21,86.89,1.38,2.13,264.76,14.11,1.2,0.42,3.96,324.8,0.06,6.43,8.17,0.13,0.0,1.5,2.55,7.3,434.14,140.12,11.33,7564.57,2.52,2.97,78.8,7.82,0.01,3.04,3.44,0.25,1.99,0.4,10.55,19.41,768.73,3.63,0.02,74.09,0.77,232.68,4.15,29.82,16.52,475.5,25.48,59.52,92.93,0.95,451.66,0.12,3.33,1100.42,0.77,0.0,1.33,0.32,0.24,1.63,246.31,0.0,18.6,0.0,10.33,52.97,5.8,13.36,109.58,3033.09,57.0,1330.22,99.66,2.41,51.01,353.68,0.62,2.53,83.98,312.49,48.46,36.24,8.38,2.06,0.01,16.63,2.76,3.25,6.3,0.41,44.12,0.07,97.74,2.45,34.33,4.62,10.47,199.71,0.03,7.2,63.58,0.35,39.91,0.06,5.4,1.88,4.48,28.33,0.39,8.07,26.94,0.4,3.97,41.0,19.24,2.43,1.37,20.58,1.68,0.0,67.64,192.58,35.37,0.01,14.27,5.93,39942.508,434.17,1.83,0.64,39.99,0.0,3.61,83.17,54.39,30.06,0.0,1.29,20.46,6124.63,34.25,13.09,129.03,1.82,3.01,0.41,0.77,6.35,0.02,46.48,11.08,16.14,0.13,0.59,7.92,9.1,92.73,1.31,0.3,38.7,1.09,1.01,34.41,6.2,16.84,0.51,0.1,1.23,67.48,111.29,0.01,151.38,78.64,1136.16,3.59,10482.39,61.28,0.08,6.65,323.92,0.19,0.17,117.46,231.74,34.24,17.22
2004,138.54,36.9,17.62,0.08,11.91,6.05,1.05,0.06,223.33,133.08,15.89,19.75,67.78,1.5,2.3,268.54,12.95,1.66,0.44,3.84,302.33,0.07,6.67,7.29,0.13,0.0,1.56,2.58,7.19,464.29,130.73,12.24,6392.33,2.45,3.14,79.95,8.35,0.01,3.86,3.54,0.26,2.62,0.4,0.0,27.16,716.39,3.95,0.02,73.39,0.75,233.72,0.93,35.41,17.79,489.05,74.8,61.05,104.65,0.81,412.11,0.12,3.38,1165.89,0.0,0.0,1.42,0.34,0.26,1.7,263.82,0.06,17.24,0.0,10.63,71.55,5.8,16.77,113.45,3349.9,73.66,1434.65,101.73,1.45,57.2,399.68,0.54,2.65,107.54,363.11,51.72,48.36,8.86,2.15,0.01,13.94,4.41,3.29,6.61,0.46,43.18,0.06,80.39,2.56,26.84,6.38,18.15,206.2,0.03,8.27,67.32,0.32,41.57,0.06,5.27,2.01,3.52,28.61,0.41,9.29,28.95,0.43,5.94,42.12,19.77,2.47,1.48,22.82,2.54,0.0,101.0,217.33,36.18,0.01,14.95,5.79,41076.8,445.51,1.75,0.89,31.51,0.0,3.55,71.98,52.89,26.75,0.24,1.44,13.67,6895.26,31.79,19.7,134.14,1.95,3.93,0.37,0.84,6.65,0.03,48.81,35.78,17.74,0.14,0.5,7.36,13.29,110.57,1.35,0.3,47.91,1.19,1.08,35.4,6.61,23.01,0.51,0.09,1.17,72.2,122.23,0.01,154.46,80.37,1197.39,5.51,11136.44,64.4,0.08,6.13,325.86,0.18,0.16,121.97,234.67,36.73,16.55
2005,145.01,36.16,28.52,0.08,13.59,4.67,0.99,0.08,237.3,132.83,16.76,20.38,94.28,1.61,2.47,279.46,23.45,1.94,0.41,3.82,295.53,0.05,6.88,11.37,0.15,0.0,1.62,2.39,6.88,509.02,151.37,15.48,5754.84,2.66,3.42,82.58,8.68,0.01,3.39,3.58,0.29,1.31,0.25,18.07,28.61,808.74,3.6,0.02,109.1,0.78,239.46,1.58,39.62,18.69,452.38,40.93,62.78,122.53,0.71,487.66,0.12,3.69,1199.23,0.76,0.0,1.46,0.35,0.26,1.82,385.46,0.05,17.57,0.0,11.21,73.55,5.86,21.47,116.31,3593.5,61.17,1417.35,104.19,2.86,19.09,427.2,1.25,2.76,103.41,401.67,53.3,62.53,9.41,2.36,0.01,10.96,5.22,3.44,6.86,0.47,44.23,0.06,81.23,2.58,26.47,5.85,16.83,213.55,0.03,8.29,69.36,0.36,42.11,0.06,4.71,2.14,3.74,28.8,0.4,10.56,30.82,0.44,7.66,42.64,20.41,2.58,1.67,23.95,1.33,0.0,70.51,183.96,37.09,0.01,17.42,5.82,44102.55,453.45,0.97,0.52,30.83,0.0,3.56,81.34,51.87,25.47,0.73,1.6,11.08,8146.29,32.95,22.99,139.72,2.07,17.63,0.38,0.9,6.31,0.02,48.66,35.0,18.81,0.13,0.49,7.06,5.79,108.36,1.39,0.29,53.85,1.29,1.17,32.46,6.95,28.95,0.52,0.09,1.09,74.04,125.8,0.01,160.33,84.84,1270.31,2.25,12697.47,77.06,0.0,5.26,340.82,0.18,0.16,126.56,222.62,39.07,16.07
2006,154.52,39.59,27.93,0.08,15.0,9.2,1.44,0.0,190.57,138.22,17.0,21.48,78.36,1.73,2.68,291.4,25.68,1.92,0.44,3.74,267.02,0.06,6.92,9.65,0.14,0.0,1.66,2.18,7.4,569.26,145.72,5.59,5246.72,2.97,3.67,85.46,8.43,0.01,2.27,3.73,0.28,3.64,0.26,14.83,21.68,737.22,3.73,0.02,115.34,0.76,242.06,3.95,42.55,19.63,363.34,41.75,64.93,128.17,0.49,484.9,0.12,3.94,1227.94,1.78,0.0,1.58,0.35,0.27,1.82,343.89,0.07,17.8,0.01,11.56,61.73,5.81,24.53,117.58,3377.8,68.42,1438.51,103.11,1.64,13.91,351.59,0.54,2.81,93.35,412.51,56.1,74.3,9.85,2.3,0.01,12.5,6.1,3.49,7.05,0.53,41.54,0.06,79.39,2.19,51.98,7.43,27.51,220.26,0.03,6.68,72.61,0.41,42.19,0.06,2.57,2.3,5.87,29.08,0.39,11.47,32.5,0.48,11.28,43.8,20.86,2.65,1.79,26.2,0.68,0.0,65.55,186.55,38.08,0.01,13.88,6.1,45390.242,463.44,0.58,1.68,49.78,0.0,3.58,50.39,51.48,21.32,0.2,1.95,17.87,8275.83,33.6,26.03,145.08,2.23,20.37,0.39,0.95,6.01,0.02,49.94,32.2,22.85,0.15,0.48,0.0,3.65,94.94,1.42,0.3,60.87,1.39,1.26,34.25,7.17,31.5,0.52,0.09,1.05,75.5,129.18,0.01,168.82,91.11,1188.41,1.57,14788.48,81.57,0.0,5.12,348.08,0.19,0.15,129.25,217.34,42.05,15.6
2007,156.16,38.73,29.93,0.08,17.1,13.43,0.81,0.0,186.57,128.05,17.51,22.67,98.72,1.84,2.84,295.83,24.95,2.26,0.41,3.72,241.56,0.05,7.11,11.88,0.12,0.0,1.69,2.91,7.24,616.56,141.72,16.43,5054.49,3.34,3.91,92.42,8.98,0.01,2.77,3.81,0.3,2.23,0.17,16.34,21.3,811.27,3.71,0.02,75.7,0.72,243.45,0.2,45.01,19.81,395.92,48.62,68.68,158.26,0.4,471.76,0.12,3.95,1410.75,2.85,0.01,1.67,0.37,0.26,1.89,341.96,0.0,15.0,0.07,11.74,102.57,6.13,22.33,114.19,3354.48,87.75,1596.07,101.55,1.1,14.78,385.81,2.1,2.71,120.35,407.69,62.4,74.23,10.63,2.59,0.01,5.59,5.74,3.48,7.35,0.57,47.8,0.06,74.31,2.66,60.15,4.68,28.27,220.31,0.02,5.93,74.19,0.45,37.25,0.05,8.14,2.48,5.61,29.02,0.37,12.35,32.45,0.51,8.47,45.35,21.59,2.75,1.94,28.11,1.01,0.0,58.67,197.14,38.64,0.01,18.82,5.9,45336.02,471.73,0.5,0.48,23.2,0.0,3.47,41.41,52.13,13.5,0.1,2.69,16.91,7856.83,36.46,27.49,153.6,2.32,11.2,0.43,1.04,5.58,0.02,49.31,50.35,24.93,0.13,0.45,0.0,8.22,120.98,1.46,0.28,66.27,1.48,1.34,36.47,7.4,30.42,0.55,0.09,1.02,76.91,131.31,0.01,178.11,90.51,1265.65,3.02,14589.26,86.14,0.08,5.37,390.8,0.19,0.15,142.85,192.8,44.97,14.87
2008,155.98,38.56,29.58,0.07,21.48,8.17,0.0,0.0,244.72,155.93,17.86,24.35,120.67,1.97,3.05,296.89,36.02,2.52,0.38,3.51,220.28,0.05,7.15,12.05,0.12,0.0,1.73,4.06,7.19,582.73,138.33,15.66,5009.37,3.85,4.18,97.82,9.33,0.01,5.47,4.06,0.32,3.05,0.42,14.11,19.38,928.68,3.87,0.02,108.01,0.72,245.49,2.94,47.14,21.17,413.07,51.63,74.83,147.95,0.29,554.17,0.11,4.23,1558.12,2.39,0.01,1.77,0.39,0.29,2.18,257.88,0.18,17.18,0.08,11.83,81.36,6.32,22.04,135.79,3328.92,106.19,1549.85,103.87,1.01,13.72,295.93,1.61,2.92,100.83,351.68,66.35,72.7,10.96,2.75,0.01,2.8,7.25,3.7,7.62,0.61,51.61,0.05,72.63,2.01,49.84,6.04,20.25,225.39,0.02,8.28,76.27,0.51,49.13,0.05,9.98,2.67,4.53,29.11,0.38,13.63,36.56,0.55,4.52,46.82,22.66,2.88,2.04,29.65,0.5,0.0,82.32,207.97,37.21,0.01,19.33,5.55,45432.97,483.64,0.91,0.83,17.39,0.0,3.43,27.84,55.42,23.47,0.09,3.15,6.77,7400.47,39.91,29.59,163.16,2.59,12.69,0.46,1.11,5.25,0.03,52.02,74.5,26.66,0.14,0.44,3.96,23.38,146.76,1.5,0.3,68.97,1.56,1.46,37.18,7.59,28.15,0.56,0.08,1.03,77.07,133.81,0.01,187.37,95.72,1233.14,4.76,14827.82,90.04,0.15,5.48,433.12,0.19,0.15,151.3,197.7,48.27,15.64
2009,162.1,38.97,29.87,0.07,25.33,4.41,1.44,0.0,284.22,167.65,17.01,28.15,104.62,2.12,3.24,300.89,22.37,2.55,0.35,3.41,212.67,0.06,7.17,14.68,0.09,0.0,1.73,4.72,7.76,659.26,140.97,18.74,4914.04,4.34,4.42,99.83,10.36,0.01,3.55,3.95,0.33,1.66,0.26,14.71,34.71,855.43,4.36,0.02,139.32,0.72,248.6,2.91,48.9,22.43,338.21,106.92,78.42,172.73,0.1,689.76,0.11,4.58,1525.48,1.78,0.01,1.84,0.41,0.29,2.41,293.13,0.22,20.47,0.13,12.02,60.99,6.63,24.52,150.82,3431.63,118.31,1466.88,109.09,1.71,11.03,270.64,0.86,2.78,135.2,290.86,70.17,69.65,11.2,2.69,0.01,1.46,7.07,3.76,7.84,0.67,56.78,0.05,67.33,2.07,62.07,3.64,24.11,232.93,0.03,1.72,77.78,0.55,43.15,0.05,8.12,2.82,4.17,29.21,0.37,14.82,39.05,0.63,10.9,49.25,23.62,2.5,2.23,31.72,1.36,0.0,103.96,202.45,38.24,0.01,21.21,3.5,44424.87,492.81,0.41,0.0,17.64,0.0,3.73,44.73,57.88,22.88,0.75,3.47,15.98,6209.05,42.47,29.28,190.76,2.72,5.56,0.47,1.19,5.68,0.03,54.36,57.35,28.8,0.17,0.39,7.05,27.36,154.95,1.55,0.29,67.44,1.67,1.56,37.2,7.8,23.89,0.7,0.09,0.88,82.18,135.6,0.01,196.34,98.7,950.75,4.95,15017.86,92.5,0.16,5.45,451.25,0.2,0.13,154.75,197.04,51.73,14.91
