Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_BAD,OWID_BAV,OWID_GDR,OWID_GFR,OWID_HAN,OWID_HSE,OWID_HSG,OWID_KOS,OWID_MEC,OWID_MOD,OWID_PMA,OWID_RVN,OWID_SAX,OWID_SIC,OWID_SML,OWID_TUS,OWID_WRL,OWID_YAR,OWID_YPR,OWID_ZAN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1789,0.105,,,,0.402,,0.526,0.234,,,0.284,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.071,0.206,,,,,0.251,,,,0.17,,0.234,0.112,,0.589,0.057,,,0.255,,0.067,0.136,0.059,0.386,,0.711,,0.697,,,,,,,0.183,0.193,,,,,0.073,0.299,,0.27,0.697,,0.183,,0.183,,,,0.103,0.136,,,,0.125,0.28,0.167,,,0.098,,,,,0.136,0.071,0.136,,,0.116,0.183,,,0.155,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.222,0.20868334,,,,,,,,,0.853,0.125,0.058,,,,,0.136,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1790,0.105,,,,0.402,,0.526,0.234,,,0.284,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.08,0.206,,,,,0.251,,,,0.17,,0.234,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.735,,0.697,,,,,,,0.183,0.193,,,,,0.167,0.299,,0.27,0.697,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,,,0.083,0.063,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.222,0.20933333,,,,,,,,,0.853,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1791,0.105,,,,0.402,,0.526,0.234,,,0.284,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.234,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.538,,0.697,,,,,,,0.183,0.193,,,,,0.167,0.299,,0.27,0.697,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,,,0.083,0.063,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.222,0.20591667,,,,,,,,,0.853,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1792,0.105,,,,0.402,,0.526,0.234,,,0.284,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.234,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.346,,0.672,,,,,,,0.183,0.193,,,,,0.227,0.299,,0.27,0.672,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,,,0.083,0.063,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.174,0.2025,,,,,,,,,0.853,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1793,0.105,,,,0.402,,0.526,0.195,,,0.284,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.195,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.346,,0.672,,,,,,,0.183,0.193,,,,,0.227,0.299,,0.27,0.672,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.118,0.19721666,,,,,,,,,0.621,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1794,0.105,,,,0.402,,0.526,0.164,,,0.241,,,0.27,0.183,,0.183,,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.164,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.346,,0.672,,,,,,,0.183,0.193,,,,,0.261,0.299,,0.27,0.672,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.166,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.118,0.19795,,,,,,,,,0.705,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.299,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1795,0.105,,,,0.402,,0.526,0.164,,,0.216,,,0.27,0.183,,0.183,0.083,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.164,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.435,,0.631,,,,,,,0.183,0.193,,,,,0.269,0.283,,0.27,0.631,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,0.083,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.267,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.118,0.193,,,,,,,,,0.292,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.283,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1796,0.105,,,,0.402,,0.526,0.164,,,0.435,,,0.27,0.183,,0.183,0.083,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.164,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.435,,0.631,,,,,,,0.183,0.193,,,,,0.269,0.287,,0.27,0.631,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,0.083,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.267,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.04,0.039,,0.215,0.054,,0.118,0.19096552,,,,,,,,,,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.287,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1797,0.105,,,,0.402,,0.526,0.164,,,0.435,,,0.27,0.183,,0.183,0.083,,0.053,,,,,,,0.072,0.206,,,,,0.251,,,,0.17,,0.164,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.435,,0.631,,,,,,,0.183,0.193,,,,,0.218,0.287,,0.27,0.631,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,0.083,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.267,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,0.141,0.039,,0.215,0.054,,0.118,0.19182758,,,,,,,,,,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.287,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.813,0.098,0.236,0.022,,,0.074,,,
1798,0.105,,,,0.402,,0.526,0.164,,,0.435,,,0.27,0.183,,0.183,0.083,,0.053,,,,,,0.811,0.072,0.206,,,,,0.251,,,,0.17,,0.164,0.112,,0.589,0.057,,,0.255,,0.067,0.083,0.059,0.386,,0.435,,0.631,,,,,,,0.183,0.193,,,,,0.193,0.287,,0.27,0.631,,0.183,,0.183,,,,0.116,0.083,,,,0.125,0.272,0.167,,,0.098,,,0.083,,0.083,0.073,0.083,,,0.116,0.183,,,0.123,,,,,,,,,,,,0.267,0.088,0.031,,,0.164,0.228,,,0.137,0.036,0.126,,0.274,,0.039,,0.215,0.054,,0.118,0.20063794,,,,,,,,,,0.125,0.058,,,,,0.083,,0.1,,,,,,,,0.183,,,,0.287,,0.386,,,0.183,,,0.167,,,,,0.125,0.183,0.206,,,,,0.762,0.098,0.153,0.022,,,0.074,,,
